DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jerami Grant,PHI,BOS,,13:56,0.371,0.381,0.143,0.6,0.385,0.2,0.167,0.0,0.0,0.0,0.345,8,0.25,1,1,1.0,6,0.833,5,1,0,0,1,0,10,1,17.5,0,0,0,,0,0.0,102.1,94.9,7.3,0.143,0.208,0.313,99.77,0.875,0.125,0.2,0.3,0.4,0.2,0.5,0.5,0.458,0.333,0.136,0.167,4,0,4,2,5,0,6,10,0,4,
2016-10-06,Jerami Grant,PHI,WAS,,27:37,0.195,0.209,0.071,0.333,0.174,0.333,0.083,0.0,0.5,0.167,0.315,9,0.778,1,1,1.0,4,0.5,4,5,0,1,1,2,17,-11,30.25,0,0,0,,0,0.0,101.4,116.2,-14.8,0.357,0.098,0.833,94.94,0.889,0.111,0.706,0.176,0.118,0.471,0.714,0.286,0.567,0.173,0.071,0.2,2,4,2,8,15,12,5,30,12,2,NBA TV
2016-10-08,Jerami Grant,PHI,CLE,,26:27,0.248,0.232,0.12,0.471,0.097,0.316,0.0,0.333,0.4,0.333,0.194,13,0.231,0,3,0.0,8,0.875,3,6,2,2,0,4,13,20,32.25,0,0,0,,0,0.0,114.6,85.1,29.5,0.3,0.055,0.231,103.19,0.769,0.231,0.462,0.0,0.077,0.462,0.667,0.333,0.364,0.477,0.109,0.148,1,0,0,6,3,9,6,16,9,7,NBA TV
2016-10-11,Jerami Grant,PHI,MEM,F,25:16,0.17,0.194,0.0,0.185,0.19,0.286,0.083,0.0,0.167,0.273,0.22,7,0.429,0,0,0.0,5,0.6,4,2,0,1,1,3,9,-29,18.0,0,0,0,,0,0.0,69.6,115.3,-45.7,0.25,0.073,0.429,113.62,1.0,0.0,0.667,0.0,0.0,0.444,0.333,0.667,0.564,0.236,0.115,0.259,0,5,0,4,13,9,11,28,9,2,
2016-10-13,Jerami Grant,PHI,WAS,,20:01,0.244,0.313,0.0,0.133,0.174,0.0,0.0,0.0,0.333,0.273,0.35,10,0.6,0,0,0.0,2,1.0,4,0,0,1,0,3,14,1,21.0,0,0,0,,0,0.0,98.5,95.0,3.5,0.0,0.091,0.6,97.89,1.0,0.0,0.857,0.0,0.143,0.143,1.0,0.0,0.446,0.432,0.097,0.269,2,2,0,2,4,6,7,18,6,1,
2016-10-15,Jerami Grant,PHI,DET,,26:28,0.293,0.282,0.2,0.421,0.222,0.4,0.222,0.375,0.25,0.077,0.273,11,0.273,0,2,0.0,8,0.75,4,4,3,1,2,1,12,-11,29.0,0,0,0,,0,0.0,80.9,103.5,-22.5,0.364,0.078,0.273,97.5,0.818,0.182,0.5,0.0,0.0,0.333,0.333,0.667,0.511,0.311,0.207,0.36,0,0,0,4,9,10,13,22,10,4,
2016-10-21,Jerami Grant,PHI,MIA,,24:17,0.235,0.205,0.091,0.545,0.2,0.111,0.0,0.333,0.0,0.13,0.298,9,0.444,0,1,0.0,12,0.75,4,1,2,0,0,3,17,1,27.25,0,0,0,,0,0.0,98.8,96.8,2.0,0.071,0.089,0.444,114.17,0.889,0.111,0.471,0.0,0.412,0.471,0.75,0.25,0.515,1.059,0.156,0.056,7,0,3,8,6,2,5,22,2,9,
2015-10-28,Jerami Grant,PHI,BOS,,26:37,0.143,0.159,0.071,0.357,0.24,0.0,0.0,0.25,0.0,0.154,0.2,7,0.286,0,1,0.0,5,1.0,6,0,2,0,0,2,9,-22,20.5,12,52,41,0.0,6,0.333,81.6,116.3,-34.7,0.0,0.122,0.286,101.66,0.857,0.143,0.444,0.0,0.0,0.444,0.0,1.0,0.552,0.313,0.156,0.273,0,0,0,4,22,10,13,32,10,4,
2015-10-30,Jerami Grant,PHI,UTA,,25:30,0.26,0.257,0.222,0.222,0.2,0.222,0.3,0.0,0.5,0.083,0.293,9,0.444,1,2,0.5,4,0.75,5,2,0,2,3,1,12,-1,23.75,8,56,38,0.0526,4,0.5,85.6,83.7,1.8,0.25,0.102,0.5,92.31,0.778,0.222,0.5,0.25,0.417,0.333,1.0,0.0,0.356,0.311,0.08,0.2,5,2,0,4,7,6,3,20,6,3,
2015-11-02,Jerami Grant,PHI,CLE,,22:59,0.211,0.186,0.083,0.333,0.118,0.059,0.333,0.167,0.0,0.5,0.117,8,0.375,0,1,0.0,2,0.5,2,1,1,0,2,3,7,6,11.75,6,36,23,0.0435,7,0.429,125.9,108.8,17.2,0.045,0.054,0.375,101.57,0.875,0.125,0.857,0.0,0.571,0.857,0.333,0.667,0.585,0.146,0.201,0.235,4,2,0,6,7,5,10,28,5,2,
