DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jeremy Lamb,CHA,DAL,,22:21,0.157,0.184,0.273,0.125,0.143,0.0,0.0,0.0,0.0,0.25,0.159,7,0.429,0,3,0.0,2,0.5,3,0,0,0,0,2,7,1,10.75,0,0,0,,0,0.0,95.6,91.3,4.2,0.0,0.062,0.429,99.99,0.571,0.429,0.857,0.0,0.0,0.286,0.0,1.0,0.5,0.175,0.191,0.227,0,0,0,2,8,2,3,14,2,3,
2016-10-06,Jeremy Lamb,CHA,BOS,,22:54,0.251,0.282,0.3,0.167,0.5,0.267,0.143,0.0,0.333,0.3,0.291,11,0.636,1,3,0.333,2,0.5,10,4,0,1,1,3,16,14,35.5,0,0,0,,0,0.0,111.6,84.5,27.1,0.267,0.256,0.682,102.5,0.727,0.273,0.75,0.188,0.0,0.625,0.571,0.429,0.439,0.195,0.185,0.217,0,0,0,10,8,4,2,14,4,2,
2016-10-08,Jeremy Lamb,CHA,BOS,G,15:28,0.26,0.333,0.625,0.0,0.111,0.2,0.125,0.0,0.0,0.5,0.321,9,0.444,1,5,0.2,0,0.0,2,1,0,0,1,4,9,-4,12.75,0,0,0,,0,0.0,83.5,92.7,-9.2,0.167,0.08,0.5,105.58,0.444,0.556,0.667,0.333,0.0,0.444,0.5,0.5,0.48,0.32,0.174,0.0,0,0,0,4,7,0,4,8,0,1,NBA TV
2016-10-10,Jeremy Lamb,CHA,MIN,,18:31,0.276,0.323,0.385,0.0,0.188,0.091,0.125,0.2,0.2,0.375,0.421,10,0.7,2,5,0.4,0,0.0,3,1,1,1,1,3,16,12,25.5,0,0,0,,0,0.0,100.3,66.7,33.6,0.111,0.081,0.8,99.56,0.5,0.5,0.625,0.375,0.313,0.5,0.714,0.286,0.264,0.25,0.18,0.364,5,2,0,8,3,4,4,14,4,2,
2016-10-17,Jeremy Lamb,CHA,CHI,,18:36,0.284,0.324,0.273,0.0,0.5,0.273,0.333,0.5,0.0,0.0,0.167,11,0.273,0,3,0.0,0,0.0,8,3,2,0,1,0,6,0,23.25,0,0,0,,0,0.0,94.0,100.7,-6.6,0.3,0.211,0.273,95.54,0.727,0.273,1.0,0.0,0.0,1.0,0.667,0.333,0.516,0.125,0.168,0.25,0,0,2,6,6,4,5,12,4,0,NBA TV
2016-10-20,Jeremy Lamb,CHA,MIA,,18:32,0.237,0.267,0.333,0.25,0.154,0.182,0.0,0.25,0.0,0.25,0.22,8,0.375,1,4,0.25,3,0.667,2,2,1,0,0,2,9,7,16.5,0,0,0,,0,0.0,110.0,87.0,23.0,0.182,0.063,0.438,98.88,0.5,0.5,0.444,0.333,0.333,0.444,0.667,0.333,0.4,0.2,0.179,0.353,3,1,0,4,2,9,2,12,9,4,
2016-10-21,Jeremy Lamb,CHA,MIN,,23:09,0.207,0.278,0.2,0.0,0.45,0.333,0.1,0.667,0.0,0.214,0.229,10,0.4,0,2,0.0,0,0.0,9,1,2,0,1,3,8,-28,24.0,0,0,0,,0,0.0,72.9,127.3,-54.5,0.143,0.187,0.4,101.1,0.8,0.2,1.0,0.0,0.0,0.5,0.0,1.0,0.557,0.386,0.081,0.286,0,0,2,4,18,11,15,20,11,2,NBA TV
2015-10-30,Jeremy Lamb,CHA,ATL,,14:38,0.268,0.348,0.714,0.0,0.133,0.111,0.125,0.0,0.667,0.0,0.423,8,0.5,3,5,0.6,0,0.0,2,1,0,2,1,0,11,-9,19.75,2,25,16,0.0625,4,0.5,79.7,105.8,-26.1,0.167,0.067,0.688,107.79,0.375,0.625,0.182,0.818,0.0,0.0,1.0,0.0,0.534,0.241,0.121,0.176,0,6,0,0,12,3,10,12,3,0,
2015-11-01,Jeremy Lamb,CHA,ATL,,18:16,0.27,0.324,0.267,0.0,0.222,0.25,0.0,0.0,0.333,0.167,0.36,11,0.364,1,4,0.25,0,0.0,4,2,0,2,0,1,9,-5,21.0,7,38,27,0.0741,7,0.286,64.5,79.7,-15.2,0.4,0.1,0.409,100.38,0.636,0.364,0.667,0.333,0.333,0.222,1.0,0.0,0.364,0.182,0.133,0.158,3,0,0,2,5,2,6,14,2,0,
2015-11-03,Jeremy Lamb,CHA,CHI,,25:34,0.183,0.204,0.214,0.067,0.148,0.214,0.143,0.5,0.0,0.0,0.253,10,0.9,2,3,0.667,1,0.0,4,3,2,0,1,0,20,22,33.25,6,44,32,0.0938,7,1.0,139.6,101.2,38.4,0.158,0.095,1.0,106.0,0.7,0.3,0.7,0.3,0.3,0.4,0.222,0.778,0.571,0.061,0.142,0.087,6,2,3,8,12,4,7,26,4,1,
