DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jerian Grant,CHI,MIL,,15:06,0.182,0.154,0.1,0.0,0.0,0.333,0.333,0.0,0.0,0.143,0.318,4,0.75,1,1,1.0,0,0.0,0,2,0,0,2,2,7,-15,9.0,0,0,0,,0,0.0,69.0,119.7,-50.7,0.286,0.0,0.875,99.81,0.75,0.25,0.571,0.429,0.0,0.286,0.333,0.667,0.462,0.692,0.129,0.389,0,0,0,2,9,7,4,12,7,0,NBA TV
2016-10-06,Jerian Grant,CHI,IND,,9:17,0.126,0.15,0.25,0.0,0.125,0.5,0.0,0.0,0.0,0.2,0.0,3,0.0,0,2,0.0,0,0.0,1,2,0,0,0,1,0,-3,3.75,0,0,0,,0,0.0,96.5,106.0,-9.5,0.25,0.048,0.0,114.89,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.333,0.265,0.4,0,0,0,0,3,0,4,8,0,0,
2016-10-08,Jerian Grant,CHI,IND,,14:10,0.252,0.105,0.4,0.438,0.091,0.429,0.5,0.333,0.0,0.375,0.152,2,0.0,0,2,0.0,7,0.714,1,3,1,0,3,3,5,-4,10.5,0,0,0,,0,0.0,103.0,106.8,-3.8,0.3,0.04,0.0,112.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.2,0.115,0.154,0,0,0,0,6,4,8,20,4,3,
2016-10-14,Jerian Grant,CHI,CLE,,12:00,0.284,0.238,0.4,0.2,0.0,0.222,0.667,0.0,0.0,0.0,0.357,5,0.8,2,2,1.0,1,0.0,0,2,0,0,2,0,10,4,12.5,0,0,0,,0,0.0,115.7,101.0,14.7,0.286,0.0,1.0,95.92,0.6,0.4,0.4,0.6,0.0,0.4,0.75,0.25,0.525,0.2,0.084,0.0,0,2,0,4,4,0,2,4,0,1,NBA TV
2016-10-15,Jerian Grant,CHI,MIL,G,28:42,0.181,0.13,0.077,0.25,0.087,0.412,0.429,0.333,0.5,0.214,0.191,6,0.667,1,1,1.0,5,0.8,2,7,1,1,3,3,13,3,27.25,0,0,0,,0,0.0,121.9,110.1,11.8,0.389,0.049,0.75,96.03,0.833,0.167,0.462,0.231,0.0,0.462,0.5,0.5,0.611,0.356,0.136,0.056,0,0,0,6,6,1,13,32,1,4,
2016-10-17,Jerian Grant,CHI,CHA,,17:00,0.345,0.31,0.333,1.0,0.053,0.5,0.2,0.0,0.0,0.091,0.444,9,0.333,1,4,0.25,6,0.833,1,3,0,0,1,1,12,-3,17.0,0,0,0,,0,0.0,82.7,84.7,-2.0,0.429,0.025,0.389,96.06,0.556,0.444,0.333,0.25,0.0,0.167,0.667,0.333,0.311,0.27,0.028,0.318,0,0,2,2,4,8,2,12,8,4,NBA TV
2016-10-20,Jerian Grant,CHI,ATL,,2:56,0.17,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,-2,1.25,0,0,0,,0,0.0,68.0,120.0,-52.0,1.0,0.0,0.0,89.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.2,0.0,0,0,0,0,2,0,0,4,0,0,
2015-10-28,Jerian Grant,NYK,MIL,,24:11,0.135,0.156,0.143,0.095,0.048,0.417,0.0,0.75,0.0,0.167,0.135,7,0.571,0,1,0.0,2,1.0,1,5,3,0,0,2,10,20,23.5,6,68,57,0.0877,4,0.5,153.4,114.0,39.4,0.227,0.027,0.571,94.85,0.857,0.143,0.8,0.0,0.0,0.6,0.5,0.5,0.5,0.514,0.19,0.389,0,2,0,6,4,9,6,20,9,2,
2015-10-29,Jerian Grant,NYK,ATL,,28:45,0.117,0.083,0.0,0.143,0.28,0.438,0.231,0.0,0.0,0.188,0.079,4,0.5,0,0,0.0,2,0.5,7,7,0,0,3,3,5,6,21.0,9,65,54,0.1296,3,0.333,103.0,96.7,6.3,0.333,0.152,0.5,100.24,1.0,0.0,0.8,0.0,0.0,0.4,1.0,0.0,0.511,0.4,0.187,0.208,0,0,0,2,15,4,10,30,4,3,TNT
2015-10-31,Jerian Grant,NYK,WAS,,21:10,0.189,0.212,0.333,0.0,0.143,0.0,0.273,0.5,0.0,0.2,0.137,7,0.429,1,1,1.0,0,0.0,2,0,3,0,3,3,7,7,14.5,4,45,33,0.0,5,0.4,104.5,93.3,11.2,0.0,0.071,0.5,108.81,0.857,0.143,0.571,0.429,0.286,0.286,0.333,0.667,0.457,0.4,0.254,0.375,2,2,3,2,13,8,8,18,8,2,
