DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jimmy Butler,CHI,MIL,F,15:03,0.24,0.217,0.333,0.75,0.176,0.125,0.0,0.25,0.5,0.25,0.419,5,0.4,1,1,1.0,9,0.889,3,1,1,1,0,2,13,1,22.5,0,0,0,,0,0.0,96.0,93.5,2.5,0.125,0.111,0.5,102.63,0.8,0.2,0.154,0.231,0.308,0.154,0.5,0.5,0.52,0.28,0.187,0.143,4,5,2,2,5,2,3,12,2,6,NBA TV
2016-10-06,Jimmy Butler,CHI,IND,F,12:00,0.095,0.043,0.0,0.8,0.0,0.571,0.0,1.0,0.0,0.0,0.121,1,0.0,0,0,0.0,4,1.0,0,4,1,0,0,0,4,0,11.0,0,0,0,,0,0.0,113.0,114.7,-1.7,0.308,0.0,0.0,115.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.167,0.139,0.091,0,0,0,0,5,3,11,14,3,2,
2016-10-08,Jimmy Butler,CHI,IND,F,27:16,0.261,0.256,0.0,0.455,0.16,0.455,0.143,0.286,0.0,0.0,0.254,11,0.273,0,0,0.0,10,0.9,4,5,2,0,2,0,15,-4,29.25,0,0,0,,0,0.0,95.7,100.8,-5.2,0.333,0.08,0.273,109.29,1.0,0.0,0.4,0.0,0.333,0.267,0.333,0.667,0.532,0.362,0.176,0.13,5,0,0,4,16,5,19,32,5,10,
2016-10-17,Jimmy Butler,CHI,CHA,F,24:10,0.288,0.256,0.333,0.417,0.091,0.167,0.375,0.0,0.0,0.143,0.294,11,0.455,1,2,0.5,5,0.8,2,2,0,0,3,2,15,-6,19.0,0,0,0,,0,0.0,99.5,117.1,-17.6,0.143,0.048,0.5,99.3,0.818,0.182,0.533,0.2,0.133,0.4,0.4,0.6,0.487,0.579,0.123,0.227,2,2,3,6,12,5,11,14,5,5,NBA TV
2016-10-20,Jimmy Butler,CHI,ATL,F,32:42,0.243,0.235,0.188,0.421,0.111,0.353,0.125,0.167,0.0,0.0,0.295,16,0.313,1,3,0.333,8,0.875,4,6,1,0,1,0,18,-3,32.5,0,0,0,,0,0.0,83.2,89.6,-6.5,0.375,0.056,0.344,106.25,0.813,0.188,0.444,0.167,0.111,0.333,0.8,0.2,0.483,0.169,0.168,0.138,2,7,2,6,7,11,10,22,11,6,
2015-10-27,Jimmy Butler,CHI,CLE,G,36:38,0.193,0.209,0.143,0.278,0.156,0.2,0.0,0.4,0.1,0.053,0.215,14,0.429,0,2,0.0,5,1.0,5,2,2,1,0,1,17,3,31.75,9,51,34,0.0588,8,0.5,100.1,97.2,2.9,0.083,0.071,0.429,102.91,0.857,0.143,0.706,0.0,0.118,0.353,0.333,0.667,0.479,0.197,0.128,0.25,2,2,4,6,11,9,8,36,9,3,TNT
2015-10-28,Jimmy Butler,CHI,BKN,G,34:19,0.171,0.19,0.176,0.188,0.129,0.4,0.077,0.286,0.0,0.0,0.273,11,0.818,3,3,1.0,3,1.0,4,6,2,0,1,0,24,23,41.5,15,65,50,0.12,6,0.833,118.9,88.7,30.1,0.273,0.065,0.955,103.0,0.727,0.273,0.5,0.375,0.167,0.417,0.444,0.556,0.369,0.323,0.123,0.27,4,2,7,10,14,6,6,28,6,4,
2015-10-30,Jimmy Butler,CHI,DET,G,42:06,0.279,0.271,0.176,0.7,0.268,0.0,0.067,0.429,0.0,0.158,0.303,19,0.263,1,3,0.333,14,0.857,11,0,3,0,1,3,23,-2,42.75,19,75,46,0.0,13,0.154,88.6,87.5,1.1,0.0,0.124,0.289,99.72,0.842,0.158,0.348,0.13,0.217,0.261,0.8,0.2,0.42,0.284,0.146,0.313,5,4,0,6,15,14,10,42,14,8,
2015-11-01,Jimmy Butler,CHI,ORL,G,32:51,0.181,0.182,0.111,0.364,0.138,0.333,0.0,0.8,0.25,0.0,0.206,10,0.4,0,2,0.0,8,0.75,4,5,4,2,0,0,14,4,37.25,11,50,32,0.1563,6,0.5,97.6,87.7,9.9,0.278,0.069,0.4,104.23,0.8,0.2,0.571,0.0,0.286,0.429,0.25,0.75,0.426,0.132,0.137,0.273,4,2,0,6,5,12,12,34,12,7,
2015-11-03,Jimmy Butler,CHI,CHA,G,32:05,0.26,0.271,0.273,0.714,0.043,0.063,0.0,0.667,0.0,0.182,0.382,16,0.625,4,6,0.667,5,0.4,1,1,2,0,0,2,26,-19,34.5,4,49,31,0.0323,8,0.5,101.4,135.6,-34.2,0.059,0.018,0.75,98.17,0.625,0.375,0.462,0.462,0.115,0.231,0.5,0.5,0.627,0.237,0.078,0.231,3,5,0,6,12,7,6,26,7,4,
