DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-15,Joakim Noah,NYK,BOS,C,19:24,0.157,0.133,0.0,0.222,0.417,0.111,0.2,0.5,0.0,0.375,0.116,4,0.5,0,0,0.0,2,0.5,5,1,2,0,2,3,5,-7,15.5,0,0,0,,0,0.0,105.0,133.7,-28.7,0.071,0.227,0.5,96.94,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.717,0.333,0.16,0.25,2,0,2,4,12,2,11,8,2,2,NBA TV
2016-10-19,Joakim Noah,NYK,BOS,C,13:41,0.086,0.077,0.0,0.2,0.5,0.444,0.0,0.0,0.0,0.222,0.056,2,0.0,0,0,0.0,2,1.0,7,4,0,0,0,2,2,13,15.75,0,0,0,,0,0.0,118.4,83.6,34.8,0.308,0.28,0.0,101.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.381,0.218,0.214,0,0,0,0,6,3,2,6,3,3,ESPN
2016-10-20,Joakim Noah,NYK,BKN,C,20:51,0.256,0.209,0.0,0.667,0.273,0.25,0.4,0.0,0.333,0.571,0.245,9,0.667,0,0,0.0,2,0.0,6,3,0,1,4,4,12,4,23.25,0,0,0,,0,0.0,103.6,97.9,5.6,0.176,0.171,0.667,107.36,1.0,0.0,1.0,0.0,0.167,0.833,0.5,0.5,0.561,0.273,0.218,0.063,2,2,4,10,17,0,6,20,0,1,NBA TV
2015-10-27,Joakim Noah,CHI,CLE,,17:07,0.048,0.0,0.0,0.182,0.409,0.667,0.167,1.0,0.0,0.2,0.0,0,0.0,0,0,0.0,2,0.0,9,4,1,0,1,1,0,1,17.75,14,34,29,0.1379,0,0.0,91.8,88.1,3.8,0.364,0.237,0.0,98.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.147,0.085,0.182,0,0,0,0,9,6,5,8,6,5,TNT
2015-10-28,Joakim Noah,CHI,BKN,,17:46,0.138,0.103,0.0,0.333,0.375,0.286,0.182,0.333,1.0,0.385,0.0,3,0.0,0,0,0.0,2,0.0,6,2,2,1,2,5,0,-8,15.0,12,45,38,0.0526,3,0.0,82.8,99.6,-16.8,0.167,0.182,0.0,106.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.452,0.199,0.294,0,0,0,0,10,7,6,16,7,1,
2015-10-30,Joakim Noah,CHI,DET,,17:27,0.112,0.036,0.0,0.25,0.125,0.286,0.667,0.0,0.333,0.0,0.071,1,1.0,0,0,0.0,2,0.0,3,2,0,1,2,0,2,2,9.25,14,33,26,0.0769,1,1.0,86.1,68.1,18.0,0.2,0.07,1.0,97.23,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.295,0.128,0.052,0.185,0,0,0,2,2,2,2,10,2,2,
2015-11-01,Joakim Noah,CHI,ORL,,24:18,0.16,0.14,0.0,0.25,0.346,0.286,0.222,0.5,0.333,0.25,0.174,6,0.5,0,0,0.0,2,1.0,9,4,1,1,2,3,8,-3,27.25,14,60,51,0.0784,6,0.5,94.8,92.2,2.6,0.267,0.2,0.5,100.45,1.0,0.0,0.75,0.0,0.25,0.75,0.667,0.333,0.446,0.304,0.15,0.269,2,0,2,6,5,10,6,16,10,1,
2015-11-03,Joakim Noah,CHI,CHA,,17:03,0.136,0.034,0.0,0.0,0.5,0.25,0.571,0.0,0.0,0.4,0.0,1,0.0,0,0,0.0,0,0.0,5,2,0,0,4,4,0,-22,6.75,10,48,44,0.0455,1,0.0,94.8,154.4,-59.6,0.143,0.179,0.0,101.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726,0.387,0.083,0.25,0,0,0,0,16,3,2,14,3,0,
2015-11-05,Joakim Noah,CHI,OKC,,25:57,0.104,0.102,0.0,0.0,0.259,0.385,0.333,0.0,0.25,0.364,0.063,5,0.4,0,0,0.0,0,0.0,7,5,0,1,1,4,4,16,20.5,20,67,57,0.0877,5,0.4,121.8,93.5,28.3,0.227,0.137,0.4,94.35,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.389,0.267,0.139,0.25,2,0,2,4,2,9,2,16,9,1,TNT
2015-11-07,Joakim Noah,CHI,MIN,,24:41,0.174,0.15,0.0,0.182,0.478,0.538,0.25,0.333,0.2,0.364,0.063,6,0.167,0,0,0.0,2,0.5,11,7,1,1,3,4,3,-2,28.0,18,56,43,0.1628,6,0.167,92.6,96.2,-3.6,0.438,0.244,0.167,100.93,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.457,0.196,0.135,0.217,0,0,3,2,11,6,7,22,6,3,
2015-11-13,Joakim Noah,CHI,CHA,,22:53,0.094,0.098,0.0,0.143,0.545,0.429,0.0,1.0,0.333,0.273,0.06,4,0.25,0,0,0.0,2,0.5,18,6,1,1,0,3,3,11,37.0,24,59,50,0.12,3,0.333,115.8,84.9,31.0,0.353,0.353,0.25,93.48,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.356,0.2,0.044,0.172,0,0,3,2,2,4,2,8,4,2,
2015-11-16,Joakim Noah,CHI,IND,,21:04,0.169,0.179,0.0,0.111,0.316,0.308,0.0,0.167,0.0,0.222,0.186,7,0.571,0,0,0.0,1,0.0,6,4,1,0,0,2,8,-2,22.5,12,52,43,0.093,6,0.5,107.6,103.2,4.4,0.286,0.143,0.571,95.19,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.447,0.395,0.138,0.318,4,2,0,8,4,7,2,22,7,1,
2015-11-18,Joakim Noah,CHI,PHX,,20:08,0.104,0.056,0.0,0.0,0.44,0.2,0.333,0.0,1.0,0.333,0.0,2,0.0,0,0,0.0,0,0.0,11,2,0,1,3,3,0,5,16.75,20,65,56,0.0357,2,0.0,102.2,89.6,12.6,0.125,0.268,0.0,100.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423,0.256,0.071,0.174,0,0,0,0,5,5,9,18,5,1,ESPN
2015-11-20,Joakim Noah,CHI,GSW,,17:13,0.169,0.094,0.0,0.0,0.5,0.0,0.8,0.25,0.0,0.4,0.0,3,0.0,0,0,0.0,0,0.0,7,0,1,0,4,2,0,-15,8.75,15,46,37,0.0,3,0.0,86.8,135.3,-48.5,0.0,0.212,0.0,91.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.286,0.185,0.455,0,0,0,0,6,10,5,16,10,0,ESPN
2015-11-24,Joakim Noah,CHI,POR,,20:12,0.16,0.15,0.0,0.4,0.353,0.125,0.143,0.0,1.0,0.273,0.167,6,0.5,0,0,0.0,2,0.5,6,1,0,2,1,3,7,5,19.25,9,44,37,0.027,5,0.4,90.9,85.7,5.2,0.067,0.167,0.5,106.15,1.0,0.0,0.857,0.0,0.286,0.571,1.0,0.0,0.409,0.424,0.185,0.222,2,0,0,4,4,2,2,20,2,1,
2015-11-27,Joakim Noah,CHI,IND,,18:47,0.095,0.067,0.0,0.0,0.294,0.0,0.286,0.0,0.667,0.25,0.0,2,0.0,0,0,0.0,0,0.0,5,0,0,2,2,2,0,-6,9.25,12,38,34,0.0,1,0.0,77.0,87.9,-11.0,0.0,0.135,0.0,105.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.206,0.166,0.118,0,0,0,0,7,5,13,10,5,0,
2015-11-30,Joakim Noah,CHI,SAS,,23:06,0.131,0.13,0.0,0.2,0.379,0.583,0.0,0.0,0.0,0.385,0.178,6,0.667,0,0,0.0,2,0.0,11,7,0,0,0,5,8,10,30.5,16,57,46,0.1522,5,0.6,99.1,76.2,23.0,0.467,0.212,0.667,94.91,1.0,0.0,1.0,0.0,0.0,1.0,0.25,0.75,0.337,0.209,0.087,0.185,0,0,2,8,0,5,0,12,5,3,NBA TV
2015-12-02,Joakim Noah,CHI,DEN,,34:55,0.118,0.079,0.0,0.2,0.268,0.071,0.273,0.0,0.5,0.25,0.138,5,0.6,0,0,0.0,4,0.75,11,1,0,4,3,3,9,-3,30.5,22,70,58,0.0172,5,0.6,88.1,93.7,-5.6,0.048,0.145,0.6,100.64,1.0,0.0,0.667,0.0,0.222,0.667,0.333,0.667,0.448,0.224,0.083,0.179,2,0,6,6,15,11,15,32,11,3,
2015-12-05,Joakim Noah,CHI,CHA,,22:05,0.115,0.077,0.0,0.4,0.4,0.429,0.2,0.0,1.0,0.1,0.047,3,0.0,0,0,0.0,2,1.0,10,6,0,1,2,1,2,0,23.0,20,62,52,0.1154,3,0.0,99.5,99.1,0.5,0.333,0.222,0.0,94.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.238,0.115,0.32,0,0,2,0,10,13,6,14,13,1,
2015-12-07,Joakim Noah,CHI,PHX,,20:48,0.124,0.086,0.0,0.5,0.391,0.5,0.125,0.333,0.0,0.0,0.086,3,0.333,0,0,0.0,4,0.25,9,6,1,0,1,0,3,-1,23.25,14,47,40,0.15,3,0.333,86.4,80.2,6.2,0.429,0.243,0.333,98.55,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.447,0.053,0.156,0.056,0,0,1,2,7,8,3,18,8,2,
2015-12-09,Joakim Noah,CHI,BOS,,20:49,0.156,0.139,0.0,0.25,0.263,0.6,0.182,0.667,0.333,0.222,0.132,5,0.4,0,0,0.0,2,0.5,5,6,2,1,2,2,5,-18,23.75,13,49,41,0.1463,5,0.4,87.3,120.2,-32.9,0.462,0.139,0.4,103.93,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.538,0.385,0.129,0.294,2,0,3,4,17,8,6,34,8,1,ESPN
