DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Joe Ingles,UTA,POR,,16:55,0.081,0.087,0.143,0.2,0.154,0.111,0.0,0.667,0.0,0.0,0.118,2,0.5,0,1,0.0,2,1.0,2,1,4,0,0,0,4,8,15.75,0,0,0,,0,0.0,104.9,80.7,24.2,0.083,0.087,0.5,91.65,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.524,0.238,0.311,0.091,0,0,0,0,10,0,6,10,0,2,NBA TV
2016-10-05,Joe Ingles,UTA,PHX,,23:30,0.18,0.206,0.5,0.111,0.238,0.111,0.154,0.333,0.0,0.25,0.216,7,0.571,1,4,0.25,2,1.0,5,1,1,0,2,3,11,2,20.0,0,0,0,,0,0.0,98.2,93.3,4.9,0.071,0.119,0.643,106.66,0.429,0.571,0.545,0.273,0.0,0.545,0.75,0.25,0.44,0.16,0.152,0.333,0,4,2,6,11,8,11,32,8,2,NBA TV
2016-10-10,Joe Ingles,UTA,LAC,,29:02,0.114,0.119,0.125,0.074,0.139,0.2,0.133,0.333,0.0,0.059,0.082,5,0.4,0,1,0.0,2,0.5,5,1,2,0,2,1,5,8,15.5,0,0,0,,0,0.0,105.4,88.6,16.8,0.053,0.096,0.4,97.28,0.8,0.2,0.8,0.0,0.6,0.8,0.5,0.5,0.402,0.435,0.151,0.138,3,2,0,4,13,7,7,18,7,1,NBA TV
2016-10-12,Joe Ingles,UTA,PHX,,16:48,0.125,0.148,0.3,0.0,0.067,0.125,0.167,0.5,0.0,0.083,0.209,4,0.75,3,3,1.0,0,0.0,1,1,1,0,1,1,9,1,14.5,0,0,0,,0,0.0,113.0,105.7,7.3,0.111,0.033,1.125,111.09,0.25,0.75,0.0,1.0,0.333,0.0,0.667,0.333,0.457,0.371,0.101,0.278,3,0,0,0,10,9,11,26,9,0,NBA TV
2016-10-17,Joe Ingles,UTA,LAC,,19:20,0.085,0.088,0.154,0.0,0.056,0.364,0.111,0.2,0.0,0.1,0.049,3,0.333,0,2,0.0,0,0.0,1,4,1,0,1,1,2,5,9.75,0,0,0,,0,0.0,91.2,89.1,2.1,0.267,0.029,0.333,105.96,0.333,0.667,1.0,0.0,0.0,0.0,0.0,1.0,0.435,0.323,0.198,0.158,0,0,0,0,7,3,2,14,3,0,
2016-10-19,Joe Ingles,UTA,POR,,19:08,0.21,0.226,0.4,0.0,0.118,0.286,0.25,0.667,1.0,0.25,0.242,7,0.429,2,4,0.5,0,0.0,2,2,2,1,1,1,8,1,19.5,0,0,0,,0,0.0,91.5,87.3,4.1,0.25,0.054,0.571,91.22,0.429,0.571,0.25,0.75,0.75,0.25,0.667,0.333,0.422,0.188,0.136,0.167,6,0,0,2,5,0,4,16,0,2,
2015-10-28,Joe Ingles,UTA,DET,,16:23,0.127,0.148,0.2,0.0,0.167,0.0,0.0,0.0,0.0,0.111,0.121,4,0.5,0,1,0.0,0,0.0,2,0,0,0,0,1,4,-1,6.5,3,20,15,0.0,1,1.0,104.7,108.0,-3.3,0.0,0.063,0.5,92.29,0.75,0.25,1.0,0.0,0.0,0.5,0.0,1.0,0.357,0.607,0.064,0.333,0,0,0,2,0,4,2,14,4,0,
2015-10-30,Joe Ingles,UTA,PHI,,13:43,0.071,0.091,0.5,0.0,0.091,0.0,0.0,1.0,0.0,0.222,0.095,2,0.5,0,1,0.0,0,0.0,1,0,1,0,0,2,2,-5,5.25,1,21,19,0.0,0,0.0,77.5,103.8,-26.3,0.0,0.04,0.5,91.19,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.342,0.842,0.12,0.286,0,0,0,0,6,6,0,10,6,1,
2015-10-31,Joe Ingles,UTA,IND,,19:30,0.151,0.167,0.571,0.222,0.2,0.4,0.0,0.333,0.0,0.167,0.256,5,0.6,2,4,0.5,2,1.0,3,2,1,0,0,1,10,9,19.25,4,31,24,0.0833,2,0.5,102.7,79.4,23.3,0.167,0.103,0.8,93.19,0.2,0.8,0.2,0.6,0.3,0.0,0.333,0.667,0.45,0.133,0.238,0.176,3,0,0,0,6,7,2,16,7,2,
2015-11-04,Joe Ingles,UTA,POR,,21:02,0.067,0.097,0.2,0.0,0.333,0.5,0.0,0.333,0.0,0.1,0.106,3,0.667,1,2,0.5,0,0.0,5,2,1,0,0,1,5,-4,16.25,8,33,29,0.069,1,0.0,110.6,118.5,-7.9,0.143,0.167,0.833,97.58,0.333,0.667,0.4,0.6,0.0,0.0,0.5,0.5,0.625,0.444,0.139,0.316,0,0,0,0,5,8,2,18,8,0,
2015-11-05,Joe Ingles,UTA,DEN,,26:28,0.088,0.111,0.214,0.0,0.069,0.125,0.0,0.0,0.0,0.0,0.138,5,0.6,2,3,0.667,0,0.0,2,2,0,0,0,0,8,23,14.0,4,38,32,0.0625,2,0.5,114.4,70.6,43.8,0.111,0.038,0.8,90.97,0.4,0.6,0.25,0.75,0.0,0.25,1.0,0.0,0.31,0.357,0.141,0.207,0,2,0,2,4,4,6,12,4,1,
2015-11-07,Joe Ingles,UTA,MEM,,12:57,0.172,0.217,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.381,5,0.6,2,4,0.5,0,0.0,0,1,0,0,0,0,8,1,10.25,2,18,13,0.0769,1,1.0,77.8,81.8,-4.1,0.2,0.0,0.8,95.3,0.2,0.8,0.25,0.75,0.0,0.25,0.667,0.333,0.38,0.04,0.082,0.214,0,0,0,2,10,4,3,8,4,0,NBA TV
