DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Joffrey Lauvergne,OKC,FCB,,19:58,0.231,0.231,0.0,0.182,0.286,0.0,0.25,0.125,0.0,0.364,0.222,6,0.5,0,0,0.0,2,1.0,4,0,1,0,3,4,8,4,13.5,0,0,0,,0,0.0,90.4,79.0,11.4,0.0,0.148,0.5,96.59,1.0,0.0,0.75,0.0,0.25,0.75,0.667,0.333,0.481,0.296,0.296,0.154,2,0,0,6,8,4,0,6,4,1,NBA TV
2016-10-11,Joffrey Lauvergne,OKC,DAL,,25:33,0.221,0.188,0.05,0.467,0.214,0.059,0.222,0.2,0.0,0.2,0.227,9,0.556,0,1,0.0,7,0.714,6,1,1,0,2,3,15,8,24.75,0,0,0,,0,0.0,116.6,106.7,9.9,0.056,0.115,0.556,104.23,0.889,0.111,0.667,0.0,0.0,0.4,0.8,0.2,0.478,0.422,0.129,0.222,0,0,1,6,11,6,6,20,6,5,
2016-10-13,Joffrey Lauvergne,OKC,MEM,C,23:13,0.143,0.138,0.0,0.167,0.278,0.2,0.143,0.0,0.333,0.235,0.021,4,0.0,0,0,0.0,2,0.5,5,2,0,1,2,4,1,-4,10.75,0,0,0,,0,0.0,101.6,111.4,-9.8,0.143,0.156,0.0,95.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.556,0.087,0.158,0,0,0,0,17,7,7,14,7,3,
2016-10-16,Joffrey Lauvergne,OKC,MIN,,21:28,0.166,0.167,0.222,0.0,0.333,0.0,0.2,0.25,0.0,0.267,0.224,6,0.833,1,2,0.5,0,0.0,6,0,1,0,2,4,11,4,20.0,0,0,0,,0,0.0,108.4,99.6,8.8,0.0,0.182,0.917,101.02,0.667,0.333,0.727,0.273,0.364,0.545,1.0,0.0,0.515,0.412,0.199,0.211,4,2,2,6,9,6,6,18,6,0,
2016-10-18,Joffrey Lauvergne,OKC,DEN,,15:02,0.223,0.212,0.333,1.0,0.267,0.143,0.0,0.0,0.0,0.111,0.31,7,0.429,0,2,0.0,3,1.0,4,1,0,0,0,1,9,1,15.25,0,0,0,,0,0.0,89.7,79.1,10.6,0.1,0.125,0.429,108.11,0.714,0.286,0.667,0.0,0.444,0.667,0.667,0.333,0.355,0.323,0.198,0.412,4,0,6,6,6,11,5,10,11,4,
2015-10-28,Joffrey Lauvergne,DEN,HOU,C,21:33,0.145,0.156,0.143,0.2,0.292,0.067,0.091,0.0,0.167,0.3,0.216,5,0.8,1,1,1.0,2,1.0,7,1,0,1,1,3,11,16,23.0,15,32,24,0.0417,2,0.5,114.9,76.2,38.7,0.063,0.171,0.9,100.63,0.8,0.2,0.545,0.273,0.0,0.364,0.75,0.25,0.345,0.214,0.152,0.25,0,2,2,4,12,6,3,18,6,2,
2015-10-30,Joffrey Lauvergne,DEN,MIN,C,16:15,0.189,0.194,0.25,0.333,0.278,0.333,0.0,0.0,0.0,0.333,0.333,7,0.571,0,1,0.0,2,1.0,5,2,0,0,0,3,10,-5,18.75,10,35,28,0.0714,4,0.5,86.6,107.8,-21.2,0.25,0.139,0.571,99.13,0.857,0.143,0.8,0.0,0.0,0.8,0.5,0.5,0.346,0.654,0.123,0.313,0,2,6,8,3,4,4,14,4,2,
2015-11-01,Joffrey Lauvergne,DEN,OKC,C,18:50,0.157,0.167,0.2,0.125,0.412,0.375,0.125,0.25,0.0,0.5,0.324,6,0.667,2,2,1.0,1,1.0,7,3,1,0,1,3,11,-17,26.0,14,47,39,0.0769,2,0.5,83.9,118.4,-34.5,0.375,0.189,0.833,106.53,0.667,0.333,0.364,0.545,0.273,0.364,0.5,0.5,0.577,0.179,0.139,0.333,3,0,5,4,18,10,15,28,10,1,
2015-11-28,Joffrey Lauvergne,DEN,DAL,,8:19,0.106,0.083,0.333,0.0,0.333,0.0,0.167,0.0,0.0,0.4,0.0,1,0.0,0,1,0.0,0,0.0,2,0,0,0,1,2,0,-7,2.0,5,16,14,0.0,0,0.0,55.9,101.4,-45.5,0.0,0.154,0.0,99.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.364,0.239,0.0,0,0,0,0,6,0,4,8,0,0,NBA TV
2015-11-30,Joffrey Lauvergne,DEN,MIL,,19:05,0.242,0.321,0.0,0.5,0.353,0.167,0.0,0.0,0.0,0.1,0.318,9,0.333,0,0,0.0,2,0.5,6,1,0,0,0,1,7,-8,15.75,13,40,26,0.0385,7,0.429,59.8,80.0,-20.1,0.167,0.162,0.333,93.42,1.0,0.0,0.857,0.0,0.429,0.857,0.667,0.333,0.409,0.242,0.213,0.35,3,1,4,6,12,7,4,14,7,2,
