DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,John Henson,MIL,CHI,,13:23,0.064,0.048,0.0,0.0,0.083,0.0,0.143,0.333,1.0,0.125,0.0,1,0.0,0,0,0.0,0,0.0,1,0,1,1,1,1,0,0,4.75,0,0,0,,0,0.0,78.3,81.0,-2.7,0.0,0.04,0.0,99.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.824,0.221,0.182,0,0,0,0,8,1,2,8,1,0,NBA TV
2016-10-08,John Henson,MIL,DAL,,16:05,0.228,0.25,0.0,0.25,0.188,0.167,0.143,0.5,0.5,0.0,0.217,6,0.333,0,0,0.0,2,0.5,3,1,1,1,1,0,5,0,13.5,0,0,0,,0,0.0,70.7,71.4,-0.7,0.167,0.083,0.333,96.58,1.0,0.0,0.8,0.0,0.0,0.4,1.0,0.0,0.313,0.156,0.186,0.364,0,0,0,2,7,5,7,6,5,1,
2016-10-12,John Henson,MIL,IND,C,16:40,0.21,0.269,0.0,0.118,0.533,0.0,0.0,0.333,0.5,0.286,0.256,7,0.714,0,0,0.0,2,0.5,8,0,1,1,0,2,11,12,25.0,0,0,0,,0,0.0,121.2,95.0,26.2,0.0,0.32,0.714,98.09,1.0,0.0,0.909,0.0,0.364,0.909,0.6,0.4,0.5,0.231,0.153,0.071,4,2,2,10,3,2,0,12,2,2,
2016-10-15,John Henson,MIL,CHI,,19:48,0.118,0.108,0.0,0.4,0.125,0.167,0.0,0.0,0.667,0.5,0.194,4,0.75,0,0,0.0,2,0.5,2,2,0,2,0,4,7,4,16.0,0,0,0,,0,0.0,89.6,87.6,1.9,0.167,0.05,0.75,92.99,1.0,0.0,0.857,0.0,0.0,0.286,1.0,0.0,0.387,0.258,0.192,0.25,0,0,0,2,0,4,2,8,4,1,
2016-10-17,John Henson,MIL,DET,,11:12,0.168,0.182,0.0,1.0,0.4,0.0,0.0,0.5,0.0,0.714,0.15,4,0.25,0,0,0.0,1,1.0,4,0,1,0,0,5,3,-9,10.0,0,0,0,,0,0.0,93.3,136.3,-43.0,0.0,0.19,0.25,91.54,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.594,0.75,0.141,0.375,0,0,0,2,8,4,3,6,4,1,
2016-10-19,John Henson,MIL,IND,,18:18,0.247,0.231,0.0,0.5,0.059,0.0,0.2,0.0,0.4,0.167,0.323,6,0.5,0,0,0.0,4,1.0,1,0,0,2,2,1,10,3,14.25,0,0,0,,0,0.0,95.3,86.1,9.2,0.0,0.036,0.5,85.3,1.0,0.0,0.6,0.0,0.4,0.6,1.0,0.0,0.389,0.296,0.185,0.286,4,2,0,6,11,2,4,12,2,3,
2015-10-28,John Henson,MIL,NYK,,10:06,0.239,0.25,0.0,0.0,0.1,0.2,0.5,0.0,0.5,0.286,0.16,5,0.4,0,0,0.0,0,0.0,1,1,0,1,1,2,4,-1,8.0,8,16,10,0.1,3,0.333,124.5,124.0,0.5,0.167,0.048,0.4,97.59,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.45,0.45,0.143,0.545,0,0,0,4,2,5,4,8,5,0,
2015-11-06,John Henson,MIL,NYK,,23:15,0.318,0.3,0.0,0.467,0.25,0.077,0.25,0.333,0.75,0.1,0.4,12,0.667,0,0,0.0,7,0.857,5,1,1,3,1,1,22,9,37.0,14,41,25,0.04,10,0.6,126.1,96.2,30.0,0.077,0.139,0.667,94.39,1.0,0.0,0.727,0.0,0.136,0.727,0.625,0.375,0.44,0.262,0.146,0.316,3,0,7,16,2,13,7,22,13,5,
2015-11-07,John Henson,MIL,BKN,,8:44,0.273,0.294,0.0,0.0,0.4,0.2,0.2,0.0,0.5,0.6,0.235,5,0.4,0,0,0.0,0,0.0,4,1,0,1,1,3,4,4,11.75,6,18,12,0.0833,5,0.4,94.4,78.7,15.8,0.2,0.267,0.4,94.86,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.375,1.0,0.303,0.0,2,0,2,4,5,0,0,6,0,0,
2015-11-10,John Henson,MIL,BOS,,9:58,0.26,0.231,0.0,0.333,0.429,0.0,0.286,0.5,0.0,1.0,0.222,3,0.333,0,0,0.0,2,0.0,3,0,1,0,2,1,2,-22,6.75,4,18,12,0.0,3,0.333,43.6,144.6,-101.0,0.0,0.188,0.333,101.33,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.789,0.053,0.14,0.167,2,0,2,2,11,0,2,12,0,2,
2015-11-11,John Henson,MIL,DEN,,15:24,0.192,0.25,0.0,0.0,0.222,0.2,0.1,0.0,0.25,0.5,0.129,5,0.4,0,0,0.0,0,0.0,2,1,0,1,1,2,4,-7,9.25,4,22,17,0.0588,4,0.5,105.7,137.5,-31.8,0.1,0.1,0.4,88.77,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.569,0.207,0.072,0.462,0,0,0,4,15,7,4,14,7,0,
2015-11-14,John Henson,MIL,CLE,,21:17,0.143,0.128,0.0,0.286,0.273,0.125,0.167,1.0,0.75,0.333,0.162,5,0.6,0,0,0.0,2,0.0,6,1,1,3,1,3,6,-8,22.25,12,28,18,0.0556,5,0.6,92.3,112.3,-20.0,0.077,0.15,0.6,90.39,1.0,0.0,1.0,0.0,0.333,1.0,0.667,0.333,0.583,0.194,0.075,0.125,2,0,2,6,7,2,7,20,2,3,
2015-11-17,John Henson,MIL,WAS,,16:03,0.199,0.125,0.0,0.6,0.429,0.111,0.2,0.0,1.0,0.364,0.294,3,1.0,0,0,0.0,6,0.667,6,1,0,1,1,4,10,2,20.25,8,33,24,0.0417,3,1.0,108.3,102.4,5.8,0.1,0.214,1.0,93.67,1.0,0.0,0.6,0.0,0.3,0.6,0.667,0.333,0.409,0.955,0.064,0.143,3,0,3,6,7,0,3,10,0,3,NBA TV
2015-11-19,John Henson,MIL,CLE,,10:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,0,2,0,-15,2.0,2,9,9,0.0,0,0.0,72.2,126.1,-53.9,0.0,0.0,0.0,87.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.238,0.135,0.5,0,0,0,0,10,9,4,14,9,0,TNT
2015-11-21,John Henson,MIL,IND,,12:09,0.196,0.167,0.0,1.0,0.333,0.25,0.167,0.0,0.0,0.375,0.3,3,0.667,0,0,0.0,2,1.0,3,1,0,0,1,3,6,-8,10.5,5,15,10,0.1,3,0.667,80.4,94.9,-14.5,0.167,0.158,0.667,107.46,1.0,0.0,0.667,0.0,0.667,0.667,0.0,1.0,0.522,0.348,0.136,0.1,4,2,0,4,8,7,5,12,7,1,
2015-11-23,John Henson,MIL,DET,,8:02,0.403,0.364,0.0,0.0,0.2,0.2,0.667,0.0,0.0,0.5,0.133,4,0.25,0,0,0.0,0,0.0,1,1,0,0,2,4,2,-5,3.5,2,18,12,0.0833,4,0.25,100.8,110.6,-9.8,0.2,0.1,0.25,98.47,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.538,0.166,0.167,0,0,0,2,4,2,4,8,2,1,
2015-11-25,John Henson,MIL,SAC,,19:17,0.232,0.211,0.0,0.417,0.524,0.0,0.2,0.0,0.5,0.2,0.326,8,0.75,0,0,0.0,5,0.6,11,0,0,1,1,1,15,-5,30.25,17,36,24,0.0,6,0.667,117.1,140.1,-23.0,0.0,0.314,0.75,94.19,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.688,0.313,0.055,0.143,0,0,6,12,6,2,5,20,2,3,
2015-11-27,John Henson,MIL,ORL,,19:56,0.179,0.069,0.0,0.462,0.2,0.0,0.375,0.25,1.0,0.286,0.229,2,0.5,0,0,0.0,6,1.0,3,0,1,1,3,2,8,-7,14.25,5,28,19,0.0,2,0.5,83.9,98.8,-14.9,0.0,0.086,0.5,101.43,1.0,0.0,0.25,0.0,0.5,0.25,0.0,1.0,0.563,0.25,0.212,0.125,4,0,0,2,8,0,4,14,0,3,NBA TV
2015-11-29,John Henson,MIL,CHA,,17:47,0.152,0.094,0.0,0.0,0.217,0.0,0.75,0.0,1.0,0.286,0.1,3,0.333,0,0,0.0,0,0.0,5,0,0,1,3,2,2,-10,8.75,11,23,17,0.0,3,0.333,63.5,97.5,-34.1,0.0,0.119,0.333,84.09,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.483,0.138,0.098,0.167,0,0,2,2,9,5,1,8,5,1,
2015-11-30,John Henson,MIL,DEN,,23:18,0.196,0.189,0.0,0.364,0.333,0.167,0.125,0.25,0.75,0.222,0.182,7,0.571,0,0,0.0,4,0.0,7,2,1,3,1,2,8,15,26.75,14,48,33,0.0606,6,0.5,98.1,64.5,33.6,0.143,0.189,0.571,92.5,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.375,0.281,0.245,0.111,4,0,0,8,5,5,5,12,5,5,
2015-12-02,John Henson,MIL,SAS,,13:11,0.104,0.1,0.0,0.333,0.143,0.0,0.0,0.0,1.0,0.286,0.353,2,1.0,0,0,0.0,2,1.0,2,0,0,2,0,2,6,-7,12.5,9,12,9,0.0,2,1.0,66.3,87.8,-21.5,0.0,0.069,1.0,96.41,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.407,0.111,0.073,0.2,0,2,0,4,2,6,0,12,6,1,
2015-12-04,John Henson,MIL,DET,,14:37,0.212,0.2,0.0,0.0,0.167,0.0,0.25,0.333,0.75,0.3,0.32,5,0.8,0,0,0.0,0,0.0,3,0,1,3,2,3,8,-4,18.75,7,17,8,0.0,5,0.8,96.2,96.8,-0.6,0.0,0.115,0.8,91.94,1.0,0.0,1.0,0.0,0.25,1.0,0.75,0.25,0.479,0.375,0.134,0.154,2,0,2,8,12,0,3,6,0,0,
2015-12-05,John Henson,MIL,NYK,,14:46,0.255,0.222,0.0,0.545,0.438,0.333,0.167,0.0,0.5,0.667,0.154,6,0.167,0,0,0.0,6,0.333,7,2,0,1,1,4,4,-5,16.75,11,27,15,0.1333,6,0.167,81.7,98.0,-16.3,0.222,0.233,0.167,103.17,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.481,0.222,0.158,0.231,0,1,2,2,7,3,4,14,3,4,
2015-12-07,John Henson,MIL,POR,,20:51,0.107,0.094,0.0,0.267,0.35,0.143,0.0,0.0,1.0,0.0,0.229,3,1.0,0,0,0.0,4,0.5,7,1,0,4,0,0,8,-11,26.0,14,28,22,0.0455,2,1.0,90.7,105.7,-15.0,0.125,0.175,1.0,94.53,1.0,0.0,0.75,0.0,0.25,0.75,0.667,0.333,0.475,0.2,0.138,0.3,2,0,4,6,6,5,2,14,5,2,
2015-12-09,John Henson,MIL,LAC,,11:40,0.314,0.368,0.0,0.0,0.154,0.125,0.0,0.0,0.0,0.5,0.348,7,0.571,0,0,0.0,0,0.0,2,1,0,0,0,5,8,11,11.75,10,16,8,0.125,5,0.6,107.9,55.8,52.1,0.167,0.08,0.571,88.13,1.0,0.0,1.0,0.0,0.25,1.0,1.0,0.0,0.194,0.444,0.139,0.2,2,0,0,8,5,0,4,4,0,0,
2015-12-11,John Henson,MIL,TOR,,15:01,0.153,0.143,0.0,0.0,0.333,0.0,0.333,0.0,0.5,0.143,0.24,4,0.75,0,0,0.0,0,0.0,5,0,0,1,1,1,6,-4,13.75,9,19,15,0.0,4,0.75,97.0,107.6,-10.5,0.0,0.192,0.75,84.26,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.545,0.409,0.185,0.333,2,0,4,6,5,4,0,10,4,0,
2015-12-12,John Henson,MIL,GSW,,12:28,0.312,0.348,0.0,0.0,0.286,0.333,0.2,0.0,0.0,0.556,0.333,8,0.375,0,0,0.0,0,0.0,2,2,0,0,1,5,6,-4,10.5,8,19,8,0.25,7,0.429,62.3,83.3,-21.0,0.4,0.08,0.375,106.42,1.0,0.0,1.0,0.0,0.667,1.0,1.0,0.0,0.381,0.476,0.265,0.462,4,2,0,6,6,2,10,14,2,2,NBA TV
2015-12-15,John Henson,MIL,LAL,C,23:45,0.151,0.125,0.0,0.167,0.235,0.1,0.286,0.0,1.0,0.429,0.14,5,0.6,0,0,0.0,2,0.0,4,1,0,4,2,3,6,-15,19.25,13,38,28,0.0357,5,0.6,95.0,120.9,-26.0,0.071,0.098,0.6,94.22,1.0,0.0,1.0,0.0,0.0,0.333,1.0,0.0,0.556,0.2,0.167,0.474,0,0,0,2,9,15,8,22,15,1,
2015-12-16,John Henson,MIL,LAC,,20:55,0.181,0.2,0.0,0.0,0.32,0.0,0.143,0.0,0.75,0.0,0.233,8,0.625,0,0,0.0,0,0.0,8,0,0,3,1,0,10,7,25.5,13,31,21,0.0,7,0.571,105.8,95.6,10.2,0.0,0.211,0.625,89.82,1.0,0.0,1.0,0.0,0.2,1.0,0.4,0.6,0.485,0.182,0.133,0.158,2,0,6,10,6,4,0,14,4,0,
2015-12-18,John Henson,MIL,GSW,,2:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,3,0,-4,0.0,1,5,4,0.0,0,0.0,82.0,147.1,-65.1,0.0,0.0,0.0,117.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.184,0.5,0,0,0,0,0,2,0,4,2,0,
2015-12-20,John Henson,MIL,PHX,,22:02,0.115,0.1,0.0,0.286,0.273,0.182,0.0,0.5,0.8,0.167,0.167,4,0.75,0,0,0.0,4,0.5,6,2,1,4,0,2,8,0,28.0,18,39,31,0.0645,3,0.667,106.3,102.3,4.0,0.133,0.15,0.75,100.33,1.0,0.0,0.75,0.0,0.0,0.75,0.667,0.333,0.457,0.514,0.149,0.15,0,0,4,6,9,4,10,18,4,3,
2015-12-23,John Henson,MIL,PHI,,21:08,0.085,0.105,0.0,0.0,0.235,0.231,0.0,0.167,0.857,0.4,0.05,4,0.25,0,0,0.0,0,0.0,4,3,1,6,0,4,2,-2,24.75,10,24,19,0.1579,4,0.25,88.9,91.2,-2.3,0.167,0.111,0.25,103.39,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.485,0.485,0.195,0.167,0,2,0,2,8,6,9,16,6,0,
2015-12-26,John Henson,MIL,TOR,,14:56,0.281,0.28,0.0,0.333,0.091,0.0,0.25,0.0,0.75,0.0,0.423,7,0.714,0,0,0.0,2,0.5,1,0,0,3,1,0,11,-22,17.75,5,28,17,0.0,6,0.667,90.8,152.3,-61.5,0.0,0.042,0.714,96.69,1.0,0.0,0.909,0.0,0.182,0.909,1.0,0.0,0.732,0.286,0.032,0.111,2,2,0,10,10,3,4,18,3,3,
2015-12-29,John Henson,MIL,OKC,,25:08,0.111,0.115,0.0,0.0,0.261,0.158,0.167,0.0,1.0,0.2,0.107,6,0.667,0,0,0.0,0,0.0,6,3,0,5,1,3,8,6,28.75,15,33,25,0.12,5,0.6,133.3,117.8,15.4,0.115,0.14,0.667,109.66,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0.25,0.5,0.522,0.137,0.273,0,0,2,8,7,10,5,28,10,0,NBA TV
2015-12-31,John Henson,MIL,IND,,13:34,0.225,0.167,0.0,0.25,0.3,0.111,0.667,0.333,0.333,0.2,0.105,4,0.5,0,0,0.0,2,0.0,3,1,1,1,2,2,4,11,12.0,10,18,12,0.0833,4,0.5,138.1,93.6,44.5,0.077,0.15,0.5,99.7,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.476,0.524,0.208,0.3,0,0,2,4,3,8,5,6,8,1,
2016-01-02,John Henson,MIL,MIN,,21:01,0.235,0.212,0.0,0.5,0.182,0.1,0.143,0.0,0.333,0.2,0.385,7,0.857,0,0,0.0,6,0.5,4,1,0,1,1,1,15,8,22.75,13,22,12,0.0833,7,0.857,92.2,69.0,23.3,0.125,0.089,0.857,99.62,1.0,0.0,0.8,0.0,0.267,0.8,0.833,0.167,0.311,0.243,0.245,0.269,4,0,3,12,6,4,4,8,4,2,
2016-01-04,John Henson,MIL,SAS,,14:03,0.212,0.217,0.0,1.0,0.4,0.1,0.143,0.0,0.333,0.5,0.296,5,0.8,0,0,0.0,1,0.0,4,1,0,1,1,3,8,-10,15.75,8,25,18,0.0556,5,0.8,94.9,123.5,-28.6,0.111,0.182,0.8,99.76,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.537,0.333,0.067,0.273,0,0,0,4,12,8,5,12,8,2,
