DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,John Jenkins,PHX,UTA,,8:31,0.083,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,4,-0.5,0,0,0,,0,0.0,110.1,92.4,17.7,0.0,0.0,0.0,105.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.769,0.217,0.429,0,0,0,0,0,2,0,8,2,0,NBA TV
2016-10-07,John Jenkins,PHX,POR,,5:21,0.078,0.091,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.333,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,1,0,-9,1.25,0,0,0,,0,0.0,55.1,147.1,-91.9,0.0,0.077,0.0,94.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.556,0.0,0.25,0,0,0,0,2,0,0,8,0,0,
2015-10-28,John Jenkins,DAL,PHX,,3:39,0.113,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-10,0.0,0,3,2,0.0,0,0.0,38.1,160.9,-122.8,0.0,0.0,0.0,104.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.75,0.124,0.0,0,0,0,0,0,0,7,6,0,0,
2015-10-29,John Jenkins,DAL,LAC,G,35:18,0.227,0.235,0.19,0.143,0.146,0.188,0.2,0.0,0.0,0.056,0.283,16,0.5,0,4,0.0,1,1.0,6,3,0,0,2,1,17,-24,27.25,12,69,50,0.06,8,0.75,84.4,113.8,-29.4,0.167,0.074,0.5,98.5,0.75,0.25,0.941,0.0,0.0,0.471,0.625,0.375,0.522,0.299,0.068,0.184,0,0,2,8,13,8,18,34,8,1,TNT
2015-11-05,John Jenkins,DAL,CHA,,3:49,0.295,0.25,0.0,0.5,0.286,0.5,0.0,0.0,0.0,0.0,0.222,2,0.0,0,0,0.0,2,1.0,2,1,0,0,0,0,2,6,5.75,5,10,6,0.1667,1,0.0,102.7,37.5,65.2,0.5,0.182,0.0,105.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0,1,
2015-11-14,John Jenkins,DAL,HOU,,12:17,0.316,0.308,0.5,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.179,8,0.25,1,4,0.25,0,0.0,2,0,0,0,1,0,5,15,7.5,6,21,12,0.0,1,0.0,105.9,47.0,58.9,0.0,0.061,0.313,105.65,0.5,0.5,0.4,0.6,0.0,0.0,1.0,0.0,0.161,0.214,0.181,0.364,0,0,0,0,2,2,2,6,2,0,
2015-11-24,John Jenkins,DAL,MEM,,2:16,0.17,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1,0,1,0,0,1,2.75,0,3,2,0.5,0,0.0,102.0,100.0,2.0,0.5,0.0,0.0,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-28,John Jenkins,DAL,DEN,,2:26,0.379,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,1,1.0,0,0,0,0,2,0,1,-6,0.0,1,10,8,0.0,0,0.0,18.4,150.9,-132.5,0.0,0.0,0.0,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.216,0.0,0,0,0,0,4,2,4,2,2,0,NBA TV
2015-11-30,John Jenkins,DAL,SAC,,3:27,0.286,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,4,-2,4.0,0,4,1,0.0,2,1.0,142.9,177.5,-34.7,0.0,0.0,1.0,95.72,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.8,0.8,0.148,1.0,0,0,0,4,0,2,0,6,2,0,
2015-12-01,John Jenkins,DAL,POR,,8:34,0.056,0.071,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-2,0.0,1,6,5,0.0,0,0.0,113.4,114.6,-1.3,0.0,0.0,0.0,98.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.214,0.164,0.0,0,0,0,0,2,0,2,10,0,0,NBA TV
2015-12-06,John Jenkins,DAL,WAS,,19:59,0.078,0.094,0.125,0.0,0.048,0.0,0.0,0.0,0.0,0.5,0.093,3,0.667,1,2,0.5,0,0.0,1,0,0,0,0,3,5,15,6.75,1,7,4,0.0,1,1.0,155.9,109.8,46.1,0.0,0.033,0.833,84.26,0.333,0.667,0.4,0.6,0.4,0.0,1.0,0.0,0.565,0.258,0.084,0.105,2,0,0,0,6,5,7,14,5,0,
2015-12-07,John Jenkins,DAL,NYK,,11:38,0.286,0.318,0.5,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.269,7,0.429,1,3,0.333,0,0.0,1,0,0,0,0,0,7,6,8.75,2,16,9,0.0,3,0.333,110.9,73.2,37.7,0.0,0.043,0.5,104.72,0.571,0.429,0.571,0.429,0.714,0.571,1.0,0.0,0.37,0.13,0.146,0.077,5,2,0,4,2,4,2,10,4,0,
2015-12-18,John Jenkins,DAL,MEM,,1:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,2,2,0.0,0,0.0,0.0,200.0,-200.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,1.0,0,0,0,0,2,2,2,4,2,0,
2015-12-22,John Jenkins,DAL,TOR,,9:23,0.121,0.125,0.125,0.0,0.429,0.125,0.0,0.0,0.0,0.286,0.056,3,0.333,0,1,0.0,0,0.0,3,1,0,0,0,2,2,18,7.0,4,12,8,0.125,2,0.0,150.8,86.4,64.4,0.067,0.188,0.333,114.38,0.667,0.333,1.0,0.0,0.0,0.0,0.0,1.0,0.375,0.917,0.288,0.25,0,0,0,0,0,0,0,6,0,0,NBA TV
2015-12-23,John Jenkins,DAL,BKN,,13:15,0.193,0.2,0.167,0.2,0.1,0.0,0.167,1.0,0.0,0.0,0.083,4,0.25,0,1,0.0,1,1.0,1,0,1,0,1,0,3,7,5.75,2,10,4,0.0,2,0.0,137.4,102.0,35.4,0.0,0.05,0.25,98.97,0.75,0.25,0.667,0.0,0.0,0.667,1.0,0.0,0.438,0.031,0.07,0.429,0,0,0,2,7,11,10,10,11,0,
