DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-10,John Wall,WAS,NYK,G,15:37,0.264,0.273,0.286,0.0,0.176,0.8,0.333,0.2,0.0,0.25,0.205,9,0.444,0,2,0.0,0,0.0,3,4,1,0,2,1,8,11,17.75,0,0,0,,0,0.0,109.4,86.3,23.1,0.308,0.103,0.444,104.63,0.778,0.222,1.0,0.0,0.5,0.75,0.0,1.0,0.482,0.036,0.216,0.214,4,0,0,6,6,2,0,10,2,1,NBA TV
2016-10-13,John Wall,WAS,PHI,G,19:27,0.319,0.282,0.25,0.545,0.1,0.6,0.5,0.429,0.5,0.0,0.191,11,0.364,0,3,0.0,6,0.167,2,9,3,1,1,0,9,19,30.25,0,0,0,,0,0.0,109.7,67.8,41.9,0.6,0.05,0.364,103.8,0.727,0.273,0.889,0.0,0.556,0.889,0.5,0.5,0.32,0.48,0.291,0.056,5,7,0,8,0,2,8,6,2,4,
2016-10-15,John Wall,WAS,SAC,G,22:21,0.261,0.205,0.077,0.5,0.063,0.333,0.444,0.5,0.0,0.067,0.208,9,0.444,0,1,0.0,4,0.75,1,4,4,0,4,1,11,-1,23.25,0,0,0,,0,0.0,104.9,109.1,-4.2,0.235,0.029,0.444,107.38,0.889,0.111,0.727,0.0,0.364,0.182,0.5,0.5,0.632,0.5,0.243,0.286,4,2,0,2,10,4,9,28,4,3,
2016-10-18,John Wall,WAS,CLE,G,24:04,0.287,0.283,0.455,0.375,0.208,0.364,0.2,0.6,0.0,0.333,0.333,13,0.385,3,5,0.6,6,0.667,5,4,3,0,1,3,17,10,35.25,0,0,0,,0,0.0,92.7,72.9,19.8,0.286,0.098,0.5,111.01,0.615,0.385,0.235,0.529,0.118,0.235,0.4,0.6,0.407,0.279,0.213,0.16,2,2,5,4,2,4,9,18,4,4,
2016-10-21,John Wall,WAS,TOR,G,27:14,0.271,0.22,0.267,0.0,0.233,0.44,0.545,0.25,0.0,0.091,0.183,11,0.545,3,4,0.75,0,0.0,7,11,1,0,6,1,15,33,38.0,0,0,0,,0,0.0,142.0,86.4,55.6,0.393,0.152,0.682,100.89,0.636,0.364,0.4,0.6,0.133,0.0,0.5,0.5,0.375,0.25,0.123,0.242,2,0,0,0,11,7,6,26,7,1,
2015-10-28,John Wall,WAS,ORL,G,39:23,0.281,0.257,0.25,0.333,0.167,0.429,0.353,0.5,0.556,0.25,0.297,18,0.5,2,6,0.333,6,0.333,7,6,3,5,6,3,22,10,52.25,9,109,80,0.075,7,0.429,91.4,75.9,15.5,0.3,0.082,0.556,100.67,0.667,0.333,0.636,0.273,0.273,0.182,0.222,0.778,0.354,0.152,0.166,0.333,6,2,4,4,12,12,7,36,12,4,
2015-10-30,John Wall,WAS,MIL,G,33:53,0.252,0.208,0.235,0.4,0.04,0.476,0.278,0.5,0.5,0.063,0.224,10,0.4,1,4,0.25,10,1.0,1,10,2,1,5,1,19,3,36.75,3,99,75,0.1333,3,0.333,119.7,113.9,5.8,0.455,0.022,0.45,101.3,0.6,0.4,0.316,0.158,0.0,0.211,0.25,0.75,0.554,0.446,0.139,0.208,0,2,0,4,17,10,13,36,10,5,
2015-10-31,John Wall,WAS,NYK,G,35:45,0.269,0.254,0.267,0.423,0.091,0.308,0.214,0.125,1.0,0.136,0.305,17,0.471,2,4,0.5,11,0.636,3,4,1,2,3,3,25,-9,39.25,4,94,65,0.0615,9,0.444,94.9,108.7,-13.9,0.2,0.045,0.529,114.21,0.765,0.235,0.48,0.24,0.16,0.32,0.375,0.625,0.522,0.319,0.143,0.206,4,10,0,8,14,13,7,20,13,6,
2015-11-04,John Wall,WAS,SAS,G,35:20,0.253,0.235,0.25,0.556,0.08,0.591,0.25,0.444,0.333,0.231,0.202,16,0.375,1,5,0.2,5,0.8,2,13,4,1,1,3,17,14,45.75,6,100,77,0.1688,9,0.333,115.1,93.1,22.0,0.448,0.033,0.406,100.61,0.688,0.313,0.588,0.176,0.235,0.353,0.167,0.833,0.475,0.233,0.213,0.241,4,5,0,6,5,2,15,28,2,5,
2015-11-06,John Wall,WAS,BOS,G,28:28,0.346,0.298,0.176,0.125,0.167,0.471,0.615,0.5,0.375,0.308,0.191,17,0.353,0,3,0.0,1,1.0,5,8,3,3,8,4,13,4,37.25,7,84,58,0.1379,12,0.5,100.7,98.5,2.2,0.381,0.083,0.353,111.71,0.824,0.176,0.923,0.0,0.308,0.923,0.167,0.833,0.483,0.153,0.139,0.226,4,6,2,12,6,9,5,18,9,1,
2015-11-07,John Wall,WAS,ATL,G,36:16,0.291,0.271,0.333,0.385,0.056,0.524,0.318,0.286,0.333,0.125,0.244,16,0.375,2,6,0.333,5,1.0,2,11,2,1,7,2,19,-5,38.75,5,98,71,0.1549,6,0.5,96.6,102.8,-6.2,0.458,0.032,0.438,106.82,0.625,0.375,0.421,0.316,0.105,0.316,0.333,0.667,0.493,0.183,0.124,0.167,2,4,0,6,24,4,16,30,4,3,
2015-11-10,John Wall,WAS,OKC,G,25:04,0.213,0.245,0.154,0.063,0.1,0.625,0.0,0.4,0.0,0.222,0.17,13,0.308,0,2,0.0,1,1.0,2,5,2,0,0,2,9,-19,21.75,5,77,62,0.0806,6,0.333,91.3,132.9,-41.6,0.333,0.038,0.308,107.46,0.846,0.154,0.889,0.0,0.222,0.444,0.25,0.75,0.622,0.286,0.092,0.286,2,2,0,4,1,9,9,26,9,1,NBA TV
2015-11-14,John Wall,WAS,ORL,G,34:31,0.263,0.222,0.217,0.316,0.088,0.524,0.571,0.2,0.2,0.143,0.19,14,0.357,1,5,0.2,6,0.667,3,11,1,1,4,2,15,8,35.0,4,104,79,0.1392,6,0.5,109.2,96.6,12.6,0.478,0.044,0.393,101.4,0.643,0.357,0.533,0.2,0.2,0.267,0.2,0.8,0.467,0.283,0.136,0.125,3,4,2,4,9,4,17,40,4,5,
2015-11-17,John Wall,WAS,MIL,G,31:17,0.264,0.204,0.294,0.3,0.194,0.474,0.556,0.0,0.0,0.077,0.241,10,0.7,2,5,0.4,6,0.5,6,9,0,0,5,1,19,30,36.25,6,95,75,0.12,6,1.0,127.8,80.3,47.6,0.429,0.122,0.8,94.23,0.5,0.5,0.526,0.316,0.211,0.421,0.429,0.571,0.466,0.364,0.213,0.103,4,4,2,8,11,4,2,12,4,4,NBA TV
2015-11-21,John Wall,WAS,DET,G,27:04,0.212,0.224,0.222,0.0,0.083,0.7,0.2,0.5,0.0,0.375,0.178,11,0.364,0,2,0.0,0,0.0,2,7,2,0,2,3,8,-20,22.25,4,72,55,0.1273,5,0.4,84.6,126.5,-41.9,0.438,0.041,0.364,92.75,0.818,0.182,1.0,0.0,0.25,0.75,0.0,1.0,0.62,0.217,0.117,0.238,2,4,0,6,8,8,8,32,8,1,NBA TV
2015-11-24,John Wall,WAS,IND,G,30:32,0.246,0.161,0.19,0.278,0.16,0.313,0.571,0.0,0.0,0.214,0.265,9,0.556,3,4,0.75,5,1.0,4,5,0,0,8,3,18,-24,26.75,7,86,66,0.0758,4,0.5,98.7,138.6,-40.0,0.278,0.08,0.722,106.33,0.556,0.444,0.222,0.5,0.167,0.111,0.8,0.2,0.819,0.404,0.211,0.158,3,5,3,2,18,5,14,18,5,3,
2015-11-25,John Wall,WAS,CHA,G,35:33,0.279,0.273,0.241,0.0,0.156,0.4,0.417,0.667,0.0,0.143,0.192,18,0.333,2,7,0.286,0,0.0,5,6,6,0,5,2,14,-2,38.25,7,106,79,0.0759,8,0.375,100.8,102.3,-1.5,0.286,0.074,0.389,98.35,0.611,0.389,0.571,0.429,0.286,0.429,0.5,0.5,0.5,0.19,0.177,0.267,4,6,0,6,14,13,2,28,13,1,
2015-11-27,John Wall,WAS,BOS,G,29:16,0.21,0.216,0.182,0.188,0.148,0.667,0.2,0.0,0.0,0.071,0.217,11,0.364,0,2,0.0,3,0.667,4,6,0,0,3,1,10,-27,21.0,6,81,57,0.1053,3,0.333,70.7,115.8,-45.1,0.545,0.061,0.364,105.03,0.818,0.182,0.8,0.0,0.0,0.4,0.25,0.75,0.492,0.262,0.143,0.424,0,2,3,4,13,20,7,30,20,3,
2015-11-28,John Wall,WAS,TOR,G,39:09,0.353,0.373,0.25,0.381,0.097,0.294,0.231,0.3,0.0,0.154,0.273,25,0.24,1,4,0.25,8,0.625,3,5,3,0,3,2,18,-2,33.0,8,108,72,0.0694,13,0.154,81.2,89.0,-7.8,0.294,0.043,0.26,96.64,0.84,0.16,0.556,0.167,0.0,0.333,0.5,0.5,0.517,0.172,0.262,0.207,0,0,2,6,12,2,12,22,2,4,
2015-12-01,John Wall,WAS,CLE,G,40:56,0.359,0.343,0.185,0.455,0.111,0.526,0.417,0.714,0.0,0.158,0.438,24,0.583,3,5,0.6,5,0.8,4,10,5,0,5,3,35,18,61.5,8,110,76,0.1316,10,0.7,94.3,72.9,21.4,0.556,0.053,0.646,99.6,0.792,0.208,0.629,0.257,0.371,0.457,0.286,0.714,0.343,0.239,0.223,0.19,13,6,3,16,8,6,8,18,6,5,NBA TV
2015-12-02,John Wall,WAS,LAL,G,36:19,0.338,0.302,0.3,0.545,0.233,0.55,0.357,0.286,0.0,0.077,0.4,19,0.579,3,6,0.5,12,0.75,7,11,2,0,5,1,34,7,59.5,9,101,68,0.1618,9,0.556,102.8,97.7,5.1,0.55,0.108,0.658,107.36,0.684,0.316,0.471,0.265,0.088,0.294,0.182,0.818,0.435,0.29,0.163,0.297,3,10,3,10,22,10,12,32,10,8,
2015-12-04,John Wall,WAS,PHX,G,37:03,0.249,0.203,0.211,0.333,0.2,0.6,0.368,0.25,0.0,0.176,0.221,13,0.385,2,4,0.5,6,0.833,6,9,2,0,7,3,17,-1,37.25,9,104,76,0.1184,7,0.429,98.8,103.0,-4.2,0.391,0.1,0.462,99.55,0.692,0.308,0.353,0.353,0.353,0.235,0.2,0.8,0.556,0.206,0.251,0.414,6,2,0,4,11,8,8,26,8,6,
2015-12-06,John Wall,WAS,DAL,G,40:08,0.28,0.278,0.125,0.286,0.133,0.5,0.286,0.714,0.0,0.111,0.308,22,0.545,0,3,0.0,4,1.0,4,10,5,0,2,2,28,-5,54.5,8,103,76,0.1316,15,0.6,105.6,115.5,-9.9,0.4,0.058,0.545,101.21,0.864,0.136,0.857,0.0,0.143,0.571,0.083,0.917,0.578,0.359,0.156,0.143,4,12,4,16,8,7,6,24,7,5,
2015-12-07,John Wall,WAS,MIA,G,38:20,0.196,0.169,0.077,0.438,0.031,0.35,0.25,0.143,0.0,0.0,0.265,13,0.692,1,1,1.0,7,1.0,1,7,1,0,2,0,26,17,37.5,3,81,58,0.1207,8,0.625,120.9,109.4,11.5,0.233,0.018,0.731,97.09,0.923,0.077,0.615,0.115,0.308,0.462,0.0,1.0,0.657,0.296,0.176,0.0,8,4,0,12,12,0,11,46,0,7,
2015-12-09,John Wall,WAS,HOU,G,39:27,0.302,0.32,0.174,0.118,0.225,0.706,0.308,0.375,1.0,0.158,0.317,24,0.5,0,4,0.0,2,1.0,9,12,3,1,4,3,26,-1,58.25,14,110,71,0.169,13,0.538,94.8,98.9,-4.1,0.6,0.118,0.5,103.66,0.833,0.167,0.923,0.0,0.308,0.615,0.167,0.833,0.538,0.277,0.191,0.139,8,12,0,16,13,4,15,32,4,5,
2015-12-11,John Wall,WAS,NOP,G,36:37,0.328,0.29,0.261,0.455,0.269,0.545,0.5,0.143,0.0,0.143,0.329,18,0.556,3,6,0.5,5,0.6,7,12,1,0,5,2,26,2,50.75,9,101,72,0.1667,7,0.571,108.5,106.9,1.6,0.571,0.119,0.639,94.95,0.667,0.333,0.538,0.346,0.231,0.308,0.3,0.7,0.56,0.276,0.167,0.185,6,1,0,8,13,9,7,16,9,4,
2015-12-12,John Wall,WAS,DAL,G,38:25,0.277,0.275,0.167,0.25,0.172,0.552,0.3,0.25,0.4,0.125,0.271,19,0.526,3,4,0.75,3,1.0,5,16,1,2,3,2,26,3,58.25,9,103,76,0.2105,8,0.5,119.6,119.4,0.2,0.593,0.076,0.605,98.82,0.789,0.211,0.538,0.346,0.154,0.308,0.4,0.6,0.543,0.257,0.128,0.286,4,6,3,8,15,10,12,30,10,2,
2015-12-14,John Wall,WAS,MEM,G,28:28,0.228,0.216,0.438,0.0,0.087,0.643,0.4,0.0,0.0,0.0,0.125,11,0.182,2,7,0.286,0,0.0,2,9,0,0,4,0,6,-17,18.75,2,87,66,0.1364,3,0.0,80.2,114.3,-34.1,0.529,0.042,0.273,98.41,0.364,0.636,0.0,1.0,0.0,0.0,1.0,0.0,0.656,0.042,0.193,0.15,0,0,0,0,16,4,7,26,4,0,
2015-12-16,John Wall,WAS,SAS,G,38:05,0.311,0.265,0.3,0.421,0.147,0.579,0.556,0.2,0.0,0.091,0.253,18,0.333,1,3,0.333,8,0.875,5,11,1,0,5,1,20,0,40.0,9,106,74,0.1486,7,0.286,102.1,104.9,-2.8,0.458,0.077,0.361,96.18,0.833,0.167,0.5,0.15,0.2,0.3,0.333,0.667,0.538,0.185,0.133,0.161,4,6,2,6,6,12,9,30,12,6,
2015-12-19,John Wall,WAS,CHA,G,41:44,0.346,0.3,0.263,0.316,0.114,0.571,0.615,0.3,0.333,0.083,0.29,21,0.476,2,5,0.4,6,0.833,4,12,3,1,8,1,27,8,52.0,5,112,77,0.1558,11,0.545,107.7,96.5,11.1,0.5,0.048,0.524,100.29,0.762,0.238,0.593,0.222,0.074,0.296,0.2,0.8,0.434,0.193,0.182,0.375,2,4,0,8,14,19,8,46,19,4,NBA TV
2015-12-21,John Wall,WAS,SAC,G,39:20,0.254,0.214,0.13,0.333,0.061,0.633,0.5,0.571,0.0,0.214,0.121,15,0.267,1,3,0.333,3,1.0,2,19,4,0,5,3,12,27,44.25,4,106,81,0.2346,8,0.25,122.3,86.7,35.6,0.543,0.029,0.3,100.09,0.8,0.2,0.5,0.25,0.167,0.5,0.0,1.0,0.395,0.211,0.157,0.302,2,4,0,6,2,14,10,32,14,3,
2015-12-23,John Wall,WAS,MEM,G,37:23,0.281,0.269,0.318,0.25,0.139,0.636,0.364,0.5,0.5,0.059,0.179,18,0.278,2,7,0.286,2,1.0,5,14,1,1,4,1,14,8,40.75,6,95,69,0.2029,6,0.167,112.2,102.1,10.1,0.538,0.078,0.333,88.65,0.611,0.389,0.429,0.429,0.143,0.143,0.4,0.6,0.491,0.429,0.117,0.2,2,2,0,2,10,9,2,22,9,4,
2015-12-26,John Wall,WAS,BKN,G,34:14,0.273,0.279,0.15,0.214,0.129,0.542,0.273,0.167,0.4,0.077,0.265,17,0.529,2,3,0.667,3,0.667,4,13,1,2,3,1,22,14,48.75,7,104,79,0.1646,11,0.455,116.6,96.5,20.2,0.565,0.061,0.588,100.03,0.824,0.176,0.636,0.273,0.273,0.364,0.333,0.667,0.485,0.118,0.182,0.351,6,6,2,8,9,10,4,40,10,4,
2015-12-28,John Wall,WAS,LAC,G,36:06,0.349,0.329,0.1,0.273,0.156,0.647,0.5,0.143,1.0,0.1,0.348,23,0.435,1,2,0.5,3,0.667,5,11,1,1,6,1,23,-13,44.5,8,110,74,0.1486,13,0.385,84.8,106.4,-21.6,0.688,0.078,0.457,101.13,0.913,0.087,0.783,0.13,0.565,0.261,0.3,0.7,0.592,0.2,0.162,0.115,13,5,4,6,12,5,7,30,5,3,
2015-12-30,John Wall,WAS,TOR,G,40:48,0.296,0.303,0.3,0.235,0.189,0.55,0.286,0.625,0.25,0.143,0.244,23,0.348,0,6,0.0,4,0.75,7,11,5,1,2,3,19,-4,52.5,12,108,79,0.1392,12,0.333,93.4,92.3,1.1,0.524,0.081,0.348,101.36,0.739,0.261,0.842,0.0,0.211,0.421,0.375,0.625,0.377,0.522,0.191,0.302,4,5,2,8,12,19,12,26,19,3,
2016-01-01,John Wall,WAS,ORL,G,38:58,0.301,0.257,0.136,0.667,0.056,0.65,0.556,0.25,0.333,0.143,0.304,19,0.526,0,3,0.0,4,1.0,2,13,2,1,5,1,24,5,46.25,4,99,70,0.1857,10,0.6,105.8,97.1,8.7,0.542,0.03,0.526,92.9,0.842,0.158,0.833,0.0,0.083,0.5,0.2,0.8,0.53,0.076,0.171,0.167,2,6,2,12,12,8,10,32,8,4,
