DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Jon Leuer,DET,BKN,,21:12,0.255,0.286,0.222,0.25,0.056,0.273,0.167,0.0,0.5,0.0,0.324,10,0.6,0,2,0.0,1,0.0,1,3,0,1,2,0,12,-9,18.0,0,0,0,,0,0.0,82.7,113.5,-30.9,0.273,0.03,0.6,96.54,0.8,0.2,1.0,0.0,0.167,0.667,0.667,0.333,0.609,0.25,0.197,0.176,2,2,2,8,16,5,0,18,5,1,
2016-10-10,Jon Leuer,DET,SAS,,28:54,0.219,0.245,0.308,0.0,0.227,0.455,0.143,0.0,0.0,0.25,0.292,13,0.462,2,4,0.5,0,0.0,5,5,0,0,1,2,14,2,27.0,0,0,0,,0,0.0,82.8,83.9,-1.1,0.357,0.094,0.538,93.67,0.692,0.308,0.571,0.429,0.286,0.571,0.667,0.333,0.402,0.239,0.201,0.304,4,4,2,8,5,2,3,12,2,0,
2016-10-13,Jon Leuer,DET,ATL,F,30:58,0.17,0.18,0.25,0.074,0.281,0.3,0.214,0.2,0.5,0.1,0.103,9,0.222,1,3,0.333,2,0.5,9,3,1,1,3,1,6,-6,24.0,0,0,0,,0,0.0,86.7,97.0,-10.3,0.2,0.155,0.278,102.95,0.667,0.333,0.333,0.5,0.0,0.0,0.5,0.5,0.509,0.158,0.167,0.207,0,0,2,0,12,2,10,22,2,1,
2016-10-15,Jon Leuer,DET,PHI,,17:47,0.337,0.333,0.4,0.143,0.316,0.286,0.6,0.0,0.0,0.182,0.308,10,0.3,0,2,0.0,2,1.0,6,2,0,0,3,2,8,-3,16.5,0,0,0,,0,0.0,76.1,78.1,-2.0,0.333,0.167,0.3,96.2,0.8,0.2,0.75,0.0,0.25,0.5,0.667,0.333,0.262,1.095,0.242,0.2,2,2,2,4,5,5,3,6,5,1,
2016-10-17,Jon Leuer,DET,MIL,F,24:51,0.056,0.051,0.0,0.167,0.12,0.0,0.0,0.6,0.0,0.182,0.065,2,0.5,0,0,0.0,2,1.0,3,0,3,0,0,2,4,17,13.75,0,0,0,,0,0.0,131.1,89.7,41.4,0.0,0.064,0.5,94.11,1.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.384,0.326,0.179,0.276,2,2,0,0,9,4,4,22,4,2,
2016-10-19,Jon Leuer,DET,TOR,,23:26,0.245,0.257,0.182,0.077,0.176,0.091,0.3,0.0,0.0,0.333,0.234,9,0.556,0,2,0.0,1,1.0,3,1,0,0,3,3,11,-9,14.5,0,0,0,,0,0.0,94.5,109.2,-14.7,0.091,0.075,0.556,103.44,0.778,0.222,0.909,0.0,0.273,0.727,1.0,0.0,0.479,0.25,0.117,0.333,3,0,0,8,16,13,7,26,13,2,
2015-10-28,Jon Leuer,PHX,DAL,,20:13,0.224,0.237,0.3,0.571,0.35,0.5,0.0,0.0,0.5,0.273,0.326,9,0.556,1,3,0.333,4,0.75,7,3,0,1,0,3,14,1,29.0,9,49,36,0.0833,3,0.667,99.8,105.4,-5.6,0.231,0.184,0.611,98.47,0.667,0.333,0.571,0.214,0.143,0.286,0.4,0.6,0.529,0.324,0.1,0.167,2,0,3,4,7,4,10,22,4,3,
2015-10-30,Jon Leuer,PHX,POR,,14:36,0.103,0.12,0.0,0.25,0.381,0.286,0.0,0.0,0.0,0.333,0.032,3,0.0,0,0,0.0,2,0.5,8,2,0,0,0,2,1,5,13.5,11,25,21,0.0952,2,0.0,87.3,78.6,8.7,0.167,0.235,0.0,112.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.226,0.091,0.174,0,1,0,0,8,5,7,12,5,3,
2015-10-31,Jon Leuer,PHX,POR,,21:54,0.139,0.156,0.176,0.0,0.421,0.143,0.1,0.0,0.0,0.222,0.211,7,0.429,2,3,0.667,0,0.0,8,1,0,0,1,2,8,-8,19.75,14,49,39,0.0256,2,0.0,70.8,99.4,-28.6,0.091,0.182,0.571,109.53,0.571,0.429,0.25,0.75,0.25,0.25,1.0,0.0,0.571,0.343,0.216,0.211,2,2,0,2,6,8,9,22,8,0,
2015-11-02,Jon Leuer,PHX,LAC,,11:32,0.139,0.16,0.222,0.0,0.231,0.0,0.0,1.0,0.0,0.143,0.304,4,0.75,1,2,0.5,0,0.0,3,0,1,0,0,1,7,1,13.25,8,24,19,0.0,0,0.0,96.8,99.6,-2.8,0.0,0.13,0.875,95.39,0.5,0.5,0.571,0.429,0.0,0.286,0.667,0.333,0.471,0.412,0.091,0.0,0,0,2,2,2,0,4,10,0,0,
