DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jonas Jerebko,BOS,PHI,,21:12,0.156,0.158,0.375,0.167,0.176,0.0,0.143,0.0,0.667,0.667,0.111,6,0.167,0,3,0.0,1,1.0,3,0,0,2,1,4,3,-19,10.25,0,0,0,,0,0.0,59.2,104.1,-44.9,0.0,0.071,0.167,101.71,0.5,0.5,0.667,0.0,1.0,0.667,1.0,0.0,0.554,0.135,0.226,0.25,3,3,0,2,12,14,4,22,14,1,
2016-10-06,Jonas Jerebko,BOS,CHA,,10:53,0.333,0.263,0.286,0.0,0.2,0.5,0.6,0.0,0.0,0.667,0.25,5,0.4,1,2,0.5,0,0.0,2,1,0,0,3,6,5,-5,7.75,0,0,0,,0,0.0,90.9,117.9,-27.0,0.143,0.125,0.5,95.26,0.6,0.4,0.4,0.6,0.0,0.4,0.5,0.5,0.647,0.294,0.094,0.0,0,0,3,2,6,0,0,10,0,2,
2016-10-08,Jonas Jerebko,BOS,CHA,,17:28,0.186,0.161,0.3,0.222,0.133,0.0,0.5,0.0,0.5,0.182,0.179,5,0.4,1,3,0.333,2,1.0,2,0,0,1,1,2,7,9,11.5,0,0,0,,0,0.0,111.6,83.4,28.1,0.0,0.061,0.5,97.45,0.4,0.6,0.286,0.429,0.0,0.0,0.5,0.5,0.375,0.281,0.111,0.235,0,0,2,0,2,6,2,16,6,1,NBA TV
2016-10-13,Jonas Jerebko,BOS,BKN,,16:01,0.187,0.185,0.5,0.154,0.455,0.3,0.25,0.333,0.0,0.2,0.316,5,0.8,3,4,0.75,2,0.5,5,3,1,0,1,1,12,3,25.0,0,0,0,,0,0.0,109.4,97.5,11.9,0.3,0.2,1.1,105.79,0.2,0.8,0.167,0.75,0.5,0.0,0.75,0.25,0.532,0.065,0.195,0.25,6,0,6,0,5,3,0,18,3,1,
2016-10-15,Jonas Jerebko,BOS,NYK,,16:57,0.13,0.154,0.2,0.118,0.091,0.5,0.0,0.0,0.0,0.091,0.054,4,0.25,0,1,0.0,2,0.0,1,2,0,0,0,1,2,6,5.75,0,0,0,,0,0.0,107.3,84.4,22.9,0.167,0.04,0.25,100.81,0.75,0.25,1.0,0.0,0.0,1.0,1.0,0.0,0.375,0.464,0.218,0.385,0,0,0,2,8,7,4,14,7,2,NBA TV
2016-10-17,Jonas Jerebko,BOS,BKN,,18:20,0.111,0.143,0.154,0.0,0.333,0.0,0.0,0.333,0.0,0.5,0.075,5,0.2,1,2,0.5,0,0.0,7,0,1,0,0,4,3,0,14.25,0,0,0,,0,0.0,99.5,99.5,0.0,0.0,0.184,0.3,105.25,0.6,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.529,0.143,0.149,0.158,0,0,0,0,8,2,11,16,2,1,
2016-10-19,Jonas Jerebko,BOS,NYK,F,15:42,0.178,0.185,0.222,0.2,0.222,0.0,0.143,0.0,0.0,0.25,0.154,5,0.4,0,2,0.0,1,0.0,2,0,0,0,1,3,4,-19,6.0,0,0,0,,0,0.0,80.7,138.0,-57.3,0.0,0.069,0.4,99.1,0.6,0.4,1.0,0.0,0.5,1.0,1.0,0.0,0.583,0.5,0.123,0.615,2,0,2,4,10,12,9,22,12,4,ESPN
2015-10-28,Jonas Jerebko,BOS,PHI,,15:02,0.194,0.25,0.2,0.0,0.25,0.231,0.0,0.0,0.5,0.167,0.132,7,0.286,1,2,0.5,0,0.0,3,3,0,1,0,1,5,14,15.0,6,26,18,0.1667,4,0.25,111.5,70.4,41.1,0.25,0.111,0.357,108.84,0.714,0.286,0.4,0.6,0.0,0.4,1.0,0.0,0.333,0.259,0.264,0.333,0,0,0,2,5,4,5,10,4,2,
2015-10-30,Jonas Jerebko,BOS,TOR,,8:04,0.14,0.077,0.2,0.333,0.286,0.0,0.2,0.0,0.0,0.0,0.167,1,0.0,0,1,0.0,2,1.0,2,0,0,0,1,0,2,-6,4.0,6,9,6,0.0,0,0.0,64.4,90.0,-25.6,0.0,0.118,0.0,114.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.0,0.25,0.286,0,0,0,0,8,2,0,8,2,1,
2015-11-01,Jonas Jerebko,BOS,SAS,,13:40,0.139,0.13,0.0,0.0,0.222,0.0,0.2,0.0,0.0,0.429,0.231,3,1.0,0,0,0.0,0,0.0,2,0,0,0,1,3,6,-4,8.0,5,13,10,0.0,3,1.0,90.0,96.5,-6.5,0.0,0.095,1.0,105.3,1.0,0.0,1.0,0.0,0.0,1.0,0.333,0.667,0.5,0.259,0.097,0.182,0,0,0,6,3,4,3,18,4,0,
2015-11-04,Jonas Jerebko,BOS,IND,,15:32,0.083,0.077,0.0,0.0,0.235,0.0,0.111,0.0,0.0,0.167,0.133,2,1.0,0,0,0.0,0,0.0,4,0,0,0,1,2,4,-1,8.5,10,15,12,0.0,2,1.0,95.8,98.1,-2.3,0.0,0.133,1.0,97.19,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.404,0.577,0.158,0.333,0,0,0,2,9,4,2,8,4,1,
2015-11-06,Jonas Jerebko,BOS,WAS,,19:52,0.118,0.075,0.0,0.364,0.269,0.0,0.25,0.0,0.0,0.2,0.12,3,0.333,0,0,0.0,4,1.0,7,0,0,0,1,2,6,18,14.25,11,28,20,0.0,1,0.0,122.4,73.2,49.2,0.0,0.171,0.333,102.19,1.0,0.0,0.333,0.0,0.333,0.0,1.0,0.0,0.333,0.394,0.183,0.143,2,0,2,0,2,4,7,12,4,3,
2015-11-10,Jonas Jerebko,BOS,MIL,,15:05,0.107,0.08,0.143,0.143,0.111,0.333,0.25,0.0,0.333,0.5,0.146,2,1.0,1,1,1.0,1,1.0,1,3,0,1,1,3,6,17,13.0,5,24,19,0.1579,1,1.0,141.0,82.5,58.5,0.214,0.056,1.25,92.54,0.5,0.5,0.333,0.5,0.0,0.333,1.0,0.0,0.556,0.389,0.378,0.333,0,0,0,2,5,4,2,10,4,2,
2015-11-11,Jonas Jerebko,BOS,IND,,16:26,0.028,0.038,0.0,0.0,0.2,0.143,0.0,0.0,0.0,0.273,0.0,1,0.0,0,0,0.0,0,0.0,2,1,0,0,0,3,0,-10,3.75,2,28,25,0.04,1,0.0,95.3,110.3,-15.0,0.083,0.1,0.0,101.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738,0.667,0.269,0.0,0,0,0,0,8,0,4,16,0,1,
2015-11-13,Jonas Jerebko,BOS,ATL,,12:08,0.169,0.115,0.0,1.0,0.25,0.0,0.5,0.0,0.0,0.25,0.182,3,0.333,0,0,0.0,2,1.0,3,0,0,0,1,2,4,-8,7.25,7,16,9,0.0,2,0.5,92.1,122.3,-30.2,0.0,0.15,0.333,95.74,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.6,0.4,0.082,0.125,2,0,2,2,1,3,2,12,3,1,
2015-11-15,Jonas Jerebko,BOS,OKC,,6:03,0.168,0.111,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.5,0.154,1,1.0,0,0,0.0,0,0.0,0,1,0,0,1,1,2,0,2.75,3,6,4,0.25,1,1.0,119.5,110.5,8.9,0.2,0.0,1.0,89.81,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.4,0.085,0.25,0,0,0,2,3,2,0,8,2,0,
