DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Jonas Valanciunas,TOR,GSW,C,15:21,0.161,0.074,0.0,0.25,0.467,0.0,0.5,0.167,0.0,0.667,0.107,2,0.5,0,0,0.0,2,0.5,7,0,1,0,3,4,3,-1,12.25,0,0,0,,0,0.0,86.1,88.2,-2.1,0.0,0.25,0.5,102.25,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.538,0.077,0.243,0.154,0,0,3,2,3,8,0,10,8,4,NBA TV
2016-10-03,Jonas Valanciunas,TOR,DEN,C,18:51,0.351,0.333,0.0,0.571,0.5,0.0,0.0,0.0,0.5,0.333,0.513,12,0.5,0,0,0.0,8,1.0,9,0,0,1,0,4,20,-2,33.25,0,0,0,,0,0.0,102.2,105.0,-2.8,0.0,0.214,0.5,98.29,1.0,0.0,0.6,0.0,0.1,0.3,0.667,0.333,0.389,0.444,0.128,0.429,2,0,8,6,0,7,4,16,7,5,
2016-10-05,Jonas Valanciunas,TOR,LAC,C,21:29,0.233,0.226,0.0,0.444,0.462,0.167,0.143,0.2,0.667,0.125,0.167,7,0.286,0,0,0.0,4,0.5,6,1,1,2,1,1,6,-16,20.25,0,0,0,,0,0.0,87.9,129.1,-41.2,0.083,0.176,0.286,90.76,1.0,0.0,0.667,0.0,0.333,0.0,0.5,0.5,0.618,0.353,0.149,0.294,2,0,0,0,12,3,4,18,3,3,
2016-10-13,Jonas Valanciunas,TOR,CLE,C,20:03,0.157,0.147,0.0,0.0,0.389,0.067,0.25,0.0,0.0,0.167,0.179,5,1.0,0,0,0.0,0,0.0,7,1,0,0,2,2,10,13,19.0,0,0,0,,0,0.0,128.3,93.2,35.2,0.056,0.226,1.0,107.49,1.0,0.0,1.0,0.0,0.0,0.6,0.8,0.2,0.471,0.412,0.195,0.15,0,0,0,6,11,6,11,10,6,1,TNT
2016-10-19,Jonas Valanciunas,TOR,DET,C,27:51,0.169,0.154,0.0,0.3,0.387,0.3,0.125,0.0,0.667,0.0,0.145,8,0.25,0,0,0.0,6,0.833,12,3,0,2,1,0,9,5,31.25,0,0,0,,0,0.0,100.3,97.6,2.7,0.158,0.231,0.25,103.58,1.0,0.0,0.444,0.0,0.111,0.444,0.5,0.5,0.49,0.204,0.103,0.04,1,0,3,4,4,2,9,22,2,4,
2016-10-21,Jonas Valanciunas,TOR,WAS,C,22:26,0.166,0.19,0.0,0.091,0.267,0.0,0.0,0.0,0.333,0.333,0.114,8,0.25,0,0,0.0,1,1.0,4,0,0,1,0,2,5,-23,12.0,0,0,0,,0,0.0,98.1,141.6,-43.5,0.0,0.103,0.25,98.6,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.722,0.067,0.127,0.357,2,0,2,4,6,10,2,26,10,1,
2015-10-28,Jonas Valanciunas,TOR,IND,C,32:17,0.206,0.239,0.0,0.207,0.429,0.0,0.118,0.0,1.0,0.333,0.304,11,0.727,0,0,0.0,6,0.833,15,0,0,1,2,4,21,8,40.75,26,60,43,0.0,9,0.778,94.8,86.3,8.6,0.0,0.263,0.727,106.66,1.0,0.0,0.762,0.0,0.0,0.571,0.625,0.375,0.419,0.21,0.113,0.135,0,0,4,12,14,8,10,26,8,5,
2015-10-30,Jonas Valanciunas,TOR,BOS,C,23:16,0.16,0.146,0.0,0.133,0.37,0.182,0.25,0.0,0.0,0.267,0.109,6,0.333,0,0,0.0,2,1.0,10,2,0,0,2,4,6,6,20.0,16,41,30,0.0667,5,0.4,108.7,98.2,10.5,0.118,0.227,0.333,103.69,1.0,0.0,0.667,0.0,0.333,0.667,0.0,1.0,0.425,0.45,0.1,0.12,2,0,2,4,13,2,12,18,2,3,
2015-11-01,Jonas Valanciunas,TOR,MIL,C,28:59,0.261,0.214,0.0,0.571,0.308,0.0,0.4,0.2,0.0,0.273,0.26,12,0.583,0,0,0.0,8,0.625,8,0,2,0,2,3,19,21,32.0,18,46,28,0.0,12,0.583,127.7,96.0,31.7,0.0,0.178,0.583,92.18,1.0,0.0,0.737,0.0,0.105,0.632,0.429,0.571,0.475,0.35,0.222,0.2,2,0,3,12,6,4,11,28,4,6,NBA TV
2015-11-03,Jonas Valanciunas,TOR,DAL,C,33:41,0.209,0.175,0.0,0.227,0.242,0.0,0.364,0.0,0.667,0.2,0.198,10,0.6,0,0,0.0,5,0.8,8,0,0,2,4,3,16,16,28.0,22,52,36,0.0,10,0.6,114.6,93.4,21.2,0.0,0.133,0.6,99.98,1.0,0.0,0.75,0.0,0.188,0.75,0.5,0.5,0.435,0.242,0.144,0.257,3,0,2,12,7,8,7,18,8,5,
2015-11-04,Jonas Valanciunas,TOR,OKC,C,28:41,0.172,0.164,0.0,0.217,0.379,0.143,0.167,0.0,0.0,0.385,0.25,9,0.667,0,0,0.0,5,1.0,11,1,0,0,1,5,17,6,31.5,20,44,32,0.0313,8,0.75,107.7,105.6,2.1,0.063,0.212,0.667,101.95,1.0,0.0,0.706,0.0,0.0,0.706,0.333,0.667,0.554,0.283,0.187,0.16,0,0,4,12,6,4,17,18,4,4,
2015-11-06,Jonas Valanciunas,TOR,ORL,C,23:02,0.146,0.15,0.0,0.188,0.619,0.0,0.0,0.0,0.5,0.333,0.154,6,0.5,0,0,0.0,3,0.667,13,0,0,2,0,3,8,10,28.25,18,37,27,0.0,6,0.5,112.9,90.5,22.4,0.0,0.351,0.5,96.35,1.0,0.0,0.75,0.0,0.625,0.75,0.667,0.333,0.436,0.256,0.108,0.105,5,0,2,6,7,5,0,8,5,3,
2015-11-08,Jonas Valanciunas,TOR,MIA,C,28:29,0.237,0.286,0.0,0.2,0.238,0.0,0.0,0.333,0.0,0.077,0.347,12,0.667,0,0,0.0,2,0.5,5,0,1,0,0,1,17,-7,25.25,17,47,33,0.0,10,0.7,95.3,112.4,-17.0,0.0,0.109,0.667,85.3,1.0,0.0,0.941,0.0,0.235,0.941,0.5,0.5,0.49,0.224,0.08,0.308,4,2,2,16,10,14,2,28,14,3,
2015-11-10,Jonas Valanciunas,TOR,NYK,C,31:48,0.152,0.143,0.0,0.154,0.303,0.0,0.2,0.0,0.0,0.083,0.225,8,0.75,0,0,0.0,4,1.0,10,0,0,0,2,1,16,-1,27.5,29,47,35,0.0,8,0.75,103.7,104.8,-1.0,0.0,0.154,0.75,103.52,1.0,0.0,0.75,0.0,0.125,0.75,0.667,0.333,0.455,0.194,0.102,0.314,2,0,6,12,9,16,6,24,16,4,
2015-11-11,Jonas Valanciunas,TOR,PHI,C,22:40,0.189,0.19,0.0,0.308,0.462,0.083,0.0,0.0,0.333,0.222,0.18,8,0.5,0,0,0.0,4,0.75,12,1,0,1,0,2,11,19,29.25,24,37,27,0.037,8,0.5,139.5,92.3,47.3,0.053,0.286,0.5,94.49,1.0,0.0,0.727,0.0,0.0,0.545,0.5,0.5,0.44,0.19,0.154,0.28,0,0,6,6,4,2,2,26,2,2,
2015-11-13,Jonas Valanciunas,TOR,NOP,C,27:46,0.276,0.25,0.0,0.3,0.323,0.0,0.364,0.0,0.5,0.231,0.317,11,0.727,0,0,0.0,6,0.667,10,0,0,2,4,3,20,16,34.5,19,57,40,0.0,8,0.625,115.0,77.4,37.6,0.0,0.2,0.727,99.85,1.0,0.0,0.8,0.0,0.3,0.4,0.75,0.25,0.394,0.277,0.181,0.12,6,2,5,8,10,2,9,24,2,3,
2015-11-15,Jonas Valanciunas,TOR,SAC,C,20:20,0.195,0.225,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.222,0.098,9,0.222,0,0,0.0,0,0.0,5,0,0,0,0,2,4,-5,10.25,13,38,27,0.0,6,0.167,99.8,113.2,-13.4,0.0,0.128,0.222,96.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.586,0.171,0.197,0.294,0,0,2,4,6,5,6,22,5,1,
2015-11-17,Jonas Valanciunas,TOR,GSW,C,31:11,0.191,0.176,0.0,0.174,0.423,0.0,0.273,0.0,0.0,0.385,0.123,9,0.333,0,0,0.0,4,0.75,11,0,0,0,3,5,9,-1,21.25,19,54,38,0.0,7,0.286,115.7,116.7,-1.1,0.0,0.239,0.333,97.38,1.0,0.0,0.667,0.0,0.333,0.667,0.667,0.333,0.676,0.196,0.189,0.19,3,0,4,6,13,8,16,38,8,4,NBA TV
2015-11-18,Jonas Valanciunas,TOR,UTA,C,32:31,0.176,0.185,0.0,0.111,0.375,0.0,0.143,0.167,0.5,0.083,0.19,10,0.5,0,0,0.0,1,1.0,9,0,1,2,1,1,11,-7,27.75,20,44,33,0.0,7,0.571,100.1,110.7,-10.6,0.0,0.18,0.5,86.14,1.0,0.0,0.909,0.0,0.455,0.909,0.4,0.6,0.598,0.283,0.17,0.15,5,0,4,10,6,7,8,34,7,1,
2015-11-20,Jonas Valanciunas,TOR,LAL,C,17:36,0.133,0.1,0.0,0.5,0.231,0.222,0.2,0.0,0.0,0.0,0.091,3,0.333,0,0,0.0,2,0.5,3,2,0,0,1,0,3,-5,8.75,13,33,26,0.0769,2,0.0,94.9,106.6,-11.7,0.182,0.091,0.333,96.0,1.0,0.0,0.667,0.0,0.0,0.0,1.0,0.0,0.5,0.188,0.14,0.267,0,0,0,0,4,8,8,18,8,3,
2015-12-28,Jonas Valanciunas,TOR,CHI,,20:55,0.229,0.219,0.0,0.143,0.211,0.077,0.4,0.0,0.5,0.5,0.173,7,0.571,0,0,0.0,2,0.5,4,1,0,2,2,2,9,5,18.25,13,22,12,0.0833,6,0.5,129.5,116.9,12.6,0.067,0.111,0.571,92.18,1.0,0.0,0.889,0.0,0.0,0.667,0.75,0.25,0.535,0.116,0.05,0.304,0,0,2,6,9,9,2,14,9,1,NBA TV
2015-12-30,Jonas Valanciunas,TOR,WAS,C,20:53,0.142,0.194,0.0,0.0,0.391,0.125,0.0,0.0,0.5,0.429,0.195,7,0.571,0,0,0.0,0,0.0,9,1,0,1,0,3,8,0,22.5,17,45,35,0.0286,6,0.5,99.6,104.1,-4.4,0.125,0.225,0.571,92.58,1.0,0.0,1.0,0.0,0.25,0.75,0.75,0.25,0.515,0.294,0.051,0.063,2,0,2,6,7,0,9,16,0,1,
2016-01-01,Jonas Valanciunas,TOR,CHA,C,24:03,0.208,0.191,0.0,0.385,0.4,0.2,0.167,0.0,0.0,0.286,0.189,9,0.333,0,0,0.0,5,0.8,12,2,0,0,1,2,10,8,27.0,20,51,40,0.05,8,0.25,118.5,102.4,16.1,0.143,0.231,0.333,88.5,1.0,0.0,0.6,0.0,0.2,0.4,0.0,1.0,0.451,0.22,0.114,0.273,2,0,6,4,7,4,7,22,4,3,
2016-01-03,Jonas Valanciunas,TOR,CHI,C,23:21,0.138,0.109,0.0,0.125,0.429,0.091,0.5,0.5,0.75,0.125,0.131,5,0.6,0,0,0.0,2,1.0,9,1,1,3,2,1,8,2,27.5,19,46,37,0.027,4,0.5,124.4,125.1,-0.7,0.059,0.231,0.6,98.86,1.0,0.0,0.75,0.0,0.5,0.5,0.333,0.667,0.588,0.35,0.085,0.188,4,0,4,4,5,6,0,20,6,1,
2016-01-04,Jonas Valanciunas,TOR,CLE,C,26:57,0.204,0.211,0.0,0.2,0.571,0.083,0.167,0.0,0.667,0.0,0.196,8,0.5,0,0,0.0,3,0.333,8,1,0,2,1,0,9,-20,23.75,20,45,33,0.0303,5,0.4,100.9,139.8,-39.0,0.077,0.211,0.5,82.64,1.0,0.0,0.889,0.0,0.222,0.667,0.5,0.5,0.744,0.122,0.169,0.308,2,0,0,6,7,5,4,28,5,2,
