DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jonathon Simmons,SAS,PHX,G,18:01,0.294,0.259,0.167,0.455,0.214,0.0,0.308,0.0,0.0,0.231,0.303,7,0.429,0,1,0.0,5,0.8,3,0,0,0,4,3,10,-4,11.75,0,0,0,,0,0.0,78.9,97.3,-18.4,0.0,0.103,0.429,106.41,0.857,0.143,0.6,0.0,0.4,0.2,0.333,0.667,0.5,0.64,0.237,0.214,4,2,2,2,12,5,9,16,5,3,
2016-10-08,Jonathon Simmons,SAS,ATL,,12:00,0.272,0.2,0.286,0.222,0.091,0.0,0.6,0.5,0.0,0.0,0.125,4,0.25,0,2,0.0,2,0.5,1,0,1,0,3,0,3,1,4.75,0,0,0,,0,0.0,85.8,84.2,1.6,0.0,0.048,0.25,110.56,0.5,0.5,0.667,0.0,0.0,0.667,1.0,0.0,0.5,0.15,0.256,0.091,0,3,0,2,6,0,4,8,0,2,
2016-10-10,Jonathon Simmons,SAS,DET,,10:27,0.264,0.313,1.0,0.0,0.25,0.25,0.2,0.0,0.0,0.5,0.235,5,0.4,0,1,0.0,0,0.0,3,1,0,0,1,1,4,-3,8.5,0,0,0,,0,0.0,86.0,87.4,-1.4,0.2,0.176,0.4,97.93,0.8,0.2,1.0,0.0,0.0,0.5,0.5,0.5,0.429,0.095,0.044,0.0,0,2,0,2,6,2,8,16,2,0,
2016-10-12,Jonathon Simmons,SAS,ORL,,19:07,0.263,0.147,0.167,0.5,0.278,0.25,0.625,0.571,0.0,0.125,0.22,5,0.4,1,1,1.0,5,0.8,5,3,4,0,5,1,9,9,25.0,0,0,0,,0,0.0,104.1,82.8,21.2,0.25,0.135,0.5,97.98,0.8,0.2,0.222,0.333,0.444,0.222,1.0,0.0,0.422,0.188,0.285,0.389,4,3,2,2,5,9,2,14,9,3,
2016-10-14,Jonathon Simmons,SAS,MIA,,16:52,0.269,0.31,0.2,0.2,0.063,0.333,0.143,0.0,0.0,0.0,0.263,9,0.444,0,1,0.0,2,1.0,1,2,0,0,1,0,10,8,13.25,0,0,0,,0,0.0,107.3,84.2,23.2,0.2,0.034,0.444,101.08,0.889,0.111,0.8,0.0,0.2,0.6,0.5,0.5,0.419,0.194,0.196,0.313,2,2,2,6,6,8,6,20,8,2,
2015-11-14,Jonathon Simmons,SAS,PHI,,8:31,0.047,0.0,0.0,1.0,0.286,0.4,0.0,0.5,0.0,0.0,0.143,0,0.0,0,0,0.0,2,1.0,2,2,1,0,0,0,2,-8,9.0,4,21,17,0.1176,0,0.0,78.3,126.1,-47.8,0.4,0.154,0.0,99.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.063,0.115,0.143,0,0,0,0,6,2,0,8,2,1,
2015-11-20,Jonathon Simmons,SAS,NOP,,2:59,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-2,1.25,2,4,2,0.0,1,0.0,40.0,80.0,-40.0,0.0,0.167,0.0,80.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.333,0,0,0,0,0,2,0,2,2,0,ESPN
2015-11-23,Jonathon Simmons,SAS,PHX,,6:43,0.078,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,3,2,-1,2.0,2,13,10,0.0,1,1.0,78.4,82.6,-4.2,0.0,0.0,1.0,93.19,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,0.3,0.3,0.4,0,0,0,2,3,2,3,8,2,0,
2015-11-27,Jonathon Simmons,SAS,DEN,,26:34,0.256,0.205,0.235,0.333,0.105,0.071,0.385,0.222,0.0,0.182,0.207,8,0.5,1,4,0.25,3,1.0,2,1,2,0,5,2,12,12,17.75,5,42,26,0.0385,5,0.6,105.5,88.3,17.2,0.059,0.057,0.563,96.7,0.5,0.5,0.5,0.25,0.167,0.5,1.0,0.0,0.5,0.175,0.23,0.143,2,3,0,6,15,5,8,22,5,4,
2015-11-28,Jonathon Simmons,SAS,ATL,,8:16,0.333,0.333,0.333,0.333,0.0,0.25,0.0,0.0,0.0,1.0,0.357,5,0.4,0,1,0.0,1,1.0,0,1,0,0,0,1,5,-6,6.25,2,16,11,0.0909,4,0.5,97.8,133.3,-35.6,0.333,0.0,0.4,85.12,0.8,0.2,0.8,0.0,0.0,0.4,1.0,0.0,0.526,0.0,0.0,0.4,0,0,0,2,0,0,2,14,0,1,
