DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jordan Clarkson,LAL,SAC,,20:08,0.25,0.3,0.5,0.174,0.316,0.125,0.143,0.25,0.0,0.143,0.273,9,0.444,2,6,0.333,4,0.5,6,1,1,0,1,2,12,10,23.25,0,0,0,,0,0.0,99.7,74.8,25.0,0.1,0.158,0.556,106.81,0.333,0.667,0.333,0.5,0.0,0.333,0.5,0.5,0.328,0.531,0.198,0.158,0,0,0,4,8,7,3,14,7,4,
2016-10-07,Jordan Clarkson,LAL,DEN,,19:33,0.26,0.273,0.4,0.2,0.1,0.2,0.2,0.5,0.0,0.167,0.313,12,0.5,1,4,0.25,2,1.0,2,2,4,0,1,2,15,13,28.0,0,0,0,,0,0.0,99.2,75.8,23.4,0.154,0.049,0.542,116.08,0.667,0.333,0.667,0.2,0.333,0.667,0.5,0.5,0.324,0.412,0.238,0.25,5,5,0,10,5,3,2,14,3,3,NBA TV
2016-10-09,Jordan Clarkson,LAL,DEN,,19:00,0.271,0.25,0.4,0.263,0.167,0.5,0.4,0.0,0.0,0.2,0.261,7,0.429,2,4,0.5,5,0.8,2,3,0,0,2,2,12,1,18.25,0,0,0,,0,0.0,114.0,98.7,15.3,0.273,0.059,0.571,108.58,0.429,0.571,0.167,0.5,0.333,0.167,0.667,0.333,0.461,0.395,0.197,0.421,4,0,0,2,8,10,5,22,10,2,NBA TV
2016-10-11,Jordan Clarkson,LAL,POR,,25:43,0.25,0.269,0.375,0.25,0.111,0.25,0.0,0.333,0.0,0.167,0.3,14,0.429,1,6,0.167,3,0.667,3,2,1,0,0,2,15,8,23.75,0,0,0,,0,0.0,90.4,81.4,9.1,0.143,0.056,0.464,99.75,0.571,0.429,0.667,0.2,0.4,0.533,0.5,0.5,0.41,0.385,0.233,0.222,6,0,4,8,7,7,9,20,7,3,NBA TV
2016-10-13,Jordan Clarkson,LAL,SAC,,23:26,0.281,0.316,0.389,0.1,0.111,0.0,0.222,0.333,0.0,0.4,0.346,12,0.583,3,7,0.429,1,1.0,1,0,1,0,2,4,18,-15,21.75,0,0,0,,0,0.0,103.2,144.4,-41.2,0.0,0.038,0.708,99.14,0.417,0.583,0.444,0.5,0.278,0.333,0.857,0.143,0.868,0.294,0.216,0.2,5,3,3,6,13,2,8,22,2,1,
2016-10-15,Jordan Clarkson,LAL,GSW,G,30:15,0.239,0.264,0.529,0.211,0.115,0.1,0.154,0.0,0.0,0.154,0.254,14,0.286,3,9,0.333,4,1.0,3,1,0,0,2,2,15,-12,20.5,0,0,0,,0,0.0,88.9,118.0,-29.1,0.067,0.055,0.393,100.38,0.357,0.643,0.133,0.6,0.0,0.133,0.5,0.5,0.573,0.255,0.15,0.357,0,0,3,2,15,7,8,34,7,2,NBA TV
2016-10-19,Jordan Clarkson,LAL,GSW,G,21:58,0.21,0.214,0.375,0.556,0.167,0.077,0.083,0.0,0.0,0.3,0.239,9,0.333,2,6,0.333,5,0.6,3,1,0,0,1,3,11,-21,16.5,0,0,0,,0,0.0,83.7,123.4,-39.7,0.067,0.075,0.444,119.35,0.333,0.667,0.182,0.545,0.273,0.0,0.667,0.333,0.598,0.261,0.111,0.167,3,3,0,0,9,8,12,26,8,2,ESPN
2016-10-21,Jordan Clarkson,LAL,PHX,,26:40,0.185,0.204,0.231,0.133,0.036,0.286,0.143,0.333,0.0,0.056,0.148,10,0.3,0,3,0.0,2,1.0,1,4,2,0,2,1,8,0,17.25,0,0,0,,0,0.0,86.3,85.4,0.9,0.222,0.018,0.3,113.26,0.7,0.3,0.75,0.0,0.25,0.0,0.667,0.333,0.373,0.412,0.19,0.3,2,0,2,0,18,9,10,26,9,2,
2015-10-28,Jordan Clarkson,LAL,MIN,G,29:43,0.188,0.164,0.1,0.24,0.056,0.273,0.333,0.0,0.0,0.286,0.192,10,0.5,0,2,0.0,6,0.667,2,3,0,0,2,4,14,7,19.25,5,62,42,0.0714,8,0.5,107.4,106.6,0.8,0.167,0.034,0.5,104.93,0.8,0.2,0.714,0.0,0.0,0.429,0.2,0.8,0.481,0.34,0.065,0.103,0,2,0,6,12,11,5,20,11,5,ESPN
2015-10-30,Jordan Clarkson,LAL,SAC,G,28:32,0.243,0.306,0.188,0.0,0.2,0.0,0.154,0.5,0.125,0.059,0.338,15,0.667,2,3,0.667,0,0.0,4,0,1,1,2,1,22,-16,31.0,9,49,24,0.0,8,0.625,97.1,121.7,-24.6,0.0,0.077,0.733,112.27,0.8,0.2,0.727,0.273,0.091,0.455,0.2,0.8,0.542,0.407,0.09,0.346,2,2,0,10,25,12,17,44,12,3,
