DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-10,Jordan Hill,MIN,CHA,,8:17,0.056,0.083,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.4,0.095,1,1.0,0,0,0.0,0,0.0,1,1,0,0,0,2,2,0,4.5,0,0,0,,0,0.0,118.2,119.0,-0.8,0.143,0.111,1.0,102.57,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.625,0.5,0.17,0.0,0,0,0,2,5,0,2,2,0,0,
2016-10-12,Jordan Hill,MIN,DEN,,1:52,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1,1.0,0,0,0.0,0,0.0,2,0,0,0,1,0,2,-2,4.0,0,0,0,,0,0.0,66.7,100.0,-33.3,0.0,1.0,1.0,90.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0,0,2,2,4,0,2,4,0,0,
2016-10-16,Jordan Hill,MIN,OKC,,22:40,0.131,0.184,0.0,0.0,0.316,0.125,0.0,0.0,0.0,0.25,0.182,7,0.571,0,0,0.0,0,0.0,6,1,0,0,0,2,8,-13,16.75,0,0,0,,0,0.0,88.7,114.8,-26.1,0.091,0.143,0.571,105.08,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.631,0.143,0.181,0.211,0,0,4,8,13,4,11,28,4,3,
2016-10-19,Jordan Hill,MIN,MEM,,8:16,0.145,0.083,0.0,0.0,0.5,0.0,0.286,0.0,1.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,3,0,0,1,2,1,0,-18,4.75,0,0,0,,0,0.0,40.5,131.6,-91.1,0.0,0.158,0.0,114.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611,0.222,0.202,0.444,0,0,0,0,10,9,7,6,9,1,
2016-10-21,Jordan Hill,MIN,CHA,,6:14,0.231,0.222,0.0,0.0,0.167,0.0,0.25,0.0,0.0,0.0,0.333,2,0.5,0,0,0.0,0,0.0,1,0,0,0,1,0,2,-6,2.75,0,0,0,,0,0.0,50.0,93.2,-43.2,0.0,0.1,0.5,95.79,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.417,0.167,0.078,0.167,2,2,0,2,4,2,0,8,2,0,NBA TV
2015-10-28,Jordan Hill,IND,TOR,,23:15,0.173,0.179,0.0,0.222,0.364,0.0,0.0,0.167,0.0,0.267,0.167,7,0.286,0,0,0.0,6,0.667,8,0,1,0,0,4,8,-2,20.0,25,37,25,0.0,6,0.333,89.1,92.9,-3.8,0.0,0.163,0.286,111.16,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.438,0.5,0.167,0.167,0,0,0,4,5,9,6,20,9,4,
2015-10-29,Jordan Hill,IND,MEM,F,19:49,0.133,0.176,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.444,0.114,6,0.333,0,0,0.0,0,0.0,6,0,0,0,0,4,4,-4,11.5,10,32,25,0.0,4,0.0,89.6,101.6,-12.0,0.0,0.146,0.333,93.84,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.405,0.27,0.104,0.318,0,0,0,0,8,11,4,18,11,2,
2015-11-03,Jordan Hill,IND,DET,,23:21,0.179,0.191,0.0,0.0,0.25,0.083,0.143,0.143,0.0,0.375,0.204,9,0.556,0,0,0.0,0,0.0,6,1,1,0,1,3,10,11,20.25,12,33,23,0.0435,5,0.6,104.8,83.3,21.5,0.067,0.136,0.556,94.97,1.0,0.0,1.0,0.0,0.2,0.6,0.6,0.4,0.446,0.162,0.263,0.286,2,0,4,6,8,8,2,16,8,0,
2015-11-04,Jordan Hill,IND,BOS,C,29:19,0.23,0.237,0.0,0.167,0.278,0.0,0.222,0.5,0.0,0.143,0.254,14,0.5,0,0,0.0,2,1.0,10,0,2,0,2,2,16,0,31.5,24,65,50,0.0,4,0.75,108.1,109.8,-1.7,0.0,0.156,0.5,94.66,1.0,0.0,0.875,0.0,0.0,0.375,0.571,0.429,0.48,0.388,0.157,0.3,0,0,8,6,17,7,14,14,7,1,
2015-11-06,Jordan Hill,IND,MIA,,23:44,0.246,0.263,0.0,0.0,0.417,0.0,0.4,0.0,0.25,0.333,0.213,10,0.5,0,0,0.0,0,0.0,10,0,0,1,2,2,10,13,23.5,18,37,25,0.0,8,0.625,107.5,81.4,26.1,0.0,0.233,0.5,86.45,1.0,0.0,1.0,0.0,0.0,1.0,0.2,0.8,0.4,0.1,0.096,0.174,0,0,2,10,2,9,0,24,9,1,ESPN
