DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jordan Mickey,BOS,PHI,,13:33,0.153,0.143,0.167,0.0,0.3,0.0,0.333,0.0,0.0,0.0,0.067,4,0.25,0,1,0.0,0,0.0,3,0,0,0,1,0,2,-2,5.25,0,0,0,,0,0.0,94.5,112.2,-17.7,0.0,0.15,0.25,106.77,0.75,0.25,1.0,0.0,0.0,1.0,1.0,0.0,0.571,0.381,0.175,0.1,0,0,0,2,2,2,2,10,2,0,
2016-10-06,Jordan Mickey,BOS,CHA,,5:51,0.134,0.182,0.0,0.0,0.6,0.0,0.0,0.333,0.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,3,0,1,0,0,1,0,-1,5.75,0,0,0,,0,0.0,72.0,82.6,-10.5,0.0,0.231,0.0,111.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.273,0.225,0.333,0,0,0,0,3,3,3,6,3,0,
2016-10-08,Jordan Mickey,BOS,CHA,,21:37,0.201,0.227,0.053,0.0,0.316,0.143,0.0,0.25,0.0,0.231,0.327,10,0.8,0,1,0.0,0,0.0,6,2,1,0,0,3,16,14,28.0,0,0,0,,0,0.0,105.1,78.1,27.0,0.182,0.146,0.8,101.57,0.9,0.1,1.0,0.0,0.375,0.75,0.75,0.25,0.412,0.324,0.223,0.2,6,0,2,12,2,4,4,16,4,0,NBA TV
2016-10-13,Jordan Mickey,BOS,BKN,,14:17,0.247,0.25,0.0,0.222,0.429,0.1,0.25,0.0,0.5,0.167,0.182,6,0.5,0,0,0.0,2,0.0,6,1,0,1,1,2,6,6,16.25,0,0,0,,0,0.0,103.3,82.8,20.4,0.125,0.207,0.5,108.48,1.0,0.0,1.0,0.0,0.333,1.0,1.0,0.0,0.32,0.6,0.153,0.222,2,4,0,6,2,5,6,8,5,1,
2016-10-15,Jordan Mickey,BOS,NYK,,13:34,0.061,0.048,0.0,0.154,0.3,0.0,0.0,0.0,0.0,0.333,0.0,1,0.0,0,0,0.0,2,0.0,3,0,0,0,0,1,0,1,3.75,0,0,0,,0,0.0,121.1,117.6,3.5,0.0,0.1,0.0,105.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531,0.125,0.134,0.471,0,0,0,0,6,8,4,16,8,1,NBA TV
2016-10-17,Jordan Mickey,BOS,BKN,,13:14,0.23,0.172,0.0,0.667,0.267,0.0,0.5,0.25,1.0,0.2,0.267,5,0.6,0,0,0.0,2,1.0,4,0,1,1,2,1,8,2,16.0,0,0,0,,0,0.0,98.9,100.4,-1.5,0.0,0.148,0.6,105.55,1.0,0.0,0.75,0.0,0.625,0.75,0.333,0.667,0.609,0.087,0.179,0.083,5,0,3,6,7,0,11,16,0,2,
2016-10-19,Jordan Mickey,BOS,NYK,,20:18,0.2,0.211,0.0,0.167,0.304,0.111,0.182,1.0,0.667,0.0,0.227,8,0.5,0,0,0.0,2,1.0,7,1,2,2,2,0,10,-2,27.0,0,0,0,,0,0.0,93.1,95.1,-2.1,0.083,0.171,0.5,113.07,1.0,0.0,0.8,0.0,0.2,0.6,0.75,0.25,0.434,0.5,0.124,0.2,2,2,2,6,10,6,8,20,6,2,ESPN
2015-10-28,Jordan Mickey,BOS,PHI,,1:58,0.18,0.0,0.0,1.0,0.667,0.5,0.0,0.0,0.0,0.5,0.286,0,0.0,0,0,0.0,2,1.0,2,1,0,0,0,1,2,0,5.75,3,5,4,0.25,0,0.0,243.1,162.0,81.0,0.5,0.5,0.0,87.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.5,0,0,2,0,0,0,0,4,0,1,
2015-11-06,Jordan Mickey,BOS,WAS,,3:17,0.236,0.222,0.0,0.333,0.25,0.0,0.0,0.0,1.0,0.0,0.3,2,0.5,0,0,0.0,1,1.0,1,0,0,1,0,0,3,1,6.25,4,6,4,0.0,2,0.5,120.2,117.8,2.4,0.0,0.167,0.5,116.66,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.3,1.2,0.0,0.0,0,0,3,2,0,0,5,0,0,1,
2015-12-21,Jordan Mickey,BOS,MIN,,1:02,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,-1,2.0,0,3,2,0.0,1,1.0,100.0,159.6,-59.6,0.0,0.0,1.0,90.12,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0,0,0,2,0,0,1,2,0,0,NBA TV
2016-02-19,Jordan Mickey,BOS,UTA,,2:43,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,1,1.0,0,0,0.0,0,0.0,0,0,0,2,0,0,2,0,6.0,0,8,7,0.0,1,1.0,102.0,123.0,-20.9,0.0,0.0,1.0,95.06,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.205,0.5,0,0,0,2,0,2,0,2,2,0,ESPN
2016-02-21,Jordan Mickey,BOS,DEN,,2:30,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,3,0.333,0,0,0.0,0,0.0,1,0,0,0,0,1,2,0,3.25,2,5,2,0.0,3,0.333,80.0,103.1,-23.1,0.0,0.333,0.333,85.25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.333,0.667,0.0,0.0,0,0,2,2,0,0,0,0,0,0,
2016-02-22,Jordan Mickey,BOS,MIN,,1:47,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,0.0,0,3,2,0.0,0,0.0,166.7,69.4,97.2,0.0,0.0,0.0,79.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2016-02-29,Jordan Mickey,BOS,UTA,,7:08,0.181,0.083,0.0,1.0,0.273,0.0,0.333,0.0,1.0,0.0,0.231,1,1.0,0,0,0.0,2,0.5,3,0,0,2,1,0,3,7,10.25,8,8,6,0.0,0,0.0,93.7,33.3,60.3,0.0,0.176,1.0,107.28,1.0,0.0,0.667,0.0,0.667,0.667,1.0,0.0,0.188,0.0,0.167,0.1,2,0,1,2,2,0,2,6,0,1,
