DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jose Calderon,LAL,SAC,,10:52,0.131,0.214,0.286,0.0,0.091,0.5,0.0,0.0,0.0,0.0,0.143,3,0.667,1,2,0.5,0,0.0,1,3,0,0,0,0,5,26,10.5,0,0,0,,0,0.0,175.7,39.3,136.4,0.333,0.063,0.833,94.53,0.333,0.667,0.4,0.6,1.0,0.0,1.0,0.0,0.235,0.118,0.306,0.2,5,0,0,0,2,3,0,2,3,0,
2016-10-07,Jose Calderon,LAL,DEN,,7:55,0.043,0.059,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,5,1.25,0,0,0,,0,0.0,94.9,75.2,19.7,0.143,0.0,0.0,124.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.351,0.167,0,0,0,0,0,0,2,4,0,0,NBA TV
2016-10-09,Jose Calderon,LAL,DEN,,16:22,0.117,0.16,0.375,0.0,0.2,0.333,0.0,0.25,0.0,0.0,0.235,4,0.75,2,3,0.667,0,0.0,2,1,1,0,0,0,8,-1,14.75,0,0,0,,0,0.0,102.2,94.7,7.5,0.125,0.065,1.0,103.0,0.25,0.75,0.25,0.75,0.0,0.25,0.333,0.667,0.438,0.281,0.216,0.438,0,0,0,2,6,6,5,18,6,1,NBA TV
2016-10-13,Jose Calderon,LAL,SAC,,15:15,0.183,0.16,0.222,0.4,0.167,0.444,0.2,0.0,0.0,0.25,0.148,4,0.25,0,2,0.0,2,1.0,1,4,0,0,1,2,4,-17,9.75,0,0,0,,0,0.0,86.5,148.4,-61.9,0.4,0.056,0.25,95.75,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.886,0.273,0.202,0.167,0,0,0,0,7,4,8,12,4,1,
2015-10-28,Jose Calderon,NYK,MIL,G,17:58,0.145,0.156,0.364,0.0,0.188,0.125,0.2,0.0,0.0,0.308,0.094,5,0.2,1,4,0.25,0,0.0,3,1,0,0,1,4,3,1,8.0,5,44,37,0.027,2,0.5,81.2,78.7,2.5,0.1,0.07,0.3,105.26,0.2,0.8,0.0,1.0,1.0,0.0,1.0,0.0,0.289,0.263,0.152,0.391,3,0,0,0,5,11,2,16,11,1,
2015-10-29,Jose Calderon,NYK,ATL,G,18:13,0.112,0.119,0.133,0.333,0.05,0.2,0.0,0.333,0.0,0.25,0.057,5,0.0,0,2,0.0,2,1.0,1,1,1,0,0,2,2,-18,6.5,3,57,49,0.0204,2,0.0,76.7,124.6,-48.0,0.071,0.026,0.0,116.15,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.622,0.216,0.094,0.133,2,2,0,0,11,2,17,22,2,1,TNT
2015-10-31,Jose Calderon,NYK,WAS,G,21:02,0.222,0.214,0.286,0.167,0.0,0.273,0.286,0.5,0.0,0.231,0.217,9,0.444,1,4,0.25,1,1.0,0,3,1,0,2,3,10,-7,15.25,1,59,46,0.0652,2,1.0,96.6,102.7,-6.2,0.214,0.0,0.5,113.24,0.556,0.444,0.6,0.3,0.0,0.2,0.5,0.5,0.466,0.341,0.116,0.238,0,0,0,2,10,4,16,24,4,2,
2015-11-02,Jose Calderon,NYK,SAS,G,23:16,0.117,0.116,0.222,0.0,0.0,0.182,0.2,0.25,0.0,0.182,0.136,5,0.4,2,2,1.0,0,0.0,0,2,1,0,1,2,6,-1,11.0,1,43,36,0.0556,2,0.5,104.6,102.4,2.2,0.133,0.0,0.6,88.75,0.6,0.4,0.0,1.0,0.5,0.0,1.0,0.0,0.514,0.243,0.159,0.235,3,0,0,0,2,0,0,22,0,0,
2015-11-04,Jose Calderon,NYK,CLE,G,29:01,0.096,0.093,0.059,0.0,0.111,0.417,0.143,0.0,0.0,0.0,0.034,5,0.2,0,1,0.0,0,0.0,3,5,0,0,1,0,2,0,11.5,6,67,60,0.0833,3,0.333,105.8,98.7,7.1,0.208,0.057,0.2,95.58,0.8,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.422,0.392,0.084,0.2,0,0,0,0,11,14,14,16,14,0,ESPN
2015-11-06,Jose Calderon,NYK,MIL,G,16:08,0.107,0.111,0.3,0.0,0.133,0.455,0.111,0.0,0.0,0.25,0.0,3,0.0,0,3,0.0,0,0.0,2,5,0,0,1,2,0,-7,8.25,4,41,36,0.1389,1,0.0,83.5,101.4,-17.9,0.455,0.077,0.0,97.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.276,0.119,0.231,0,0,0,0,12,4,6,20,4,0,
