DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Josh Huestis,OKC,RMD,,8:23,0.053,0.0,0.0,0.0,0.4,0.0,0.333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,2,0,0,0,1,0,0,-8,2.0,0,0,0,,0,0.0,111.4,155.9,-44.5,0.0,0.154,0.0,102.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.643,0.111,0.333,0,0,0,0,2,3,6,4,3,0,NBA TV
2016-10-05,Josh Huestis,OKC,FCB,,19:01,0.075,0.107,0.167,0.0,0.071,0.0,0.0,0.0,0.5,0.0,0.05,3,0.333,0,1,0.0,0,0.0,1,0,0,1,0,0,2,1,5.25,0,0,0,,0,0.0,107.9,109.1,-1.2,0.0,0.048,0.333,91.93,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.625,0.143,0.196,0.083,0,0,0,2,10,4,2,8,4,1,NBA TV
2016-10-11,Josh Huestis,OKC,DAL,,27:34,0.149,0.157,0.158,0.143,0.12,0.0,0.111,0.0,1.0,0.067,0.186,8,0.5,1,3,0.333,2,1.0,3,0,0,1,1,1,11,-7,16.75,0,0,0,,0,0.0,103.2,119.0,-15.7,0.0,0.057,0.563,98.08,0.625,0.375,0.545,0.273,0.182,0.364,1.0,0.0,0.554,0.37,0.18,0.333,2,0,0,4,9,10,8,24,10,1,
2016-10-13,Josh Huestis,OKC,MEM,,27:59,0.148,0.146,0.2,0.083,0.31,0.143,0.2,0.0,0.5,0.091,0.123,6,0.5,1,2,0.5,2,0.0,9,1,0,2,3,2,7,-17,22.5,0,0,0,,0,0.0,94.1,112.5,-18.4,0.077,0.17,0.583,108.34,0.667,0.333,0.571,0.429,0.0,0.286,0.333,0.667,0.481,0.547,0.061,0.148,0,0,0,2,24,10,11,26,10,2,
2016-10-18,Josh Huestis,OKC,DEN,,25:49,0.156,0.14,0.2,0.25,0.167,0.091,0.2,0.0,1.0,0.188,0.149,7,0.429,1,2,0.5,2,0.0,5,1,0,2,2,3,7,5,18.0,0,0,0,,0,0.0,83.2,72.5,10.6,0.063,0.089,0.5,106.39,0.714,0.286,0.571,0.429,0.0,0.571,0.667,0.333,0.316,0.367,0.138,0.233,0,0,2,4,14,10,3,14,10,1,
2016-03-24,Josh Huestis,OKC,UTA,,4:49,0.295,0.167,0.333,0.5,0.0,0.0,0.5,0.0,0.0,0.333,0.25,1,1.0,1,1,1.0,2,0.0,0,0,0,0,1,1,3,-3,3.0,0,9,6,0.0,0,0.0,123.0,196.3,-73.4,0.0,0.0,1.5,86.7,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.125,1.5,0.131,0.0,0,0,0,0,2,0,2,6,0,1,
2016-03-29,Josh Huestis,OKC,DET,,15:44,0.085,0.125,0.2,0.0,0.083,0.0,0.0,0.0,1.0,0.25,0.167,3,0.667,1,1,1.0,0,0.0,1,0,0,1,0,1,5,3,8.75,8,8,5,0.0,2,0.5,93.2,89.8,3.4,0.0,0.04,0.833,95.0,0.667,0.333,0.4,0.6,0.0,0.4,1.0,0.0,0.389,0.259,0.166,0.357,0,0,0,2,10,6,2,12,6,0,
2016-04-06,Josh Huestis,OKC,POR,,20:57,0.111,0.073,0.182,0.143,0.25,0.0,0.333,0.5,0.5,0.0,0.102,3,0.667,2,2,1.0,2,0.0,6,0,1,1,2,0,6,11,17.5,9,17,11,0.0,1,0.0,125.1,107.3,17.8,0.0,0.154,1.0,105.26,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.487,0.333,0.089,0.182,0,0,0,0,0,2,6,22,2,1,
2016-04-11,Josh Huestis,OKC,LAL,,8:01,0.188,0.214,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.167,0.0,3,0.0,0,1,0.0,0,0.0,2,0,0,0,0,1,0,-5,2.5,7,7,4,0.0,2,0.0,73.3,97.6,-24.2,0.0,0.105,0.0,94.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.714,0.061,0.3,0,0,0,0,2,2,3,4,2,0,
2016-04-12,Josh Huestis,OKC,SAS,,5:28,0.154,0.2,0.5,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,1,0,0,0,0,0,0,-4,1.25,2,6,5,0.0,0,0.0,72.7,111.5,-38.8,0.0,0.1,0.0,95.53,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.444,0.093,0.2,0,0,0,0,4,4,0,4,4,0,TNT
2016-04-16,Josh Huestis,OKC,DAL,,7:46,0.11,0.182,0.143,0.0,0.111,0.0,0.0,0.0,0.0,0.167,0.0,2,0.0,0,1,0.0,0,0.0,1,0,0,0,0,1,0,1,1.25,5,5,3,0.0,1,0.0,72.4,66.3,6.1,0.0,0.063,0.0,93.57,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.636,0.199,0.25,0,0,0,0,4,1,3,6,1,1,ESPN
2016-04-21,Josh Huestis,OKC,DAL,,2:27,0.205,0.25,0.5,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.6,1,1.0,1,1,1.0,0,0.0,2,0,0,0,0,0,3,1,6.0,2,5,4,0.0,0,0.0,102.5,86.2,16.3,0.0,0.333,1.5,93.26,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.216,0.25,0,0,0,0,0,1,2,0,1,0,TNT
