DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,Josh McRoberts,MIA,CHA,,13:28,0.0,0.0,0.0,0.0,0.273,0.4,0.0,0.0,0.0,0.111,0.0,0,0.0,0,0,0.0,0,0.0,3,2,0,0,0,1,0,5,6.25,6,24,24,0.0833,0,0.0,108.4,88.6,19.8,0.286,0.143,0.0,92.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.474,0.154,0.083,0,0,0,0,7,0,2,6,0,0,
2015-10-30,Josh McRoberts,MIA,CLE,,13:22,0.116,0.095,0.143,0.0,0.25,0.2,0.333,0.0,0.0,0.286,0.105,2,0.5,0,1,0.0,0,0.0,2,1,0,0,1,2,2,-17,5.25,4,22,20,0.05,0,0.0,80.0,137.4,-57.4,0.167,0.095,0.5,89.7,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.64,0.2,0.038,0.25,0,0,0,2,0,5,3,16,5,0,ESPN
2015-11-01,Josh McRoberts,MIA,HOU,,5:11,0.182,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,2,0,0,0,2,0,0,-10,1.5,2,10,7,0.0,0,0.0,18.2,110.3,-92.1,0.0,0.182,0.0,101.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.092,0.167,0,0,0,0,5,2,2,2,2,1,
2015-11-03,Josh McRoberts,MIA,ATL,,10:24,0.084,0.1,0.222,0.0,0.2,0.5,0.0,0.0,0.0,0.714,0.0,2,0.0,0,2,0.0,0,0.0,2,1,0,0,0,5,0,-6,3.75,4,24,22,0.0455,0,0.0,64.0,92.4,-28.4,0.167,0.083,0.0,100.51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.375,0.231,0.2,0,0,0,0,3,2,4,12,2,0,NBA TV
2015-11-05,Josh McRoberts,MIA,MIN,,17:10,0.03,0.04,0.0,0.0,0.167,0.333,0.0,0.0,0.0,0.143,0.0,1,0.0,0,0,0.0,0,0.0,2,2,0,0,0,1,0,0,5.0,6,29,28,0.0714,0,0.0,103.3,94.1,9.2,0.167,0.065,0.0,93.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.226,0.171,0.313,0,0,0,0,2,7,4,16,7,2,
2015-11-06,Josh McRoberts,MIA,IND,,16:38,0.19,0.16,0.429,0.0,0.118,0.625,0.5,0.0,0.0,0.167,0.229,4,0.75,2,3,0.667,0,0.0,2,5,0,0,2,1,8,14,16.75,4,36,30,0.1667,1,1.0,118.1,64.3,53.7,0.5,0.071,1.0,89.86,0.25,0.75,0.25,0.75,0.0,0.25,0.667,0.333,0.315,0.222,0.153,0.118,0,0,0,2,2,2,2,8,2,1,ESPN
2015-11-08,Josh McRoberts,MIA,TOR,,19:27,0.197,0.212,0.222,0.143,0.143,0.3,0.167,0.6,0.0,0.125,0.111,7,0.286,0,2,0.0,2,0.5,3,3,3,0,1,1,5,19,18.0,4,37,26,0.1154,4,0.5,112.1,67.1,44.9,0.231,0.086,0.286,97.37,0.714,0.286,0.8,0.0,1.0,0.8,1.0,0.0,0.288,0.5,0.258,0.158,5,2,0,4,7,2,5,8,2,1,
2015-11-10,Josh McRoberts,MIA,LAL,,18:23,0.172,0.156,0.125,0.0,0.25,0.333,0.667,0.25,0.0,0.333,0.111,5,0.4,0,1,0.0,0,0.0,4,3,1,0,2,1,4,0,13.75,5,40,33,0.0909,4,0.5,103.7,99.4,4.2,0.3,0.114,0.4,92.59,0.8,0.2,1.0,0.0,0.5,1.0,1.0,0.0,0.516,0.161,0.193,0.286,2,2,0,4,5,8,2,6,8,1,
2015-11-12,Josh McRoberts,MIA,UTA,,18:14,0.126,0.103,0.5,0.308,0.182,0.0,0.0,0.0,0.0,0.6,0.1,3,0.0,0,1,0.0,4,1.0,4,0,0,0,0,3,4,14,9.0,10,29,24,0.0,3,0.0,115.2,69.7,45.5,0.0,0.111,0.0,94.82,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.295,0.077,0.054,0.208,0,0,0,0,0,8,2,20,8,2,
2015-11-17,Josh McRoberts,MIA,MIN,,11:37,0.142,0.056,0.0,0.0,0.231,0.5,0.375,0.0,0.0,0.375,0.0,1,0.0,0,0,0.0,0,0.0,3,1,0,0,3,3,0,-18,3.5,5,22,17,0.0588,1,0.0,43.7,115.6,-72.0,0.2,0.12,0.0,103.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.292,0.0,0.167,0,0,0,0,9,2,6,12,2,1,
