DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-11-05,Josh Richardson,MIA,MIN,,6:50,0.188,0.167,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.667,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,2,0,-10,-0.5,0,5,3,0.0,0,0.0,75.2,141.1,-65.9,0.0,0.0,0.0,82.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.444,0.392,1.0,0,0,0,0,4,2,0,6,2,1,
2015-11-10,Josh Richardson,MIA,LAL,,14:45,0.065,0.05,0.143,0.222,0.0,0.25,0.0,0.333,0.0,0.5,0.04,1,0.0,0,1,0.0,2,0.5,0,2,1,0,0,1,1,-13,5.5,0,16,14,0.1429,0,0.0,92.7,131.6,-38.8,0.222,0.0,0.0,90.82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.074,0.139,0.375,0,0,0,0,7,8,4,10,8,1,
2015-11-12,Josh Richardson,MIA,UTA,G,20:46,0.119,0.135,0.333,0.0,0.158,0.0,0.0,0.0,0.0,0.5,0.222,5,0.6,2,3,0.667,0,0.0,3,0,0,0,0,4,8,2,12.75,4,27,20,0.0,1,1.0,90.3,85.6,4.7,0.0,0.075,0.8,91.99,0.4,0.6,0.25,0.75,0.0,0.25,1.0,0.0,0.338,0.351,0.05,0.227,0,0,0,2,3,4,5,18,4,2,
2015-11-21,Josh Richardson,MIA,PHI,,4:24,0.286,0.167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-12,-0.5,1,6,4,0.0,0,0.0,0.0,137.0,-137.0,0.0,0.0,0.0,85.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5,0.114,0.5,0,0,0,0,3,4,0,2,4,0,
2015-11-25,Josh Richardson,MIA,DET,,5:39,0.1,0.1,0.0,0.0,0.25,0.167,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,5,2.5,1,11,10,0.1,1,0.0,155.6,112.5,43.1,0.167,0.1,0.0,72.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.125,0.5,0,0,0,0,0,2,0,2,2,0,
2015-11-27,Josh Richardson,MIA,NYK,,1:48,0.667,0.667,0.667,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2,0.5,1,2,0.5,0,0.0,1,0,0,0,0,0,3,1,4.75,1,4,2,0.0,1,1.0,100.0,50.0,50.0,0.0,0.25,0.75,93.33,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-12-03,Josh Richardson,MIA,OKC,,8:20,0.045,0.0,0.0,0.333,0.25,0.0,0.0,0.0,0.0,0.0,0.071,0,0.0,0,0,0.0,2,0.5,2,0,0,0,0,0,1,1,3.5,2,9,7,0.0,0,0.0,79.4,67.3,12.1,0.0,0.143,0.0,106.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.214,0.207,0.0,0,0,0,0,2,4,2,6,4,1,TNT
2015-12-05,Josh Richardson,MIA,CLE,,7:34,0.067,0.0,0.0,0.0,0.143,0.0,0.167,0.0,0.0,0.333,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,1,2,0,-11,0.75,2,6,5,0.0,0,0.0,47.0,106.9,-59.8,0.0,0.063,0.0,100.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.786,0.119,0.364,0,0,0,0,6,10,3,2,10,1,NBA TV
2015-12-07,Josh Richardson,MIA,WAS,,8:15,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.4,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,2,0,-6,1.25,1,5,5,0.0,0,0.0,73.3,103.6,-30.3,0.0,0.077,0.0,84.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.071,0.13,0.167,0,0,0,0,0,0,0,8,0,0,
2015-12-09,Josh Richardson,MIA,CHA,,15:26,0.13,0.13,0.375,0.235,0.133,0.333,0.0,0.333,0.0,0.25,0.172,3,0.333,1,3,0.333,4,0.5,2,2,1,0,0,2,5,7,12.5,4,24,19,0.1053,1,1.0,84.1,65.6,18.5,0.286,0.069,0.5,105.75,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.413,0.348,0.239,0.071,0,2,0,0,5,2,6,10,2,2,
