DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Justin Anderson,DAL,NOP,G,26:55,0.142,0.146,0.278,0.231,0.227,0.214,0.0,0.2,0.0,0.1,0.23,7,0.571,3,5,0.6,3,1.0,5,3,1,0,0,1,14,3,27.5,0,0,0,,0,0.0,113.6,103.4,10.1,0.176,0.104,0.786,97.9,0.286,0.714,0.143,0.643,0.214,0.143,0.75,0.25,0.553,0.149,0.178,0.19,3,0,0,2,9,4,7,20,4,1,
2016-10-03,Justin Anderson,DAL,CHA,,15:44,0.393,0.379,0.444,0.667,0.167,0.2,0.4,0.0,0.0,0.0,0.333,11,0.364,0,4,0.0,2,0.5,3,1,0,0,2,0,9,2,13.0,0,0,0,,0,0.0,89.1,79.3,9.7,0.143,0.097,0.364,94.33,0.636,0.364,0.889,0.0,0.0,0.444,0.25,0.75,0.365,0.308,0.159,0.188,0,0,0,4,4,4,2,10,4,2,
2016-10-08,Justin Anderson,DAL,MIL,,16:22,0.232,0.229,0.273,0.4,0.294,0.167,0.0,0.0,0.0,0.167,0.273,8,0.375,1,3,0.333,2,1.0,5,1,0,0,0,1,9,4,17.0,0,0,0,,0,0.0,105.8,92.0,13.8,0.091,0.139,0.438,91.93,0.625,0.375,0.444,0.333,0.222,0.444,1.0,0.0,0.393,0.286,0.19,0.375,2,0,0,4,0,4,4,18,4,1,
2016-10-11,Justin Anderson,DAL,OKC,,20:21,0.126,0.161,0.375,0.0,0.278,0.077,0.1,0.25,0.0,0.143,0.127,5,0.6,1,3,0.333,0,0.0,5,1,1,0,1,1,7,2,16.5,0,0,0,,0,0.0,132.2,121.8,10.4,0.059,0.156,0.7,100.39,0.4,0.6,0.571,0.429,0.0,0.571,0.333,0.667,0.6,0.2,0.161,0.368,0,0,2,4,12,7,8,22,7,0,
2016-10-14,Justin Anderson,DAL,PHX,,16:22,0.264,0.25,0.143,0.333,0.077,0.125,0.25,0.333,0.25,0.0,0.317,7,0.571,1,1,1.0,5,0.8,1,1,1,1,1,0,13,-3,19.5,0,0,0,,0,0.0,115.2,122.9,-7.7,0.1,0.037,0.643,104.7,0.857,0.143,0.462,0.231,0.0,0.308,0.5,0.5,0.483,0.69,0.112,0.375,0,0,2,4,3,5,4,12,5,3,
2016-10-19,Justin Anderson,DAL,HOU,,14:49,0.143,0.192,0.25,0.0,0.2,0.286,0.0,0.0,0.333,0.1,0.276,5,0.6,2,3,0.667,0,0.0,3,2,0,1,0,1,8,0,17.25,0,0,0,,0,0.0,90.4,92.4,-2.0,0.286,0.088,0.8,102.82,0.4,0.6,0.25,0.75,0.375,0.0,1.0,0.0,0.379,0.345,0.159,0.368,3,0,0,0,6,4,2,14,4,1,
2016-10-21,Justin Anderson,DAL,DEN,,11:54,0.342,0.364,0.5,0.0,0.714,0.2,0.333,0.0,1.0,0.0,0.143,8,0.125,0,3,0.0,0,0.0,5,1,0,1,1,0,2,-5,11.0,0,0,0,,0,0.0,55.3,83.0,-27.7,0.2,0.227,0.125,97.21,0.625,0.375,1.0,0.0,0.0,0.0,1.0,0.0,0.531,0.125,0.35,0.25,0,0,0,0,2,2,5,12,2,0,
2015-10-28,Justin Anderson,DAL,PHX,,3:28,0.25,0.286,0.25,0.0,0.333,0.0,0.0,0.0,0.0,0.5,1.0,2,0.5,0,1,0.0,0,0.0,1,0,0,0,0,2,2,-11,3.25,1,12,10,0.0,0,0.0,28.6,160.9,-132.3,0.0,0.125,0.5,104.4,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.125,1.75,0.124,0.0,0,0,0,2,0,0,7,6,0,0,
2015-10-29,Justin Anderson,DAL,LAC,,18:22,0.22,0.216,0.385,0.0,0.231,0.167,0.4,0.5,0.5,0.0,0.167,8,0.25,1,5,0.2,0,0.0,6,1,1,1,2,0,5,3,17.25,10,33,21,0.0476,2,0.0,72.3,67.4,4.9,0.111,0.125,0.313,106.63,0.375,0.625,0.4,0.6,0.0,0.4,1.0,0.0,0.311,0.189,0.075,0.12,0,2,0,2,3,2,4,12,2,0,TNT
2015-11-03,Justin Anderson,DAL,TOR,,0:42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.5,0,0,0.0,0,0.0,0,0,0,0,0,0,2,2,2.0,0,2,0,,1,0.0,100.0,0.0,100.0,0.0,0.0,0.5,104.1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,0,2,0,0,0,0,0,0,
2015-11-05,Justin Anderson,DAL,CHA,,3:49,0.102,0.125,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,6,1.25,1,6,5,0.0,0,0.0,102.7,37.5,65.2,0.0,0.091,0.0,105.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-07,Justin Anderson,DAL,NOP,,4:06,0.12,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,5,4,0.0,0,0.0,120.2,112.6,7.6,0.0,0.0,0.0,100.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.333,0.225,0.0,0,0,0,0,0,2,0,2,2,0,
2015-11-10,Justin Anderson,DAL,NOP,,15:21,0.153,0.143,0.2,0.2,0.118,0.111,0.167,0.0,0.0,0.0,0.25,4,1.0,1,1,1.0,2,1.0,2,1,0,0,1,0,11,4,14.75,3,17,11,0.0909,3,1.0,117.6,115.9,1.8,0.077,0.071,1.125,112.45,0.75,0.25,0.545,0.273,0.182,0.545,0.5,0.5,0.55,0.267,0.087,0.111,2,2,0,6,5,0,5,12,0,1,
2015-11-11,Justin Anderson,DAL,LAC,,10:24,0.13,0.167,0.25,0.0,0.25,0.0,0.0,0.5,1.0,0.2,0.28,3,1.0,1,1,1.0,0,0.0,2,0,1,1,0,1,7,2,14.0,3,12,9,0.0,1,1.0,113.2,101.6,11.6,0.0,0.111,1.167,103.17,0.667,0.333,0.571,0.429,0.429,0.286,1.0,0.0,0.475,0.3,0.088,0.222,3,3,0,2,4,4,2,8,4,0,ESPN
2015-11-13,Justin Anderson,DAL,LAL,,3:21,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,1,2,-1,2.0,0,3,2,0.0,0,0.0,51.0,50.8,0.3,0.0,0.0,1.0,98.58,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.143,0.286,0.127,0.2,2,2,0,2,2,2,0,2,2,0,
2015-11-14,Justin Anderson,DAL,HOU,F,12:24,0.213,0.182,0.4,0.0,0.077,0.0,0.5,0.0,0.0,0.0,0.103,4,0.25,1,4,0.25,0,0.0,1,0,0,0,2,0,3,5,3.75,2,26,19,0.0,0,0.0,110.7,97.4,13.3,0.0,0.048,0.375,98.4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.526,0.316,0.122,0.0,0,0,0,0,2,2,1,10,2,0,
2015-11-16,Justin Anderson,DAL,PHI,,1:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,2,2,0.0,0,0.0,103.1,180.2,-77.1,0.0,0.0,0.0,106.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.25,0.0,0.0,0,0,0,0,1,1,2,2,1,0,
2015-11-24,Justin Anderson,DAL,MEM,,4:35,0.327,0.25,0.2,1.0,0.167,0.0,0.333,0.0,0.0,0.0,0.5,2,0.5,0,1,0.0,2,0.5,1,0,0,0,1,0,3,-3,3.75,1,9,5,0.0,0,0.0,55.1,91.1,-35.9,0.0,0.083,0.5,108.71,0.5,0.5,0.667,0.0,0.667,0.0,1.0,0.0,0.389,0.222,0.101,0.167,2,2,0,0,0,0,4,2,0,1,
