DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Justin Holiday,NYK,HOU,,18:20,0.152,0.158,0.286,0.4,0.143,0.222,0.0,0.0,0.0,0.0,0.108,6,0.167,1,4,0.25,2,0.5,2,2,0,0,0,0,4,-1,9.5,0,0,0,,0,0.0,92.0,94.5,-2.5,0.143,0.063,0.25,105.25,0.333,0.667,0.0,0.75,0.75,0.0,1.0,0.0,0.63,0.185,0.299,0.1,3,0,3,0,5,3,2,12,3,3,ESPN
2016-10-08,Justin Holiday,NYK,BKN,,9:33,0.152,0.188,0.4,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0,2,0.0,0,0.0,1,0,0,0,0,0,0,2,1.25,0,0,0,,0,0.0,106.6,95.9,10.7,0.0,0.05,0.0,94.29,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.211,0.107,0.364,0,0,0,0,4,0,4,10,0,0,
2016-10-10,Justin Holiday,NYK,WAS,,6:25,0.36,0.5,0.333,0.0,0.25,1.0,0.0,1.0,0.0,0.0,0.286,5,0.2,0,1,0.0,0,0.0,1,1,2,0,0,0,2,-4,8.5,0,0,0,,0,0.0,58.9,85.4,-26.5,1.0,0.091,0.2,92.61,0.8,0.2,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.182,0.311,0.6,2,0,2,2,0,2,0,4,2,0,NBA TV
2016-10-15,Justin Holiday,NYK,BOS,,24:26,0.2,0.18,0.235,0.667,0.154,0.278,0.25,0.0,0.0,0.083,0.236,9,0.556,2,4,0.5,2,0.5,4,5,0,0,2,1,13,1,24.25,0,0,0,,0,0.0,109.3,104.2,5.1,0.278,0.091,0.667,100.31,0.556,0.444,0.462,0.462,0.231,0.154,0.8,0.2,0.553,0.526,0.135,0.105,3,0,0,2,6,4,8,16,4,1,NBA TV
2016-10-19,Justin Holiday,NYK,BOS,,14:43,0.24,0.231,0.25,0.286,0.125,0.143,0.2,0.429,0.0,0.143,0.344,6,0.5,1,2,0.5,6,0.667,2,1,3,0,1,1,11,3,20.75,0,0,0,,0,0.0,88.3,80.4,7.9,0.167,0.061,0.583,117.94,0.667,0.333,0.364,0.273,0.364,0.0,1.0,0.0,0.371,0.226,0.249,0.368,4,2,0,0,2,8,2,16,8,3,ESPN
2016-10-20,Justin Holiday,NYK,BKN,,19:09,0.188,0.194,0.333,0.278,0.077,0.167,0.1,0.0,0.0,0.133,0.318,6,0.667,1,2,0.5,5,1.0,1,2,0,0,1,2,14,-9,17.75,0,0,0,,0,0.0,93.8,115.9,-22.1,0.2,0.033,0.75,116.1,0.667,0.333,0.429,0.214,0.0,0.143,1.0,0.0,0.667,0.394,0.241,0.267,0,3,2,2,14,5,10,20,5,2,NBA TV
2015-10-29,Justin Holiday,ATL,NYK,,12:56,0.078,0.105,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.118,2,0.5,0,1,0.0,0,0.0,0,0,0,0,0,1,2,-9,2.0,1,9,6,0.0,0,0.0,71.9,98.0,-26.1,0.0,0.0,0.5,93.08,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.476,0.381,0.226,0.333,2,0,0,2,2,2,4,6,2,1,TNT
2015-11-03,Justin Holiday,ATL,MIA,,12:49,0.272,0.304,0.625,0.0,0.133,0.167,0.167,1.0,0.0,0.2,0.292,7,0.429,1,5,0.2,0,0.0,2,1,1,0,1,1,7,4,12.75,5,18,11,0.0909,1,1.0,90.8,70.6,20.2,0.143,0.069,0.5,102.5,0.286,0.714,0.571,0.429,0.286,0.571,0.667,0.333,0.36,0.12,0.212,0.25,2,4,0,4,2,4,2,14,4,2,NBA TV
2015-11-04,Justin Holiday,ATL,BKN,,29:06,0.154,0.196,0.182,0.0,0.042,0.154,0.1,0.111,0.8,0.083,0.097,9,0.333,0,2,0.0,0,0.0,1,2,1,4,1,1,6,17,19.25,2,33,23,0.087,5,0.2,103.7,81.2,22.5,0.111,0.02,0.333,95.01,0.778,0.222,1.0,0.0,0.0,0.0,0.667,0.333,0.388,0.204,0.199,0.321,0,0,0,0,8,7,5,14,7,1,
2015-11-06,Justin Holiday,ATL,NOP,,14:55,0.116,0.13,0.0,0.0,0.154,0.091,0.143,0.0,0.0,0.2,0.114,3,0.667,0,0,0.0,0,0.0,2,1,0,0,1,2,4,-1,7.25,3,19,14,0.0714,3,0.667,108.0,105.0,3.0,0.1,0.091,0.667,107.24,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.48,0.48,0.175,0.154,4,0,0,4,9,3,9,14,3,1,
