DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Justise Winslow,MIA,WAS,F,23:23,0.171,0.19,0.357,0.0,0.074,0.167,0.125,0.0,0.0,0.111,0.19,8,0.625,2,5,0.4,0,0.0,2,3,0,0,1,1,12,20,18.75,0,0,0,,0,0.0,126.9,86.1,40.8,0.136,0.044,0.75,102.23,0.375,0.625,0.5,0.5,0.0,0.5,1.0,0.0,0.396,0.188,0.08,0.2,0,2,0,6,7,4,4,22,4,0,
2016-10-08,Justise Winslow,MIA,MIN,F,26:43,0.161,0.152,0.125,0.333,0.174,0.143,0.083,0.0,0.2,0.222,0.113,7,0.286,0,1,0.0,6,0.5,4,2,0,1,1,4,7,-7,16.0,0,0,0,,0,0.0,98.5,114.6,-16.1,0.095,0.08,0.286,110.6,0.857,0.143,0.571,0.0,0.0,0.286,0.5,0.5,0.48,0.612,0.083,0.259,0,0,0,2,17,9,18,20,9,3,
2016-10-11,Justise Winslow,MIA,BKN,F,21:05,0.191,0.143,0.071,0.333,0.259,0.333,0.429,0.0,0.0,0.5,0.088,6,0.333,0,1,0.0,2,0.5,7,4,0,0,3,6,5,20,17.25,0,0,0,,0,0.0,124.9,85.3,39.6,0.19,0.159,0.333,101.36,0.833,0.167,0.8,0.0,0.0,0.8,0.5,0.5,0.389,0.278,0.138,0.125,0,0,0,4,4,0,2,12,0,2,NBA TV
2016-10-14,Justise Winslow,MIA,SAS,F,26:54,0.255,0.245,0.167,0.167,0.192,0.118,0.375,0.25,0.5,0.182,0.234,12,0.5,2,3,0.667,2,0.5,5,2,1,1,3,2,15,15,27.25,0,0,0,,0,0.0,109.8,86.2,23.6,0.105,0.104,0.583,102.71,0.75,0.25,0.533,0.4,0.2,0.533,0.5,0.5,0.426,0.234,0.158,0.154,3,0,2,8,9,7,6,18,7,1,
2016-10-15,Justise Winslow,MIA,MIN,F,7:12,0.333,0.308,0.667,0.0,0.0,0.25,0.5,0.0,0.0,1.0,0.385,4,0.5,1,2,0.5,0,0.0,0,1,0,0,1,2,5,-2,6.25,0,0,0,,0,0.0,92.9,107.1,-14.3,0.25,0.0,0.625,93.33,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.469,0.0,0.0,0.25,0,0,0,0,0,3,4,6,3,0,
2016-10-21,Justise Winslow,MIA,PHI,F,16:26,0.312,0.276,0.25,0.286,0.25,0.333,0.5,1.0,0.0,0.333,0.172,8,0.25,0,2,0.0,2,0.5,4,1,1,0,3,3,5,-9,11.75,0,0,0,,0,0.0,90.4,118.5,-28.1,0.091,0.133,0.25,93.7,0.75,0.25,0.8,0.0,0.4,0.4,0.0,1.0,0.552,0.241,0.125,0.286,2,2,0,2,4,4,2,18,4,4,
2015-10-28,Justise Winslow,MIA,CHA,,25:30,0.079,0.051,0.071,0.0,0.28,0.133,0.286,0.0,0.0,0.267,0.082,2,1.0,1,1,1.0,0,0.0,7,2,0,0,2,4,5,26,15.75,11,29,24,0.0833,1,1.0,122.4,72.5,49.9,0.105,0.149,1.25,92.35,0.5,0.5,0.4,0.6,0.4,0.4,1.0,0.0,0.31,0.286,0.166,0.226,2,3,0,2,9,3,4,14,3,0,
2015-10-30,Justise Winslow,MIA,CLE,,18:48,0.101,0.129,0.25,0.0,0.267,0.143,0.0,0.0,0.0,0.2,0.067,4,0.25,0,2,0.0,0,0.0,4,1,0,0,0,2,2,-16,8.25,4,21,16,0.0625,2,0.5,80.0,118.1,-38.1,0.1,0.118,0.25,97.63,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.557,0.257,0.077,0.188,0,0,0,2,3,5,3,16,5,0,ESPN
2015-11-01,Justise Winslow,MIA,HOU,,30:40,0.123,0.14,0.167,0.0,0.086,0.118,0.1,0.286,0.0,0.222,0.132,8,0.5,2,2,1.0,0,0.0,3,2,2,0,1,2,10,24,20.75,7,34,24,0.0833,3,0.333,116.6,75.9,40.7,0.08,0.053,0.625,104.62,0.75,0.25,0.4,0.6,0.0,0.4,0.5,0.5,0.409,0.145,0.175,0.069,0,0,0,4,15,4,4,28,4,0,
2015-11-03,Justise Winslow,MIA,ATL,,22:30,0.194,0.189,0.214,0.0,0.182,0.0,0.273,0.0,0.0,0.167,0.111,7,0.286,0,3,0.0,0,0.0,4,0,0,0,3,2,4,-5,7.5,5,25,15,0.0,3,0.333,75.8,87.1,-11.3,0.0,0.083,0.286,100.91,0.571,0.429,1.0,0.0,0.0,1.0,1.0,0.0,0.417,0.167,0.212,0.308,0,0,0,4,9,10,4,22,10,0,NBA TV
