DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jusuf Nurkic,DEN,TOR,C,23:26,0.281,0.25,0.0,0.318,0.526,0.273,0.375,1.0,1.0,0.267,0.306,9,0.444,0,0,0.0,7,1.0,10,3,2,2,3,4,15,-1,37.75,0,0,0,,0,0.0,102.8,98.2,4.6,0.273,0.256,0.444,100.96,1.0,0.0,0.533,0.0,0.467,0.533,0.5,0.5,0.427,0.439,0.157,0.316,7,0,0,8,10,8,6,16,8,9,
2016-10-07,Jusuf Nurkic,DEN,LAL,C,26:33,0.308,0.24,0.0,0.474,0.452,0.125,0.462,0.444,0.5,0.2,0.321,12,0.417,0,0,0.0,9,0.889,14,2,4,1,6,2,18,-4,45.0,0,0,0,,0,0.0,87.0,92.1,-5.1,0.154,0.259,0.417,117.08,1.0,0.0,0.556,0.0,0.222,0.556,0.8,0.2,0.521,0.292,0.2,0.077,4,2,2,10,17,2,16,26,2,9,NBA TV
2016-10-09,Jusuf Nurkic,DEN,LAL,C,31:13,0.234,0.208,0.0,0.293,0.471,0.231,0.25,0.0,0.0,0.273,0.253,10,0.6,0,0,0.0,12,0.75,16,3,0,0,3,3,21,0,43.25,0,0,0,,0,0.0,116.8,120.4,-3.6,0.15,0.314,0.6,107.6,1.0,0.0,0.571,0.0,0.0,0.571,0.333,0.667,0.625,0.321,0.087,0.036,0,0,4,12,13,2,10,24,2,6,NBA TV
2016-10-14,Jusuf Nurkic,DEN,GSW,C,20:14,0.236,0.216,0.0,0.167,0.28,0.167,0.375,0.25,0.0,0.6,0.17,8,0.5,0,0,0.0,2,0.5,7,2,1,0,3,3,9,8,20.75,0,0,0,,0,0.0,117.0,97.2,19.9,0.125,0.167,0.5,108.65,1.0,0.0,0.889,0.0,0.222,0.667,0.5,0.5,0.512,0.073,0.13,0.091,2,0,4,6,7,5,6,16,5,3,
2016-10-16,Jusuf Nurkic,DEN,POR,C,22:25,0.247,0.171,0.0,0.6,0.429,0.091,0.167,0.0,0.0,0.25,0.241,6,0.333,0,0,0.0,12,0.75,9,1,0,0,1,1,13,2,25.0,0,0,0,,0,0.0,120.5,117.6,2.9,0.067,0.209,0.333,95.29,1.0,0.0,0.308,0.0,0.154,0.154,0.5,0.5,0.583,0.119,0.158,0.304,2,2,2,2,9,5,5,10,5,7,NBA TV
2016-10-18,Jusuf Nurkic,DEN,OKC,C,24:23,0.234,0.17,0.0,0.444,0.481,0.25,0.429,0.0,0.25,0.286,0.105,8,0.125,0,0,0.0,8,0.25,13,1,0,1,3,2,4,-16,22.0,0,0,0,,0,0.0,74.6,109.3,-34.7,0.077,0.236,0.125,98.74,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.213,0.061,0.238,0,0,2,2,10,8,7,30,8,4,
2016-10-21,Jusuf Nurkic,DEN,DAL,C,15:33,0.18,0.167,0.0,0.333,0.462,0.2,0.167,0.0,0.5,0.25,0.235,4,0.75,0,0,0.0,2,1.0,6,2,0,1,1,1,8,13,19.5,0,0,0,,0,0.0,114.7,73.0,41.7,0.2,0.3,0.75,90.14,1.0,0.0,0.75,0.0,0.25,0.75,1.0,0.0,0.409,0.182,0.209,0.091,2,0,2,6,4,0,2,6,0,3,
2016-01-02,Jusuf Nurkic,DEN,GSW,,4:47,0.588,0.556,0.0,0.8,0.333,0.0,0.5,0.0,0.0,0.0,0.333,5,0.0,0,0,0.0,4,0.75,2,0,0,0,1,0,3,-3,5.0,3,19,11,0.0,5,0.0,80.4,110.3,-29.9,0.0,0.167,0.0,110.78,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.556,0.222,0.092,0.0,1,0,0,0,2,0,2,8,0,2,
2016-01-03,Jusuf Nurkic,DEN,POR,,14:39,0.337,0.292,0.0,0.529,0.667,0.0,0.0,0.0,0.333,0.5,0.353,7,0.571,0,0,0.0,9,0.444,8,0,0,1,0,2,12,7,24.0,9,33,24,0.0,4,0.75,119.4,87.2,32.2,0.0,0.348,0.571,97.38,1.0,0.0,0.667,0.0,0.333,0.667,0.5,0.5,0.479,0.375,0.161,0.2,4,0,6,8,1,2,0,8,2,6,
2016-01-06,Jusuf Nurkic,DEN,MIN,,22:00,0.384,0.359,0.0,0.667,0.435,0.167,0.333,0.0,1.0,0.385,0.375,14,0.429,0,0,0.0,6,0.5,10,2,0,5,1,5,15,9,39.5,15,49,30,0.0667,13,0.385,102.7,81.5,21.2,0.2,0.244,0.429,84.0,1.0,0.0,0.8,0.0,0.267,0.667,0.833,0.167,0.306,0.516,0.105,0.2,4,0,0,10,0,6,2,8,6,4,
2016-01-08,Jusuf Nurkic,DEN,MEM,,18:27,0.226,0.25,0.0,0.214,0.3,0.0,0.0,0.0,0.5,0.385,0.162,8,0.25,0,0,0.0,3,0.667,6,0,0,1,0,5,6,-4,15.5,11,29,18,0.0,6,0.333,99.6,112.4,-12.8,0.0,0.15,0.25,95.79,1.0,0.0,0.667,0.0,0.333,0.667,1.0,0.0,0.412,0.5,0.027,0.273,2,0,0,4,0,8,4,12,8,5,
2016-01-10,Jusuf Nurkic,DEN,CHA,,13:54,0.289,0.321,0.0,0.4,0.333,0.0,0.0,0.333,0.25,0.333,0.304,9,0.333,0,0,0.0,2,0.5,7,0,1,1,0,3,7,9,19.75,15,21,11,0.0,8,0.375,81.6,48.1,33.4,0.0,0.189,0.333,98.9,1.0,0.0,0.857,0.0,0.286,0.857,1.0,0.0,0.173,0.269,0.138,0.211,2,0,1,6,2,5,0,6,5,1,NBA TV
2016-01-13,Jusuf Nurkic,DEN,GSW,,14:49,0.295,0.276,0.0,0.182,0.267,0.143,0.667,0.0,0.5,0.333,0.195,8,0.375,0,0,0.0,2,1.0,4,1,0,1,2,2,8,0,15.25,9,41,30,0.0333,7,0.429,128.8,125.6,3.2,0.091,0.167,0.375,104.42,1.0,0.0,0.75,0.0,0.0,0.5,1.0,0.0,0.638,0.207,0.092,0.167,0,0,0,4,5,3,2,16,3,1,
2016-01-21,Jusuf Nurkic,DEN,MEM,,3:22,0.145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,3,0,-9,-0.5,2,7,6,0.0,0,0.0,58.1,160.9,-102.8,0.0,0.0,0.0,106.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.75,0.124,0.0,0,0,0,0,0,0,0,4,0,0,
2016-01-25,Jusuf Nurkic,DEN,ATL,,6:39,0.373,0.333,0.0,0.5,0.167,0.0,0.5,0.0,0.0,0.667,0.444,4,0.25,0,0,0.0,2,1.0,1,0,0,0,1,2,4,-12,4.75,3,14,9,0.0,4,0.25,61.0,154.0,-93.0,0.0,0.067,0.25,102.5,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.615,0.462,0.0,0.286,0,2,2,2,2,2,7,8,2,3,
2016-01-27,Jusuf Nurkic,DEN,BOS,,12:00,0.261,0.25,0.0,0.429,0.417,0.2,0.2,0.0,0.5,0.4,0.111,5,0.2,0,0,0.0,3,0.0,5,1,0,1,1,2,2,-13,11.0,11,26,19,0.0526,5,0.2,69.0,116.4,-47.3,0.167,0.192,0.2,105.44,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.543,0.261,0.075,0.091,0,0,0,2,7,4,9,8,4,2,
