DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,KJ McDaniels,HOU,SDS,,16:44,0.227,0.182,0.077,0.4,0.333,0.0,0.5,0.167,0.5,0.375,0.25,6,0.833,0,1,0.0,2,1.0,4,0,1,1,2,3,12,14,20.0,0,0,0,,0,0.0,132.6,90.6,42.0,0.0,0.174,0.833,105.73,0.833,0.167,0.833,0.0,0.333,0.833,0.8,0.2,0.519,0.296,0.267,0.25,4,2,0,10,7,0,9,24,0,2,NBA TV
2016-10-04,KJ McDaniels,HOU,NYK,,22:07,0.18,0.184,0.095,0.0,0.125,0.0,0.214,0.2,0.667,0.333,0.161,7,0.571,1,2,0.5,0,0.0,3,0,1,2,3,3,9,15,17.75,0,0,0,,0,0.0,110.8,84.5,26.3,0.0,0.079,0.643,107.47,0.714,0.286,0.667,0.333,0.444,0.667,0.75,0.25,0.398,0.182,0.165,0.269,4,4,2,6,15,8,2,18,8,0,ESPN
2016-10-09,KJ McDaniels,HOU,NOP,,20:10,0.182,0.167,0.125,0.227,0.333,0.0,0.2,0.0,0.333,0.214,0.22,6,0.5,1,2,0.5,5,0.8,8,0,0,2,1,3,11,3,25.0,0,0,0,,0,0.0,111.9,100.9,11.0,0.0,0.174,0.583,108.63,0.667,0.333,0.364,0.273,0.273,0.364,0.667,0.333,0.474,0.395,0.129,0.182,3,3,2,4,0,4,7,24,4,4,NBA TV
2016-10-12,KJ McDaniels,HOU,NOP,G,21:15,0.163,0.195,0.067,0.0,0.174,0.182,0.0,0.0,0.0,0.091,0.093,8,0.25,0,1,0.0,0,0.0,4,2,0,0,0,1,4,10,11.5,0,0,0,,0,0.0,97.5,72.2,25.4,0.133,0.089,0.25,101.42,0.875,0.125,1.0,0.0,0.0,1.0,1.0,0.0,0.293,0.317,0.109,0.25,0,0,0,4,4,7,1,14,7,1,NBA TV
2016-10-15,KJ McDaniels,HOU,MEM,G,10:29,0.094,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.154,2,0.5,0,1,0.0,0,0.0,0,0,0,0,0,2,2,-17,2.0,0,0,0,,0,0.0,61.3,134.6,-73.3,0.0,0.0,0.5,99.54,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.588,0.706,0.045,0.125,0,0,0,2,6,5,6,6,5,0,
2016-10-19,KJ McDaniels,HOU,DAL,,28:00,0.123,0.167,0.105,0.0,0.233,0.0,0.0,0.4,0.5,0.0,0.156,8,0.625,0,2,0.0,0,0.0,7,0,2,1,0,0,10,13,24.75,0,0,0,,0,0.0,113.8,84.8,29.0,0.0,0.13,0.625,99.77,0.75,0.25,1.0,0.0,0.6,1.0,0.2,0.8,0.39,0.28,0.199,0.276,6,6,4,10,6,6,6,12,6,0,
2016-10-21,KJ McDaniels,HOU,SAS,G,29:06,0.214,0.216,0.188,0.0,0.192,0.0,0.333,0.0,0.333,0.3,0.182,11,0.364,2,3,0.667,0,0.0,5,0,0,1,3,3,10,-17,17.75,0,0,0,,0,0.0,94.4,114.4,-20.0,0.0,0.098,0.455,99.99,0.727,0.273,0.4,0.6,0.0,0.4,0.75,0.25,0.561,0.158,0.079,0.136,0,0,0,4,16,5,15,34,5,0,
2015-10-28,KJ McDaniels,HOU,DEN,,1:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,1,1,0.0,0,0.0,108.7,166.7,-58.0,0.0,0.0,0.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-10-30,KJ McDaniels,HOU,GSW,,4:30,0.344,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.5,1.0,0.143,4,0.25,0,2,0.0,0,0.0,1,0,0,1,0,1,2,3,5.25,1,5,1,0.0,1,1.0,131.6,101.1,30.5,0.0,0.125,0.25,114.77,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.2,0.092,0.25,0,0,0,2,0,0,0,4,0,0,ESPN
2015-11-06,KJ McDaniels,HOU,SAC,,0:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-3,0.0,0,0,0,,0,0.0,0.0,208.3,-208.3,0.0,0.0,0.0,209.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,ESPN
2015-11-16,KJ McDaniels,HOU,BOS,,9:39,0.167,0.143,0.0,0.4,0.111,0.143,0.0,0.0,0.5,0.333,0.08,3,0.333,0,0,0.0,2,0.0,1,1,0,1,0,1,2,9,6.5,5,8,4,0.25,2,0.5,117.9,71.7,46.2,0.1,0.045,0.333,108.24,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.361,0.167,0.269,0.3,0,0,0,0,0,0,2,8,0,1,
2015-11-20,KJ McDaniels,HOU,MEM,,14:36,0.298,0.286,0.4,0.143,0.278,0.0,0.5,0.25,0.0,0.2,0.172,6,0.167,1,4,0.25,2,1.0,5,0,1,0,3,1,5,12,12.25,7,30,19,0.0,2,0.0,96.2,59.1,37.0,0.0,0.156,0.25,96.85,0.333,0.667,0.0,0.6,0.0,0.0,1.0,0.0,0.28,0.16,0.174,0.167,0,2,0,0,4,0,4,4,0,1,
2015-11-29,KJ McDaniels,HOU,NYK,,5:14,0.155,0.167,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0,0,0.0,0,0.0,1,0,0,0,0,2,0,-5,1.25,1,7,5,0.0,2,0.0,70.9,121.5,-50.6,0.0,0.111,0.0,90.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.333,0.304,0.0,0,0,0,0,0,0,0,8,0,0,
