DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Karl-Anthony Towns,MIN,MIA,C,26:37,0.3,0.353,0.4,0.207,0.345,0.091,0.0,0.0,0.333,0.364,0.29,18,0.389,2,4,0.5,6,0.667,10,1,0,2,0,4,20,9,38.75,0,0,0,,0,0.0,115.5,98.5,17.0,0.067,0.196,0.444,108.82,0.778,0.222,0.5,0.3,0.3,0.3,0.571,0.429,0.533,0.4,0.181,0.13,6,0,7,6,6,6,4,30,6,4,
2016-10-10,Karl-Anthony Towns,MIN,CHA,C,21:25,0.152,0.13,0.273,0.0,0.25,0.286,0.5,0.333,0.0,0.0,0.103,6,0.333,0,3,0.0,0,0.0,6,2,1,0,2,0,4,-4,15.0,0,0,0,,0,0.0,83.6,97.3,-13.7,0.143,0.12,0.333,101.8,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.476,0.122,0.09,0.143,0,2,0,4,5,2,2,18,2,0,
2016-10-12,Karl-Anthony Towns,MIN,DEN,C,25:40,0.298,0.286,0.182,0.345,0.348,0.267,0.286,0.0,0.5,0.375,0.277,12,0.417,1,2,0.5,10,0.7,8,4,0,1,2,3,18,19,34.5,0,0,0,,0,0.0,116.6,82.6,34.0,0.286,0.186,0.458,104.24,0.833,0.167,0.444,0.167,0.389,0.444,0.8,0.2,0.449,0.333,0.287,0.227,7,0,5,8,7,10,1,18,10,8,
2016-10-15,Karl-Anthony Towns,MIN,MIA,C,28:06,0.276,0.24,0.222,0.278,0.438,0.0,0.5,0.333,0.0,0.2,0.222,12,0.417,1,2,0.5,5,1.0,14,0,1,0,4,2,16,15,34.0,0,0,0,,0,0.0,128.8,103.1,25.6,0.0,0.298,0.458,94.99,0.833,0.167,0.5,0.188,0.0,0.5,0.4,0.6,0.544,0.267,0.145,0.12,0,0,10,8,14,2,2,20,2,3,
2016-10-19,Karl-Anthony Towns,MIN,MEM,C,24:27,0.329,0.263,0.143,0.567,0.346,0.167,0.25,0.0,0.167,0.182,0.419,10,0.7,0,1,0.0,17,1.0,9,2,0,1,2,2,31,36,45.75,0,0,0,,0,0.0,136.5,70.3,66.2,0.133,0.22,0.7,106.25,0.9,0.1,0.452,0.0,0.226,0.387,0.714,0.286,0.341,0.39,0.222,0.222,7,7,2,12,7,6,5,20,6,11,
2016-10-21,Karl-Anthony Towns,MIN,CHA,C,15:17,0.293,0.241,0.25,0.636,0.529,0.4,0.25,0.0,0.0,0.455,0.429,7,0.571,0,2,0.0,7,1.0,9,2,0,0,1,5,15,1,28.25,0,0,0,,0,0.0,103.4,103.9,-0.5,0.25,0.265,0.571,104.52,0.714,0.286,0.533,0.0,0.267,0.4,0.0,1.0,0.411,0.464,0.122,0.278,4,2,8,6,6,7,0,8,7,6,NBA TV
2015-10-28,Karl-Anthony Towns,MIN,LAL,C,31:53,0.196,0.182,0.083,0.1,0.429,0.053,0.429,0.0,0.0,0.2,0.192,10,0.6,0,1,0.0,2,1.0,12,1,0,0,3,4,14,6,28.75,22,37,24,0.0417,4,0.75,109.3,95.7,13.6,0.048,0.2,0.6,102.98,0.9,0.1,0.857,0.0,0.286,0.571,0.833,0.167,0.367,0.417,0.129,0.294,4,0,6,8,4,13,2,20,13,4,ESPN
2015-10-30,Karl-Anthony Towns,MIN,DEN,C,33:12,0.303,0.373,0.0,0.219,0.4,0.154,0.091,0.0,0.8,0.176,0.418,19,0.579,0,0,0.0,7,0.857,14,2,0,4,1,3,28,15,55.5,26,58,35,0.0571,10,0.7,97.0,73.7,23.3,0.2,0.189,0.579,100.97,1.0,0.0,0.786,0.0,0.179,0.5,0.818,0.182,0.309,0.221,0.156,0.349,5,5,2,14,6,14,5,32,14,6,
2015-11-02,Karl-Anthony Towns,MIN,POR,C,26:56,0.199,0.2,0.125,0.0,0.238,0.0,0.444,0.0,1.0,0.455,0.216,9,0.556,1,1,1.0,0,0.0,5,0,0,4,4,5,11,-5,23.75,10,31,17,0.0,5,0.6,84.4,98.5,-14.1,0.0,0.104,0.611,104.51,0.889,0.111,0.727,0.273,0.0,0.727,1.0,0.0,0.49,0.229,0.176,0.273,0,0,0,8,6,12,9,24,12,1,
2015-11-05,Karl-Anthony Towns,MIN,MIA,C,22:10,0.25,0.317,0.0,0.0,0.222,0.143,0.0,0.0,1.0,0.273,0.194,13,0.231,0,0,0.0,0,0.0,4,1,0,3,0,3,6,-21,18.25,12,32,18,0.0556,3,0.0,63.2,105.0,-41.8,0.111,0.093,0.231,106.75,1.0,0.0,1.0,0.0,0.333,0.333,1.0,0.0,0.558,0.186,0.162,0.25,2,0,2,2,15,5,9,30,5,1,
2015-11-07,Karl-Anthony Towns,MIN,CHI,C,26:47,0.3,0.367,0.0,0.059,0.382,0.167,0.0,0.333,0.667,0.364,0.354,18,0.444,0,0,0.0,1,1.0,13,2,1,4,0,4,17,15,45.75,21,39,20,0.1,15,0.467,89.8,57.9,31.8,0.182,0.224,0.444,98.95,1.0,0.0,0.941,0.0,0.294,0.824,0.625,0.375,0.281,0.188,0.158,0.133,5,0,6,14,4,2,0,12,2,2,
2015-11-09,Karl-Anthony Towns,MIN,ATL,C,31:49,0.176,0.13,0.125,0.571,0.4,0.059,0.182,0.0,0.6,0.231,0.224,7,0.714,0,1,0.0,8,0.875,12,1,0,3,2,3,17,11,38.25,18,44,28,0.0357,4,0.75,116.6,96.7,19.9,0.038,0.25,0.714,99.84,0.857,0.143,0.588,0.0,0.118,0.353,0.8,0.2,0.517,0.085,0.134,0.111,2,0,6,6,20,7,4,34,7,5,
2015-11-10,Karl-Anthony Towns,MIN,CHA,C,30:10,0.289,0.308,0.091,0.556,0.419,0.111,0.143,0.2,1.0,0.214,0.284,16,0.438,0,1,0.0,5,1.0,13,2,1,3,2,3,19,10,44.75,20,49,28,0.0714,8,0.375,103.1,85.0,18.1,0.105,0.255,0.438,105.04,0.938,0.063,0.737,0.0,0.158,0.316,0.857,0.143,0.469,0.327,0.209,0.103,3,2,3,6,11,4,5,24,4,4,
2015-11-12,Karl-Anthony Towns,MIN,GSW,C,30:14,0.291,0.273,0.0,0.182,0.407,0.0,0.5,0.5,0.0,0.133,0.27,15,0.467,0,0,0.0,4,0.75,11,0,1,0,5,2,17,-24,30.25,19,42,19,0.0,12,0.5,94.5,132.4,-37.9,0.0,0.208,0.467,105.1,1.0,0.0,0.824,0.0,0.0,0.706,0.571,0.429,0.673,0.236,0.122,0.136,0,0,6,12,14,8,10,32,8,2,TNT
2015-11-13,Karl-Anthony Towns,MIN,IND,C,27:11,0.169,0.196,0.0,0.25,0.45,0.143,0.0,0.5,0.0,0.0,0.226,9,0.556,0,0,0.0,2,1.0,9,1,1,0,0,0,12,-7,26.5,18,41,30,0.0333,6,0.5,97.2,115.7,-18.4,0.059,0.2,0.556,93.94,1.0,0.0,0.833,0.0,0.167,0.5,0.6,0.4,0.578,0.039,0.135,0.304,2,2,4,6,11,4,14,36,4,1,
2015-11-15,Karl-Anthony Towns,MIN,MEM,C,31:34,0.23,0.2,0.1,0.267,0.45,0.071,0.429,0.0,0.5,0.222,0.179,11,0.455,0,1,0.0,4,1.0,9,1,0,1,3,4,14,1,27.0,14,36,20,0.05,5,0.4,122.6,126.9,-4.3,0.04,0.225,0.455,94.49,0.909,0.091,0.714,0.0,0.143,0.429,0.0,1.0,0.663,0.512,0.165,0.118,2,0,4,6,2,4,9,28,4,3,
2015-11-17,Karl-Anthony Towns,MIN,MIA,C,26:02,0.248,0.231,0.0,0.08,0.438,0.0,0.8,0.333,0.5,0.25,0.203,12,0.5,0,0,0.0,2,1.0,14,0,2,1,4,4,14,14,35.5,25,51,34,0.0,8,0.5,119.0,97.6,21.4,0.0,0.241,0.5,105.45,1.0,0.0,0.857,0.0,0.429,0.429,0.333,0.667,0.522,0.422,0.177,0.241,6,2,8,6,6,6,10,36,6,1,
2015-11-18,Karl-Anthony Towns,MIN,ORL,C,37:21,0.24,0.214,0.125,0.273,0.333,0.0,0.333,0.0,0.667,0.182,0.318,12,0.667,0,1,0.0,6,0.833,12,0,0,6,4,2,21,-7,46.0,30,55,34,0.0,8,0.75,93.4,97.7,-4.3,0.0,0.162,0.667,93.43,0.917,0.083,0.762,0.0,0.19,0.667,0.75,0.25,0.428,0.171,0.094,0.326,4,0,4,14,15,13,14,44,13,4,
2015-11-20,Karl-Anthony Towns,MIN,DET,C,27:53,0.209,0.222,0.0,0.133,0.333,0.273,0.2,0.6,0.667,0.308,0.346,10,0.8,0,0,0.0,2,1.0,7,3,3,2,2,4,18,-14,39.5,13,46,30,0.1,5,0.8,87.2,113.0,-25.8,0.231,0.156,0.8,101.57,1.0,0.0,0.889,0.0,0.111,0.556,0.625,0.375,0.628,0.213,0.137,0.05,2,0,2,10,10,0,14,36,0,1,
2015-11-23,Karl-Anthony Towns,MIN,PHI,C,19:06,0.152,0.189,0.0,0.0,0.118,0.0,0.0,0.25,1.0,0.364,0.13,7,0.429,0,0,0.0,0,0.0,2,0,1,2,0,4,6,8,14.5,8,18,12,0.0,4,0.5,111.8,98.4,13.3,0.0,0.057,0.429,100.22,1.0,0.0,1.0,0.0,0.333,0.667,0.667,0.333,0.448,0.517,0.181,0.25,2,0,2,4,2,3,2,16,3,0,
2015-11-25,Karl-Anthony Towns,MIN,ATL,C,22:21,0.17,0.143,0.0,0.0,0.316,0.1,0.75,0.0,1.0,0.0,0.13,6,0.5,0,0,0.0,0,0.0,6,1,0,1,3,0,6,-2,15.25,12,29,19,0.0526,4,0.5,91.9,107.9,-16.0,0.077,0.136,0.5,101.5,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.5,0.486,0.157,0.238,0,0,0,6,6,10,6,16,10,1,
