DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Kawhi Leonard,SAS,PHX,F,20:22,0.269,0.313,0.455,1.0,0.222,0.25,0.133,0.333,0.0,0.077,0.425,10,0.6,3,5,0.6,2,1.0,4,2,2,0,2,1,17,3,29.0,0,0,0,,0,0.0,93.3,83.6,9.7,0.2,0.121,0.75,102.71,0.5,0.5,0.353,0.529,0.176,0.235,0.333,0.667,0.357,0.343,0.226,0.316,3,0,2,4,9,8,8,20,8,3,
2016-10-08,Kawhi Leonard,SAS,ATL,F,24:36,0.229,0.186,0.444,0.538,0.19,0.167,0.25,0.286,0.0,0.231,0.255,8,0.375,1,4,0.25,7,1.0,4,2,2,0,1,3,14,11,25.5,0,0,0,,0,0.0,110.6,90.7,19.9,0.118,0.093,0.438,95.84,0.5,0.5,0.286,0.214,0.286,0.0,0.667,0.333,0.439,0.195,0.185,0.217,4,5,0,0,5,2,9,16,2,5,
2016-10-10,Kawhi Leonard,SAS,DET,F,24:58,0.29,0.268,0.2,0.545,0.333,0.2,0.25,0.5,0.0,0.167,0.417,11,0.636,1,2,0.5,6,0.833,8,2,3,0,2,1,20,4,38.0,0,0,0,,0,0.0,92.6,84.5,8.1,0.182,0.163,0.682,99.93,0.818,0.182,0.6,0.15,0.15,0.5,0.143,0.857,0.446,0.152,0.154,0.185,3,5,0,10,6,8,7,28,8,5,
2016-10-14,Kawhi Leonard,SAS,MIA,F,22:38,0.342,0.25,0.333,0.667,0.25,0.3,0.5,0.0,0.0,0.091,0.25,9,0.111,1,3,0.333,8,1.0,6,3,0,0,5,1,11,-14,20.25,0,0,0,,0,0.0,97.2,121.5,-24.4,0.214,0.146,0.167,98.62,0.667,0.333,0.0,0.273,0.364,0.0,1.0,0.0,0.595,0.31,0.084,0.182,4,0,0,0,11,5,10,24,5,5,
2016-10-21,Kawhi Leonard,SAS,HOU,F,18:20,0.224,0.25,0.5,0.4,0.211,0.182,0.0,0.333,0.0,0.429,0.341,9,0.667,2,4,0.5,2,0.5,4,2,1,0,0,3,15,12,25.5,0,0,0,,0,0.0,106.8,82.6,24.2,0.167,0.114,0.778,104.62,0.556,0.444,0.533,0.4,0.2,0.133,0.333,0.667,0.367,0.433,0.155,0.158,3,0,1,2,6,0,6,6,0,1,
2015-10-28,Kawhi Leonard,SAS,OKC,F,35:19,0.324,0.314,0.25,0.455,0.25,0.0,0.333,0.375,0.25,0.2,0.416,22,0.591,1,3,0.333,5,1.0,8,0,3,2,3,3,32,4,51.0,14,68,37,0.0,6,0.667,98.9,96.7,2.2,0.0,0.131,0.614,104.19,0.864,0.136,0.75,0.094,0.156,0.438,0.538,0.462,0.483,0.288,0.172,0.133,5,5,2,14,9,8,5,24,8,6,ESPN
2015-10-30,Kawhi Leonard,SAS,BKN,F,25:47,0.378,0.348,0.182,0.667,0.333,0.083,0.444,0.667,0.5,0.375,0.291,16,0.375,0,2,0.0,4,1.0,10,1,2,1,4,3,16,16,33.75,15,49,28,0.0357,4,0.25,104.5,73.6,30.8,0.063,0.213,0.375,98.3,0.875,0.125,0.75,0.0,0.375,0.375,0.667,0.333,0.415,0.22,0.17,0.038,6,2,0,6,6,0,0,10,0,4,
2015-11-01,Kawhi Leonard,SAS,BOS,F,34:17,0.263,0.305,0.273,0.118,0.135,0.133,0.154,0.25,0.25,0.182,0.297,18,0.444,1,3,0.333,2,1.0,5,2,2,1,2,2,19,3,33.25,8,56,35,0.0571,10,0.5,89.5,84.4,5.1,0.118,0.069,0.472,100.66,0.833,0.167,0.737,0.158,0.211,0.316,0.625,0.375,0.388,0.179,0.166,0.293,4,0,0,6,12,12,3,30,12,2,
2015-11-02,Kawhi Leonard,SAS,NYK,F,36:05,0.253,0.267,0.4,0.111,0.4,0.063,0.222,0.5,0.667,0.444,0.257,16,0.5,1,4,0.25,1,1.0,14,1,2,4,2,4,18,12,48.25,26,69,45,0.0222,11,0.455,106.1,87.1,19.0,0.045,0.189,0.531,88.17,0.75,0.25,0.778,0.167,0.111,0.556,0.5,0.5,0.333,0.217,0.12,0.378,2,0,2,10,12,12,0,22,12,3,
2015-11-04,Kawhi Leonard,SAS,WAS,F,34:50,0.294,0.355,0.286,0.143,0.243,0.0,0.077,0.333,0.0,0.222,0.343,22,0.455,1,4,0.25,2,1.0,9,0,1,0,1,4,23,-12,36.25,15,56,32,0.0,13,0.385,90.3,106.4,-16.0,0.0,0.138,0.477,102.28,0.818,0.182,0.783,0.13,0.087,0.435,0.7,0.3,0.538,0.182,0.081,0.091,2,4,0,10,18,2,22,34,2,2,
