DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-30,Kelly Olynyk,BOS,TOR,,16:36,0.265,0.333,0.455,0.231,0.118,0.0,0.0,0.5,0.0,0.0,0.306,10,0.4,1,5,0.2,3,0.667,2,0,2,0,0,0,11,1,18.0,8,35,23,0.0,4,0.5,90.6,89.1,1.5,0.0,0.059,0.45,114.22,0.5,0.5,0.545,0.273,0.091,0.545,1.0,0.0,0.417,0.4,0.153,0.125,1,3,0,6,6,2,0,12,2,4,
2015-11-01,Kelly Olynyk,BOS,SAS,,12:60,0.132,0.1,0.25,0.0,0.35,0.2,0.333,0.5,0.5,0.0,0.0,3,0.0,0,3,0.0,0,0.0,7,1,1,1,2,0,0,6,13.0,10,33,25,0.04,0,0.0,87.4,65.8,21.6,0.091,0.2,0.0,111.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.417,0.197,0.25,0,0,0,0,0,6,3,6,6,0,
2015-11-04,Kelly Olynyk,BOS,IND,,10:32,0.216,0.25,0.286,0.0,0.167,0.0,0.167,0.0,1.0,0.25,0.0,5,0.0,0,2,0.0,0,0.0,2,0,0,2,1,1,0,-3,6.0,6,23,17,0.0,3,0.0,67.3,88.3,-20.9,0.0,0.069,0.0,103.23,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.364,0.139,0.467,0,0,0,0,6,7,0,4,7,0,
2015-11-06,Kelly Olynyk,BOS,WAS,,26:55,0.235,0.22,0.294,0.214,0.241,0.333,0.333,0.286,1.0,0.0,0.288,11,0.636,3,5,0.6,3,0.667,7,4,4,1,3,0,19,29,42.75,12,52,34,0.1176,5,0.6,109.7,58.1,51.6,0.25,0.127,0.773,110.41,0.545,0.455,0.421,0.474,0.211,0.316,0.714,0.286,0.351,0.128,0.314,0.2,4,0,2,6,5,5,2,16,5,6,
2015-11-10,Kelly Olynyk,BOS,MIL,,22:03,0.223,0.216,0.077,0.091,0.067,0.154,0.4,0.0,0.0,0.273,0.193,8,0.625,0,1,0.0,1,1.0,1,2,0,0,2,3,11,24,13.75,9,38,29,0.069,5,0.8,124.3,77.5,46.9,0.133,0.028,0.625,96.26,0.875,0.125,0.909,0.0,0.182,0.545,0.4,0.6,0.4,0.5,0.282,0.3,2,3,0,6,4,7,2,12,7,2,
2015-11-11,Kelly Olynyk,BOS,IND,,14:40,0.203,0.2,0.4,0.1,0.0,0.2,0.4,0.5,0.0,0.222,0.121,5,0.2,0,2,0.0,2,1.0,0,1,1,0,2,2,4,-3,6.25,3,33,27,0.037,2,0.0,94.8,121.6,-26.8,0.125,0.0,0.2,105.38,0.6,0.4,0.5,0.0,0.0,0.5,1.0,0.0,0.565,0.652,0.236,0.583,0,0,0,2,3,10,2,12,10,1,
2015-11-13,Kelly Olynyk,BOS,ATL,,16:39,0.31,0.342,0.5,0.0,0.176,0.111,0.0,0.0,0.5,0.111,0.405,13,0.462,3,6,0.5,0,0.0,3,1,0,2,0,1,15,-2,25.5,5,37,23,0.0435,7,0.286,106.1,107.1,-1.1,0.111,0.103,0.577,102.75,0.538,0.462,0.4,0.6,0.0,0.267,0.5,0.5,0.593,0.37,0.165,0.091,0,0,0,4,1,3,2,14,3,1,
2015-11-15,Kelly Olynyk,BOS,OKC,,16:36,0.195,0.185,0.167,0.0,0.438,0.111,0.4,0.75,0.5,0.75,0.194,5,0.6,1,1,1.0,0,0.0,7,1,3,1,2,6,7,11,24.5,11,36,27,0.037,3,0.333,112.6,77.2,35.5,0.091,0.226,0.7,93.08,0.8,0.2,0.571,0.429,0.0,0.571,0.667,0.333,0.333,0.37,0.154,0.25,0,0,2,4,4,7,0,16,7,0,
2015-11-16,Kelly Olynyk,BOS,HOU,,22:34,0.256,0.25,0.333,0.286,0.222,0.167,0.273,0.333,1.0,0.154,0.17,11,0.273,1,6,0.167,2,0.5,6,2,1,1,3,2,8,-4,21.0,17,62,45,0.0444,5,0.4,93.8,100.3,-6.5,0.133,0.12,0.318,107.33,0.455,0.545,0.5,0.375,0.0,0.5,0.667,0.333,0.5,0.239,0.118,0.24,0,0,0,4,17,6,12,26,6,4,
2015-11-18,Kelly Olynyk,BOS,DAL,,13:04,0.174,0.207,0.286,0.0,0.2,0.0,0.0,0.25,1.0,0.75,0.143,6,0.333,1,2,0.5,0,0.0,3,0,1,1,0,6,5,13,13.25,5,35,27,0.0,3,0.333,118.6,81.0,37.6,0.0,0.12,0.417,104.13,0.667,0.333,0.4,0.6,0.4,0.4,0.5,0.5,0.333,0.933,0.258,0.091,2,0,0,2,2,2,2,8,2,2,
