DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Kemba Walker,CHA,BOS,G,8:50,0.238,0.222,0.143,0.0,0.182,1.0,0.333,0.0,0.0,0.0,0.286,4,0.5,0,1,0.0,0,0.0,2,3,0,0,1,0,4,-8,9.75,0,0,0,,0,0.0,77.8,123.0,-45.3,0.75,0.105,0.5,97.49,0.75,0.25,1.0,0.0,0.0,1.0,0.0,1.0,0.625,0.125,0.056,0.0,0,2,0,4,8,0,2,4,0,1,
2016-10-08,Kemba Walker,CHA,BOS,G,14:32,0.282,0.192,0.125,0.25,0.0,0.6,0.556,0.333,0.0,0.0,0.25,5,0.4,0,1,0.0,2,1.0,0,3,1,0,5,0,6,-7,9.25,0,0,0,,0,0.0,73.8,88.1,-14.3,0.5,0.0,0.4,111.83,0.8,0.2,0.667,0.0,0.0,0.333,0.0,1.0,0.481,0.185,0.17,0.0,0,0,0,2,9,2,8,8,2,2,NBA TV
2016-10-10,Kemba Walker,CHA,MIN,G,23:35,0.264,0.268,0.333,0.0,0.179,0.25,0.375,0.5,0.25,0.0,0.319,11,0.545,3,6,0.5,0,0.0,5,2,1,1,3,0,15,1,27.75,0,0,0,,0,0.0,94.1,89.3,4.8,0.2,0.098,0.682,103.27,0.455,0.545,0.4,0.6,0.2,0.4,0.333,0.667,0.426,0.17,0.116,0.167,3,2,0,6,10,2,4,16,2,1,
2016-10-17,Kemba Walker,CHA,CHI,G,27:28,0.232,0.294,0.25,0.071,0.267,0.3,0.0,0.25,0.333,0.385,0.18,15,0.267,1,3,0.333,2,1.0,8,3,1,1,0,5,11,9,29.25,0,0,0,,0,0.0,104.6,87.7,16.9,0.25,0.143,0.3,102.76,0.8,0.2,0.545,0.273,0.273,0.182,0.0,1.0,0.447,0.255,0.169,0.13,3,2,0,2,4,5,8,24,5,2,NBA TV
2016-10-20,Kemba Walker,CHA,MIA,G,32:18,0.237,0.25,0.571,0.25,0.108,0.462,0.167,0.6,0.0,0.111,0.274,14,0.357,4,8,0.5,4,0.75,4,6,3,0,2,1,17,5,36.5,0,0,0,,0,0.0,93.9,84.9,9.0,0.353,0.057,0.5,98.97,0.429,0.571,0.118,0.706,0.118,0.118,0.4,0.6,0.421,0.246,0.179,0.222,2,0,6,2,15,13,4,20,13,3,
2016-10-21,Kemba Walker,CHA,MIN,G,16:29,0.296,0.296,0.625,0.308,0.176,1.0,0.286,0.333,0.0,0.083,0.3,8,0.25,1,5,0.2,4,1.0,3,2,1,0,2,1,9,-8,16.75,0,0,0,,0,0.0,84.0,100.4,-16.4,0.333,0.075,0.313,107.1,0.375,0.625,0.222,0.333,0.556,0.222,0.0,1.0,0.403,0.306,0.132,0.381,5,2,0,2,12,15,6,16,15,3,NBA TV
2015-10-28,Kemba Walker,CHA,MIA,G,34:41,0.26,0.258,0.235,0.45,0.133,0.364,0.0,0.667,1.0,0.2,0.292,16,0.313,1,4,0.25,9,0.889,4,4,2,1,0,2,19,-14,35.5,7,85,62,0.0645,11,0.364,95.9,116.7,-20.8,0.222,0.066,0.344,93.78,0.75,0.25,0.421,0.158,0.105,0.316,0.0,1.0,0.611,0.241,0.148,0.087,2,2,3,6,6,4,12,36,4,5,
2015-10-30,Kemba Walker,CHA,ATL,G,34:36,0.23,0.224,0.208,0.222,0.1,0.4,0.273,0.2,0.0,0.273,0.181,15,0.333,1,5,0.2,2,1.0,4,6,1,0,3,3,13,6,26.5,5,81,61,0.0984,8,0.375,102.9,93.3,9.6,0.273,0.056,0.367,97.58,0.667,0.333,0.615,0.231,0.0,0.462,0.4,0.6,0.458,0.22,0.156,0.152,0,2,0,6,15,9,13,32,9,2,
2015-11-01,Kemba Walker,CHA,ATL,G,31:16,0.208,0.153,0.125,0.727,0.194,0.333,0.333,0.5,0.0,0.333,0.262,9,0.444,2,3,0.667,8,0.875,6,6,2,0,2,3,17,-1,36.0,10,87,68,0.0882,6,0.5,105.1,104.1,1.0,0.333,0.097,0.556,96.13,0.667,0.333,0.235,0.353,0.0,0.235,0.5,0.5,0.5,0.175,0.11,0.179,0,0,5,4,8,10,4,30,10,7,
2015-11-03,Kemba Walker,CHA,CHI,G,26:04,0.24,0.245,0.182,0.0,0.069,0.417,0.5,0.0,0.667,0.0,0.2,12,0.5,1,2,0.5,0,0.0,2,5,0,2,2,0,13,8,25.25,2,74,57,0.0877,6,0.333,124.3,105.2,19.2,0.278,0.041,0.542,98.04,0.833,0.167,0.769,0.231,0.0,0.308,0.5,0.5,0.561,0.102,0.092,0.08,0,0,5,4,6,0,8,18,0,1,
