DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Kent Bazemore,ATL,MEM,F,20:29,0.231,0.229,0.375,0.286,0.105,0.333,0.222,0.333,0.0,0.133,0.163,8,0.25,1,3,0.333,2,1.0,2,3,1,0,2,2,7,0,14.75,0,0,0,,0,0.0,102.2,105.4,-3.2,0.214,0.054,0.313,97.11,0.625,0.375,0.286,0.429,0.0,0.286,0.5,0.5,0.417,0.556,0.098,0.364,0,0,2,2,16,12,2,16,12,2,
2016-10-10,Kent Bazemore,ATL,CLE,F,17:22,0.215,0.219,0.25,0.0,0.118,0.077,0.4,0.5,0.0,0.0,0.174,7,0.571,0,1,0.0,0,0.0,2,1,1,0,2,0,8,15,12.75,0,0,0,,0,0.0,115.5,81.0,34.5,0.063,0.069,0.571,107.96,0.857,0.143,1.0,0.0,0.0,0.5,0.75,0.25,0.379,0.414,0.131,0.063,0,0,0,4,2,2,3,12,2,1,
2016-10-13,Kent Bazemore,ATL,DET,F,23:46,0.257,0.308,0.333,0.0,0.143,0.176,0.111,0.5,0.0,0.154,0.197,12,0.417,2,5,0.4,0,0.0,2,3,2,0,1,2,12,17,22.75,0,0,0,,0,0.0,125.4,92.8,32.6,0.167,0.061,0.5,96.96,0.583,0.417,0.5,0.5,0.333,0.167,0.8,0.2,0.439,0.244,0.19,0.368,4,2,0,2,14,8,0,14,8,0,
2016-10-18,Kent Bazemore,ATL,NOP,F,22:36,0.148,0.158,0.3,0.0,0.111,0.133,0.222,0.0,0.25,0.333,0.14,6,0.5,1,3,0.333,0,0.0,3,2,0,1,2,3,7,20,14.75,0,0,0,,0,0.0,102.0,57.6,44.4,0.133,0.065,0.583,107.38,0.5,0.5,0.571,0.429,0.0,0.571,1.0,0.0,0.316,0.184,0.25,0.083,0,0,0,4,9,0,6,12,0,2,NBA TV
2016-10-20,Kent Bazemore,ATL,CHI,F,26:59,0.236,0.245,0.313,0.0,0.265,0.059,0.3,0.25,0.0,0.167,0.242,13,0.538,1,5,0.2,0,0.0,9,1,1,0,3,2,15,16,28.5,0,0,0,,0,0.0,98.7,74.5,24.1,0.059,0.136,0.577,110.79,0.615,0.385,0.8,0.2,0.0,0.267,0.857,0.143,0.295,0.213,0.097,0.275,0,2,4,4,10,9,12,20,9,1,
2015-10-27,Kent Bazemore,ATL,DET,F,20:50,0.159,0.097,0.143,0.0,0.467,0.2,0.4,0.0,0.0,0.375,0.0,3,0.0,0,1,0.0,0,0.0,7,1,0,0,4,3,0,-17,8.0,8,38,32,0.0313,2,0.0,70.3,111.1,-40.8,0.083,0.189,0.0,100.55,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.128,0.139,0.211,0,0,0,0,14,4,7,22,4,0,
2015-10-29,Kent Bazemore,ATL,NYK,F,25:10,0.115,0.122,0.167,0.0,0.043,0.278,0.143,0.333,0.0,0.2,0.07,6,0.333,1,2,0.5,0,0.0,1,5,2,0,1,2,5,17,16.5,5,46,37,0.1351,4,0.25,124.9,91.1,33.8,0.192,0.021,0.417,110.77,0.667,0.333,0.4,0.6,0.0,0.4,1.0,0.0,0.404,0.231,0.186,0.321,0,2,0,2,8,10,8,32,10,2,TNT
2015-10-30,Kent Bazemore,ATL,CHA,F,30:38,0.227,0.241,0.357,0.333,0.29,0.077,0.111,0.0,0.0,0.231,0.339,13,0.538,4,5,0.8,2,0.5,9,1,0,0,1,3,19,-10,33.0,14,44,27,0.037,7,0.429,93.9,101.6,-7.7,0.063,0.132,0.692,97.64,0.615,0.385,0.316,0.632,0.105,0.316,0.857,0.143,0.453,0.141,0.139,0.324,2,3,5,6,7,15,11,24,15,1,
2015-11-01,Kent Bazemore,ATL,CHA,F,28:13,0.26,0.255,0.313,0.5,0.174,0.077,0.0,0.6,0.25,0.111,0.345,12,0.5,2,5,0.4,6,1.0,4,1,3,1,0,1,20,-6,35.25,6,44,30,0.0333,7,0.571,106.9,111.5,-4.6,0.067,0.078,0.583,95.0,0.583,0.417,0.4,0.3,0.1,0.4,0.667,0.333,0.529,0.192,0.122,0.222,2,2,3,8,3,11,4,14,11,3,
2015-11-03,Kent Bazemore,ATL,MIA,F,32:27,0.13,0.143,0.214,0.0,0.172,0.176,0.167,0.143,0.0,0.125,0.156,8,0.5,2,3,0.667,0,0.0,5,3,1,0,2,1,10,-8,22.0,10,56,45,0.0667,5,0.4,94.4,105.3,-10.9,0.158,0.079,0.625,100.73,0.625,0.375,0.4,0.6,0.8,0.4,1.0,0.0,0.524,0.161,0.175,0.333,8,7,0,4,14,18,9,42,18,0,NBA TV
2015-11-04,Kent Bazemore,ATL,BKN,F,27:27,0.125,0.136,0.214,0.0,0.235,0.176,0.167,0.375,0.286,0.273,0.133,6,0.5,2,3,0.667,0,0.0,4,3,3,2,1,3,8,7,27.25,6,40,33,0.0909,1,0.0,115.0,100.1,15.0,0.158,0.098,0.667,91.91,0.5,0.5,0.25,0.75,0.0,0.0,1.0,0.0,0.5,0.191,0.208,0.409,0,0,0,0,8,8,5,28,8,0,
2015-11-06,Kent Bazemore,ATL,NOP,F,32:50,0.138,0.094,0.067,0.259,0.179,0.211,0.25,0.5,0.2,0.273,0.119,5,0.4,0,1,0.0,7,0.857,5,4,3,1,2,3,10,2,28.25,6,44,33,0.1212,4,0.5,123.7,124.8,-1.0,0.16,0.1,0.4,97.66,0.8,0.2,0.4,0.0,0.3,0.4,0.5,0.5,0.602,0.22,0.091,0.179,3,7,0,4,6,14,8,30,14,5,
2015-11-07,Kent Bazemore,ATL,WAS,F,29:09,0.221,0.259,0.318,0.111,0.182,0.12,0.0,0.222,0.0,0.0,0.338,15,0.667,4,7,0.571,1,1.0,4,3,2,0,0,0,25,16,39.75,5,44,27,0.1111,7,0.571,112.2,95.3,16.9,0.167,0.087,0.8,104.37,0.533,0.467,0.48,0.48,0.2,0.32,0.9,0.1,0.545,0.25,0.247,0.143,5,8,4,8,4,6,12,28,6,1,
2015-11-09,Kent Bazemore,ATL,MIN,F,31:03,0.237,0.204,0.278,0.0,0.286,0.2,0.455,0.833,0.333,0.5,0.155,11,0.364,1,5,0.2,0,0.0,6,3,5,1,5,6,9,-9,30.25,6,64,46,0.0652,4,0.5,89.7,106.6,-16.9,0.158,0.125,0.409,98.52,0.545,0.455,0.667,0.333,0.222,0.667,0.75,0.25,0.588,0.216,0.175,0.182,2,0,2,6,12,12,9,16,12,3,
2015-11-11,Kent Bazemore,ATL,NOP,F,32:07,0.212,0.196,0.235,0.167,0.103,0.111,0.333,0.0,0.0,0.273,0.133,11,0.364,0,4,0.0,2,1.0,3,2,0,0,3,3,10,8,14.75,3,60,40,0.05,4,0.5,113.2,96.4,16.8,0.08,0.055,0.364,101.48,0.636,0.364,0.8,0.0,0.0,0.6,0.5,0.5,0.508,0.133,0.173,0.194,0,2,0,6,10,12,6,26,12,2,
2015-11-13,Kent Bazemore,ATL,BOS,F,27:51,0.256,0.283,0.273,0.0,0.095,0.154,0.2,0.0,0.0,0.182,0.245,13,0.462,0,3,0.0,0,0.0,2,2,0,0,2,2,12,-16,16.0,8,43,27,0.0741,8,0.625,89.7,115.2,-25.6,0.133,0.041,0.462,95.69,0.769,0.231,1.0,0.0,0.333,1.0,0.833,0.167,0.5,0.179,0.071,0.32,4,2,0,12,9,11,9,28,11,0,
2015-11-15,Kent Bazemore,ATL,UTA,F,29:45,0.147,0.149,0.154,0.167,0.15,0.176,0.125,0.25,0.0,0.0,0.246,7,0.857,2,2,1.0,2,1.0,3,3,1,0,1,0,16,6,26.0,8,41,31,0.0968,5,0.8,119.7,101.2,18.5,0.158,0.067,1.0,90.8,0.714,0.286,0.5,0.375,0.375,0.375,0.333,0.667,0.543,0.261,0.24,0.333,6,2,0,6,9,6,5,30,6,1,
2015-11-27,Kent Bazemore,ATL,MEM,G,26:21,0.212,0.22,0.238,0.167,0.13,0.182,0.2,0.5,0.0,0.3,0.269,9,0.556,2,5,0.4,2,1.0,3,2,1,0,1,3,14,-1,22.75,7,40,29,0.069,4,0.75,107.7,100.1,7.6,0.167,0.064,0.667,92.21,0.444,0.556,0.429,0.429,0.0,0.429,0.4,0.6,0.523,0.205,0.151,0.13,0,0,2,6,4,2,2,20,2,1,
2015-11-28,Kent Bazemore,ATL,SAS,,19:49,0.275,0.286,0.2,0.2,0.412,0.0,0.25,0.25,1.0,0.429,0.282,10,0.5,0,2,0.0,1,1.0,7,0,1,1,2,3,11,-2,22.75,12,39,25,0.0,5,0.6,90.3,96.7,-6.4,0.0,0.184,0.5,103.67,0.8,0.2,0.909,0.0,0.182,0.727,0.6,0.4,0.443,0.286,0.189,0.25,2,2,2,8,9,2,7,18,2,3,
2015-11-30,Kent Bazemore,ATL,OKC,,22:15,0.158,0.216,0.231,0.0,0.111,0.1,0.0,0.0,0.4,0.143,0.152,8,0.375,1,3,0.333,0,0.0,2,1,0,2,0,1,7,-8,15.25,9,41,31,0.0323,4,0.5,96.6,105.3,-8.7,0.091,0.041,0.438,106.63,0.625,0.375,0.571,0.429,0.0,0.571,0.667,0.333,0.422,0.235,0.137,0.444,0,0,2,4,5,9,15,22,9,2,
2015-12-02,Kent Bazemore,ATL,TOR,,25:48,0.216,0.188,0.2,0.6,0.125,0.0,0.167,0.333,0.2,0.364,0.209,9,0.222,1,3,0.333,6,0.667,3,0,1,1,1,4,9,-14,16.75,6,39,25,0.0,5,0.2,85.3,110.5,-25.1,0.0,0.058,0.278,94.88,0.667,0.333,0.222,0.333,0.0,0.222,1.0,0.0,0.535,0.349,0.116,0.2,0,0,4,2,10,2,10,28,2,4,
2015-12-04,Kent Bazemore,ATL,LAL,,25:20,0.219,0.25,0.231,0.267,0.15,0.154,0.0,0.571,0.0,0.333,0.263,10,0.5,2,3,0.667,4,0.75,3,2,4,0,0,2,15,12,30.25,7,35,22,0.0909,5,0.4,114.9,88.5,26.4,0.133,0.075,0.6,95.15,0.7,0.3,0.4,0.4,0.267,0.4,0.6,0.4,0.474,0.289,0.216,0.158,4,3,2,6,6,4,2,18,4,2,
2015-12-09,Kent Bazemore,ATL,DAL,,22:48,0.223,0.263,0.429,0.0,0.333,0.2,0.167,0.0,0.5,0.154,0.24,10,0.5,2,3,0.667,0,0.0,8,2,0,1,1,2,12,9,27.0,13,37,22,0.0909,6,0.333,110.4,90.8,19.6,0.143,0.17,0.6,95.2,0.7,0.3,0.5,0.5,0.25,0.333,0.8,0.2,0.322,0.311,0.089,0.333,3,5,0,4,7,4,5,14,4,1,ESPN
2015-12-10,Kent Bazemore,ATL,OKC,,27:36,0.222,0.245,0.412,0.222,0.087,0.167,0.0,0.25,0.0,0.133,0.415,12,0.583,4,7,0.571,4,1.0,2,2,1,0,0,2,22,-11,31.0,4,54,36,0.0556,2,0.0,93.1,113.8,-20.7,0.167,0.036,0.75,98.4,0.417,0.583,0.273,0.545,0.091,0.182,0.571,0.429,0.5,0.447,0.107,0.25,2,2,3,4,7,8,14,16,8,5,
2015-12-12,Kent Bazemore,ATL,SAS,,24:37,0.209,0.25,0.3,0.167,0.176,0.1,0.0,0.333,0.0,0.0,0.231,11,0.364,0,3,0.0,1,1.0,3,1,2,0,0,0,9,-19,18.0,6,42,28,0.0357,6,0.333,77.0,107.1,-30.1,0.083,0.068,0.364,102.17,0.727,0.273,0.889,0.0,0.222,0.889,0.5,0.5,0.549,0.341,0.203,0.235,2,4,3,8,7,6,4,18,6,4,
2015-12-14,Kent Bazemore,ATL,MIA,F,39:35,0.243,0.25,0.259,0.231,0.161,0.1,0.2,0.2,0.25,0.235,0.389,18,0.611,3,7,0.429,3,1.0,5,2,1,1,2,4,28,-12,41.25,13,65,43,0.0465,9,0.667,88.1,100.9,-12.8,0.125,0.064,0.694,100.05,0.611,0.389,0.571,0.321,0.179,0.5,0.818,0.182,0.493,0.16,0.192,0.342,5,5,4,14,9,11,12,34,11,3,
2015-12-16,Kent Bazemore,ATL,PHI,F,24:30,0.131,0.132,0.111,0.2,0.538,0.2,0.0,0.25,0.5,0.0,0.125,5,0.4,0,1,0.0,4,1.0,7,3,1,2,0,0,8,6,26.5,10,42,33,0.0909,2,1.0,123.6,103.9,19.7,0.167,0.206,0.4,105.44,0.8,0.2,0.5,0.0,0.25,0.5,1.0,0.0,0.533,0.239,0.197,0.316,2,4,0,4,7,9,10,22,9,4,
2015-12-18,Kent Bazemore,ATL,BOS,F,36:42,0.226,0.225,0.25,0.238,0.091,0.091,0.222,0.1,0.0,0.182,0.167,16,0.375,0,4,0.0,5,0.6,3,2,1,0,2,4,15,16,22.25,5,76,51,0.0392,10,0.6,110.8,90.7,20.1,0.069,0.048,0.375,106.46,0.75,0.25,0.8,0.0,0.133,0.8,0.5,0.5,0.509,0.444,0.245,0.107,2,5,2,12,9,6,7,26,6,6,
