DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Kentavious Caldwell-Pope,DET,BKN,G,24:41,0.11,0.073,0.188,0.5,0.034,0.333,0.222,0.0,0.0,0.125,0.06,4,0.0,0,3,0.0,3,1.0,1,4,0,0,2,1,3,-2,8.25,0,0,0,,0,0.0,93.2,97.6,-4.4,0.19,0.019,0.0,103.96,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.3,0.188,0.111,0,0,3,0,10,2,5,20,2,3,
2016-10-10,Kentavious Caldwell-Pope,DET,SAS,G,27:28,0.225,0.226,0.308,0.0,0.107,0.143,0.286,0.333,0.0,0.091,0.149,12,0.25,1,4,0.25,0,0.0,3,2,2,0,2,1,7,-1,16.75,0,0,0,,0,0.0,82.2,86.1,-4.0,0.111,0.053,0.292,98.67,0.667,0.333,0.571,0.429,0.0,0.571,1.0,0.0,0.422,0.289,0.162,0.148,0,0,0,4,5,0,4,12,0,0,
2016-10-13,Kentavious Caldwell-Pope,DET,ATL,G,34:02,0.188,0.22,0.444,0.2,0.067,0.063,0.0,0.4,0.0,0.0,0.167,13,0.308,0,4,0.0,5,1.0,2,1,2,0,0,0,13,6,20.75,0,0,0,,0,0.0,105.4,98.4,7.0,0.043,0.034,0.308,103.78,0.692,0.308,0.615,0.0,0.615,0.154,0.75,0.25,0.543,0.241,0.205,0.207,8,2,3,2,6,4,8,26,4,3,
2016-10-15,Kentavious Caldwell-Pope,DET,PHI,G,26:29,0.222,0.196,0.333,0.5,0.167,0.154,0.25,0.25,0.0,0.077,0.153,9,0.333,1,5,0.2,4,0.5,4,2,2,0,2,1,9,22,20.0,0,0,0,,0,0.0,114.5,67.1,47.4,0.1,0.091,0.389,96.68,0.444,0.556,0.444,0.333,0.444,0.444,0.667,0.333,0.333,0.359,0.272,0.217,4,4,0,4,10,10,2,18,10,3,
2016-10-17,Kentavious Caldwell-Pope,DET,MIL,G,27:57,0.348,0.333,0.733,0.3,0.179,0.385,0.444,0.4,0.0,0.167,0.354,15,0.467,6,11,0.545,3,1.0,5,5,2,0,4,2,23,15,40.5,0,0,0,,0,0.0,121.7,92.5,29.2,0.313,0.096,0.667,92.26,0.267,0.733,0.087,0.783,0.304,0.087,0.429,0.571,0.42,0.364,0.185,0.233,7,11,0,2,10,2,5,26,2,2,
2016-10-19,Kentavious Caldwell-Pope,DET,TOR,G,32:27,0.197,0.196,0.154,0.357,0.0,0.071,0.1,0.667,0.0,0.067,0.254,10,0.5,1,2,0.5,5,1.0,0,1,2,0,1,1,16,-6,21.25,0,0,0,,0,0.0,95.2,105.9,-10.7,0.056,0.0,0.55,97.12,0.8,0.2,0.5,0.188,0.125,0.375,0.6,0.4,0.518,0.246,0.138,0.259,2,4,0,6,14,12,10,38,12,4,
2015-10-27,Kentavious Caldwell-Pope,DET,ATL,G,37:03,0.18,0.184,0.35,0.115,0.082,0.063,0.222,0.25,0.0,0.125,0.236,14,0.5,4,7,0.571,3,1.0,4,1,1,0,2,1,21,17,30.25,9,39,21,0.0476,10,0.5,118.0,97.5,20.5,0.043,0.051,0.643,96.72,0.5,0.5,0.286,0.571,0.286,0.19,0.857,0.143,0.485,0.169,0.149,0.2,6,5,0,4,12,6,8,30,6,2,
2015-10-28,Kentavious Caldwell-Pope,DET,UTA,G,35:48,0.198,0.212,0.357,0.154,0.179,0.077,0.182,0.0,0.333,0.143,0.225,11,0.455,2,5,0.4,4,1.0,5,1,0,1,2,2,16,2,25.5,7,30,14,0.0714,6,0.5,100.8,99.1,1.7,0.053,0.089,0.545,93.88,0.545,0.455,0.375,0.375,0.0,0.375,0.8,0.2,0.518,0.263,0.144,0.143,0,4,3,6,17,3,2,44,3,2,
2015-10-30,Kentavious Caldwell-Pope,DET,CHI,G,38:38,0.153,0.158,0.294,0.095,0.087,0.154,0.167,0.333,0.0,0.143,0.079,12,0.167,0,5,0.0,2,1.0,4,2,2,0,2,2,6,8,16.5,10,38,26,0.0769,5,0.2,92.4,86.0,6.4,0.069,0.048,0.167,100.19,0.583,0.417,0.667,0.0,0.0,0.667,0.5,0.5,0.403,0.239,0.164,0.205,0,2,0,4,14,10,6,30,10,1,
2015-11-03,Kentavious Caldwell-Pope,DET,IND,G,41:46,0.169,0.171,0.167,0.333,0.109,0.385,0.105,0.167,0.0,0.176,0.15,13,0.308,0,3,0.0,5,0.8,5,5,1,0,2,3,12,5,25.5,7,42,26,0.1923,7,0.429,95.7,91.5,4.2,0.179,0.063,0.308,95.13,0.769,0.231,0.667,0.0,0.25,0.5,0.0,1.0,0.441,0.118,0.171,0.3,3,0,0,6,20,6,7,22,6,6,
