DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Kevin Love,CLE,ORL,F,13:28,0.266,0.227,0.25,0.8,0.333,0.182,0.2,0.0,0.0,0.0,0.195,5,0.4,1,2,0.5,4,0.75,4,2,0,0,1,0,8,13,15.5,0,0,0,,0,0.0,150.7,104.6,46.1,0.143,0.211,0.5,96.17,0.6,0.4,0.25,0.375,0.0,0.0,1.0,0.0,0.522,0.174,0.224,0.286,0,0,2,0,3,0,2,6,0,2,NBA TV
2016-10-08,Kevin Love,CLE,PHI,F,15:55,0.215,0.226,0.429,0.0,0.286,0.167,0.25,0.0,0.0,0.167,0.051,7,0.143,0,3,0.0,0,0.0,4,2,0,0,1,1,2,3,9.0,0,0,0,,0,0.0,110.8,98.9,11.9,0.125,0.138,0.143,107.96,0.571,0.429,1.0,0.0,0.0,1.0,1.0,0.0,0.482,0.357,0.165,0.143,0,0,0,2,2,6,5,18,6,2,NBA TV
2016-10-13,Kevin Love,CLE,TOR,F,25:11,0.276,0.256,0.462,0.389,0.313,0.0,0.273,0.0,0.0,0.2,0.328,11,0.455,3,6,0.5,7,0.857,5,0,0,0,3,1,19,-11,25.25,0,0,0,,0,0.0,101.9,131.1,-29.2,0.0,0.147,0.591,104.41,0.455,0.545,0.211,0.474,0.263,0.211,1.0,0.0,0.768,0.146,0.19,0.083,5,3,0,4,15,2,19,26,2,5,TNT
2016-10-18,Kevin Love,CLE,WAS,F,20:23,0.245,0.278,0.438,0.25,0.143,0.083,0.111,0.0,0.0,0.455,0.341,10,0.5,3,7,0.429,2,1.0,3,1,0,0,1,5,15,0,21.0,0,0,0,,0,0.0,94.6,93.1,1.5,0.083,0.079,0.65,110.44,0.3,0.7,0.267,0.6,0.2,0.0,1.0,0.0,0.487,0.308,0.106,0.095,3,5,0,0,13,7,9,18,7,1,
2015-10-27,Kevin Love,CLE,CHI,F,34:49,0.241,0.25,0.389,0.214,0.205,0.211,0.2,0.0,0.4,0.0,0.25,17,0.353,3,7,0.429,3,1.0,8,4,0,2,2,0,18,1,37.5,24,61,37,0.1081,9,0.222,97.1,96.5,0.6,0.174,0.116,0.441,101.85,0.588,0.412,0.333,0.5,0.0,0.222,1.0,0.0,0.484,0.238,0.109,0.121,0,0,2,4,11,9,10,28,9,6,TNT
2015-10-28,Kevin Love,CLE,MEM,F,28:51,0.289,0.298,0.389,0.1,0.394,0.167,0.333,0.0,0.0,0.182,0.274,14,0.5,2,7,0.286,1,1.0,13,3,0,0,3,2,17,18,36.5,19,54,37,0.0811,6,0.5,114.0,82.2,31.8,0.176,0.228,0.571,89.78,0.5,0.5,0.588,0.353,0.294,0.471,0.857,0.143,0.343,0.148,0.075,0.229,5,2,4,8,8,5,7,22,5,1,
2015-10-30,Kevin Love,CLE,MIA,F,33:07,0.248,0.254,0.467,0.474,0.438,0.333,0.0,0.0,0.25,0.154,0.333,15,0.4,3,7,0.429,9,1.0,14,5,0,1,0,2,24,3,51.25,20,79,57,0.0877,8,0.25,110.2,102.3,7.9,0.25,0.241,0.5,96.27,0.533,0.467,0.25,0.375,0.083,0.25,0.833,0.167,0.5,0.321,0.148,0.125,2,0,11,6,11,7,9,32,7,6,ESPN
2015-11-02,Kevin Love,CLE,PHI,F,28:34,0.247,0.28,0.333,0.067,0.258,0.111,0.2,0.0,0.0,0.182,0.217,14,0.5,0,4,0.0,1,1.0,8,2,0,0,2,2,15,24,26.5,16,50,32,0.0625,6,0.833,112.0,72.3,39.8,0.1,0.151,0.5,104.08,0.714,0.286,0.933,0.0,0.133,0.8,0.714,0.286,0.33,0.226,0.161,0.188,2,0,3,12,10,4,6,26,4,2,
2015-11-04,Kevin Love,CLE,NYK,F,32:21,0.203,0.224,0.286,0.095,0.4,0.071,0.167,0.0,0.0,0.0,0.157,13,0.308,2,6,0.333,2,0.5,12,1,0,0,1,0,11,10,27.75,19,54,38,0.0263,4,0.25,102.6,95.8,6.8,0.05,0.2,0.385,97.08,0.538,0.462,0.364,0.545,0.0,0.182,0.5,0.5,0.466,0.102,0.128,0.219,0,0,1,2,3,11,0,22,11,2,ESPN
2015-11-06,Kevin Love,CLE,PHI,F,33:47,0.272,0.271,0.625,0.0,0.467,0.083,0.333,0.25,0.0,0.143,0.143,16,0.313,2,10,0.2,0,0.0,14,2,2,0,5,2,12,14,34.5,20,70,45,0.0444,3,0.333,119.9,102.8,17.0,0.065,0.292,0.375,98.15,0.375,0.625,0.5,0.5,0.0,0.333,1.0,0.0,0.582,0.127,0.191,0.115,0,0,0,4,12,4,10,40,4,2,
2015-11-08,Kevin Love,CLE,IND,F,39:03,0.243,0.265,0.353,0.1,0.463,0.1,0.222,0.0,0.75,0.2,0.265,18,0.5,2,6,0.333,2,1.0,19,2,0,3,2,3,22,14,54.25,33,88,63,0.0317,10,0.5,109.5,94.9,14.6,0.091,0.238,0.556,91.3,0.667,0.333,0.636,0.273,0.091,0.636,0.778,0.222,0.415,0.183,0.096,0.262,2,6,4,14,9,9,9,30,9,1,
2015-11-10,Kevin Love,CLE,UTA,F,39:59,0.232,0.281,0.526,0.167,0.276,0.167,0.125,0.25,0.0,0.118,0.229,16,0.375,4,10,0.4,6,1.0,8,3,2,0,2,2,22,3,40.75,23,82,58,0.0517,5,0.0,118.8,115.3,3.5,0.125,0.14,0.5,96.97,0.375,0.625,0.182,0.545,0.0,0.0,1.0,0.0,0.551,0.324,0.161,0.323,0,0,4,0,27,9,18,42,9,4,
2015-11-13,Kevin Love,CLE,NYK,F,34:11,0.209,0.192,0.238,0.167,0.344,0.2,0.375,0.333,0.0,0.273,0.101,10,0.2,1,5,0.2,4,0.5,11,2,1,0,3,3,7,5,24.25,18,50,33,0.0606,4,0.0,112.1,98.5,13.6,0.091,0.177,0.25,88.83,0.5,0.5,0.286,0.429,0.429,0.286,0.5,0.5,0.474,0.155,0.169,0.258,3,0,0,2,5,11,5,16,11,6,NBA TV
2015-11-14,Kevin Love,CLE,MIL,F,44:00,0.238,0.265,0.29,0.261,0.35,0.154,0.118,0.333,0.0,0.133,0.32,18,0.444,4,9,0.444,6,0.667,14,2,1,0,2,2,24,-5,47.0,28,99,74,0.027,7,0.286,90.2,100.4,-10.1,0.118,0.171,0.556,88.82,0.5,0.5,0.333,0.5,0.0,0.167,0.75,0.25,0.443,0.165,0.1,0.317,0,2,6,4,20,18,5,42,18,8,
2015-11-17,Kevin Love,CLE,DET,F,33:49,0.248,0.224,0.167,0.308,0.3,0.188,0.333,0.2,0.0,0.25,0.241,13,0.538,1,4,0.25,4,1.0,9,3,1,0,4,4,19,0,34.5,12,65,43,0.0698,6,0.833,108.6,113.0,-4.4,0.125,0.15,0.577,101.26,0.692,0.308,0.632,0.158,0.105,0.421,0.429,0.571,0.508,0.29,0.1,0.206,2,0,0,8,10,6,11,40,6,3,
2015-11-19,Kevin Love,CLE,MIL,F,34:23,0.298,0.306,0.313,0.313,0.469,0.045,0.267,0.333,1.0,0.176,0.262,15,0.467,3,5,0.6,5,1.0,15,1,1,1,4,3,22,15,45.5,21,87,60,0.0167,7,0.429,137.6,110.2,27.4,0.042,0.333,0.567,86.3,0.667,0.333,0.364,0.409,0.455,0.364,0.857,0.143,0.548,0.288,0.128,0.154,10,4,5,8,22,8,6,38,8,7,TNT
2015-11-21,Kevin Love,CLE,ATL,F,31:10,0.305,0.288,0.389,0.462,0.314,0.105,0.3,0.333,0.25,0.235,0.379,15,0.6,2,7,0.286,6,0.833,11,2,1,1,3,4,25,11,44.75,22,67,43,0.0465,6,0.833,110.5,90.1,20.4,0.125,0.19,0.667,92.99,0.533,0.467,0.56,0.24,0.24,0.48,1.0,0.0,0.394,0.308,0.147,0.206,6,2,0,12,15,6,8,12,6,6,
2015-11-23,Kevin Love,CLE,ORL,F,33:57,0.347,0.34,0.346,0.412,0.296,0.154,0.333,0.0,0.5,0.143,0.37,18,0.611,6,9,0.667,7,0.857,8,4,0,1,2,1,34,25,53.0,14,73,48,0.0833,7,0.714,144.9,104.0,40.9,0.182,0.167,0.778,90.4,0.5,0.5,0.294,0.529,0.206,0.235,0.727,0.273,0.545,0.182,0.124,0.111,7,0,3,8,14,2,9,26,2,4,
2015-11-25,Kevin Love,CLE,TOR,F,35:11,0.276,0.25,0.4,0.444,0.433,0.118,0.375,0.0,0.0,0.313,0.313,14,0.5,5,8,0.625,4,0.5,13,2,0,0,3,5,21,-7,40.75,15,62,41,0.0488,7,0.571,108.1,108.3,-0.1,0.105,0.224,0.679,88.9,0.429,0.571,0.19,0.714,0.143,0.095,0.857,0.143,0.544,0.333,0.088,0.111,3,0,5,2,13,4,10,34,4,2,
2015-11-27,Kevin Love,CLE,CHA,F,30:18,0.222,0.226,0.231,0.286,0.533,0.077,0.182,0.0,0.0,0.0,0.316,12,0.583,2,3,0.667,2,1.0,16,1,0,0,2,0,18,-7,39.25,21,71,52,0.0192,8,0.375,99.9,111.6,-11.7,0.063,0.296,0.667,90.65,0.75,0.25,0.556,0.333,0.111,0.556,0.571,0.429,0.51,0.388,0.105,0.231,2,0,2,10,13,6,5,24,6,3,
2015-11-28,Kevin Love,CLE,BKN,F,33:60,0.236,0.219,0.524,0.5,0.226,0.105,0.25,0.0,0.167,0.286,0.394,14,0.571,6,11,0.545,4,1.0,7,2,0,1,3,4,26,5,40.75,13,63,40,0.05,1,1.0,92.3,90.4,1.9,0.111,0.109,0.786,98.14,0.214,0.786,0.154,0.692,0.385,0.154,1.0,0.0,0.455,0.309,0.163,0.207,10,4,0,4,6,4,9,32,4,2,
