DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Kevin Seraphin,IND,NOP,C,15:30,0.17,0.143,0.0,0.0,0.238,0.0,0.667,0.5,0.0,0.286,0.063,5,0.2,0,0,0.0,0,0.0,5,0,1,0,2,2,2,4,9.25,0,0,0,,0,0.0,88.7,85.8,2.9,0.0,0.132,0.2,106.41,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.442,0.231,0.123,0.0,0,0,2,2,3,0,5,8,0,0,
2016-10-06,Kevin Seraphin,IND,CHI,C,9:20,0.131,0.158,0.0,0.0,0.444,0.0,0.0,0.333,0.0,0.5,0.154,3,0.667,0,0,0.0,0,0.0,4,0,1,0,0,2,4,4,11.0,0,0,0,,0,0.0,118.8,99.1,19.7,0.0,0.235,0.667,113.35,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.278,0.135,0.111,0,0,0,2,6,2,6,16,2,0,
2016-10-19,Kevin Seraphin,IND,MIL,,5:49,0.267,0.286,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.167,4,0.25,0,0,0.0,0,0.0,3,0,0,3,0,0,2,-6,11.75,0,0,0,,0,0.0,92.3,136.4,-44.1,0.0,0.25,0.25,108.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.682,0.455,0.227,0.6,0,0,2,2,4,2,2,10,2,0,
2015-11-02,Kevin Seraphin,NYK,SAS,,5:03,0.307,0.375,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.333,0.167,3,0.333,0,0,0.0,0,0.0,2,0,0,0,0,1,2,1,4.5,3,8,4,0.0,1,0.0,123.0,94.5,28.4,0.0,0.222,0.333,101.74,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.857,0.172,0.0,0,0,0,0,0,0,0,4,0,0,
2015-11-04,Kevin Seraphin,NYK,CLE,,9:32,0.22,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.174,4,0.5,0,0,0.0,0,0.0,0,0,0,1,0,1,4,6,6.0,1,18,14,0.0,3,0.333,126.4,90.6,35.8,0.0,0.0,0.5,93.05,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.417,0.222,0.107,0.3,0,0,0,2,6,2,4,8,2,0,ESPN
2015-11-06,Kevin Seraphin,NYK,MIL,,3:31,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,1.25,2,8,8,0.0,0,0.0,91.6,116.7,-25.0,0.0,0.125,0.0,93.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0,0,0,0,0,2,0,4,2,0,
2015-11-08,Kevin Seraphin,NYK,LAL,,7:46,0.245,0.231,0.0,0.0,0.333,0.0,0.5,1.0,1.0,0.0,0.0,3,0.0,0,0,0.0,0,0.0,3,0,1,2,1,0,0,0,9.25,5,16,12,0.0,1,0.0,78.3,63.6,14.8,0.0,0.188,0.0,105.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.133,0.159,0.0,0,0,0,0,2,0,2,6,0,0,
2015-11-10,Kevin Seraphin,NYK,TOR,,8:29,0.271,0.2,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.083,3,0.333,0,0,0.0,0,0.0,0,0,0,1,2,0,2,2,3.0,1,18,13,0.0,2,0.5,137.6,137.8,-0.2,0.0,0.0,0.333,94.49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6,0.063,0.444,0,0,0,0,8,5,0,12,5,0,
2015-11-11,Kevin Seraphin,NYK,CHA,,2:34,0.333,0.333,0.0,0.0,1.0,0.0,0.333,0.0,0.0,0.0,1.0,1,1.0,0,0,0.0,0,0.0,1,0,0,0,1,0,2,-7,2.75,2,11,9,0.0,1,1.0,40.0,150.0,-110.0,0.0,0.5,1.0,102.86,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.125,0.0,0.333,0.0,0,0,0,2,5,0,0,6,0,0,
2015-11-15,Kevin Seraphin,NYK,NOP,,14:11,0.356,0.381,0.0,0.0,0.375,0.286,0.5,0.333,0.0,0.2,0.353,8,0.75,0,0,0.0,0,0.0,3,2,1,0,2,1,12,9,19.25,6,32,22,0.0909,7,0.714,125.6,101.5,24.1,0.25,0.2,0.75,87.48,1.0,0.0,1.0,0.0,0.333,0.667,0.5,0.5,0.528,0.333,0.284,0.3,4,0,2,8,8,0,0,4,0,2,
