DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Kevon Looney,GSW,TOR,,7:28,0.13,0.154,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.133,2,0.5,0,0,0.0,0,0.0,2,0,0,1,0,0,2,-2,6.5,0,0,0,,0,0.0,111.6,130.8,-19.2,0.0,0.2,0.5,84.99,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.773,0.0,0.154,0.0,2,0,0,2,2,0,5,4,0,0,NBA TV
2016-10-06,Kevon Looney,GSW,SAC,,7:33,0.056,0.067,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,3,0,0,0,0,0,0,8,3.75,0,0,0,,0,0.0,113.4,59.4,54.0,0.0,0.176,0.0,112.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.889,0.324,0.0,0,0,0,0,2,0,2,2,0,1,
2016-10-14,Kevon Looney,GSW,DEN,,13:53,0.127,0.115,0.0,0.211,0.563,0.0,0.0,0.0,0.0,0.125,0.073,3,0.333,0,0,0.0,4,0.25,9,0,0,0,0,1,3,11,14.25,0,0,0,,0,0.0,130.7,93.5,37.2,0.0,0.29,0.333,109.67,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.397,0.241,0.156,0.333,0,0,3,2,3,9,4,16,9,2,
2016-10-15,Kevon Looney,GSW,LAL,F,23:09,0.152,0.146,0.0,0.222,0.36,0.267,0.143,0.2,0.0,0.25,0.123,6,0.5,0,0,0.0,2,0.5,9,4,1,0,1,4,7,15,24.75,0,0,0,,0,0.0,129.7,88.2,41.4,0.211,0.231,0.5,94.92,1.0,0.0,0.857,0.0,0.0,0.857,1.0,0.0,0.403,0.417,0.21,0.227,0,0,3,6,11,10,4,10,10,2,NBA TV
2016-10-19,Kevon Looney,GSW,LAL,,14:44,0.232,0.2,0.0,0.222,0.0,0.0,0.4,0.0,0.0,0.2,0.37,5,0.8,0,0,0.0,2,1.0,0,0,0,0,2,1,10,2,9.0,0,0,0,,0,0.0,81.9,72.2,9.7,0.0,0.0,0.8,110.12,1.0,0.0,0.8,0.0,0.2,0.8,1.0,0.0,0.393,0.214,0.173,0.167,2,0,0,8,4,6,0,10,6,1,ESPN
2016-10-21,Kevon Looney,GSW,POR,,5:50,0.077,0.083,0.0,0.0,0.571,0.333,0.0,1.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,4,1,1,0,0,0,0,1,8.25,0,0,0,,0,0.0,90.0,76.6,13.4,0.25,0.308,0.0,84.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.111,0.192,0.2,0,0,0,0,2,0,2,8,0,0,NBA TV
2016-01-27,Kevon Looney,GSW,DAL,,5:59,0.085,0.1,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.5,0.118,1,1.0,0,0,0.0,0,0.0,2,0,0,0,0,1,2,-1,4.5,4,13,12,0.0,1,1.0,158.0,146.1,11.9,0.0,0.222,1.0,92.58,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.25,0.162,0.6,0,0,0,0,0,4,0,10,4,0,ESPN
2016-02-10,Kevon Looney,GSW,PHX,,2:12,0.4,0.4,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2,0.5,1,1,1.0,0,0.0,0,0,0,0,0,0,3,-7,3.5,1,4,2,0.0,1,0.0,100.0,200.0,-100.0,0.0,0.0,0.75,120.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,6,4,0,0,
2016-02-19,Kevon Looney,GSW,POR,,8:49,0.077,0.111,0.111,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.1,2,0.5,0,1,0.0,0,0.0,8,0,0,0,0,0,2,-5,12.0,11,19,17,0.0,1,1.0,105.0,129.4,-24.4,0.0,0.381,0.5,104.42,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.719,0.188,0.155,0.167,0,0,2,2,2,0,2,6,0,0,
2016-02-20,Kevon Looney,GSW,LAC,,1:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-10,0.0,1,3,3,0.0,0,0.0,0.0,257.7,-257.7,0.0,0.0,0.0,120.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.0,1.0,0,0,0,0,6,3,6,0,3,0,ABC
