DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,Khris Middleton,MIL,NYK,F,35:19,0.194,0.238,0.429,0.0,0.057,0.0,0.143,0.0,0.0,0.235,0.153,15,0.267,3,6,0.5,0,0.0,2,0,0,0,2,4,11,-12,14.0,3,45,28,0.0,7,0.0,95.3,115.8,-20.5,0.0,0.028,0.367,100.66,0.6,0.4,0.182,0.818,0.273,0.0,1.0,0.0,0.485,0.358,0.11,0.361,3,0,0,0,18,12,11,36,12,2,
2015-10-30,Khris Middleton,MIL,WAS,G,38:53,0.198,0.215,0.222,0.24,0.125,0.179,0.077,0.125,0.0,0.154,0.189,14,0.429,1,4,0.25,6,0.833,3,5,1,0,1,4,18,1,30.0,4,59,39,0.1282,10,0.4,111.8,118.6,-6.8,0.172,0.059,0.464,101.4,0.714,0.286,0.556,0.167,0.0,0.222,1.0,0.0,0.625,0.712,0.227,0.259,0,0,4,4,14,7,8,18,7,4,
2015-11-01,Khris Middleton,MIL,TOR,G,29:13,0.218,0.238,0.25,0.143,0.095,0.0,0.182,0.0,0.0,0.313,0.145,10,0.3,0,2,0.0,2,1.0,2,0,0,0,2,5,8,-11,9.5,4,38,24,0.0,6,0.333,99.7,117.3,-17.6,0.0,0.043,0.3,91.54,0.8,0.2,0.75,0.0,0.25,0.75,0.667,0.333,0.536,0.214,0.071,0.346,2,0,0,6,15,13,6,40,13,2,NBA TV
2015-11-02,Khris Middleton,MIL,BKN,F,38:57,0.165,0.194,0.263,0.211,0.167,0.15,0.0,0.167,0.167,0.105,0.213,12,0.5,2,5,0.4,4,0.75,5,3,1,1,0,2,17,-2,32.0,7,54,37,0.0811,6,0.333,106.2,102.0,4.1,0.12,0.086,0.583,95.95,0.583,0.417,0.471,0.353,0.235,0.118,0.667,0.333,0.524,0.302,0.199,0.241,4,0,2,2,11,7,14,28,7,2,
2015-11-04,Khris Middleton,MIL,PHI,G,35:38,0.296,0.317,0.438,0.364,0.107,0.176,0.111,0.2,0.0,0.167,0.309,20,0.35,3,7,0.429,4,1.0,3,3,1,0,1,2,21,7,31.5,5,67,42,0.0714,12,0.333,96.0,86.5,9.5,0.158,0.048,0.425,95.21,0.65,0.35,0.381,0.429,0.381,0.095,0.714,0.286,0.45,0.133,0.213,0.267,8,0,2,2,8,9,15,38,9,7,
2015-11-06,Khris Middleton,MIL,NYK,G,38:15,0.165,0.138,0.3,0.273,0.167,0.118,0.25,0.167,0.0,0.25,0.159,9,0.333,1,3,0.333,6,1.0,5,2,1,0,2,5,13,14,23.25,8,61,43,0.0465,6,0.333,109.8,92.3,17.5,0.077,0.075,0.389,93.09,0.667,0.333,0.308,0.231,0.0,0.0,1.0,0.0,0.411,0.355,0.204,0.371,0,0,2,0,11,18,9,32,18,4,
2015-11-07,Khris Middleton,MIL,BKN,G,33:23,0.123,0.103,0.214,0.455,0.29,0.35,0.083,0.143,0.0,0.182,0.203,6,0.667,3,3,1.0,5,0.6,9,7,1,0,1,2,14,11,37.0,14,62,52,0.1346,2,0.5,103.2,89.0,14.2,0.304,0.136,0.917,94.9,0.5,0.5,0.143,0.643,0.143,0.0,1.0,0.0,0.405,0.241,0.215,0.361,2,0,3,0,13,11,5,38,11,3,
2015-11-10,Khris Middleton,MIL,BOS,G,37:14,0.189,0.2,0.5,0.294,0.061,0.154,0.077,0.0,0.5,0.059,0.181,12,0.25,2,6,0.333,5,1.0,2,2,0,1,1,1,13,-1,20.5,6,55,37,0.0541,3,0.0,100.7,101.5,-0.8,0.087,0.031,0.333,92.43,0.5,0.5,0.154,0.462,0.0,0.154,0.667,0.333,0.46,0.286,0.167,0.314,0,5,0,2,15,12,13,26,12,6,
2015-11-11,Khris Middleton,MIL,DEN,G,42:26,0.171,0.186,0.263,0.0,0.033,0.08,0.143,0.5,0.0,0.087,0.14,13,0.385,3,5,0.6,0,0.0,1,2,4,0,2,2,13,5,25.25,4,51,34,0.0588,7,0.143,114.9,110.6,4.3,0.061,0.017,0.5,90.79,0.615,0.385,0.308,0.692,0.154,0.0,0.8,0.2,0.53,0.358,0.163,0.324,2,2,0,0,19,9,12,42,9,0,
2015-11-14,Khris Middleton,MIL,CLE,G,41:48,0.16,0.173,0.2,0.111,0.105,0.091,0.1,0.5,0.0,0.211,0.147,13,0.308,1,2,0.5,2,1.0,4,1,3,0,1,4,11,6,23.25,5,58,42,0.0238,7,0.0,92.7,85.5,7.2,0.042,0.051,0.346,92.78,0.846,0.154,0.545,0.273,0.364,0.182,0.75,0.25,0.429,0.349,0.235,0.297,4,0,0,2,12,18,15,20,18,1,
