DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Klay Thompson,GSW,TOR,G,18:44,0.319,0.419,0.55,0.133,0.0,0.0,0.111,0.143,0.0,0.111,0.372,13,0.385,4,11,0.364,2,1.0,0,0,1,0,1,1,16,-1,19.5,0,0,0,,0,0.0,96.4,97.2,-0.8,0.0,0.0,0.538,115.15,0.154,0.846,0.125,0.75,0.5,0.125,0.8,0.2,0.561,0.364,0.287,0.375,8,3,6,2,9,9,9,24,9,5,NBA TV
2016-10-04,Klay Thompson,GSW,LAC,G,21:21,0.318,0.4,0.474,0.267,0.045,0.0,0.0,0.0,0.0,0.222,0.441,14,0.714,6,9,0.667,4,1.0,1,0,0,0,0,2,30,45,34.25,0,0,0,,0,0.0,145.9,49.0,96.9,0.0,0.028,0.929,105.17,0.357,0.643,0.267,0.6,0.1,0.2,1.0,0.0,0.227,0.273,0.277,0.136,3,9,5,6,2,2,2,8,2,3,ESPN
2016-10-06,Klay Thompson,GSW,SAC,G,24:34,0.158,0.235,0.25,0.105,0.111,0.0,0.0,0.25,0.0,0.111,0.216,8,0.5,1,4,0.25,2,1.0,2,0,2,0,0,1,11,-5,18.0,0,0,0,,0,0.0,93.8,104.6,-10.8,0.0,0.047,0.563,105.39,0.5,0.5,0.545,0.273,0.455,0.0,1.0,0.0,0.532,0.17,0.187,0.304,5,5,0,0,15,7,10,26,7,2,
2016-10-14,Klay Thompson,GSW,DEN,G,24:32,0.262,0.255,0.35,0.0,0.316,0.214,0.375,0.167,0.0,0.091,0.309,12,0.583,3,7,0.429,0,0.0,6,3,1,0,3,1,17,-10,30.25,0,0,0,,0,0.0,99.6,120.0,-20.4,0.2,0.128,0.708,106.98,0.417,0.583,0.471,0.529,0.0,0.118,0.857,0.143,0.648,0.318,0.185,0.261,0,0,0,2,16,10,4,28,10,0,
2016-10-15,Klay Thompson,GSW,LAL,G,18:44,0.347,0.371,0.353,0.182,0.111,0.2,0.333,0.0,0.0,0.0,0.393,13,0.692,4,6,0.667,2,1.0,2,3,0,0,1,0,24,23,31.75,0,0,0,,0,0.0,157.1,96.2,60.9,0.231,0.065,0.846,100.39,0.538,0.462,0.417,0.5,0.292,0.25,0.889,0.111,0.5,0.25,0.177,0.176,7,2,0,6,4,4,0,8,4,1,NBA TV
2016-10-19,Klay Thompson,GSW,LAL,G,32:03,0.202,0.206,0.25,0.286,0.088,0.308,0.111,0.182,0.333,0.154,0.196,14,0.429,3,7,0.429,4,1.0,3,8,2,2,1,2,19,18,41.75,0,0,0,,0,0.0,127.4,102.7,24.7,0.267,0.048,0.536,114.63,0.5,0.5,0.316,0.474,0.421,0.211,0.833,0.167,0.548,0.29,0.195,0.229,8,8,0,4,18,10,26,18,10,4,ESPN
2016-10-21,Klay Thompson,GSW,POR,G,30:03,0.229,0.228,0.276,0.2,0.138,0.063,0.25,0.0,0.0,0.0,0.132,13,0.231,1,8,0.125,2,1.0,4,1,0,0,2,0,9,2,14.75,0,0,0,,0,0.0,102.4,97.5,4.9,0.048,0.066,0.269,107.14,0.385,0.615,0.444,0.333,0.0,0.0,0.667,0.333,0.475,0.22,0.118,0.161,0,0,2,0,10,5,14,32,5,2,NBA TV
2015-10-27,Klay Thompson,GSW,NOP,G,26:26,0.247,0.167,0.154,0.188,0.185,0.2,0.636,0.2,0.167,0.385,0.143,8,0.375,0,2,0.0,3,1.0,5,3,1,1,7,5,9,4,19.5,5,34,19,0.1579,7,0.286,106.7,96.8,9.9,0.158,0.114,0.375,108.95,0.75,0.25,0.667,0.0,0.222,0.667,0.667,0.333,0.52,0.18,0.164,0.13,2,0,0,6,18,4,16,30,4,2,TNT
2015-10-30,Klay Thompson,GSW,HOU,G,24:03,0.228,0.208,0.294,0.25,0.087,0.0,0.4,0.333,0.0,0.231,0.208,10,0.4,1,5,0.2,2,1.0,2,0,1,0,2,3,11,7,15.0,5,37,23,0.0,4,0.5,99.0,89.6,9.5,0.0,0.042,0.45,104.66,0.5,0.5,0.545,0.273,0.182,0.364,0.75,0.25,0.405,0.514,0.175,0.13,2,4,0,4,5,0,7,14,0,1,ESPN
2015-10-31,Klay Thompson,GSW,NOP,G,27:20,0.22,0.245,0.238,0.208,0.136,0.067,0.0,0.0,0.333,0.267,0.224,12,0.5,2,5,0.4,5,1.0,3,1,0,1,0,4,19,9,27.0,8,32,16,0.0625,6,0.333,131.7,115.1,16.6,0.048,0.064,0.583,114.69,0.583,0.417,0.421,0.316,0.0,0.316,0.833,0.167,0.534,0.276,0.106,0.214,0,5,0,6,5,7,9,34,7,3,NBA TV
2015-11-02,Klay Thompson,GSW,MEM,G,26:27,0.206,0.234,0.188,0.0,0.189,0.105,0.2,0.0,0.2,0.0,0.189,11,0.545,2,3,0.667,0,0.0,7,2,0,2,2,0,14,41,29.25,13,32,17,0.1176,6,0.667,125.1,54.3,70.7,0.095,0.117,0.636,108.78,0.727,0.273,0.571,0.429,0.357,0.143,1.0,0.0,0.193,0.228,0.099,0.195,5,2,0,2,6,6,6,12,6,0,NBA TV
