DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Kris Dunn,MIN,MIA,,24:13,0.218,0.178,0.133,0.222,0.16,0.7,0.4,0.4,0.0,0.4,0.118,8,0.25,1,2,0.5,2,0.5,4,7,2,0,4,4,6,6,22.25,0,0,0,,0,0.0,94.5,87.4,7.1,0.438,0.085,0.313,104.5,0.75,0.25,0.333,0.5,0.5,0.333,0.0,1.0,0.436,0.436,0.155,0.13,3,1,2,2,12,2,3,20,2,1,
2016-10-10,Kris Dunn,MIN,CHA,,26:22,0.236,0.231,0.333,0.273,0.143,0.333,0.25,0.333,0.5,0.333,0.136,12,0.167,0,5,0.0,3,0.667,4,3,3,1,2,3,6,-7,21.75,0,0,0,,0,0.0,77.4,92.2,-14.8,0.214,0.071,0.167,102.09,0.583,0.417,0.667,0.0,0.5,0.667,0.5,0.5,0.51,0.063,0.217,0.231,3,3,0,4,9,0,4,22,0,4,
2016-10-12,Kris Dunn,MIN,DEN,,18:25,0.21,0.219,0.0,0.0,0.143,0.571,0.333,0.6,0.0,0.182,0.065,7,0.143,0,0,0.0,0,0.0,2,4,3,0,2,2,2,-8,14.5,0,0,0,,0,0.0,74.1,97.4,-23.3,0.4,0.054,0.143,106.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.593,0.225,0.188,0,0,0,2,10,2,7,16,2,2,
2016-10-15,Kris Dunn,MIN,MIA,,21:56,0.203,0.161,0.143,0.0,0.167,0.333,0.417,0.333,0.0,0.222,0.103,5,0.4,0,1,0.0,0,0.0,4,2,1,0,5,2,4,-1,11.0,0,0,0,,0,0.0,88.3,88.3,0.0,0.2,0.089,0.4,97.87,0.8,0.2,1.0,0.0,0.5,0.0,0.5,0.5,0.378,0.293,0.11,0.24,2,0,0,0,12,6,9,14,6,0,
2016-10-16,Kris Dunn,MIN,OKC,G,27:14,0.167,0.176,0.0,0.286,0.091,0.6,0.091,0.0,0.0,0.278,0.122,9,0.222,0,0,0.0,2,1.0,2,6,0,0,1,5,6,-19,15.5,0,0,0,,0,0.0,82.9,105.3,-22.3,0.353,0.039,0.222,109.0,1.0,0.0,0.667,0.0,0.0,0.333,0.0,1.0,0.5,0.268,0.139,0.304,0,0,0,2,15,14,14,38,14,2,
2016-10-19,Kris Dunn,MIN,MEM,,15:22,0.176,0.208,0.125,0.0,0.091,0.2,0.143,0.2,0.0,0.5,0.0,5,0.0,0,1,0.0,0,0.0,1,1,1,0,1,3,0,-6,4.0,0,0,0,,0,0.0,65.5,81.6,-16.2,0.143,0.037,0.0,101.77,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.292,0.272,0.25,0,0,0,0,4,4,10,12,4,1,
2016-10-21,Kris Dunn,MIN,CHA,,25:51,0.185,0.156,0.083,0.4,0.176,0.444,0.214,0.5,0.2,0.333,0.157,7,0.429,0,1,0.0,4,0.5,6,4,4,1,3,3,8,16,29.0,0,0,0,,0,0.0,90.4,62.2,28.2,0.235,0.113,0.429,104.62,0.857,0.143,0.75,0.0,0.75,0.5,0.0,1.0,0.3,0.267,0.195,0.156,6,4,4,4,11,2,7,16,2,3,NBA TV
2016-10-26,Kris Dunn,MIN,MEM,,15:13,0.184,0.207,0.167,0.0,0.25,0.25,0.2,0.333,0.0,0.333,0.286,6,0.667,0,1,0.0,0,0.0,4,1,1,0,1,3,8,-6,15.75,8,38,27,0.037,3,1.0,93.5,107.9,-14.4,0.143,0.133,0.667,96.94,0.833,0.167,1.0,0.0,0.25,1.0,0.25,0.75,0.537,0.296,0.159,0.333,2,2,2,8,9,7,2,10,7,1,
2016-10-29,Kris Dunn,MIN,SAC,,19:45,0.108,0.061,0.091,0.286,0.043,0.571,0.2,0.0,0.0,0.222,0.089,2,0.5,1,1,1.0,4,0.25,1,4,0,0,1,2,4,7,10.25,9,34,25,0.16,1,0.0,124.4,90.3,34.1,0.267,0.029,0.75,95.08,0.5,0.5,0.0,0.75,0.75,0.0,1.0,0.0,0.423,0.179,0.143,0.286,3,0,0,0,6,8,4,20,8,3,NBA TV
2016-11-01,Kris Dunn,MIN,MEM,G,29:10,0.157,0.135,0.231,0.167,0.125,0.353,0.25,0.556,0.0,0.176,0.133,7,0.429,2,3,0.667,2,1.0,4,6,5,0,3,3,10,26,32.0,6,69,59,0.1017,4,0.25,124.4,80.2,44.2,0.24,0.087,0.571,99.89,0.571,0.429,0.2,0.6,0.2,0.2,0.0,1.0,0.397,0.59,0.229,0.08,2,0,2,2,17,3,8,22,3,1,
