DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Kris Humphries,ATL,MEM,,16:05,0.229,0.259,0.3,0.0,0.214,0.083,0.25,0.0,1.0,0.375,0.175,7,0.429,1,3,0.333,0,0.0,3,1,0,2,1,3,7,12,16.0,0,0,0,,0,0.0,121.4,90.2,31.2,0.091,0.111,0.5,95.5,0.571,0.429,0.571,0.429,0.0,0.286,1.0,0.0,0.333,0.593,0.129,0.368,0,0,0,2,3,6,5,10,6,1,
2016-10-08,Kris Humphries,ATL,SAS,,19:49,0.194,0.161,0.222,0.714,0.273,0.1,0.0,0.0,0.0,0.143,0.314,5,0.6,0,2,0.0,5,1.0,3,1,0,0,0,1,11,-11,16.0,0,0,0,,0,0.0,99.8,119.8,-20.0,0.1,0.115,0.6,88.98,0.6,0.4,0.545,0.0,0.0,0.364,0.667,0.333,0.613,0.323,0.104,0.1,0,3,0,4,4,2,6,20,2,4,
2016-10-13,Kris Humphries,ATL,DET,F,23:10,0.139,0.1,0.143,0.0,0.316,0.182,0.375,0.0,0.0,0.133,0.047,4,0.25,0,2,0.0,0,0.0,6,2,0,0,3,2,2,2,10.5,0,0,0,,0,0.0,93.1,82.5,10.6,0.125,0.13,0.25,99.4,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.357,0.31,0.221,0.375,2,0,0,2,9,11,6,14,11,1,
2016-10-16,Kris Humphries,ATL,ORL,,16:54,0.181,0.219,0.273,0.0,0.267,0.0,0.0,0.0,0.667,0.333,0.1,7,0.143,1,3,0.333,0,0.0,4,0,0,2,0,2,3,-7,12.5,0,0,0,,0,0.0,81.9,104.2,-22.3,0.0,0.108,0.214,102.48,0.571,0.429,0.0,1.0,0.0,0.0,1.0,0.0,0.485,0.242,0.113,0.278,0,0,0,0,2,4,7,14,4,0,NBA TV
2016-10-18,Kris Humphries,ATL,NOP,,12:06,0.237,0.238,0.4,0.0,0.214,0.0,0.4,0.0,0.0,0.4,0.138,5,0.4,0,2,0.0,0,0.0,3,0,0,0,2,2,4,6,6.75,0,0,0,,0,0.0,109.4,86.3,23.0,0.0,0.136,0.4,105.44,0.6,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.425,0.3,0.188,0.083,0,0,0,4,11,0,4,8,0,1,NBA TV
2016-10-20,Kris Humphries,ATL,CHI,,17:26,0.111,0.138,0.0,0.0,0.111,0.083,0.0,0.0,0.667,0.167,0.267,4,1.0,0,0,0.0,0,0.0,2,1,0,2,0,1,8,3,15.75,0,0,0,,0,0.0,88.2,77.9,10.3,0.1,0.059,1.0,94.49,1.0,0.0,1.0,0.0,0.0,0.5,0.75,0.25,0.324,0.176,0.087,0.238,0,0,0,4,7,6,2,10,6,0,
2015-10-28,Kris Humphries,WAS,ORL,F,26:00,0.214,0.209,0.188,0.167,0.207,0.0,0.25,0.167,0.0,0.25,0.22,9,0.444,1,3,0.333,2,1.0,6,0,1,0,3,2,11,9,19.5,14,47,33,0.0,5,0.4,95.6,73.8,21.8,0.0,0.105,0.5,99.5,0.667,0.333,0.545,0.273,0.182,0.364,0.5,0.5,0.353,0.157,0.198,0.323,2,7,2,4,10,8,3,22,8,1,
2015-10-30,Kris Humphries,WAS,MIL,F,14:11,0.163,0.19,0.667,0.286,0.231,0.0,0.083,0.0,0.0,0.0,0.238,4,0.25,1,2,0.5,2,1.0,3,0,0,0,1,0,5,-15,8.75,6,25,18,0.0,1,0.0,67.6,109.6,-42.1,0.0,0.136,0.375,108.16,0.5,0.5,0.0,0.6,0.4,0.0,1.0,0.0,0.609,0.478,0.152,0.0,2,0,2,0,10,0,11,20,0,1,
2015-10-31,Kris Humphries,WAS,NYK,F,14:34,0.051,0.038,0.0,0.154,0.25,0.5,0.0,0.0,0.0,0.25,0.065,1,0.0,0,0,0.0,2,1.0,3,3,0,0,0,2,2,-2,9.5,8,23,22,0.1364,1,0.0,89.3,104.7,-15.4,0.273,0.12,0.0,109.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.32,0.159,0.167,0,0,2,0,5,4,0,4,4,1,
2015-11-04,Kris Humphries,WAS,SAS,F,22:40,0.156,0.175,0.4,0.0,0.353,0.0,0.0,0.0,0.0,0.25,0.14,7,0.429,1,4,0.25,0,0.0,6,0,0,0,0,2,7,6,15.0,7,40,32,0.0,2,1.0,114.3,93.7,20.6,0.0,0.154,0.5,96.06,0.429,0.571,0.571,0.429,0.0,0.571,1.0,0.0,0.417,0.214,0.149,0.273,0,2,0,4,5,2,11,20,2,2,
