DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Kristaps Porzingis,NYK,HOU,F,27:00,0.176,0.22,0.375,0.091,0.19,0.0,0.0,0.333,1.0,0.154,0.373,11,0.727,5,6,0.833,1,1.0,4,0,1,2,0,2,22,-19,35.5,0,0,0,,0,0.0,98.6,126.9,-28.3,0.0,0.087,0.955,107.84,0.455,0.545,0.273,0.682,0.136,0.182,0.75,0.25,0.67,0.362,0.163,0.158,3,0,5,4,15,8,6,20,8,1,ESPN
2016-10-08,Kristaps Porzingis,NYK,BKN,F,19:22,0.273,0.273,0.077,0.25,0.316,0.125,0.333,0.0,0.5,0.182,0.25,9,0.444,0,1,0.0,4,1.0,6,1,0,1,1,2,12,9,22.25,0,0,0,,0,0.0,123.0,99.9,23.1,0.083,0.162,0.444,96.76,0.889,0.111,0.667,0.0,0.0,0.5,0.5,0.5,0.435,0.516,0.102,0.167,0,2,0,6,8,4,9,16,4,3,
2016-10-10,Kristaps Porzingis,NYK,WAS,F,31:30,0.228,0.264,0.261,0.0,0.207,0.133,0.133,0.0,0.5,0.154,0.231,14,0.5,1,6,0.167,0,0.0,6,2,0,2,2,2,15,12,28.5,0,0,0,,0,0.0,104.5,86.3,18.2,0.111,0.107,0.536,94.16,0.571,0.429,0.8,0.2,0.0,0.533,0.857,0.143,0.418,0.182,0.195,0.323,0,0,2,8,11,9,5,22,9,1,NBA TV
2016-10-15,Kristaps Porzingis,NYK,BOS,F,14:49,0.248,0.222,0.6,0.5,0.333,0.0,0.286,0.25,0.0,0.167,0.273,6,0.5,2,3,0.667,2,0.5,3,0,1,0,2,1,9,-11,14.75,0,0,0,,0,0.0,100.7,153.6,-52.9,0.0,0.176,0.667,99.46,0.5,0.5,0.222,0.667,0.222,0.222,1.0,0.0,0.848,0.261,0.14,0.143,2,2,0,2,12,2,11,8,2,1,NBA TV
2016-10-19,Kristaps Porzingis,NYK,BOS,F,22:45,0.302,0.295,0.308,0.429,0.13,0.077,0.2,0.333,0.6,0.167,0.37,13,0.538,0,4,0.0,6,1.0,3,1,2,3,1,2,20,5,34.5,0,0,0,,0,0.0,105.6,97.5,8.1,0.077,0.068,0.538,107.01,0.692,0.308,0.7,0.0,0.4,0.7,0.857,0.143,0.464,0.286,0.179,0.24,8,6,6,14,8,7,6,20,7,3,ESPN
2016-10-20,Kristaps Porzingis,NYK,BKN,F,21:31,0.229,0.194,0.214,0.222,0.263,0.222,0.333,0.0,0.5,0.3,0.116,7,0.286,0,3,0.0,2,0.5,5,2,0,3,4,3,5,-5,17.75,0,0,0,,0,0.0,87.8,98.7,-10.9,0.143,0.139,0.286,108.87,0.571,0.429,0.8,0.0,0.0,0.4,1.0,0.0,0.553,0.158,0.185,0.059,0,0,0,2,18,0,6,24,0,2,NBA TV
2015-10-28,Kristaps Porzingis,NYK,MIL,F,24:15,0.294,0.244,0.167,0.571,0.192,0.1,0.25,0.143,0.25,0.176,0.296,11,0.273,1,2,0.5,12,0.75,5,1,1,1,2,3,16,1,27.0,11,49,32,0.0313,8,0.25,105.4,99.9,5.5,0.077,0.093,0.318,103.2,0.818,0.182,0.25,0.188,0.313,0.25,0.667,0.333,0.424,0.348,0.207,0.423,5,3,2,4,10,14,4,18,14,6,
2015-10-29,Kristaps Porzingis,NYK,ATL,F,25:37,0.217,0.192,0.25,0.154,0.333,0.0,0.364,0.5,0.333,0.333,0.167,10,0.4,0,4,0.0,2,1.0,8,0,3,1,4,5,10,-5,26.0,10,65,50,0.0,4,0.75,98.8,109.5,-10.7,0.0,0.178,0.4,112.52,0.6,0.4,0.8,0.0,0.2,0.8,0.5,0.5,0.567,0.422,0.168,0.2,2,2,2,8,14,4,15,24,4,1,TNT
2015-10-31,Kristaps Porzingis,NYK,WAS,F,21:02,0.15,0.15,0.0,0.2,0.286,0.0,0.125,0.0,0.0,0.333,0.167,6,0.5,0,0,0.0,2,1.0,6,0,0,0,1,4,8,10,15.0,9,37,28,0.0,4,0.25,101.3,76.4,24.8,0.0,0.158,0.5,110.82,1.0,0.0,0.75,0.0,0.0,0.25,1.0,0.0,0.392,0.351,0.201,0.158,0,0,2,2,11,2,13,20,2,2,
2015-11-02,Kristaps Porzingis,NYK,SAS,F,24:08,0.309,0.294,0.5,1.0,0.519,0.091,0.333,0.6,1.0,0.556,0.361,15,0.333,1,5,0.2,2,1.0,14,1,3,2,2,5,13,-8,41.25,20,52,34,0.0294,8,0.375,80.2,97.6,-17.4,0.1,0.269,0.367,89.46,0.667,0.333,0.615,0.231,0.385,0.462,0.8,0.2,0.487,0.179,0.177,0.263,5,0,4,6,4,0,0,24,0,1,
