DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Kyle Anderson,SAS,PHX,,20:29,0.151,0.161,0.143,0.167,0.235,0.4,0.125,0.5,0.5,0.0,0.229,5,0.6,0,1,0.0,2,1.0,4,2,3,1,2,0,8,-8,22.5,0,0,0,,0,0.0,72.5,93.0,-20.5,0.25,0.111,0.6,110.75,0.8,0.2,0.75,0.0,0.25,0.5,0.333,0.667,0.45,0.7,0.238,0.235,2,2,0,4,15,7,15,18,7,1,
2016-10-08,Kyle Anderson,SAS,ATL,,17:58,0.156,0.192,0.125,0.0,0.154,0.1,0.125,0.5,0.0,0.182,0.111,5,0.4,0,1,0.0,0,0.0,2,1,1,0,1,2,4,-5,9.25,0,0,0,,0,0.0,93.8,113.6,-19.9,0.091,0.087,0.4,99.49,0.8,0.2,1.0,0.0,0.5,1.0,0.5,0.5,0.531,0.219,0.111,0.188,2,2,0,4,6,0,7,18,0,0,
2016-10-10,Kyle Anderson,SAS,DET,,14:49,0.202,0.208,0.5,0.4,0.118,0.25,0.0,0.25,0.0,0.4,0.238,5,0.2,0,1,0.0,4,0.75,2,1,1,0,0,2,5,-1,10.75,0,0,0,,0,0.0,76.6,72.8,3.8,0.2,0.067,0.2,93.35,0.8,0.2,0.4,0.0,0.2,0.0,0.0,1.0,0.333,0.185,0.166,0.267,1,0,0,0,4,1,4,16,1,3,
2016-10-12,Kyle Anderson,SAS,ORL,F,27:03,0.147,0.163,0.071,0.25,0.167,0.154,0.0,0.125,0.0,0.182,0.111,8,0.25,0,1,0.0,2,1.0,4,2,1,0,0,2,6,2,15.5,0,0,0,,0,0.0,93.9,95.0,-1.1,0.111,0.071,0.25,99.58,0.875,0.125,0.667,0.0,0.0,0.0,0.5,0.5,0.394,0.25,0.164,0.364,0,0,0,0,13,11,4,24,11,1,
2016-10-14,Kyle Anderson,SAS,MIA,F,18:13,0.181,0.212,0.167,0.0,0.467,0.143,0.125,0.4,0.0,0.2,0.15,7,0.429,0,1,0.0,0,0.0,7,1,2,0,1,1,6,1,19.5,0,0,0,,0,0.0,99.8,98.1,1.7,0.071,0.226,0.429,105.17,0.857,0.143,1.0,0.0,0.667,0.667,0.667,0.333,0.578,0.125,0.252,0.267,4,0,0,4,5,5,0,12,5,2,
2016-10-21,Kyle Anderson,SAS,HOU,G,19:45,0.129,0.125,0.0,0.333,0.19,0.231,0.0,0.0,0.4,0.167,0.2,5,0.8,0,0,0.0,2,1.0,4,3,0,2,0,1,10,10,22.75,0,0,0,,0,0.0,112.0,94.6,17.4,0.176,0.1,0.8,105.62,1.0,0.0,0.8,0.0,0.4,0.4,0.75,0.25,0.419,0.324,0.095,0.167,4,2,0,4,3,0,7,16,0,2,
2015-10-28,Kyle Anderson,SAS,OKC,,12:41,0.143,0.174,0.333,0.0,0.25,0.0,0.0,0.333,0.0,0.0,0.138,4,0.5,0,1,0.0,0,0.0,1,0,1,0,0,0,4,-10,7.25,1,16,12,0.0,3,0.667,107.9,138.3,-30.4,0.0,0.05,0.5,104.22,0.75,0.25,1.0,0.0,0.0,0.5,0.5,0.5,0.63,0.185,0.213,0.7,0,0,0,2,7,9,2,20,9,0,ESPN
2015-10-30,Kyle Anderson,SAS,BKN,,10:53,0.037,0.053,0.0,0.0,0.118,0.0,0.0,0.333,1.0,0.429,0.0,1,0.0,0,0,0.0,0,0.0,2,0,1,1,0,3,0,3,6.5,4,20,19,0.0,1,0.0,76.6,56.0,20.6,0.0,0.087,0.0,97.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.278,0.172,0.083,0,0,0,0,2,0,0,8,0,1,
2015-11-01,Kyle Anderson,SAS,BOS,,0:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,3,3,0.0,0,0.0,106.4,66.7,39.7,0.0,0.0,0.0,120.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-11-02,Kyle Anderson,SAS,NYK,,6:06,0.078,0.1,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,3,2.5,1,10,9,0.1111,1,0.0,68.0,51.2,16.8,0.333,0.056,0.0,84.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.364,0.0,0.3,0,0,0,0,2,1,0,0,1,0,
