DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Kyle Korver,ATL,MEM,G,17:09,0.078,0.097,0.111,0.0,0.056,0.2,0.0,0.0,0.0,0.0,0.189,3,1.0,1,1,1.0,0,0.0,1,2,0,0,0,0,7,7,11.25,0,0,0,,0,0.0,106.8,87.5,19.3,0.167,0.033,1.167,96.45,0.667,0.333,0.571,0.429,0.571,0.0,1.0,0.0,0.397,0.414,0.146,0.263,4,2,0,0,6,6,0,6,6,0,
2016-10-10,Kyle Korver,ATL,CLE,G,22:15,0.149,0.143,0.364,0.0,0.13,0.167,0.286,0.0,0.0,0.333,0.106,6,0.333,1,4,0.25,0,0.0,3,2,0,0,2,3,5,3,10.75,0,0,0,,0,0.0,96.2,91.1,5.1,0.111,0.068,0.417,104.76,0.333,0.667,0.4,0.6,0.0,0.4,0.5,0.5,0.449,0.308,0.145,0.143,0,0,0,2,4,4,3,18,4,1,
2016-10-13,Kyle Korver,ATL,DET,G,23:27,0.173,0.167,0.4,0.091,0.0,0.0,0.25,0.5,0.0,0.167,0.189,6,0.5,3,6,0.5,1,1.0,0,0,2,0,2,2,10,-4,14.5,0,0,0,,0,0.0,113.2,116.7,-3.6,0.0,0.0,0.75,97.92,0.0,1.0,0.0,0.9,0.0,0.0,1.0,0.0,0.535,0.256,0.143,0.353,0,3,0,0,12,7,4,18,7,0,
2016-10-18,Kyle Korver,ATL,NOP,G,22:53,0.15,0.105,0.3,0.25,0.077,0.308,0.25,0.286,0.0,0.0,0.255,4,0.75,2,3,0.667,5,1.0,2,4,2,0,2,0,13,19,24.5,0,0,0,,0,0.0,102.4,61.6,40.8,0.286,0.042,1.0,106.73,0.25,0.75,0.154,0.462,0.231,0.0,1.0,0.0,0.3,0.225,0.212,0.125,3,0,0,0,7,2,6,12,2,2,NBA TV
2016-10-20,Kyle Korver,ATL,CHI,G,29:41,0.158,0.185,0.5,0.0,0.108,0.316,0.1,0.0,1.0,0.182,0.254,10,0.6,4,8,0.5,0,0.0,4,6,0,1,1,2,16,16,32.0,0,0,0,,0,0.0,100.4,77.1,23.3,0.333,0.063,0.8,100.0,0.2,0.8,0.25,0.75,0.188,0.0,1.0,0.0,0.339,0.153,0.082,0.189,3,6,3,0,11,4,10,22,4,0,
2015-10-27,Kyle Korver,ATL,DET,G,28:42,0.159,0.184,0.313,0.0,0.08,0.083,0.125,0.25,0.0,0.222,0.125,9,0.333,1,5,0.2,0,0.0,2,1,1,0,1,4,7,-9,12.75,13,32,21,0.0476,6,0.333,92.2,107.7,-15.5,0.056,0.03,0.389,101.25,0.444,0.556,0.571,0.429,0.286,0.0,1.0,0.0,0.418,0.311,0.133,0.425,2,0,0,0,13,5,8,14,5,0,
2015-10-29,Kyle Korver,ATL,NYK,G,32:15,0.122,0.14,0.278,0.0,0.28,0.095,0.111,0.111,0.0,0.2,0.172,8,0.75,3,5,0.6,0,0.0,7,2,1,0,1,2,15,22,29.25,12,35,26,0.0769,6,0.667,124.4,89.2,35.2,0.077,0.121,0.938,106.24,0.375,0.625,0.4,0.6,0.333,0.133,0.833,0.167,0.397,0.162,0.192,0.4,5,3,0,2,9,11,9,34,11,2,TNT
2015-11-01,Kyle Korver,ATL,CHA,G,31:18,0.151,0.158,0.2,0.0,0.071,0.133,0.2,0.0,0.0,0.273,0.091,9,0.333,0,4,0.0,0,0.0,2,2,0,0,1,3,6,-2,10.5,4,37,26,0.0769,5,0.2,105.8,110.0,-4.2,0.087,0.034,0.333,95.27,0.556,0.444,1.0,0.0,0.0,0.0,0.667,0.333,0.509,0.193,0.097,0.2,0,0,2,0,5,11,7,20,11,1,
2015-11-03,Kyle Korver,ATL,MIA,G,34:29,0.167,0.159,0.333,0.0,0.075,0.15,0.3,0.143,0.0,0.083,0.12,11,0.364,1,6,0.167,0,0.0,3,3,1,0,3,1,9,11,17.5,9,42,26,0.1154,10,0.4,105.9,90.5,15.4,0.115,0.041,0.409,98.51,0.455,0.545,0.667,0.333,0.333,0.222,0.75,0.25,0.458,0.217,0.184,0.229,3,0,4,2,8,13,7,38,13,0,NBA TV
2015-11-06,Kyle Korver,ATL,NOP,G,33:01,0.115,0.151,0.267,0.087,0.226,0.227,0.0,0.333,0.25,0.154,0.265,8,1.0,4,4,1.0,2,1.0,7,5,3,1,0,2,22,16,47.0,9,43,36,0.1389,4,1.0,112.0,93.4,18.6,0.238,0.13,1.25,106.03,0.5,0.5,0.364,0.545,0.136,0.182,1.0,0.0,0.474,0.224,0.167,0.125,3,0,0,4,15,6,17,28,6,1,
