DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Kyle Lowry,TOR,GSW,G,21:18,0.194,0.194,0.417,0.143,0.074,0.571,0.214,0.222,0.5,0.077,0.146,7,0.286,1,5,0.2,2,0.5,2,4,2,1,3,1,6,-7,18.5,0,0,0,,0,0.0,83.4,93.6,-10.2,0.308,0.048,0.357,113.17,0.286,0.714,0.333,0.5,0.0,0.333,0.5,0.5,0.513,0.316,0.215,0.13,0,1,0,2,8,11,7,12,11,3,NBA TV
2016-10-03,Kyle Lowry,TOR,DEN,G,18:22,0.216,0.25,0.5,0.0,0.077,0.333,0.4,0.25,0.0,0.182,0.184,8,0.375,1,4,0.25,0,0.0,1,1,1,0,2,2,7,-7,11.0,0,0,0,,0,0.0,90.0,105.9,-16.0,0.143,0.028,0.438,110.7,0.5,0.5,0.571,0.429,0.0,0.286,0.0,1.0,0.417,0.472,0.188,0.5,0,0,0,2,8,6,6,24,6,0,
2016-10-13,Kyle Lowry,TOR,CLE,G,20:26,0.402,0.281,0.364,0.833,0.071,0.375,0.667,0.0,0.0,0.222,0.439,9,0.667,3,4,0.75,10,1.0,1,6,0,0,4,2,25,10,33.25,0,0,0,,0,0.0,131.7,97.1,34.6,0.429,0.032,0.833,107.68,0.556,0.444,0.24,0.36,0.2,0.0,0.833,0.167,0.5,0.256,0.207,0.263,5,6,0,0,9,6,11,14,6,5,TNT
2016-10-19,Kyle Lowry,TOR,DET,G,28:51,0.308,0.333,0.667,0.333,0.25,0.231,0.125,0.0,0.0,0.182,0.397,17,0.471,5,8,0.625,6,1.0,7,3,0,0,1,2,27,11,41.5,0,0,0,,0,0.0,109.8,95.1,14.8,0.2,0.137,0.618,101.39,0.529,0.471,0.222,0.556,0.0,0.222,0.625,0.375,0.462,0.17,0.117,0.148,0,2,3,6,4,4,9,28,4,4,
2016-10-21,Kyle Lowry,TOR,WAS,G,29:39,0.257,0.208,0.308,0.133,0.238,0.833,0.6,0.333,0.333,0.333,0.143,11,0.273,0,4,0.0,2,1.0,5,5,2,1,6,3,8,-25,23.5,0,0,0,,0,0.0,92.4,129.1,-36.7,0.294,0.1,0.273,99.85,0.636,0.364,0.75,0.0,0.25,0.75,0.0,1.0,0.696,0.071,0.175,0.333,2,2,2,6,11,12,2,28,12,5,
2015-10-28,Kyle Lowry,TOR,IND,G,38:58,0.257,0.266,0.286,0.176,0.075,0.375,0.294,0.25,0.0,0.235,0.258,17,0.471,2,4,0.5,6,0.833,3,6,2,0,5,4,23,8,36.75,13,91,61,0.0984,15,0.4,100.0,93.8,6.3,0.273,0.044,0.529,107.98,0.765,0.235,0.522,0.261,0.348,0.522,0.5,0.5,0.479,0.271,0.139,0.108,8,5,5,12,12,6,14,32,6,8,
2015-10-30,Kyle Lowry,TOR,BOS,G,34:14,0.212,0.186,0.059,0.323,0.179,0.5,0.214,0.3,0.667,0.182,0.171,11,0.273,0,1,0.0,10,0.8,7,9,3,2,3,4,14,3,42.5,13,100,76,0.1184,8,0.375,104.3,94.5,9.8,0.429,0.104,0.273,113.8,0.909,0.091,0.429,0.0,0.357,0.429,0.667,0.333,0.427,0.5,0.155,0.139,5,6,0,6,18,11,16,26,11,9,
2015-11-01,Kyle Lowry,TOR,MIL,G,29:19,0.191,0.189,0.294,0.222,0.192,0.5,0.167,0.5,0.0,0.273,0.208,10,0.5,1,5,0.2,4,1.0,5,7,4,0,1,3,15,19,38.0,7,86,69,0.1014,3,0.667,128.8,99.7,29.1,0.318,0.119,0.55,89.32,0.5,0.5,0.533,0.2,0.267,0.4,0.2,0.8,0.5,0.359,0.188,0.118,4,2,2,6,9,2,8,26,2,3,NBA TV
2015-11-03,Kyle Lowry,TOR,DAL,G,36:49,0.249,0.238,0.417,0.238,0.139,0.625,0.308,0.429,0.4,0.222,0.3,15,0.6,4,5,0.8,5,1.0,5,10,3,2,4,4,27,25,55.75,12,95,71,0.1408,10,0.6,115.0,86.1,28.9,0.417,0.072,0.733,100.23,0.667,0.333,0.37,0.444,0.259,0.148,0.333,0.667,0.382,0.25,0.185,0.326,7,5,3,4,5,12,7,20,12,2,
2015-11-04,Kyle Lowry,TOR,OKC,G,33:51,0.262,0.237,0.889,0.182,0.121,0.125,0.556,0.2,0.0,0.286,0.21,14,0.357,3,8,0.375,6,0.667,4,1,2,0,5,4,17,3,26.25,5,88,62,0.0161,6,0.333,110.2,111.9,-1.7,0.05,0.069,0.464,101.56,0.429,0.571,0.235,0.529,0.0,0.235,0.4,0.6,0.588,0.228,0.172,0.172,0,0,3,4,10,6,17,28,6,3,
