DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Kyle Singler,OKC,RMD,,24:12,0.113,0.067,0.111,0.222,0.176,0.25,0.286,0.143,0.5,0.2,0.089,3,0.333,0,2,0.0,4,0.75,3,2,1,1,2,3,5,-10,14.25,0,0,0,,0,0.0,105.8,125.3,-19.5,0.111,0.071,0.333,104.71,0.333,0.667,0.4,0.0,0.4,0.4,1.0,0.0,0.615,0.564,0.209,0.412,2,0,0,2,7,13,11,16,13,3,NBA TV
2016-10-11,Kyle Singler,OKC,DAL,F,31:12,0.141,0.15,0.273,0.188,0.079,0.063,0.077,0.2,0.0,0.1,0.23,9,0.556,4,6,0.667,3,1.0,3,1,1,0,1,2,17,4,25.5,0,0,0,,0,0.0,107.2,103.2,3.9,0.048,0.043,0.778,105.25,0.333,0.667,0.118,0.706,0.176,0.118,0.8,0.2,0.482,0.351,0.147,0.229,3,2,3,2,14,9,13,22,9,2,
2016-10-13,Kyle Singler,OKC,MEM,F,29:27,0.173,0.186,0.375,0.0,0.214,0.083,0.211,0.0,0.0,0.238,0.25,8,0.625,5,6,0.833,0,0.0,6,1,0,0,4,5,15,-8,24.25,0,0,0,,0,0.0,93.1,104.8,-11.8,0.067,0.115,0.938,105.42,0.25,0.75,0.0,1.0,0.2,0.0,1.0,0.0,0.45,0.54,0.123,0.179,3,3,3,0,22,8,11,18,8,1,
2016-10-16,Kyle Singler,OKC,MIN,,16:40,0.196,0.25,0.571,0.0,0.077,0.0,0.1,0.25,0.0,0.25,0.306,6,0.667,3,4,0.75,0,0.0,1,0,1,0,1,2,11,0,15.25,0,0,0,,0,0.0,103.6,101.0,2.6,0.0,0.045,0.917,101.38,0.333,0.667,0.182,0.818,0.0,0.182,0.75,0.25,0.536,0.214,0.196,0.143,0,2,0,2,9,4,7,16,4,1,
2016-10-18,Kyle Singler,OKC,DEN,,17:41,0.199,0.205,0.333,0.0,0.059,0.0,0.2,0.5,0.0,0.333,0.167,8,0.375,0,3,0.0,0,0.0,1,0,2,0,1,4,6,0,10.75,0,0,0,,0,0.0,91.6,89.4,2.2,0.0,0.029,0.375,108.03,0.625,0.375,1.0,0.0,0.0,0.667,0.0,1.0,0.412,0.353,0.199,0.389,0,0,0,4,10,11,5,14,11,0,
2015-10-30,Kyle Singler,OKC,ORL,,12:35,0.141,0.13,0.125,0.154,0.063,0.0,0.167,0.5,0.0,0.2,0.13,3,0.333,0,1,0.0,2,0.5,1,0,1,0,1,1,3,-5,5.75,2,10,5,0.0,2,0.5,80.1,105.1,-25.0,0.0,0.034,0.333,105.59,0.667,0.333,0.667,0.0,0.667,0.667,0.0,1.0,0.522,0.261,0.113,0.167,2,2,0,2,7,2,4,14,2,1,
2015-11-01,Kyle Singler,OKC,DEN,,19:56,0.164,0.2,0.25,0.0,0.087,0.0,0.091,0.2,1.0,0.417,0.075,7,0.143,1,2,0.5,0,0.0,2,0,1,2,1,5,3,7,11.5,4,24,15,0.0,2,0.0,96.1,79.7,16.4,0.0,0.054,0.214,99.98,0.714,0.286,0.0,1.0,0.0,0.0,1.0,0.0,0.394,0.303,0.169,0.158,0,3,0,0,8,2,11,8,2,1,
2015-11-02,Kyle Singler,OKC,HOU,,15:58,0.069,0.065,0.222,0.0,0.087,0.0,0.125,0.0,0.0,0.333,0.0,2,0.0,0,2,0.0,0,0.0,2,0,0,0,1,3,0,0,2.0,3,15,11,0.0,1,0.0,98.9,94.7,4.2,0.0,0.061,0.0,108.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.321,0.135,0.0,0,0,0,0,4,0,8,16,0,0,NBA TV
2015-11-04,Kyle Singler,OKC,TOR,,5:49,0.071,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.6,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,3,0,-4,-0.5,0,5,4,0.0,0,0.0,50.0,79.1,-29.1,0.0,0.0,0.0,101.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.75,0.237,0.167,0,0,0,0,6,1,2,2,1,0,
2015-11-05,Kyle Singler,OKC,CHI,,3:50,0.192,0.222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-2,0.0,3,4,2,0.0,1,0.0,82.9,117.8,-34.9,0.0,0.0,0.0,100.67,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,0.0,0.571,0,0,0,0,2,2,0,4,2,0,TNT
