DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Kyrie Irving,CLE,PHI,G,18:49,0.305,0.371,0.25,0.143,0.111,0.25,0.0,0.333,0.333,0.333,0.349,13,0.538,0,2,0.0,1,1.0,2,3,1,1,0,2,15,7,25.25,0,0,0,,0,0.0,102.2,82.9,19.2,0.273,0.057,0.538,109.03,0.846,0.154,0.933,0.0,0.4,0.533,0.571,0.429,0.386,0.286,0.161,0.158,6,2,0,8,2,6,5,18,6,3,NBA TV
2016-10-13,Kyrie Irving,CLE,TOR,G,21:40,0.327,0.395,0.273,0.083,0.063,0.727,0.2,0.5,0.0,0.5,0.277,15,0.333,2,3,0.667,1,1.0,1,8,2,0,2,2,13,-14,28.25,0,0,0,,0,0.0,97.3,133.7,-36.3,0.727,0.03,0.4,104.03,0.8,0.2,0.462,0.462,0.154,0.0,0.6,0.4,0.743,0.162,0.153,0.083,2,3,0,0,13,2,17,22,2,0,TNT
2016-10-18,Kyrie Irving,CLE,WAS,G,10:09,0.189,0.158,0.0,0.0,0.083,0.667,0.5,0.0,0.0,0.0,0.0,3,0.0,0,0,0.0,0,0.0,1,2,0,0,2,0,0,2,2.75,0,0,0,,0,0.0,93.8,82.9,10.9,0.2,0.043,0.0,117.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.136,0.158,0.167,0,0,0,0,4,4,3,8,4,1,
2015-12-20,Kyrie Irving,CLE,PHI,G,17:04,0.349,0.4,0.2,0.0,0.056,0.444,0.2,0.4,0.0,0.143,0.293,12,0.417,2,2,1.0,0,0.0,1,4,2,0,1,1,12,16,22.75,3,46,29,0.1379,5,0.0,116.5,67.6,48.8,0.4,0.032,0.5,101.48,0.833,0.167,0.5,0.5,0.333,0.5,0.2,0.8,0.357,0.321,0.216,0.158,4,2,0,6,3,3,3,8,3,0,
2015-12-23,Kyrie Irving,CLE,NYK,G,18:57,0.243,0.189,0.1,0.375,0.048,0.571,1.0,0.0,0.0,0.286,0.179,7,0.143,0,1,0.0,3,1.0,1,4,0,0,2,2,5,-5,10.25,3,52,42,0.0952,4,0.0,88.8,99.4,-10.6,0.5,0.024,0.143,81.97,0.857,0.143,0.4,0.0,0.0,0.0,1.0,0.0,0.438,0.156,0.12,0.333,0,0,2,0,4,4,2,10,4,1,
2015-12-25,Kyrie Irving,CLE,GSW,G,26:14,0.307,0.288,0.316,0.625,0.094,0.25,0.286,0.5,0.0,0.091,0.265,15,0.267,0,6,0.0,5,1.0,3,2,1,0,2,1,13,7,20.25,6,60,39,0.0513,9,0.222,93.3,81.0,12.3,0.133,0.055,0.267,95.48,0.6,0.4,0.615,0.0,0.308,0.308,0.25,0.75,0.395,0.256,0.174,0.185,4,2,0,4,4,7,10,24,7,2,ABC
2015-12-28,Kyrie Irving,CLE,PHX,G,24:10,0.391,0.372,0.269,0.5,0.045,0.167,0.5,0.25,0.0,0.0,0.386,16,0.438,2,7,0.286,6,1.0,1,2,1,0,1,0,22,10,28.25,1,59,39,0.0513,9,0.333,134.8,112.5,22.3,0.154,0.023,0.5,83.45,0.563,0.438,0.455,0.273,0.5,0.364,0.286,0.714,0.592,0.105,0.168,0.263,11,4,2,8,3,5,6,22,5,4,
2016-01-02,Kyrie Irving,CLE,ORL,G,21:26,0.324,0.333,0.308,0.318,0.095,0.455,0.25,0.0,0.0,0.167,0.25,12,0.333,0,4,0.0,7,0.714,2,5,0,0,1,1,13,16,21.25,3,58,41,0.122,8,0.375,119.0,88.6,30.5,0.385,0.051,0.333,94.42,0.667,0.333,0.615,0.0,0.231,0.615,0.25,0.75,0.455,0.182,0.197,0.167,3,5,1,8,2,6,0,18,6,4,
2016-01-04,Kyrie Irving,CLE,TOR,G,28:44,0.322,0.34,0.263,0.333,0.24,0.5,0.167,0.0,0.0,0.091,0.333,16,0.625,2,5,0.4,3,1.0,6,8,0,0,1,1,25,23,43.0,8,65,43,0.186,12,0.667,144.3,101.6,42.7,0.444,0.143,0.688,86.12,0.688,0.313,0.64,0.24,0.16,0.48,0.1,0.9,0.5,0.318,0.137,0.231,4,2,2,12,7,2,2,28,2,3,
2016-01-06,Kyrie Irving,CLE,WAS,G,33:53,0.379,0.379,0.235,0.294,0.185,0.375,0.444,0.4,0.5,0.077,0.352,22,0.636,1,4,0.25,5,0.6,5,3,2,1,4,1,32,6,46.5,6,89,59,0.0508,14,0.714,132.9,123.3,9.6,0.136,0.111,0.659,97.32,0.818,0.182,0.813,0.094,0.0,0.563,0.071,0.929,0.667,0.333,0.131,0.087,0,0,4,18,9,5,18,30,5,5,
