DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,LaMarcus Aldridge,SAS,ATL,F,20:32,0.291,0.342,0.0,0.154,0.316,0.0,0.0,0.167,1.0,0.0,0.264,13,0.462,0,0,0.0,2,1.0,6,0,1,1,0,0,14,14,25.5,0,0,0,,0,0.0,118.5,92.7,25.8,0.0,0.158,0.462,101.45,1.0,0.0,0.857,0.0,0.0,0.571,0.667,0.333,0.432,0.189,0.166,0.238,0,2,4,8,5,2,4,14,2,1,
2016-10-10,LaMarcus Aldridge,SAS,DET,F,26:18,0.176,0.233,0.0,0.0,0.375,0.091,0.0,0.429,0.0,0.333,0.192,10,0.5,0,0,0.0,0,0.0,9,1,3,0,0,2,10,6,28.5,0,0,0,,0,0.0,94.8,85.1,9.8,0.067,0.184,0.5,99.43,1.0,0.0,1.0,0.0,0.2,0.2,0.6,0.4,0.457,0.149,0.166,0.185,2,0,0,2,6,8,7,28,8,1,
2016-10-12,LaMarcus Aldridge,SAS,ORL,F,25:07,0.232,0.256,0.0,0.2,0.143,0.0,0.125,0.0,0.333,0.083,0.226,11,0.455,0,0,0.0,2,1.0,3,0,0,1,1,1,12,-3,17.25,0,0,0,,0,0.0,103.1,112.4,-9.2,0.0,0.065,0.455,96.74,1.0,0.0,0.833,0.0,0.167,0.667,0.8,0.2,0.479,0.229,0.14,0.37,2,0,0,8,16,11,4,20,11,3,
2016-10-21,LaMarcus Aldridge,SAS,HOU,F,22:00,0.259,0.295,0.125,0.0,0.28,0.091,0.143,0.0,0.0,0.333,0.245,13,0.462,0,1,0.0,0,0.0,7,1,0,0,1,2,12,10,21.5,0,0,0,,0,0.0,95.9,84.1,11.9,0.071,0.156,0.462,106.34,0.923,0.077,1.0,0.0,0.167,0.833,0.333,0.667,0.413,0.25,0.129,0.154,2,2,4,10,6,0,8,14,0,0,
2015-10-28,LaMarcus Aldridge,SAS,OKC,F,31:54,0.184,0.197,0.1,0.364,0.192,0.1,0.0,0.0,0.167,0.133,0.159,12,0.333,0,1,0.0,4,0.75,5,1,0,1,0,2,11,-7,20.5,11,52,38,0.0263,8,0.375,100.2,111.0,-10.7,0.042,0.094,0.333,103.33,0.917,0.083,0.727,0.0,0.182,0.364,0.25,0.75,0.545,0.309,0.161,0.2,2,2,2,4,12,10,5,22,10,3,ESPN
2015-10-30,LaMarcus Aldridge,SAS,BKN,F,29:33,0.182,0.208,0.0,0.0,0.306,0.286,0.111,0.0,0.25,0.0,0.145,11,0.455,0,0,0.0,0,0.0,11,4,0,1,1,0,10,28,30.25,14,56,41,0.0976,10,0.5,117.0,70.6,46.4,0.174,0.212,0.455,95.06,1.0,0.0,1.0,0.0,0.0,0.8,0.0,1.0,0.404,0.149,0.155,0.033,0,0,8,8,6,0,0,14,0,1,
2015-11-01,LaMarcus Aldridge,SAS,BOS,F,34:42,0.305,0.316,0.067,0.556,0.368,0.313,0.133,0.125,0.2,0.111,0.358,18,0.444,0,1,0.0,10,0.8,14,5,1,1,2,1,24,5,50.75,22,70,44,0.1136,8,0.375,93.2,82.4,10.8,0.313,0.187,0.444,101.81,0.944,0.056,0.667,0.0,0.0,0.25,0.75,0.25,0.368,0.167,0.159,0.318,0,0,1,6,14,12,5,32,12,7,
2015-11-02,LaMarcus Aldridge,SAS,NYK,F,32:10,0.299,0.306,0.0,0.364,0.222,0.0,0.222,0.0,0.0,0.1,0.339,15,0.533,0,0,0.0,4,0.75,6,0,0,0,2,1,19,-4,25.5,12,54,33,0.0,5,0.8,98.5,100.9,-2.4,0.0,0.103,0.533,86.79,1.0,0.0,0.842,0.0,0.0,0.632,0.375,0.625,0.414,0.293,0.101,0.364,0,0,4,12,14,10,0,24,10,5,
2015-11-04,LaMarcus Aldridge,SAS,WAS,F,35:06,0.247,0.222,0.0,0.2,0.395,0.071,0.385,0.333,0.0,0.222,0.149,14,0.286,0,0,0.0,2,1.0,15,1,1,0,5,4,10,-3,29.5,21,67,42,0.0238,5,0.4,91.3,97.4,-6.2,0.043,0.231,0.286,99.3,1.0,0.0,0.8,0.0,0.0,0.8,0.0,1.0,0.508,0.177,0.111,0.088,0,2,4,8,18,2,17,28,2,3,
2015-11-07,LaMarcus Aldridge,SAS,CHA,F,17:19,0.36,0.4,0.0,0.4,0.5,0.167,0.167,0.0,0.0,0.308,0.457,10,0.6,0,0,0.0,4,1.0,5,2,0,0,1,4,16,-1,24.25,7,39,28,0.0714,4,0.75,98.9,108.2,-9.3,0.25,0.217,0.6,95.19,1.0,0.0,0.75,0.0,0.313,0.375,0.833,0.167,0.538,0.462,0.12,0.167,5,0,0,6,4,2,3,14,2,4,
