DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Lance Stephenson,NOP,DAL,,23:19,0.223,0.205,0.0,0.0,0.174,0.188,0.6,0.0,0.25,0.462,0.156,8,0.625,0,0,0.0,0,0.0,4,3,0,1,3,6,10,22,19.25,0,0,0,,0,0.0,141.3,93.9,47.4,0.158,0.105,0.625,92.66,1.0,0.0,1.0,0.0,0.2,0.4,0.6,0.4,0.438,0.325,0.112,0.24,2,2,4,4,2,4,2,16,4,1,
2016-10-04,Lance Stephenson,NOP,IND,,21:40,0.097,0.063,0.0,0.174,0.2,0.375,0.143,0.0,0.0,0.125,0.089,2,0.0,0,0,0.0,4,1.0,4,3,0,0,1,1,4,-7,12.25,0,0,0,,0,0.0,95.5,106.9,-11.4,0.231,0.089,0.0,106.07,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.522,0.13,0.144,0.28,2,0,2,0,4,10,2,22,10,2,
2016-10-09,Lance Stephenson,NOP,HOU,,33:06,0.154,0.148,0.308,0.083,0.086,0.294,0.25,0.0,0.0,0.136,0.108,9,0.333,2,4,0.5,2,0.0,3,5,0,0,3,3,8,-7,17.5,0,0,0,,0,0.0,96.7,107.5,-10.9,0.217,0.043,0.444,110.11,0.556,0.444,0.25,0.75,0.0,0.25,0.667,0.333,0.534,0.475,0.146,0.2,0,5,0,2,18,5,16,28,5,2,NBA TV
2016-10-12,Lance Stephenson,NOP,HOU,,22:40,0.16,0.154,0.0,0.214,0.118,0.385,0.143,0.0,0.0,0.077,0.173,6,0.5,0,0,0.0,3,1.0,2,5,0,0,1,1,9,-11,17.25,0,0,0,,0,0.0,101.6,124.8,-23.2,0.313,0.044,0.5,107.62,1.0,0.0,0.667,0.0,0.0,0.667,0.667,0.333,0.49,0.347,0.099,0.407,0,4,0,6,10,17,7,24,17,3,NBA TV
2016-10-18,Lance Stephenson,NOP,ATL,,22:23,0.137,0.175,0.0,0.0,0.227,0.429,0.0,0.0,0.0,0.0,0.205,7,0.571,0,0,0.0,0,0.0,5,3,0,0,0,0,8,-10,18.0,0,0,0,,0,0.0,84.6,102.0,-17.4,0.273,0.109,0.571,100.89,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.474,0.41,0.167,0.261,0,2,2,8,6,4,2,22,4,0,NBA TV
2016-10-20,Lance Stephenson,NOP,ORL,,19:28,0.11,0.083,0.091,0.0,0.125,0.25,0.4,0.0,0.0,0.231,0.043,3,0.333,0,1,0.0,0,0.0,2,3,0,0,2,3,2,2,7.25,0,0,0,,0,0.0,108.5,109.6,-1.1,0.2,0.067,0.333,101.81,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.516,0.452,0.149,0.188,0,0,0,2,6,6,3,14,6,2,
2015-10-28,Lance Stephenson,LAC,SAC,F,19:08,0.13,0.143,0.4,0.0,0.125,0.154,0.167,0.25,0.0,0.0,0.132,5,0.6,1,2,0.5,0,0.0,2,2,1,0,1,0,7,11,14.0,2,25,19,0.1053,2,0.5,122.5,99.8,22.6,0.1,0.059,0.7,107.07,0.6,0.4,0.571,0.429,0.286,0.286,0.667,0.333,0.5,0.189,0.214,0.35,2,0,0,2,8,8,2,20,8,0,
2015-10-29,Lance Stephenson,LAC,DAL,F,20:53,0.13,0.143,0.4,0.0,0.087,0.182,0.25,0.0,0.0,0.6,0.064,5,0.2,1,4,0.25,0,0.0,2,2,0,0,1,3,3,7,8.0,4,21,14,0.1429,0,0.0,111.8,90.5,21.3,0.118,0.043,0.3,99.15,0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.383,0.106,0.113,0.345,0,0,0,0,2,10,0,10,10,0,TNT
2015-10-31,Lance Stephenson,LAC,SAC,F,24:17,0.151,0.146,0.143,0.08,0.087,0.211,0.286,0.0,0.0,0.3,0.1,6,0.5,0,1,0.0,2,0.5,2,4,0,0,2,3,7,20,13.5,2,23,13,0.3077,0,0.0,125.0,91.2,33.8,0.174,0.043,0.5,109.57,0.833,0.167,0.857,0.0,0.286,0.857,1.0,0.0,0.43,0.22,0.146,0.286,2,0,1,6,7,11,3,30,11,1,NBA TV
2015-11-02,Lance Stephenson,LAC,PHX,F,18:20,0.192,0.188,0.0,0.25,0.3,0.4,0.2,0.0,0.0,0.375,0.147,6,0.333,0,0,0.0,1,1.0,6,2,0,0,1,3,5,0,14.5,6,19,12,0.1667,2,0.5,95.1,87.5,7.5,0.167,0.162,0.333,97.65,1.0,0.0,0.8,0.0,0.0,0.8,0.0,1.0,0.391,0.344,0.129,0.15,0,0,2,4,7,2,4,14,2,1,
2015-11-04,Lance Stephenson,LAC,GSW,F,22:56,0.136,0.128,0.333,0.333,0.227,0.176,0.111,0.0,0.0,0.25,0.117,5,0.4,2,2,1.0,2,0.5,5,3,0,0,1,3,7,15,17.5,5,20,12,0.25,2,0.0,123.4,91.3,32.0,0.125,0.143,0.6,102.51,0.6,0.4,0.0,0.857,0.0,0.0,1.0,0.0,0.4,0.267,0.061,0.167,0,1,0,0,6,8,4,20,8,1,ESPN
2015-11-07,Lance Stephenson,LAC,HOU,F,21:55,0.134,0.14,0.286,0.25,0.143,0.214,0.0,0.667,0.0,0.2,0.146,6,0.333,1,2,0.5,2,1.0,3,3,2,0,0,2,7,-7,19.0,5,24,15,0.2,4,0.5,105.4,116.3,-10.9,0.167,0.07,0.417,101.62,0.667,0.333,0.286,0.429,0.429,0.286,0.5,0.5,0.55,0.3,0.148,0.25,3,0,2,2,4,6,12,30,6,2,
