DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Langston Galloway,NOP,DAL,G,20:21,0.161,0.154,0.444,0.2,0.158,0.364,0.2,0.0,0.0,0.167,0.234,6,0.667,2,4,0.5,1,1.0,3,4,0,0,1,1,11,0,20.25,0,0,0,,0,0.0,111.4,127.2,-15.8,0.286,0.081,0.833,93.36,0.333,0.667,0.364,0.545,0.455,0.182,0.25,0.75,0.574,0.265,0.081,0.211,5,2,0,2,5,3,4,18,3,2,
2016-10-04,Langston Galloway,NOP,IND,,19:29,0.148,0.147,0.111,0.273,0.059,0.182,0.0,0.333,1.0,0.286,0.15,5,0.2,1,1,1.0,3,1.0,1,2,1,1,0,2,6,-2,14.25,0,0,0,,0,0.0,95.6,93.2,2.4,0.154,0.022,0.3,107.07,0.8,0.2,0.0,0.5,0.0,0.0,1.0,0.0,0.44,0.167,0.177,0.333,0,3,0,0,2,9,5,22,9,2,
2016-10-09,Langston Galloway,NOP,HOU,,17:34,0.196,0.179,0.125,0.0,0.143,0.286,0.375,0.0,0.0,0.308,0.056,5,0.2,0,1,0.0,0,0.0,3,2,0,0,3,4,2,-4,6.75,0,0,0,,0,0.0,95.1,104.0,-8.8,0.182,0.075,0.2,104.27,0.8,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.441,0.5,0.052,0.217,0,0,0,2,10,3,8,14,3,3,NBA TV
2016-10-12,Langston Galloway,NOP,HOU,,23:28,0.286,0.325,0.545,0.2,0.105,0.133,0.143,0.5,0.0,0.143,0.262,13,0.462,1,6,0.167,3,1.0,2,2,1,0,1,2,16,-3,23.0,0,0,0,,0,0.0,116.0,119.9,-4.0,0.125,0.043,0.5,108.37,0.538,0.462,0.625,0.188,0.188,0.375,0.667,0.333,0.453,0.358,0.075,0.4,3,2,2,6,12,19,2,24,19,2,NBA TV
2016-10-18,Langston Galloway,NOP,ATL,,21:03,0.225,0.231,0.462,0.0,0.111,0.333,0.333,0.0,0.0,0.333,0.178,9,0.333,2,6,0.333,0,0.0,2,3,0,0,2,4,8,-3,14.25,0,0,0,,0,0.0,102.4,107.3,-5.0,0.214,0.053,0.444,101.11,0.333,0.667,0.25,0.75,0.375,0.0,0.667,0.333,0.514,0.371,0.201,0.278,3,2,0,0,6,6,2,22,6,0,NBA TV
2016-10-20,Langston Galloway,NOP,ORL,,17:00,0.144,0.133,0.333,0.182,0.154,0.333,0.167,0.2,0.0,0.167,0.122,4,0.25,1,3,0.333,2,1.0,2,3,1,0,1,2,5,5,13.25,0,0,0,,0,0.0,105.6,96.3,9.3,0.25,0.083,0.375,107.63,0.25,0.75,0.0,0.6,0.0,0.0,1.0,0.0,0.482,0.357,0.187,0.154,0,0,0,0,6,6,5,14,6,1,
2015-10-28,Langston Galloway,NYK,MIL,,24:48,0.17,0.2,0.357,0.111,0.16,0.2,0.0,0.0,0.0,0.267,0.235,10,0.5,4,5,0.8,2,1.0,4,3,0,0,0,4,16,13,26.75,7,64,52,0.0577,3,0.667,128.5,109.5,19.0,0.167,0.087,0.7,99.83,0.5,0.5,0.125,0.75,0.0,0.125,1.0,0.0,0.439,0.512,0.159,0.364,0,0,0,2,9,12,6,22,12,2,
2015-10-29,Langston Galloway,NYK,ATL,,25:18,0.087,0.095,0.333,0.182,0.19,0.231,0.0,0.167,0.0,0.182,0.151,4,0.5,2,4,0.5,2,1.0,4,3,1,0,0,2,8,5,19.75,4,43,38,0.0789,3,0.667,106.3,96.3,10.0,0.167,0.095,0.75,94.56,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.0,0.581,0.297,0.221,0.167,0,2,3,0,10,2,3,22,2,1,TNT
2015-10-31,Langston Galloway,NYK,WAS,,27:37,0.169,0.182,0.429,0.217,0.368,0.333,0.083,0.2,0.5,0.15,0.197,8,0.5,2,3,0.667,5,0.8,7,4,1,1,1,3,14,8,32.25,7,50,37,0.1081,1,1.0,114.3,100.8,13.5,0.2,0.175,0.625,108.28,0.625,0.375,0.286,0.429,0.214,0.286,0.25,0.75,0.452,0.327,0.16,0.318,3,5,0,4,14,8,13,26,8,5,
2015-11-02,Langston Galloway,NYK,SAS,,28:55,0.117,0.096,0.0,0.286,0.167,0.125,0.125,0.2,0.0,0.0,0.13,5,0.4,0,0,0.0,4,0.5,5,1,1,0,1,0,6,-14,15.0,9,38,29,0.0345,2,0.5,80.5,106.4,-25.9,0.063,0.089,0.4,94.25,1.0,0.0,0.667,0.0,0.0,0.333,0.0,1.0,0.552,0.208,0.142,0.16,0,0,0,2,10,6,4,36,6,2,
