DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Lavoy Allen,IND,NOP,,18:14,0.079,0.07,0.0,0.286,0.273,0.4,0.0,0.333,1.0,0.222,0.06,3,0.333,0,0,0.0,2,0.5,6,4,1,1,0,2,3,13,19.5,0,0,0,,0,0.0,121.7,96.7,25.1,0.211,0.158,0.333,104.45,1.0,0.0,0.667,0.0,0.0,0.0,1.0,0.0,0.518,0.429,0.157,0.067,0,0,1,0,1,0,2,14,0,2,
2016-10-06,Lavoy Allen,IND,CHI,,18:11,0.107,0.083,0.0,0.0,0.304,0.25,0.333,0.0,0.5,0.3,0.047,3,0.333,0,0,0.0,0,0.0,7,2,0,1,2,3,2,-4,14.25,0,0,0,,0,0.0,105.3,103.1,2.2,0.125,0.175,0.333,114.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.405,0.088,0.105,0,0,0,0,9,0,6,16,0,0,
2016-10-08,Lavoy Allen,IND,CHI,,19:06,0.195,0.2,0.0,0.2,0.286,0.1,0.167,0.0,0.0,0.286,0.194,7,0.429,0,0,0.0,1,0.0,4,1,0,0,1,4,6,-25,11.75,0,0,0,,0,0.0,75.2,144.3,-69.1,0.091,0.133,0.429,100.52,1.0,0.0,1.0,0.0,0.0,0.667,0.667,0.333,0.769,0.769,0.129,0.077,0,0,2,4,9,3,7,22,3,1,
2016-10-12,Lavoy Allen,IND,MIL,,23:37,0.16,0.143,0.0,0.222,0.344,0.143,0.2,0.0,0.0,0.0,0.25,6,0.667,0,0,0.0,4,1.0,11,1,0,0,1,0,12,21,26.5,0,0,0,,0,0.0,102.3,53.6,48.7,0.083,0.212,0.667,98.93,1.0,0.0,0.667,0.0,0.5,0.167,0.75,0.25,0.25,0.25,0.198,0.143,6,2,6,2,7,0,3,14,0,2,
2016-10-14,Lavoy Allen,IND,ORL,,8:42,0.04,0.048,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.2,0.133,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0,1,2,-14,3.25,0,0,0,,0,0.0,72.3,139.7,-67.4,0.0,0.045,1.0,114.54,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.765,0.235,0.193,0.286,2,0,2,2,0,2,7,14,2,1,
2016-10-19,Lavoy Allen,IND,MIL,,18:02,0.13,0.107,0.0,0.25,0.1,0.125,0.167,0.143,0.0,0.143,0.214,3,0.667,0,0,0.0,2,1.0,1,1,1,0,1,1,6,-11,10.0,0,0,0,,0,0.0,83.5,116.8,-33.2,0.125,0.037,0.667,89.06,1.0,0.0,0.667,0.0,0.333,0.667,1.0,0.0,0.556,0.37,0.24,0.5,2,0,0,4,6,9,9,20,9,1,
2015-10-28,Lavoy Allen,IND,TOR,,12:22,0.071,0.091,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.1,0.095,2,0.5,0,0,0.0,0,0.0,2,0,0,0,0,1,2,-2,4.5,6,16,14,0.0,1,1.0,79.9,79.8,0.2,0.0,0.069,0.5,106.96,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,0.55,0.208,0.154,0,0,0,2,0,7,3,6,7,0,
2015-10-29,Lavoy Allen,IND,MEM,,7:25,0.0,0.0,0.0,0.0,0.143,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-6,2.5,6,7,6,0.1667,0,0.0,94.0,144.7,-50.7,0.333,0.077,0.0,81.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.077,0.0,0.167,0,0,0,0,2,2,0,8,2,1,
2015-10-31,Lavoy Allen,IND,UTA,,21:38,0.193,0.143,0.0,0.286,0.294,0.25,0.267,0.0,0.5,0.125,0.094,4,0.25,0,0,0.0,2,0.5,5,1,0,1,4,1,3,-12,10.5,12,41,33,0.0303,1,1.0,74.3,96.7,-22.4,0.091,0.143,0.25,98.29,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.464,0.19,0.132,0.3,0,0,3,2,18,6,5,24,6,1,
2015-11-03,Lavoy Allen,IND,DET,,21:53,0.182,0.184,0.0,0.0,0.261,0.222,0.25,0.143,0.25,0.091,0.098,7,0.286,0,0,0.0,0,0.0,6,2,1,1,2,1,4,12,17.0,14,29,20,0.1,2,0.0,92.1,61.9,30.2,0.143,0.125,0.286,100.2,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.267,0.256,0.192,0.357,2,0,0,0,7,11,0,18,11,0,
