DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,LeBron James,CLE,ORL,F,13:12,0.163,0.2,0.1,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.171,4,0.75,1,1,1.0,1,0.0,2,6,0,0,0,0,7,15,17.5,0,0,0,,0,0.0,156.5,96.7,59.8,0.5,0.118,0.875,96.51,0.75,0.25,0.571,0.429,0.0,0.286,0.667,0.333,0.545,0.091,0.298,0.308,0,2,0,2,3,0,2,6,0,0,NBA TV
2016-10-08,LeBron James,CLE,PHI,F,17:07,0.311,0.25,0.0,0.571,0.222,0.167,0.5,0.667,0.0,0.167,0.366,8,0.75,0,0,0.0,4,0.75,4,2,2,0,3,1,15,11,25.0,0,0,0,,0,0.0,104.9,74.3,30.7,0.182,0.125,0.75,111.44,1.0,0.0,0.8,0.0,0.0,0.533,0.667,0.333,0.339,0.323,0.173,0.111,0,7,0,8,2,4,5,12,4,4,NBA TV
2016-10-18,LeBron James,CLE,WAS,F,25:52,0.254,0.289,0.059,0.286,0.143,0.222,0.091,0.8,1.0,0.063,0.4,13,0.615,0,1,0.0,4,0.5,4,2,4,1,1,1,18,-7,35.0,0,0,0,,0,0.0,77.4,88.1,-10.7,0.182,0.073,0.615,108.74,0.923,0.077,0.889,0.0,0.222,0.556,0.25,0.75,0.449,0.327,0.119,0.143,4,7,0,10,15,9,9,22,9,3,
2015-10-27,LeBron James,CLE,CHI,F,36:04,0.282,0.314,0.25,0.214,0.256,0.263,0.1,0.5,0.0,0.188,0.338,22,0.545,1,5,0.2,3,0.0,10,5,1,0,1,3,25,1,45.75,11,62,34,0.1471,12,0.667,95.9,92.6,3.3,0.278,0.141,0.568,103.78,0.773,0.227,0.88,0.12,0.08,0.72,0.417,0.583,0.447,0.303,0.114,0.143,2,6,0,18,11,10,9,26,10,3,TNT
2015-10-28,LeBron James,CLE,MEM,F,30:48,0.276,0.236,0.15,0.727,0.194,0.294,0.273,0.6,0.0,0.083,0.214,13,0.308,0,3,0.0,8,0.5,7,5,3,0,3,1,12,10,31.5,7,56,35,0.1429,4,0.5,92.0,78.6,13.4,0.278,0.113,0.308,93.01,0.769,0.231,0.667,0.0,0.167,0.5,0.75,0.25,0.398,0.163,0.154,0.103,2,6,0,6,7,2,7,26,2,5,
2015-10-30,LeBron James,CLE,MIA,F,33:56,0.323,0.306,0.118,0.313,0.135,0.25,0.444,0.25,0.0,0.231,0.403,19,0.684,0,2,0.0,5,0.6,5,4,1,0,4,3,29,7,40.25,7,62,35,0.1143,13,0.692,110.7,98.9,11.8,0.286,0.078,0.684,92.48,0.895,0.105,0.897,0.0,0.207,0.552,0.308,0.692,0.491,0.241,0.152,0.143,6,5,2,16,9,7,9,24,7,3,ESPN
2015-11-02,LeBron James,CLE,PHI,F,33:20,0.311,0.306,0.2,0.4,0.25,0.55,0.3,0.8,0.4,0.231,0.278,19,0.474,0,3,0.0,4,1.0,9,11,4,2,3,3,22,21,57.5,11,65,41,0.2683,12,0.5,113.8,84.2,29.7,0.458,0.145,0.474,99.59,0.842,0.158,0.818,0.0,0.182,0.727,0.444,0.556,0.395,0.316,0.16,0.194,4,6,0,16,11,4,8,30,4,2,
2015-11-04,LeBron James,CLE,NYK,F,35:04,0.372,0.371,0.238,0.304,0.143,0.188,0.5,1.0,1.0,0.111,0.295,23,0.391,1,5,0.2,7,0.571,5,3,4,1,3,1,23,14,42.0,9,59,29,0.1034,11,0.545,109.7,93.6,16.1,0.167,0.076,0.413,95.48,0.783,0.217,0.696,0.13,0.652,0.696,0.444,0.556,0.438,0.156,0.117,0.222,15,10,4,16,5,11,0,20,11,7,ESPN
2015-11-06,LeBron James,CLE,PHI,F,36:20,0.321,0.344,0.25,0.667,0.114,0.542,0.133,0.25,0.0,0.063,0.341,22,0.545,3,5,0.6,6,0.667,4,13,2,0,2,1,31,24,56.75,5,68,41,0.3171,11,0.545,124.7,97.2,27.6,0.5,0.075,0.614,93.75,0.773,0.227,0.581,0.29,0.258,0.387,0.417,0.583,0.555,0.164,0.189,0.107,8,14,5,12,10,4,8,36,4,6,
2015-11-08,LeBron James,CLE,IND,F,35:01,0.394,0.383,0.2,0.56,0.158,0.235,0.25,0.0,0.0,0.0,0.397,23,0.435,0,3,0.0,14,0.643,6,4,0,0,2,0,29,1,40.5,8,66,34,0.1176,15,0.467,105.8,103.6,2.2,0.25,0.082,0.435,94.91,0.87,0.13,0.69,0.0,0.207,0.345,0.5,0.5,0.462,0.258,0.072,0.243,6,2,2,10,14,7,4,22,7,7,
2015-11-10,LeBron James,CLE,UTA,F,37:51,0.339,0.352,0.158,0.324,0.259,0.421,0.313,0.25,0.0,0.118,0.316,19,0.579,1,3,0.333,12,0.667,7,8,2,0,5,2,31,4,51.75,9,73,37,0.2162,14,0.714,122.1,118.0,4.1,0.421,0.135,0.605,101.43,0.842,0.158,0.645,0.097,0.161,0.645,0.364,0.636,0.568,0.333,0.151,0.276,5,5,2,20,27,10,18,44,10,10,
