DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Leandro Barbosa,PHX,SAS,,11:39,0.097,0.111,0.5,0.182,0.286,0.5,0.0,0.0,0.0,0.0,0.16,2,0.5,0,1,0.0,2,1.0,2,2,0,0,0,0,4,-1,9.0,0,0,0,,0,0.0,86.7,92.2,-5.5,0.286,0.095,0.5,117.51,0.5,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.478,0.217,0.319,0.5,2,0,0,2,11,6,6,12,6,2,
2016-10-05,Leandro Barbosa,PHX,UTA,,22:10,0.202,0.191,0.455,0.154,0.045,0.5,0.333,0.0,0.0,0.2,0.143,9,0.222,1,5,0.2,2,0.5,1,1,0,0,2,2,6,-3,8.0,0,0,0,,0,0.0,91.9,97.7,-5.9,0.083,0.022,0.278,99.35,0.444,0.556,0.333,0.5,1.0,0.333,0.5,0.5,0.548,0.516,0.282,0.357,6,0,3,2,4,6,11,24,6,1,NBA TV
2016-10-07,Leandro Barbosa,PHX,POR,,17:27,0.108,0.103,0.0,0.0,0.1,0.125,0.5,0.25,0.0,0.167,0.091,4,0.5,0,0,0.0,0,0.0,2,1,1,0,1,2,4,5,9.25,0,0,0,,0,0.0,109.2,104.1,5.2,0.063,0.044,0.5,106.95,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.353,0.5,0.133,0.391,0,4,0,4,4,5,3,12,5,0,
2016-10-12,Leandro Barbosa,PHX,UTA,,10:56,0.111,0.2,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.1,0.0,3,0.0,0,1,0.0,0,0.0,1,0,0,0,0,1,0,-10,1.25,0,0,0,,0,0.0,91.9,126.7,-34.9,0.0,0.059,0.0,112.13,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.526,0.842,0.115,0.333,0,0,0,0,12,5,7,8,5,0,NBA TV
2016-10-14,Leandro Barbosa,PHX,DAL,,26:30,0.167,0.175,0.077,0.125,0.176,0.273,0.143,0.0,0.25,0.105,0.095,10,0.3,0,1,0.0,2,0.0,6,3,0,1,1,2,6,6,18.75,0,0,0,,0,0.0,103.2,95.3,7.9,0.15,0.094,0.3,109.44,0.9,0.1,1.0,0.0,0.0,1.0,0.333,0.667,0.422,0.392,0.117,0.226,0,2,0,6,8,10,9,20,10,4,
2016-10-21,Leandro Barbosa,PHX,LAL,,16:27,0.155,0.188,0.167,0.0,0.353,0.5,0.143,0.2,0.0,0.125,0.162,6,0.5,0,1,0.0,0,0.0,6,3,1,0,1,1,6,6,18.75,0,0,0,,0,0.0,92.1,73.9,18.3,0.3,0.176,0.5,119.81,0.833,0.167,1.0,0.0,0.333,1.0,0.0,1.0,0.419,0.29,0.262,0.25,2,4,0,6,3,7,8,12,7,1,
2015-10-27,Leandro Barbosa,GSW,NOP,,20:30,0.15,0.13,0.154,0.0,0.207,0.2,0.273,0.0,0.25,0.176,0.0,6,0.0,0,2,0.0,0,0.0,6,2,0,1,3,3,0,-3,10.5,7,36,24,0.0833,3,0.0,90.7,100.2,-9.4,0.133,0.13,0.0,101.85,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.441,0.529,0.186,0.35,0,0,0,0,18,4,5,14,4,0,TNT
2015-10-30,Leandro Barbosa,GSW,HOU,,19:23,0.159,0.158,0.2,0.0,0.105,0.154,0.5,0.75,0.0,0.3,0.102,6,0.333,1,1,1.0,0,0.0,2,2,3,0,1,3,5,14,16.0,4,26,18,0.1111,1,0.0,125.8,85.3,40.5,0.111,0.053,0.417,99.05,0.833,0.167,0.4,0.6,0.0,0.0,0.5,0.5,0.347,0.444,0.146,0.364,0,0,0,0,2,13,6,20,13,0,ESPN
2015-10-31,Leandro Barbosa,GSW,NOP,,11:51,0.232,0.286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.375,6,0.667,1,1,1.0,0,0.0,0,0,0,0,0,2,9,-7,9.5,2,12,6,0.0,4,0.5,96.5,114.0,-17.5,0.0,0.0,0.75,105.43,0.833,0.167,0.667,0.333,0.222,0.667,0.75,0.25,0.542,0.208,0.184,0.333,2,5,0,6,6,4,0,14,4,1,NBA TV
2015-11-02,Leandro Barbosa,GSW,MEM,,14:55,0.123,0.154,0.5,0.0,0.0,0.2,0.0,0.0,0.2,0.333,0.094,4,0.25,1,2,0.5,0,0.0,0,2,0,1,0,2,3,8,8.0,0,23,18,0.1111,2,0.0,108.0,79.8,28.2,0.154,0.0,0.375,96.09,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.357,0.25,0.066,0.158,0,0,0,0,3,4,1,12,4,3,NBA TV
