DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Luc Mbah a Moute,LAC,GSW,F,10:57,0.124,0.067,0.2,0.4,0.0,0.0,0.167,0.0,0.0,0.143,0.2,1,0.0,0,1,0.0,2,1.0,0,0,0,0,1,1,2,-24,1.5,0,0,0,,0,0.0,45.0,160.4,-115.3,0.0,0.0,0.0,95.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861,0.278,0.142,0.222,0,0,0,0,9,3,5,4,3,1,ESPN
2016-10-10,Luc Mbah a Moute,LAC,UTA,,10:47,0.085,0.125,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.1,0.148,2,1.0,0,0,0.0,0,0.0,1,0,0,0,0,1,4,4,5.25,0,0,0,,0,0.0,125.5,113.4,12.1,0.0,0.056,1.0,93.03,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.412,0.706,0.197,0.6,0,0,0,4,2,6,3,10,6,0,NBA TV
2016-10-13,Luc Mbah a Moute,LAC,POR,F,25:09,0.112,0.114,0.111,0.0,0.1,0.0,0.286,0.167,0.0,0.222,0.095,5,0.6,0,1,0.0,0,0.0,2,0,1,0,2,4,6,-4,9.5,0,0,0,,0,0.0,109.7,118.9,-9.2,0.0,0.049,0.6,108.6,0.8,0.2,1.0,0.0,0.333,0.667,1.0,0.0,0.65,0.475,0.177,0.118,2,0,2,4,8,2,2,28,2,1,TNT
2016-10-17,Luc Mbah a Moute,LAC,UTA,F,22:34,0.113,0.108,0.0,0.0,0.133,0.0,0.167,0.0,0.0,0.333,0.171,4,0.75,0,0,0.0,0,0.0,2,0,0,0,1,2,6,-10,8.0,0,0,0,,0,0.0,80.8,105.5,-24.7,0.0,0.056,0.75,91.42,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.571,0.171,0.164,0.125,0,0,0,6,8,2,3,26,2,2,
2016-10-18,Luc Mbah a Moute,LAC,SAC,F,28:28,0.181,0.167,0.125,0.0,0.095,0.048,0.3,0.2,0.0,0.4,0.148,8,0.5,1,2,0.5,0,0.0,2,1,1,0,3,4,9,2,13.75,0,0,0,,0,0.0,107.7,100.1,7.6,0.048,0.043,0.563,97.46,0.75,0.25,0.667,0.333,0.222,0.444,1.0,0.0,0.531,0.184,0.204,0.261,2,0,0,4,10,10,13,24,10,0,ESPN
2015-10-29,Luc Mbah a Moute,LAC,DAL,,6:54,0.067,0.077,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,-8,1.25,1,4,3,0.3333,0,0.0,42.9,100.9,-58.0,0.333,0.0,0.0,96.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.143,0.0,0.125,0,0,0,0,4,0,6,10,0,0,TNT
2015-10-31,Luc Mbah a Moute,LAC,SAC,,0:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,NBA TV
2015-11-02,Luc Mbah a Moute,LAC,PHX,,0:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,0,0,,0,0.0,0.0,69.4,-69.4,0.0,0.0,0.0,163.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-07,Luc Mbah a Moute,LAC,HOU,,0:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,0,0,,0,0.0,0.0,106.4,-106.4,0.0,0.0,0.0,144.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-09,Luc Mbah a Moute,LAC,MEM,,0:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-5,0.0,0,0,0,,0,0.0,0.0,122.5,-122.5,0.0,0.0,0.0,394.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-11,Luc Mbah a Moute,LAC,DAL,,6:30,0.084,0.1,0.0,0.0,0.333,0.0,0.0,0.5,0.0,0.667,0.0,1,0.0,0,0,0.0,0,0.0,1,0,1,0,0,2,0,4,3.25,3,5,4,0.0,1,0.0,159.9,126.3,33.7,0.0,0.125,0.0,87.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.182,0.253,0.5,0,0,0,0,2,4,0,4,4,0,ESPN
2015-11-12,Luc Mbah a Moute,LAC,PHX,,14:49,0.178,0.188,0.111,0.5,0.167,0.0,0.0,0.25,0.0,0.0,0.25,6,0.5,1,1,1.0,2,1.0,2,0,1,0,0,0,9,9,14.0,3,25,17,0.0,4,0.5,106.6,90.7,15.9,0.0,0.091,0.583,102.89,0.833,0.167,0.444,0.333,0.222,0.444,0.667,0.333,0.591,0.182,0.269,0.222,2,0,2,4,2,0,5,12,0,1,TNT
2015-11-14,Luc Mbah a Moute,LAC,DET,,8:42,0.043,0.056,0.0,0.0,0.214,0.0,0.0,0.0,0.0,0.429,0.0,1,0.0,0,0,0.0,0,0.0,3,0,0,0,0,3,0,12,3.75,5,7,6,0.0,0,0.0,110.6,43.8,66.9,0.0,0.158,0.0,100.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.164,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-19,Luc Mbah a Moute,LAC,GSW,,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,TNT
2015-11-20,Luc Mbah a Moute,LAC,POR,,10:29,0.136,0.118,0.0,0.0,0.444,0.0,0.2,0.0,0.0,0.286,0.105,2,0.5,0,0,0.0,0,0.0,4,0,0,0,1,2,2,1,6.5,11,15,11,0.0,2,0.5,100.0,106.6,-6.6,0.0,0.182,0.5,82.15,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.364,0.091,0.118,0.571,0,0,0,2,4,8,0,12,8,0,
2015-11-22,Luc Mbah a Moute,LAC,TOR,,4:10,0.125,0.2,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.5,1.0,1,1.0,0,0,0.0,0,0.0,1,0,1,0,0,2,2,-8,5.25,1,4,3,0.0,1,1.0,28.6,123.8,-95.2,0.0,0.143,1.0,86.86,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,1.4,0.124,0.333,0,2,0,2,2,4,0,4,4,0,
