DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Lucas Nogueira,TOR,GSW,,8:42,0.065,0.083,0.0,0.0,0.625,0.0,0.0,0.0,0.667,0.0,0.0,1,0.0,0,0,0.0,0,0.0,5,0,0,2,0,0,0,9,10.25,0,0,0,,0,0.0,129.5,71.8,57.7,0.0,0.294,0.0,84.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.176,0.131,0.385,0,0,0,0,0,3,0,6,3,1,NBA TV
2016-10-03,Lucas Nogueira,TOR,DEN,,17:05,0.13,0.125,0.0,0.0,0.188,0.0,0.2,0.667,0.5,0.333,0.098,4,0.5,0,0,0.0,0,0.0,3,0,2,1,1,4,4,6,13.25,0,0,0,,0,0.0,119.5,105.9,13.5,0.0,0.111,0.5,94.63,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.591,0.727,0.151,0.077,2,0,0,4,4,0,3,10,0,1,
2016-10-05,Lucas Nogueira,TOR,LAC,,16:26,0.026,0.0,0.0,0.0,0.2,0.5,0.2,0.0,0.0,0.1,0.0,0,0.0,0,0,0.0,0,0.0,2,3,0,0,1,1,0,11,5.75,0,0,0,,0,0.0,125.6,92.3,33.3,0.188,0.083,0.0,106.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.458,0.299,0.3,0,0,0,0,6,0,4,14,0,0,
2016-10-13,Lucas Nogueira,TOR,CLE,,15:57,0.154,0.167,0.125,0.0,0.182,0.222,0.25,0.5,1.0,0.143,0.154,4,0.75,0,1,0.0,0,0.0,2,2,2,2,1,1,6,9,18.5,0,0,0,,0,0.0,128.3,93.5,34.8,0.2,0.095,0.75,94.01,0.75,0.25,1.0,0.0,0.667,1.0,0.667,0.333,0.426,0.259,0.156,0.25,4,4,0,6,7,4,0,8,4,1,TNT
2016-10-14,Lucas Nogueira,TOR,SLA,C,18:32,0.094,0.063,0.0,0.286,0.333,0.0,0.0,0.0,0.667,0.3,0.109,2,0.5,0,0,0.0,4,0.75,4,0,0,2,0,3,5,2,14.0,0,0,0,,0,0.0,127.2,121.3,5.9,0.0,0.129,0.5,93.81,1.0,0.0,0.4,0.0,0.0,0.4,0.0,1.0,0.545,0.364,0.165,0.5,0,0,2,2,5,10,8,14,10,2,
2016-10-19,Lucas Nogueira,TOR,DET,,18:10,0.148,0.147,0.0,0.0,0.263,0.25,0.25,0.0,0.0,0.6,0.19,5,0.8,0,0,0.0,0,0.0,5,2,0,0,1,3,8,11,16.25,0,0,0,,0,0.0,114.6,93.4,21.3,0.167,0.152,0.8,92.27,1.0,0.0,1.0,0.0,0.5,0.75,0.75,0.25,0.452,0.161,0.09,0.167,4,0,4,6,1,2,2,20,2,0,
2016-10-21,Lucas Nogueira,TOR,WAS,,8:05,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,1,0,0,0,0,3.25,0,0,0,,0,0.0,103.4,98.9,4.5,0.0,0.091,0.0,105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.417,0.33,0.333,0,0,0,0,3,5,0,2,5,0,
2015-11-08,Lucas Nogueira,TOR,MIA,,3:26,0.173,0.167,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.0,0,0,0.0,1,1.0,0,0,1,0,0,0,3,0,5.0,2,6,5,0.0,0,0.0,41.0,50.0,-9.0,0.0,0.0,1.0,93.11,1.0,0.0,0.667,0.0,1.0,0.667,1.0,0.0,0.3,0.0,0.167,0.0,3,0,0,2,0,0,0,0,0,1,
2015-11-11,Lucas Nogueira,TOR,PHI,,1:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,-2,2.0,2,0,0,,0,0.0,0.0,66.7,-66.7,0.0,0.0,0.0,101.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-11-29,Lucas Nogueira,TOR,PHX,,5:59,0.139,0.154,0.333,0.0,0.286,0.0,0.0,1.0,0.0,0.0,0.286,2,0.5,0,1,0.0,0,0.0,2,0,1,0,0,0,2,-9,6.5,4,6,4,0.0,1,1.0,56.3,115.3,-59.0,0.0,0.118,0.5,105.57,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.538,0.154,0.144,0.286,0,0,0,2,0,0,0,2,0,0,
