DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Luke Babbitt,MIA,WAS,F,20:14,0.185,0.171,0.5,0.0,0.211,0.071,0.286,0.333,0.0,0.5,0.28,6,0.833,4,5,0.8,0,0.0,4,1,1,0,2,4,14,7,23.25,0,0,0,,0,0.0,121.0,102.5,18.5,0.059,0.125,1.167,98.81,0.167,0.833,0.143,0.857,0.0,0.143,1.0,0.0,0.449,0.231,0.071,0.19,0,3,0,2,10,5,4,22,5,1,
2016-10-08,Luke Babbitt,MIA,MIN,,15:28,0.276,0.28,0.538,0.0,0.133,0.0,0.4,0.0,0.0,0.6,0.261,7,0.286,2,7,0.286,0,0.0,2,0,0,0,2,3,6,-5,8.5,0,0,0,,0,0.0,77.6,87.0,-9.4,0.0,0.059,0.429,95.96,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.446,0.179,0.217,0.294,3,0,0,0,5,7,6,8,7,1,
2016-10-11,Luke Babbitt,MIA,BKN,,17:16,0.194,0.222,0.455,0.0,0.357,0.0,0.167,0.333,0.0,0.083,0.25,6,0.5,2,5,0.4,0,0.0,5,0,1,0,1,1,8,-11,16.75,0,0,0,,0,0.0,91.2,119.6,-28.4,0.0,0.167,0.667,98.74,0.167,0.833,0.25,0.75,0.25,0.25,0.667,0.333,0.621,0.31,0.083,0.0,2,0,0,2,2,0,0,16,0,1,NBA TV
2016-10-21,Luke Babbitt,MIA,PHI,F,20:36,0.181,0.189,0.6,0.0,0.059,0.0,0.2,0.0,0.0,0.278,0.148,7,0.429,2,6,0.333,0,0.0,1,0,0,0,1,5,8,-3,9.75,0,0,0,,0,0.0,128.0,124.5,3.5,0.0,0.029,0.571,102.52,0.143,0.857,0.25,0.75,0.0,0.25,0.667,0.333,0.512,0.488,0.087,0.348,0,0,0,2,7,16,0,26,16,0,
2015-10-31,Luke Babbitt,NOP,GSW,,30:29,0.086,0.094,0.286,0.0,0.2,0.067,0.091,0.0,0.0,0.182,0.049,6,0.333,0,4,0.0,0,0.0,6,1,0,0,1,2,4,-8,12.25,6,49,38,0.0263,2,0.5,113.6,131.7,-18.0,0.033,0.113,0.333,110.63,0.333,0.667,1.0,0.0,0.0,0.0,1.0,0.0,0.67,0.339,0.088,0.087,0,0,0,0,22,1,18,28,1,1,NBA TV
2015-11-03,Luke Babbitt,NOP,ORL,F,28:10,0.123,0.167,0.3,0.0,0.32,0.1,0.0,0.125,0.0,0.125,0.163,8,0.375,2,6,0.333,0,0.0,8,1,1,0,0,1,8,-11,22.25,12,43,32,0.0313,3,0.333,77.9,94.8,-16.9,0.077,0.129,0.5,107.57,0.25,0.75,0.25,0.75,0.25,0.25,0.333,0.667,0.483,0.051,0.19,0.281,2,0,0,2,2,9,8,34,9,0,
2015-11-06,Luke Babbitt,NOP,ATL,F,29:17,0.181,0.2,0.353,0.154,0.2,0.05,0.1,0.0,0.0,0.357,0.186,10,0.5,1,6,0.167,2,1.0,4,1,0,0,1,5,13,-2,19.25,6,47,34,0.0294,4,0.75,109.9,117.8,-7.9,0.045,0.098,0.55,102.31,0.4,0.6,0.615,0.231,0.0,0.615,0.6,0.4,0.616,0.535,0.147,0.053,0,0,0,8,13,2,9,24,2,1,
2015-11-07,Luke Babbitt,NOP,DAL,F,19:10,0.071,0.086,0.2,0.0,0.111,0.111,0.0,0.0,0.25,0.417,0.075,3,0.333,1,2,0.5,0,0.0,2,1,0,1,0,5,3,-8,9.25,4,21,16,0.0625,1,0.0,99.5,119.8,-20.3,0.067,0.053,0.5,100.52,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.553,0.184,0.05,0.158,0,0,0,0,8,4,10,16,4,0,
2015-11-10,Luke Babbitt,NOP,DAL,F,24:08,0.075,0.065,0.176,0.0,0.333,0.059,0.25,0.0,0.0,0.2,0.044,3,0.333,1,3,0.333,0,0.0,7,1,0,0,1,3,3,17,13.0,9,39,35,0.0286,0,0.0,132.0,94.5,37.5,0.04,0.179,0.5,104.92,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.209,0.148,0.05,0,3,0,0,7,0,7,28,0,0,
2015-11-11,Luke Babbitt,NOP,ATL,F,29:39,0.144,0.157,0.25,0.2,0.13,0.167,0.077,0.0,0.0,0.133,0.119,8,0.25,2,5,0.4,2,0.5,3,2,0,0,1,2,7,-6,13.75,9,40,30,0.0667,3,0.0,90.2,106.4,-16.2,0.1,0.061,0.375,102.38,0.375,0.625,0.0,0.857,0.429,0.0,1.0,0.0,0.577,0.135,0.147,0.13,3,0,0,0,12,7,15,34,7,1,
