DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Luol Deng,LAL,SAC,F,16:15,0.241,0.28,0.222,0.182,0.143,0.0,0.143,0.0,0.0,0.0,0.258,7,0.429,1,2,0.5,2,0.5,2,0,0,0,1,0,8,-5,10.5,0,0,0,,0,0.0,94.4,108.8,-14.4,0.0,0.074,0.5,97.36,0.714,0.286,0.5,0.375,0.0,0.25,0.667,0.333,0.574,0.259,0.181,0.231,0,4,2,2,5,3,8,10,3,1,
2016-10-11,Luol Deng,LAL,POR,F,13:31,0.221,0.273,0.0,0.2,0.333,0.0,0.0,0.0,0.0,0.167,0.269,6,0.5,0,0,0.0,1,1.0,3,0,0,0,0,1,7,-3,10.75,0,0,0,,0,0.0,99.2,98.2,1.0,0.0,0.136,0.5,98.94,1.0,0.0,0.857,0.0,0.286,0.571,0.0,1.0,0.5,0.348,0.237,0.4,2,2,0,4,1,6,2,8,6,1,NBA TV
2016-10-13,Luol Deng,LAL,SAC,F,24:42,0.196,0.229,0.25,0.0,0.261,0.077,0.0,0.25,0.0,0.125,0.17,11,0.364,1,5,0.2,0,0.0,6,1,1,0,0,1,9,3,20.25,0,0,0,,0,0.0,108.0,97.0,10.9,0.063,0.136,0.409,97.75,0.545,0.455,0.667,0.333,0.444,0.444,0.75,0.25,0.524,0.19,0.175,0.158,4,2,0,4,13,4,6,24,4,0,
2016-10-15,Luol Deng,LAL,GSW,F,19:23,0.157,0.206,0.154,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.118,7,0.286,0,2,0.0,0,0.0,2,0,0,0,0,0,4,-20,6.5,0,0,0,,0,0.0,78.1,130.1,-51.9,0.0,0.053,0.286,105.29,0.714,0.286,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.2,0.145,0.421,0,0,0,0,6,5,4,22,5,2,NBA TV
2015-10-28,Luol Deng,MIA,CHA,F,30:26,0.144,0.16,0.375,0.0,0.111,0.071,0.125,0.5,0.143,0.125,0.217,8,0.625,3,3,1.0,0,0.0,3,1,1,1,1,2,13,-4,23.0,10,39,28,0.0357,3,0.667,99.3,105.3,-5.9,0.056,0.054,0.813,95.58,0.625,0.375,0.308,0.692,0.154,0.308,0.8,0.2,0.445,0.364,0.049,0.194,2,2,2,4,10,10,4,32,10,0,
2015-10-30,Luol Deng,MIA,CLE,F,29:12,0.164,0.174,0.231,0.143,0.261,0.143,0.125,0.25,0.0,0.3,0.161,8,0.5,1,3,0.333,2,0.5,6,2,1,0,1,3,10,6,22.0,9,36,26,0.0769,4,0.5,110.4,105.1,5.3,0.111,0.113,0.563,89.95,0.625,0.375,0.6,0.3,0.3,0.6,0.75,0.25,0.441,0.235,0.15,0.367,3,2,1,6,7,10,5,30,10,2,ESPN
2015-11-01,Luol Deng,MIA,HOU,F,26:38,0.227,0.231,0.333,0.286,0.231,0.083,0.143,0.0,0.0,0.125,0.233,12,0.417,1,4,0.25,4,0.75,6,1,0,0,1,1,14,-3,22.75,11,42,28,0.0357,8,0.625,105.0,108.3,-3.4,0.056,0.13,0.458,103.94,0.667,0.333,0.571,0.214,0.286,0.571,0.6,0.4,0.58,0.318,0.172,0.1,4,2,4,8,10,5,6,28,5,3,
2015-11-03,Luol Deng,MIA,ATL,F,25:04,0.157,0.205,0.308,0.0,0.095,0.167,0.0,0.0,0.111,0.125,0.075,9,0.222,0,4,0.0,0,0.0,2,1,0,1,0,1,4,-5,9.75,9,33,24,0.0417,4,0.5,105.2,115.4,-10.2,0.053,0.04,0.222,96.4,0.556,0.444,1.0,0.0,1.0,1.0,0.5,0.5,0.471,0.235,0.119,0.462,4,2,0,4,13,11,7,28,11,0,NBA TV
2015-11-05,Luol Deng,MIA,MIN,F,28:21,0.213,0.235,0.375,0.214,0.133,0.125,0.1,0.25,0.25,0.167,0.164,12,0.333,0,3,0.0,3,0.667,4,1,1,1,1,2,10,17,19.75,8,51,37,0.027,6,0.167,99.7,71.4,28.3,0.048,0.073,0.333,103.92,0.75,0.25,0.8,0.0,0.0,0.4,0.25,0.75,0.304,0.294,0.146,0.172,0,0,2,4,8,11,5,16,11,2,
2015-11-06,Luol Deng,MIA,IND,F,26:14,0.161,0.152,0.2,0.0,0.095,0.0,0.25,0.0,0.0,0.111,0.2,7,0.571,1,2,0.5,0,0.0,2,0,0,0,2,1,9,-14,11.0,3,37,26,0.0,6,0.5,88.7,114.8,-26.1,0.0,0.044,0.643,93.45,0.714,0.286,0.667,0.333,0.556,0.444,0.75,0.25,0.6,0.222,0.117,0.2,5,2,2,4,7,7,4,20,7,1,ESPN
