DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Malcolm Brogdon,MIL,CHI,G,23:39,0.143,0.15,0.364,0.222,0.158,0.2,0.091,0.167,0.0,0.091,0.161,6,0.167,1,4,0.25,2,1.0,3,1,1,0,1,1,5,-15,12.0,0,0,0,,0,0.0,66.0,97.5,-31.5,0.1,0.067,0.25,95.51,0.333,0.667,0.0,0.6,0.0,0.0,1.0,0.0,0.529,0.412,0.254,0.313,0,0,0,0,12,7,9,16,7,1,NBA TV
2016-10-08,Malcolm Brogdon,MIL,DAL,,30:18,0.104,0.136,0.1,0.0,0.037,0.5,0.059,0.0,0.2,0.176,0.074,6,0.333,0,1,0.0,0,0.0,1,6,0,1,1,3,4,13,14.25,0,0,0,,0,0.0,86.9,67.4,19.5,0.353,0.018,0.333,97.43,0.833,0.167,1.0,0.0,0.0,0.0,0.0,1.0,0.317,0.212,0.263,0.353,0,0,0,0,16,6,12,16,6,0,
2016-10-12,Malcolm Brogdon,MIL,IND,G,26:20,0.135,0.175,0.2,0.118,0.043,0.0,0.0,0.333,0.0,0.125,0.105,7,0.286,0,2,0.0,2,1.0,1,0,1,0,0,2,6,6,9.25,0,0,0,,0,0.0,102.7,99.7,3.1,0.0,0.024,0.286,97.19,0.714,0.286,0.667,0.0,0.0,0.667,0.0,1.0,0.464,0.333,0.137,0.167,0,0,0,4,14,6,6,18,6,1,
2016-10-15,Malcolm Brogdon,MIL,CHI,,29:14,0.186,0.18,0.412,0.0,0.2,0.143,0.286,0.4,0.25,0.1,0.14,9,0.222,2,7,0.286,0,0.0,4,2,2,1,2,1,6,-21,19.5,0,0,0,,0,0.0,76.5,120.8,-44.3,0.125,0.074,0.333,89.62,0.222,0.778,0.0,1.0,0.0,0.0,1.0,0.0,0.585,0.191,0.17,0.292,0,0,0,0,10,9,5,14,9,3,
2016-10-17,Malcolm Brogdon,MIL,DET,,21:13,0.159,0.114,0.111,0.0,0.267,0.5,0.5,0.333,0.0,0.667,0.129,4,0.5,0,1,0.0,0,0.0,4,3,1,0,3,2,4,-13,13.25,0,0,0,,0,0.0,79.3,116.5,-37.2,0.3,0.105,0.5,86.92,0.75,0.25,1.0,0.0,0.0,1.0,0.5,0.5,0.588,0.118,0.159,0.286,0,0,0,4,8,4,8,26,4,0,
2016-10-19,Malcolm Brogdon,MIL,IND,,22:38,0.251,0.231,0.222,0.308,0.292,0.333,0.3,0.333,0.0,0.5,0.277,9,0.444,1,2,0.5,4,1.0,7,3,2,0,3,3,13,5,28.5,0,0,0,,0,0.0,105.1,92.3,12.8,0.273,0.156,0.5,95.69,0.778,0.222,0.462,0.231,0.154,0.154,0.5,0.5,0.398,0.182,0.154,0.391,2,2,0,2,10,8,13,24,8,2,
2016-10-26,Malcolm Brogdon,MIL,CHA,,21:25,0.178,0.182,0.25,0.222,0.2,0.385,0.0,0.0,0.0,0.182,0.186,8,0.375,0,2,0.0,2,1.0,5,5,0,0,0,2,8,0,20.5,5,53,40,0.125,5,0.4,100.1,98.1,2.0,0.333,0.111,0.375,97.27,0.75,0.25,0.75,0.0,0.25,0.5,0.667,0.333,0.449,0.282,0.068,0.143,2,0,0,4,0,4,0,30,4,5,
2016-10-29,Malcolm Brogdon,MIL,BKN,,12:50,0.261,0.25,0.125,0.2,0.167,0.0,0.5,1.0,0.0,0.1,0.074,5,0.0,0,1,0.0,2,1.0,1,0,1,0,1,1,2,-11,4.75,2,31,23,0.0,4,0.0,102.3,139.9,-37.6,0.0,0.048,0.0,100.13,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.56,0.11,0.538,0,0,0,0,4,9,3,18,9,1,
2016-10-30,Malcolm Brogdon,MIL,DET,,17:03,0.204,0.25,0.2,0.1,0.182,0.2,0.0,0.143,0.0,0.0,0.222,7,0.429,0,1,0.0,1,0.0,2,1,1,0,0,0,6,-9,11.75,3,43,32,0.0313,2,0.5,74.2,97.9,-23.8,0.143,0.057,0.429,102.98,0.857,0.143,1.0,0.0,0.333,0.667,0.667,0.333,0.516,0.129,0.218,0.267,2,0,0,4,6,4,15,24,4,1,
2016-11-01,Malcolm Brogdon,MIL,NOP,,23:44,0.23,0.217,0.125,0.1,0.087,0.267,0.375,0.571,0.0,0.091,0.219,10,0.6,1,2,0.5,1,1.0,2,4,4,0,3,1,14,9,28.5,4,56,42,0.0952,7,0.571,124.5,109.0,15.6,0.222,0.049,0.65,103.02,0.8,0.2,0.714,0.214,0.0,0.714,0.5,0.5,0.551,0.436,0.178,0.238,0,0,0,10,10,3,10,26,3,2,
