DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Marco Belinelli,CHA,DAL,,16:47,0.23,0.276,0.0,0.077,0.0,0.25,0.0,0.0,0.0,0.143,0.219,8,0.375,0,0,0.0,1,1.0,0,1,0,0,0,1,7,-3,8.25,0,0,0,,0,0.0,94.9,100.7,-5.8,0.143,0.0,0.375,97.93,1.0,0.0,0.857,0.0,0.286,0.571,0.333,0.667,0.533,0.133,0.201,0.267,2,0,2,4,5,2,3,10,2,0,
2016-10-06,Marco Belinelli,CHA,BOS,,17:18,0.191,0.207,0.25,0.286,0.143,0.083,0.0,0.0,0.0,0.0,0.22,6,0.5,1,2,0.5,2,1.0,2,1,0,0,0,0,9,7,13.25,0,0,0,,0,0.0,116.9,95.4,21.5,0.071,0.069,0.583,98.11,0.667,0.333,0.444,0.333,0.222,0.0,1.0,0.0,0.453,0.188,0.14,0.235,2,0,0,0,5,4,2,10,4,3,
2016-10-08,Marco Belinelli,CHA,BOS,,20:01,0.162,0.176,0.143,0.0,0.0,0.1,0.143,0.0,0.0,0.25,0.118,6,0.333,0,1,0.0,0,0.0,0,1,0,0,1,1,4,-8,4.75,0,0,0,,0,0.0,86.7,100.6,-13.8,0.071,0.0,0.333,97.07,0.833,0.167,1.0,0.0,0.0,0.0,1.0,0.0,0.476,0.098,0.072,0.2,0,0,0,0,11,4,6,18,4,3,NBA TV
2016-10-10,Marco Belinelli,CHA,MIN,,29:28,0.059,0.057,0.115,0.0,0.032,0.125,0.083,0.2,0.0,0.182,0.0,3,0.0,0,3,0.0,0,0.0,1,2,1,0,1,2,0,6,5.25,0,0,0,,0,0.0,90.2,79.7,10.5,0.091,0.016,0.0,101.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.228,0.128,0.242,0,0,0,0,9,4,10,28,4,1,
2016-10-17,Marco Belinelli,CHA,CHI,,23:14,0.211,0.19,0.333,0.467,0.211,0.2,0.0,0.167,0.0,0.333,0.28,8,0.375,2,5,0.4,7,0.857,4,3,1,0,0,2,14,3,25.75,0,0,0,,0,0.0,105.0,105.3,-0.2,0.214,0.085,0.5,95.28,0.375,0.625,0.143,0.429,0.0,0.0,1.0,0.0,0.512,0.146,0.179,0.333,0,3,2,0,6,6,7,16,6,4,NBA TV
2016-10-20,Marco Belinelli,CHA,MIA,,27:01,0.147,0.14,0.083,0.067,0.16,0.167,0.25,0.2,0.0,0.091,0.091,6,0.333,0,1,0.0,1,1.0,4,2,1,0,2,1,5,7,13.5,0,0,0,,0,0.0,98.9,85.1,13.8,0.111,0.08,0.333,99.49,0.833,0.167,0.8,0.0,0.0,0.4,1.0,0.0,0.418,0.204,0.142,0.179,0,0,0,2,5,7,2,18,7,1,
2016-10-21,Marco Belinelli,CHA,MIN,G,16:29,0.282,0.185,0.25,0.385,0.059,0.0,0.571,0.0,0.0,0.167,0.333,5,0.4,2,2,1.0,5,0.8,1,0,0,0,4,2,10,-8,10.25,0,0,0,,0,0.0,84.0,100.4,-16.4,0.0,0.025,0.6,107.1,0.6,0.4,0.0,0.6,0.0,0.0,0.5,0.5,0.403,0.306,0.132,0.381,0,0,0,0,12,15,6,16,15,3,NBA TV
2015-10-28,Marco Belinelli,SAC,LAC,,31:57,0.152,0.188,0.389,0.0,0.061,0.412,0.0,0.143,0.0,0.143,0.138,12,0.25,3,7,0.429,0,0.0,2,7,1,0,0,3,9,-1,23.75,5,41,26,0.2692,6,0.167,88.8,97.7,-8.8,0.318,0.03,0.375,105.7,0.417,0.583,0.0,1.0,0.333,0.0,0.667,0.333,0.49,0.49,0.178,0.129,3,0,0,0,9,4,4,22,4,3,
2015-10-30,Marco Belinelli,SAC,LAL,,22:12,0.156,0.132,0.455,0.2,0.061,0.182,0.333,0.333,0.0,0.167,0.103,7,0.286,1,5,0.2,2,0.5,2,2,1,0,2,2,6,4,12.5,2,30,20,0.1,2,0.5,115.1,106.2,8.9,0.091,0.04,0.357,109.45,0.286,0.714,0.333,0.5,0.5,0.333,1.0,0.0,0.478,0.244,0.118,0.2,3,0,5,2,4,6,13,16,6,3,
2015-10-31,Marco Belinelli,SAC,LAC,,28:04,0.148,0.14,0.182,0.3,0.071,0.077,0.0,0.167,0.0,0.091,0.177,8,0.25,1,2,0.5,6,1.0,2,1,1,0,0,2,11,0,17.25,4,35,24,0.0417,3,0.333,103.7,99.9,3.8,0.05,0.038,0.313,104.22,0.75,0.25,0.182,0.273,0.0,0.0,1.0,0.0,0.452,0.762,0.177,0.238,0,3,0,0,8,10,6,26,10,3,NBA TV
