DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-13,Marcus Thornton,WAS,PHI,,17:04,0.312,0.269,0.5,0.0,0.083,0.333,1.0,0.5,0.0,0.4,0.111,7,0.143,1,4,0.25,0,0.0,1,1,2,0,4,2,3,-11,8.0,0,0,0,,0,0.0,81.1,102.5,-21.4,0.125,0.031,0.214,98.94,0.429,0.571,0.0,1.0,0.0,0.0,1.0,0.0,0.485,0.212,0.162,0.333,0,0,0,0,4,8,3,10,8,1,
2016-10-15,Marcus Thornton,WAS,SAC,G,25:05,0.212,0.224,0.467,0.0,0.063,0.214,0.286,0.1,0.0,0.188,0.203,11,0.455,3,7,0.429,0,0.0,1,3,1,0,2,3,13,0,20.5,0,0,0,,0,0.0,115.8,114.4,1.3,0.158,0.026,0.591,106.4,0.364,0.636,0.308,0.692,0.0,0.308,0.8,0.2,0.671,0.474,0.25,0.286,0,0,3,4,9,4,9,38,4,1,
2016-10-18,Marcus Thornton,WAS,CLE,,23:04,0.328,0.324,0.714,0.5,0.208,0.0,0.273,0.286,0.0,0.25,0.39,12,0.417,1,5,0.2,5,1.0,5,0,2,0,3,2,16,-3,25.25,0,0,0,,0,0.0,84.7,89.3,-4.6,0.0,0.116,0.458,101.63,0.583,0.417,0.5,0.188,0.188,0.375,0.8,0.2,0.527,0.324,0.162,0.048,3,0,0,6,12,0,13,14,0,3,
2016-10-21,Marcus Thornton,WAS,TOR,,19:50,0.184,0.182,0.231,0.0,0.167,0.125,0.286,0.333,0.0,0.091,0.079,6,0.167,1,3,0.333,0,0.0,3,1,1,0,2,1,3,5,9.5,0,0,0,,0,0.0,98.7,88.5,10.1,0.071,0.083,0.25,91.72,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.411,0.429,0.215,0.235,0,0,0,0,10,8,12,18,8,0,
2015-11-01,Marcus Thornton,HOU,MIA,F,30:53,0.266,0.327,0.375,0.0,0.1,0.167,0.154,0.0,0.0,0.286,0.35,16,0.5,5,9,0.556,0,0.0,2,2,0,0,2,4,21,-15,27.5,7,44,25,0.08,8,0.375,91.3,116.9,-25.6,0.154,0.042,0.656,100.93,0.438,0.563,0.286,0.714,0.143,0.19,0.625,0.375,0.563,0.25,0.125,0.25,3,0,3,4,16,13,10,44,13,1,
2015-11-02,Marcus Thornton,HOU,OKC,F,37:21,0.165,0.194,0.273,0.0,0.241,0.053,0.111,0.067,0.0,0.059,0.126,14,0.357,2,6,0.333,0,0.0,7,1,1,0,1,1,12,14,24.5,15,42,27,0.037,7,0.286,112.9,101.0,11.9,0.031,0.103,0.429,105.56,0.571,0.429,0.5,0.5,0.417,0.5,0.6,0.4,0.555,0.219,0.25,0.313,5,2,2,6,5,17,7,40,17,0,NBA TV
2015-11-04,Marcus Thornton,HOU,ORL,F,29:04,0.217,0.286,0.313,0.0,0.13,0.176,0.077,0.25,0.0,0.0,0.25,14,0.571,2,5,0.4,0,0.0,3,3,1,0,1,0,18,-3,28.0,4,45,29,0.1034,6,0.5,122.0,128.7,-6.7,0.167,0.079,0.643,96.87,0.643,0.357,0.667,0.333,0.111,0.556,0.75,0.25,0.713,0.255,0.137,0.133,2,2,2,10,12,4,20,40,4,1,
2015-11-06,Marcus Thornton,HOU,SAC,F,42:14,0.165,0.211,0.313,0.0,0.152,0.091,0.059,0.125,0.0,0.25,0.148,16,0.375,4,10,0.4,0,0.0,7,2,1,0,1,5,16,19,30.75,12,44,24,0.0833,6,0.5,121.2,96.9,24.2,0.063,0.084,0.5,102.81,0.375,0.625,0.25,0.75,0.0,0.25,0.667,0.333,0.469,0.25,0.163,0.273,0,6,4,4,25,14,21,44,14,0,ESPN
2015-11-07,Marcus Thornton,HOU,LAC,F,37:31,0.18,0.227,0.28,0.0,0.108,0.231,0.077,0.429,0.0,0.167,0.188,15,0.467,2,7,0.286,0,0.0,4,3,3,0,1,4,16,5,31.25,7,37,19,0.1579,8,0.5,106.1,101.8,4.3,0.136,0.059,0.533,101.51,0.533,0.467,0.625,0.375,0.125,0.375,0.571,0.429,0.485,0.364,0.14,0.243,2,2,0,6,18,7,5,44,7,0,
2015-11-11,Marcus Thornton,HOU,BKN,F,34:51,0.188,0.208,0.346,0.0,0.103,0.35,0.0,0.444,0.143,0.222,0.256,15,0.6,3,9,0.333,0,0.0,3,7,4,1,0,2,21,5,45.0,5,50,34,0.2059,7,0.714,114.5,109.6,4.9,0.269,0.043,0.7,97.74,0.4,0.6,0.571,0.429,0.095,0.571,0.444,0.556,0.479,0.171,0.128,0.4,2,4,2,12,6,26,4,30,26,0,
