DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Markieff Morris,WAS,MIA,F,27:06,0.166,0.17,0.375,0.111,0.2,0.25,0.167,0.0,0.0,0.333,0.234,9,0.444,2,3,0.667,1,1.0,4,3,0,0,1,3,11,-28,20.25,0,0,0,,0,0.0,82.5,133.0,-50.5,0.2,0.08,0.556,100.39,0.667,0.333,0.364,0.545,0.0,0.182,0.75,0.25,0.745,0.213,0.142,0.176,0,0,0,2,8,0,15,38,0,2,
2016-10-06,Markieff Morris,WAS,PHI,F,21:52,0.314,0.31,0.375,0.333,0.125,0.444,0.333,0.25,0.0,0.375,0.308,13,0.385,0,3,0.0,2,1.0,2,4,1,0,2,3,12,-9,20.5,0,0,0,,0,0.0,87.4,106.5,-19.1,0.333,0.059,0.385,98.47,0.769,0.231,0.833,0.0,0.167,0.333,0.6,0.4,0.632,0.206,0.2,0.091,2,0,0,4,9,1,6,22,1,1,NBA TV
2016-10-15,Markieff Morris,WAS,SAC,F,15:08,0.274,0.267,0.2,0.333,0.364,0.125,0.286,0.143,0.0,0.4,0.222,8,0.375,0,2,0.0,2,1.0,4,1,1,0,2,4,8,-3,15.25,0,0,0,,0,0.0,101.0,115.7,-14.6,0.091,0.16,0.375,110.0,0.75,0.25,0.75,0.0,0.5,0.75,0.333,0.667,0.63,0.565,0.237,0.3,4,2,0,6,9,2,7,22,2,1,
2016-10-18,Markieff Morris,WAS,CLE,F,22:35,0.218,0.256,0.1,0.0,0.227,0.1,0.2,0.2,0.0,0.222,0.125,11,0.273,0,1,0.0,0,0.0,5,1,1,0,1,2,6,7,15.0,0,0,0,,0,0.0,92.2,78.6,13.6,0.067,0.106,0.273,110.74,0.909,0.091,1.0,0.0,0.667,0.333,0.333,0.667,0.423,0.359,0.211,0.174,4,0,0,2,2,4,9,18,4,3,
2016-10-21,Markieff Morris,WAS,TOR,F,30:26,0.175,0.182,0.167,0.0,0.176,0.115,0.167,0.25,0.429,0.231,0.216,10,0.8,3,3,1.0,0,0.0,6,3,1,3,2,3,19,37,38.75,0,0,0,,0,0.0,138.0,82.6,55.4,0.103,0.115,0.95,98.95,0.7,0.3,0.526,0.474,0.263,0.211,0.625,0.375,0.36,0.228,0.113,0.216,5,2,0,4,11,7,4,26,7,0,
2015-10-28,Markieff Morris,PHX,DAL,F,11:13,0.226,0.261,0.0,0.2,0.083,0.0,0.0,1.0,0.0,0.5,0.2,6,0.167,0,0,0.0,2,1.0,1,0,1,0,0,5,4,-11,7.25,1,21,14,0.0,6,0.167,75.8,126.4,-50.7,0.0,0.037,0.167,108.95,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.591,0.364,0.041,0.2,0,0,2,0,2,4,7,10,4,1,
2015-10-30,Markieff Morris,PHX,POR,F,34:21,0.222,0.266,0.231,0.0,0.211,0.154,0.25,0.091,0.5,0.273,0.155,17,0.353,1,3,0.333,0,0.0,8,2,1,2,3,3,13,18,30.5,16,63,42,0.0476,7,0.429,106.2,87.0,19.2,0.091,0.118,0.382,108.24,0.824,0.176,0.769,0.231,0.0,0.462,0.333,0.667,0.475,0.186,0.264,0.229,0,0,4,6,17,12,10,32,12,1,
2015-10-31,Markieff Morris,PHX,POR,F,22:47,0.382,0.395,0.4,0.0,0.375,0.083,0.6,0.143,0.25,0.357,0.238,17,0.353,3,6,0.5,0,0.0,9,1,1,1,3,5,15,25,31.5,11,59,40,0.025,11,0.273,138.8,84.8,53.9,0.056,0.237,0.441,95.0,0.647,0.353,0.4,0.6,0.267,0.4,0.667,0.333,0.419,0.645,0.179,0.15,4,0,2,6,6,3,8,6,3,0,
2015-11-02,Markieff Morris,PHX,LAC,F,36:24,0.296,0.301,0.381,0.294,0.19,0.118,0.25,0.0,0.0,0.167,0.26,22,0.318,2,8,0.25,5,0.6,8,2,0,0,2,2,19,-5,31.5,12,70,41,0.0488,8,0.5,94.2,102.4,-8.2,0.095,0.103,0.364,101.32,0.636,0.364,0.526,0.316,0.0,0.421,0.714,0.286,0.516,0.219,0.118,0.088,0,0,5,8,9,4,9,24,4,4,
2015-11-04,Markieff Morris,PHX,SAC,F,24:46,0.169,0.195,0.1,0.25,0.158,0.231,0.0,0.0,0.333,0.0,0.19,8,0.5,0,1,0.0,3,1.0,3,3,0,1,0,0,11,12,20.5,6,45,36,0.0833,3,0.333,113.1,91.9,21.3,0.176,0.079,0.5,98.22,0.875,0.125,0.727,0.0,0.364,0.545,1.0,0.0,0.489,0.159,0.18,0.286,4,0,2,6,5,6,11,26,6,3,
2015-11-06,Markieff Morris,PHX,DET,F,30:26,0.346,0.356,0.222,0.182,0.143,0.2,0.375,0.167,0.0,0.211,0.261,21,0.429,0,4,0.0,2,0.0,4,2,1,0,3,4,18,8,26.0,7,53,28,0.0714,13,0.462,103.2,98.4,4.8,0.105,0.068,0.429,101.6,0.81,0.19,1.0,0.0,0.111,0.778,0.444,0.556,0.556,0.556,0.177,0.179,2,0,4,14,5,4,3,28,4,5,
2015-11-08,Markieff Morris,PHX,OKC,F,33:37,0.304,0.333,0.091,0.353,0.208,0.0,0.176,0.25,0.0,0.235,0.302,20,0.35,0,1,0.0,6,0.833,5,0,1,0,3,4,19,-29,25.75,15,76,48,0.0,17,0.353,79.3,122.3,-43.0,0.0,0.079,0.35,110.46,0.95,0.05,0.737,0.0,0.105,0.526,0.286,0.714,0.582,0.313,0.133,0.367,2,2,2,10,22,18,19,50,18,5,
2015-11-12,Markieff Morris,PHX,LAC,F,6:26,0.216,0.3,0.333,0.0,0.333,0.0,0.0,0.333,0.0,1.0,0.294,3,0.667,1,1,1.0,0,0.0,2,0,1,0,0,1,5,7,10.0,2,11,8,0.0,1,1.0,122.5,64.8,57.7,0.0,0.182,0.833,109.38,0.667,0.333,0.4,0.6,0.0,0.4,1.0,0.0,0.346,0.077,0.194,0.143,0,0,0,2,2,2,3,4,2,0,TNT
2015-11-18,Markieff Morris,PHX,CHI,F,28:42,0.183,0.164,0.143,0.0,0.2,0.125,0.429,0.429,0.0,0.286,0.107,9,0.333,0,2,0.0,0,0.0,5,1,3,0,3,2,6,-11,18.0,10,35,24,0.0417,3,0.0,100.9,119.2,-18.4,0.05,0.104,0.333,93.42,0.778,0.222,1.0,0.0,0.0,0.333,0.667,0.333,0.67,0.106,0.196,0.211,0,0,0,2,5,2,5,26,2,0,ESPN
2015-11-20,Markieff Morris,PHX,DEN,F,20:46,0.308,0.294,0.0,0.375,0.333,0.286,0.333,0.0,0.5,0.091,0.209,10,0.4,0,0,0.0,3,0.333,5,2,0,1,3,1,9,-4,18.25,7,37,23,0.087,5,0.6,101.1,108.6,-7.5,0.154,0.152,0.4,99.16,1.0,0.0,0.889,0.0,0.0,0.667,0.25,0.75,0.5,0.324,0.185,0.389,0,0,2,6,8,2,9,18,2,2,
2015-11-22,Markieff Morris,PHX,NOP,F,35:52,0.204,0.208,0.143,0.313,0.267,0.273,0.1,0.25,0.5,0.227,0.218,15,0.4,1,4,0.25,5,0.8,8,3,1,1,1,5,17,-8,34.75,16,69,51,0.0588,8,0.625,95.1,112.0,-17.0,0.143,0.116,0.433,106.28,0.733,0.267,0.588,0.176,0.118,0.235,0.5,0.5,0.508,0.492,0.143,0.207,2,0,1,4,16,10,16,30,10,5,
2015-11-23,Markieff Morris,PHX,SAS,F,34:11,0.284,0.278,0.214,0.222,0.286,0.222,0.316,0.1,0.0,0.25,0.412,15,0.8,2,3,0.667,2,1.0,8,4,1,0,6,3,28,-5,43.0,13,55,34,0.1176,9,0.889,98.6,102.1,-3.5,0.267,0.157,0.867,98.64,0.8,0.2,0.714,0.214,0.214,0.429,0.667,0.333,0.586,0.138,0.21,0.2,6,3,2,12,17,11,13,34,11,4,
2015-11-25,Markieff Morris,PHX,NOP,F,30:05,0.152,0.196,0.2,0.0,0.286,0.214,0.0,0.0,0.333,0.133,0.125,11,0.364,0,3,0.0,0,0.0,8,3,0,1,0,2,8,-7,23.75,13,55,41,0.0732,5,0.4,99.1,107.7,-8.6,0.15,0.145,0.364,104.1,0.727,0.273,1.0,0.0,0.25,0.75,0.5,0.5,0.602,0.367,0.182,0.13,2,2,2,6,9,2,6,26,2,1,
2015-11-27,Markieff Morris,PHX,GSW,F,17:07,0.398,0.344,0.182,1.0,0.273,0.125,0.571,0.25,0.0,0.2,0.367,11,0.364,2,2,1.0,2,0.5,3,1,1,0,4,2,11,-20,17.0,7,33,18,0.0556,6,0.333,81.3,133.3,-51.9,0.125,0.103,0.455,104.32,0.818,0.182,0.364,0.545,0.091,0.182,1.0,0.0,0.759,0.276,0.213,0.273,1,1,0,2,7,9,10,18,9,1,NBA TV
2015-11-29,Markieff Morris,PHX,TOR,F,22:39,0.251,0.261,0.286,0.067,0.276,0.25,0.4,0.0,0.0,0.4,0.149,12,0.25,0,2,0.0,1,1.0,8,2,0,0,2,4,7,5,18.5,12,47,33,0.0606,5,0.4,92.9,90.1,2.8,0.143,0.154,0.25,103.0,0.833,0.167,0.857,0.0,0.429,0.571,0.667,0.333,0.403,0.417,0.15,0.12,3,0,2,4,0,0,6,8,0,1,
2015-12-01,Markieff Morris,PHX,BKN,F,28:05,0.244,0.268,0.167,0.0,0.045,0.25,0.273,0.0,0.0,0.75,0.113,11,0.273,0,2,0.0,0,0.0,1,3,0,0,3,3,6,2,9.5,7,43,29,0.1034,5,0.2,95.9,84.7,11.2,0.188,0.023,0.273,98.69,0.818,0.182,1.0,0.0,0.667,0.667,1.0,0.0,0.49,0.102,0.199,0.13,4,0,0,4,17,4,10,26,4,0,
2015-12-04,Markieff Morris,PHX,WAS,,27:42,0.211,0.208,0.1,0.154,0.25,0.071,0.25,0.0,1.0,0.267,0.159,10,0.4,0,1,0.0,2,1.0,4,1,0,1,3,4,10,-8,16.75,8,39,25,0.04,4,0.25,102.1,113.9,-11.8,0.048,0.108,0.4,107.51,0.9,0.1,0.8,0.0,0.2,0.0,0.75,0.25,0.713,0.475,0.273,0.2,2,0,0,0,16,7,6,36,7,1,
2015-12-07,Markieff Morris,PHX,CHI,,7:03,0.2,0.154,0.0,0.0,0.375,0.0,0.5,0.0,0.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,3,0,0,0,1,1,0,-1,3.25,6,20,16,0.0,2,0.0,107.7,109.0,-1.3,0.0,0.214,0.0,91.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.0,0.25,0,0,0,0,2,2,0,6,2,1,
2015-12-18,Markieff Morris,PHX,NOP,,16:41,0.371,0.361,0.286,0.5,0.118,0.222,0.4,0.25,0.0,0.333,0.333,13,0.385,2,2,1.0,2,0.5,2,2,1,0,2,4,13,12,20.0,4,38,21,0.0952,5,0.2,106.1,78.0,28.1,0.167,0.065,0.462,102.66,0.846,0.154,0.462,0.462,0.0,0.154,1.0,0.0,0.386,0.682,0.26,0.214,0,0,4,2,0,2,5,4,2,2,ESPN
2015-12-20,Markieff Morris,PHX,MIL,,15:19,0.324,0.217,0.167,0.333,0.273,0.571,0.625,0.333,0.0,0.2,0.242,5,0.4,1,1,1.0,3,1.0,3,4,1,0,5,1,8,-3,16.75,6,33,22,0.1818,3,0.333,97.2,106.3,-9.1,0.5,0.115,0.5,106.3,0.8,0.2,0.25,0.375,0.0,0.25,1.0,0.0,0.515,0.061,0.118,0.286,0,0,0,2,2,8,4,20,8,2,
2015-12-21,Markieff Morris,PHX,UTA,,20:59,0.194,0.206,0.222,0.0,0.261,0.571,0.25,0.0,0.0,0.25,0.091,7,0.286,0,2,0.0,0,0.0,6,4,0,0,2,3,4,10,15.5,9,40,31,0.129,4,0.5,106.3,91.2,15.1,0.286,0.143,0.286,89.99,0.714,0.286,1.0,0.0,0.0,1.0,0.5,0.5,0.389,0.333,0.08,0.28,0,2,0,4,7,5,2,18,5,1,
2015-12-23,Markieff Morris,PHX,DEN,,12:17,0.363,0.421,0.333,0.0,0.111,0.0,0.25,0.5,0.0,0.0,0.353,8,0.25,2,2,1.0,0,0.0,1,0,1,0,1,0,6,-13,9.75,3,23,13,0.0,2,0.0,71.5,130.4,-58.9,0.0,0.04,0.375,91.36,0.75,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,0.087,0.333,0,0,0,0,4,5,3,10,5,0,
2015-12-30,Markieff Morris,PHX,SAS,,20:08,0.19,0.138,0.111,0.2,0.25,0.5,0.375,0.0,0.0,0.5,0.121,4,0.5,0,1,0.0,2,0.0,3,5,0,0,3,4,4,-16,12.5,6,37,28,0.1786,3,0.667,79.7,122.4,-42.7,0.417,0.107,0.5,97.06,0.75,0.25,1.0,0.0,0.0,1.0,0.5,0.5,0.613,0.516,0.075,0.077,0,2,0,4,12,3,6,12,3,1,
2016-01-08,Markieff Morris,PHX,MIA,,6:17,0.288,0.3,0.0,0.0,0.5,0.0,0.333,0.0,0.0,0.75,0.182,3,0.333,0,0,0.0,0,0.0,1,0,0,0,1,3,2,-3,2.75,1,12,7,0.0,3,0.333,85.4,130.1,-44.7,0.0,0.167,0.333,90.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.714,0.571,0.186,0.0,0,0,0,2,4,0,6,8,0,0,
2016-01-12,Markieff Morris,PHX,IND,,26:40,0.373,0.383,0.25,0.273,0.409,0.063,0.375,0.25,0.0,0.308,0.308,18,0.389,0,4,0.0,3,0.667,9,1,1,0,3,4,16,-10,29.0,14,58,34,0.0294,11,0.455,94.8,114.7,-19.9,0.077,0.187,0.389,97.99,0.778,0.222,0.875,0.0,0.188,0.5,0.714,0.286,0.533,0.348,0.13,0.261,3,3,2,8,8,8,10,22,8,4,
2016-01-15,Markieff Morris,PHX,BOS,F,21:49,0.24,0.227,0.0,0.556,0.391,0.444,0.143,0.333,0.0,0.125,0.25,10,0.2,0,0,0.0,5,1.0,9,4,1,0,1,1,9,-26,26.75,15,45,32,0.125,6,0.167,73.5,129.3,-55.7,0.333,0.164,0.2,106.62,1.0,0.0,0.444,0.0,0.0,0.222,1.0,0.0,0.57,0.18,0.083,0.37,0,0,0,2,4,6,6,22,6,3,
