DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Marquese Chriss,PHX,SAS,,25:00,0.229,0.194,0.0,0.211,0.148,0.0,0.3,0.286,0.143,0.071,0.233,7,0.429,0,0,0.0,4,1.0,4,0,2,1,6,1,10,-5,18.0,0,0,0,,0,0.0,73.7,80.1,-6.4,0.0,0.08,0.429,113.59,1.0,0.0,0.6,0.0,0.4,0.4,1.0,0.0,0.436,0.191,0.267,0.25,4,4,2,4,21,6,8,20,6,5,
2016-10-05,Marquese Chriss,PHX,UTA,F,23:48,0.301,0.3,0.083,0.25,0.308,0.083,0.333,0.25,0.0,0.4,0.212,15,0.267,0,1,0.0,3,1.0,8,1,1,0,3,6,11,3,22.75,0,0,0,,0,0.0,99.5,97.5,1.9,0.067,0.174,0.267,103.38,0.933,0.067,0.727,0.0,0.182,0.727,1.0,0.0,0.544,0.618,0.219,0.222,2,0,2,8,8,5,6,22,5,2,NBA TV
2016-10-07,Marquese Chriss,PHX,POR,,25:09,0.238,0.241,0.091,0.3,0.296,0.0,0.0,0.2,0.5,0.267,0.291,13,0.538,0,1,0.0,6,0.333,8,0,1,1,0,4,16,-8,30.0,0,0,0,,0,0.0,95.2,112.3,-17.1,0.0,0.129,0.538,108.71,0.923,0.077,0.875,0.0,0.063,0.75,0.571,0.429,0.447,0.489,0.107,0.269,1,2,4,12,5,3,5,26,3,5,
2016-10-12,Marquese Chriss,PHX,UTA,,27:26,0.193,0.233,0.125,0.125,0.227,0.125,0.111,0.2,0.0,0.316,0.255,10,0.6,0,1,0.0,4,0.5,5,1,1,0,1,6,14,-14,23.0,0,0,0,,0,0.0,90.0,115.5,-25.4,0.1,0.106,0.6,105.72,0.9,0.1,0.857,0.0,0.286,0.857,0.667,0.333,0.534,0.659,0.151,0.261,4,0,1,12,18,7,11,22,7,4,NBA TV
2016-10-14,Marquese Chriss,PHX,DAL,C,33:51,0.193,0.237,0.185,0.0,0.214,0.063,0.091,0.222,0.8,0.167,0.221,14,0.5,3,5,0.6,0,0.0,6,1,2,4,1,3,17,0,38.75,0,0,0,,0,0.0,102.8,102.8,0.0,0.056,0.088,0.607,106.24,0.643,0.357,0.471,0.529,0.118,0.353,0.714,0.286,0.477,0.277,0.187,0.324,2,2,0,6,15,13,12,24,13,2,
2016-10-21,Marquese Chriss,PHX,LAL,,16:57,0.12,0.088,0.0,0.182,0.111,0.2,0.2,0.6,0.0,0.556,0.147,3,0.667,0,0,0.0,2,0.5,2,1,3,0,2,5,5,-5,13.75,0,0,0,,0,0.0,77.6,89.0,-11.4,0.091,0.056,0.667,124.15,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.5,0.344,0.228,0.188,2,0,0,4,7,7,10,16,7,2,
2016-10-26,Marquese Chriss,PHX,SAC,,22:12,0.225,0.2,0.0,0.154,0.211,0.222,0.333,0.0,0.5,0.25,0.146,7,0.429,0,0,0.0,2,0.5,4,2,0,1,4,3,7,-10,14.5,7,40,26,0.0769,4,0.5,102.7,123.5,-20.8,0.143,0.114,0.429,101.28,1.0,0.0,0.857,0.0,0.0,0.571,0.333,0.667,0.616,0.209,0.128,0.316,0,0,2,4,16,4,10,24,4,1,
2016-10-28,Marquese Chriss,PHX,OKC,,10:53,0.254,0.263,0.4,0.286,0.444,0.0,0.2,0.5,0.5,0.5,0.333,5,0.6,0,2,0.0,2,0.5,4,0,1,1,1,3,7,-8,15.5,7,21,13,0.0,3,1.0,83.7,113.6,-29.9,0.0,0.182,0.6,111.52,0.6,0.4,0.857,0.0,0.0,0.857,0.333,0.667,0.571,0.381,0.196,0.364,0,2,2,6,4,8,6,14,8,1,
2016-10-30,Marquese Chriss,PHX,GSW,,13:52,0.215,0.25,0.143,0.0,0.308,0.0,0.2,0.667,0.0,0.333,0.25,6,0.5,1,1,1.0,0,0.0,4,0,2,0,1,3,7,1,16.0,4,31,23,0.0,5,0.4,91.7,89.2,2.6,0.0,0.174,0.583,105.23,0.833,0.167,0.571,0.429,0.0,0.571,0.667,0.333,0.452,0.571,0.198,0.154,0,0,0,4,4,3,2,8,3,1,
2016-10-31,Marquese Chriss,PHX,LAC,,17:33,0.223,0.143,0.167,0.5,0.143,0.091,0.3,0.143,0.0,0.5,0.231,4,0.5,0,1,0.0,6,0.833,2,1,1,0,3,4,9,5,13.25,3,28,17,0.0588,2,0.5,92.2,85.1,7.2,0.083,0.077,0.5,112.46,0.75,0.25,0.444,0.0,0.667,0.222,1.0,0.0,0.45,0.3,0.2,0.133,6,6,0,2,4,4,1,18,4,4,
