DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Marvin Williams,CHA,DAL,F,23:20,0.191,0.286,0.364,0.0,0.208,0.143,0.0,0.0,0.5,0.111,0.211,10,0.4,0,4,0.0,0,0.0,5,1,0,1,0,1,8,-10,17.5,0,0,0,,0,0.0,82.2,104.6,-22.4,0.143,0.111,0.4,94.75,0.6,0.4,1.0,0.0,0.25,0.75,0.75,0.25,0.5,0.043,0.065,0.182,2,0,2,6,7,3,7,8,3,1,
2016-10-06,Marvin Williams,CHA,BOS,F,23:05,0.167,0.2,0.267,0.0,0.278,0.222,0.0,0.25,0.0,0.2,0.25,9,0.444,1,4,0.25,0,0.0,5,2,1,0,0,2,9,-23,20.25,0,0,0,,0,0.0,70.9,113.5,-42.6,0.182,0.109,0.5,106.8,0.556,0.444,0.667,0.333,0.222,0.667,1.0,0.0,0.616,0.209,0.173,0.211,2,0,2,6,14,18,6,18,18,0,
2016-10-10,Marvin Williams,CHA,MIN,F,24:23,0.252,0.163,0.316,0.9,0.241,0.111,0.375,0.5,0.0,0.167,0.22,7,0.143,0,6,0.0,9,1.0,7,1,1,0,3,1,11,1,21.5,0,0,0,,0,0.0,95.4,91.6,3.9,0.063,0.132,0.143,104.25,0.143,0.857,0.182,0.0,0.182,0.182,1.0,0.0,0.439,0.163,0.112,0.161,2,2,0,2,10,2,4,16,2,6,
2016-10-17,Marvin Williams,CHA,CHI,F,14:00,0.202,0.1,0.5,0.3,0.083,0.0,0.5,0.0,0.0,0.143,0.25,2,0.5,1,2,0.5,6,1.0,1,0,0,0,2,1,9,1,9.75,0,0,0,,0,0.0,129.5,112.6,16.9,0.0,0.048,0.75,100.94,0.0,1.0,0.0,0.333,0.333,0.0,1.0,0.0,0.58,0.28,0.129,0.125,3,0,0,0,4,2,6,18,2,4,NBA TV
2015-10-28,Marvin Williams,CHA,MIA,F,37:52,0.145,0.156,0.294,0.074,0.294,0.214,0.167,0.0,0.0,0.067,0.122,10,0.4,0,5,0.0,2,1.0,10,3,0,0,1,1,10,4,25.75,14,64,51,0.0588,5,0.4,108.1,103.7,4.4,0.125,0.156,0.4,95.78,0.5,0.5,0.8,0.0,0.2,0.6,0.5,0.5,0.518,0.375,0.146,0.034,2,2,6,6,9,3,12,28,3,1,
2015-10-30,Marvin Williams,CHA,ATL,F,35:36,0.148,0.157,0.208,0.0,0.279,0.188,0.143,0.0,0.333,0.154,0.178,11,0.455,3,5,0.6,0,0.0,12,3,0,1,2,2,13,6,34.25,17,73,58,0.0517,4,0.75,96.1,93.7,2.4,0.13,0.152,0.591,99.4,0.545,0.455,0.308,0.692,0.0,0.308,0.6,0.4,0.466,0.288,0.168,0.184,0,0,4,4,16,4,10,26,4,0,
2015-11-01,Marvin Williams,CHA,ATL,F,32:58,0.166,0.172,0.276,0.0,0.152,0.048,0.2,0.0,0.273,0.0,0.217,10,0.5,5,8,0.625,0,0.0,5,1,0,3,2,0,15,4,30.0,11,63,50,0.02,4,0.25,103.9,99.6,4.3,0.056,0.079,0.75,95.87,0.2,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.443,0.197,0.077,0.182,0,0,6,0,11,6,12,28,6,0,
2015-11-03,Marvin Williams,CHA,CHI,F,25:02,0.109,0.125,0.182,0.0,0.345,0.176,0.0,0.0,0.0,0.0,0.058,6,0.333,0,2,0.0,0,0.0,10,3,0,0,0,0,4,22,20.25,11,43,37,0.0811,3,0.667,140.9,92.4,48.6,0.12,0.222,0.333,95.72,0.667,0.333,1.0,0.0,0.0,1.0,0.0,1.0,0.522,0.044,0.138,0.08,0,0,2,4,2,0,5,18,0,1,
2015-11-05,Marvin Williams,CHA,DAL,F,32:09,0.183,0.183,0.263,0.333,0.353,0.143,0.111,0.0,0.25,0.167,0.215,11,0.545,3,5,0.6,3,0.667,12,2,0,1,1,3,17,16,37.5,17,58,44,0.0455,4,0.5,118.0,96.0,21.9,0.074,0.197,0.682,98.96,0.545,0.455,0.353,0.529,0.0,0.118,0.5,0.5,0.439,0.263,0.137,0.2,0,0,0,2,12,3,2,26,3,1,
2015-11-07,Marvin Williams,CHA,SAS,F,26:55,0.13,0.163,0.222,0.0,0.211,0.0,0.0,0.2,0.0,0.077,0.148,7,0.571,1,2,0.5,0,0.0,4,0,1,0,0,1,9,7,16.5,7,36,28,0.0,4,0.5,117.7,106.5,11.2,0.0,0.1,0.643,91.45,0.714,0.286,0.667,0.333,0.0,0.444,1.0,0.0,0.561,0.317,0.158,0.19,0,3,0,4,7,7,2,20,7,0,
2015-11-10,Marvin Williams,CHA,MIN,F,35:25,0.114,0.105,0.211,0.125,0.37,0.0,0.143,0.333,0.5,0.235,0.096,6,0.333,1,4,0.25,2,1.0,10,0,2,2,2,4,7,3,27.0,12,62,55,0.0,2,0.5,97.3,93.7,3.6,0.0,0.164,0.417,101.48,0.333,0.667,0.286,0.429,0.571,0.286,0.5,0.5,0.5,0.213,0.187,0.2,4,2,0,2,13,12,15,28,12,2,
2015-11-11,Marvin Williams,CHA,NYK,F,29:01,0.118,0.12,0.214,0.25,0.125,0.091,0.0,0.167,0.75,0.143,0.16,6,0.5,1,3,0.333,2,0.5,2,1,1,3,0,1,8,-10,20.25,8,43,36,0.0278,3,0.667,91.7,109.6,-17.9,0.056,0.04,0.583,90.4,0.5,0.5,0.5,0.375,0.125,0.5,1.0,0.0,0.528,0.074,0.183,0.478,1,1,0,4,4,8,6,16,8,1,
2015-11-13,Marvin Williams,CHA,CHI,F,34:55,0.155,0.155,0.273,0.143,0.143,0.118,0.167,0.167,1.0,0.188,0.192,11,0.455,3,6,0.5,1,1.0,5,2,1,1,1,3,14,-8,27.75,9,67,53,0.0377,4,0.5,102.7,112.3,-9.6,0.087,0.069,0.591,98.42,0.455,0.545,0.286,0.643,0.214,0.286,0.8,0.2,0.534,0.397,0.097,0.103,3,0,3,4,9,5,11,26,5,2,
2015-11-15,Marvin Williams,CHA,POR,F,34:28,0.137,0.138,0.158,0.167,0.296,0.095,0.111,0.167,0.25,0.2,0.099,8,0.375,0,3,0.0,2,0.5,8,2,1,2,1,2,7,9,25.0,15,65,52,0.0385,3,0.333,105.5,92.8,12.8,0.077,0.131,0.375,93.39,0.625,0.375,0.857,0.0,0.143,0.286,0.667,0.333,0.394,0.167,0.165,0.405,1,1,2,2,7,15,7,30,15,3,
