DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Mason Plumlee,POR,UTA,C,16:53,0.084,0.071,0.0,0.0,0.5,0.286,0.2,0.6,0.5,0.25,0.138,2,1.0,0,0,0.0,0,0.0,6,2,3,2,1,1,4,1,23.5,0,0,0,,0,0.0,83.7,82.2,1.6,0.2,0.171,1.0,97.69,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.379,0.241,0.264,0.389,2,2,0,4,4,2,2,6,2,0,NBA TV
2016-10-07,Mason Plumlee,POR,PHX,C,24:22,0.22,0.178,0.0,0.421,0.167,0.667,0.25,0.0,0.333,0.455,0.155,8,0.25,0,0,0.0,8,0.625,4,6,0,1,2,5,9,0,22.5,0,0,0,,0,0.0,104.8,101.8,2.9,0.353,0.087,0.25,110.63,1.0,0.0,0.444,0.0,0.222,0.222,0.0,1.0,0.576,0.196,0.176,0.143,2,0,2,2,8,6,10,30,6,6,
2016-10-11,Mason Plumlee,POR,LAL,C,20:55,0.222,0.1,0.0,0.667,0.44,0.1,0.455,0.5,0.0,0.429,0.244,4,0.75,0,0,0.0,8,0.625,11,1,2,0,5,3,11,4,27.5,0,0,0,,0,0.0,97.2,93.7,3.5,0.077,0.256,0.75,103.31,1.0,0.0,0.545,0.0,0.273,0.545,0.333,0.667,0.475,0.1,0.16,0.25,3,0,4,6,17,4,6,26,4,4,NBA TV
2016-10-13,Mason Plumlee,POR,LAC,C,11:10,0.147,0.1,0.0,0.0,0.167,0.333,0.4,0.667,0.0,0.5,0.143,2,1.0,0,0,0.0,0,0.0,2,2,2,0,2,6,4,4,12.0,0,0,0,,0,0.0,111.1,91.3,19.8,0.25,0.087,1.0,110.64,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.425,0.6,0.152,0.231,2,0,0,2,7,3,3,8,3,2,TNT
2016-10-16,Mason Plumlee,POR,DEN,C,19:52,0.224,0.189,0.0,0.5,0.333,0.333,0.333,0.0,1.0,0.455,0.238,7,0.571,0,0,0.0,4,0.5,6,4,0,1,1,5,10,-7,24.0,0,0,0,,0,0.0,103.7,126.5,-22.9,0.364,0.15,0.571,95.73,1.0,0.0,0.8,0.0,0.0,0.8,0.75,0.25,0.606,0.394,0.103,0.211,0,2,0,8,2,6,2,18,6,2,NBA TV
2016-10-19,Mason Plumlee,POR,UTA,C,24:14,0.18,0.171,0.0,0.0,0.435,0.467,0.25,0.5,0.0,0.2,0.14,7,0.571,0,0,0.0,0,0.0,10,7,1,0,2,2,8,15,30.25,0,0,0,,0,0.0,127.0,96.8,30.2,0.35,0.27,0.571,87.43,1.0,0.0,1.0,0.0,0.0,0.5,0.75,0.25,0.486,0.27,0.092,0.1,0,0,2,4,10,0,3,20,0,1,
2016-10-21,Mason Plumlee,POR,GSW,C,21:26,0.199,0.229,0.0,0.0,0.286,0.231,0.0,0.0,0.0,0.444,0.178,11,0.364,0,0,0.0,0,0.0,6,3,0,0,0,4,8,-10,19.25,0,0,0,,0,0.0,86.2,113.6,-27.4,0.214,0.125,0.364,112.65,1.0,0.0,1.0,0.0,0.0,0.75,0.75,0.25,0.577,0.256,0.165,0.143,0,0,2,6,3,5,22,12,5,3,NBA TV
2015-10-28,Mason Plumlee,POR,NOP,C,18:53,0.133,0.118,0.0,0.429,0.375,0.5,0.0,0.0,0.0,0.5,0.152,4,0.75,0,0,0.0,3,0.333,6,6,0,0,0,4,7,0,22.0,10,32,26,0.2308,4,0.75,117.7,112.9,4.9,0.429,0.188,0.75,101.47,1.0,0.0,0.857,0.0,0.0,0.857,0.333,0.667,0.579,0.105,0.074,0.118,0,0,2,6,2,4,3,16,4,4,
2015-10-30,Mason Plumlee,POR,PHX,C,25:36,0.238,0.289,0.0,0.2,0.227,0.091,0.077,0.6,0.0,0.19,0.288,13,0.538,0,0,0.0,2,0.5,5,1,3,0,1,4,15,-15,28.0,19,42,27,0.037,8,0.375,90.6,112.9,-22.4,0.083,0.096,0.538,109.4,1.0,0.0,0.933,0.0,0.467,0.8,0.714,0.286,0.478,0.609,0.152,0.32,7,2,5,12,23,11,14,32,11,3,
2015-10-31,Mason Plumlee,POR,PHX,C,26:49,0.146,0.093,0.0,0.25,0.318,0.167,0.3,0.0,0.667,0.231,0.14,4,1.0,0,0,0.0,4,0.0,7,2,0,2,3,3,8,-4,21.75,14,42,31,0.0645,2,1.0,101.7,104.9,-3.2,0.125,0.146,1.0,102.21,1.0,0.0,1.0,0.0,0.25,0.75,1.0,0.0,0.49,0.269,0.12,0.28,2,0,0,6,11,8,4,22,8,3,
