DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Matt Barnes,SAC,GSW,,20:45,0.269,0.293,0.417,0.25,0.421,0.444,0.143,0.4,0.0,0.231,0.3,12,0.333,3,5,0.6,2,0.5,8,4,4,0,1,3,12,0,36.0,0,0,0,,0,0.0,89.8,92.0,-2.1,0.364,0.205,0.458,101.78,0.583,0.417,0.167,0.75,0.417,0.0,0.75,0.25,0.609,0.739,0.322,0.077,5,3,0,0,15,0,20,8,0,1,
2015-10-28,Matt Barnes,MEM,CLE,,17:30,0.135,0.129,0.333,0.0,0.133,0.333,0.222,0.0,0.0,0.154,0.0,4,0.0,0,3,0.0,0,0.0,2,1,0,0,2,2,0,-28,2.75,2,34,28,0.0357,0,0.0,53.5,120.8,-67.4,0.167,0.051,0.0,105.76,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.606,0.394,0.176,0.429,0,0,0,0,16,7,13,28,7,1,
2015-10-29,Matt Barnes,MEM,IND,,21:08,0.168,0.226,0.667,0.125,0.231,0.1,0.0,0.429,0.0,0.154,0.196,7,0.429,3,6,0.5,2,0.5,3,1,3,0,0,2,10,-5,22.5,8,30,23,0.0435,3,0.0,115.8,122.5,-6.7,0.071,0.125,0.643,101.94,0.143,0.857,0.0,0.9,0.0,0.0,1.0,0.0,0.766,0.406,0.219,0.167,0,0,1,0,10,4,7,12,4,1,
2015-10-31,Matt Barnes,MEM,BKN,,15:41,0.226,0.276,0.444,0.0,0.067,0.0,0.0,1.0,0.0,0.571,0.133,8,0.25,0,4,0.0,0,0.0,1,0,1,0,0,4,4,5,7.25,2,20,12,0.0,2,0.0,102.0,90.8,11.2,0.0,0.031,0.25,87.12,0.5,0.5,1.0,0.0,0.5,1.0,0.0,1.0,0.38,0.32,0.109,0.308,2,2,2,4,2,2,0,10,2,0,
2015-11-02,Matt Barnes,MEM,GSW,,26:20,0.224,0.24,0.429,0.0,0.24,0.091,0.25,0.5,0.5,0.333,0.243,12,0.333,1,6,0.167,0,0.0,6,1,1,3,2,4,9,-36,25.25,13,36,19,0.0526,5,0.6,63.4,128.3,-64.9,0.1,0.102,0.375,105.13,0.5,0.5,0.667,0.333,0.0,0.667,0.75,0.25,0.57,0.36,0.07,0.192,0,3,2,6,9,5,23,26,5,0,NBA TV
2015-11-03,Matt Barnes,MEM,SAC,,23:36,0.196,0.214,0.357,0.417,0.103,0.25,0.0,0.333,0.667,0.263,0.149,9,0.111,0,5,0.0,5,1.0,3,2,1,2,0,5,7,9,19.25,7,40,28,0.0714,4,0.0,95.4,79.7,15.7,0.118,0.067,0.111,98.6,0.444,0.556,0.286,0.0,0.0,0.286,1.0,0.0,0.357,0.629,0.147,0.16,0,0,0,2,14,2,6,10,2,3,
2015-11-05,Matt Barnes,MEM,POR,,24:29,0.128,0.158,0.308,0.0,0.294,0.25,0.0,0.0,0.333,0.333,0.106,6,0.333,1,4,0.25,0,0.0,5,3,0,1,0,3,5,-13,17.5,9,42,36,0.0833,1,1.0,104.5,138.2,-33.7,0.176,0.119,0.417,86.62,0.333,0.667,0.4,0.6,0.0,0.4,0.5,0.5,0.628,0.233,0.092,0.348,0,0,2,2,4,10,0,18,10,0,TNT
2015-11-07,Matt Barnes,MEM,UTA,,20:52,0.188,0.158,0.444,0.6,0.15,0.0,0.25,0.25,0.0,0.3,0.344,6,0.5,2,4,0.5,3,1.0,3,0,1,0,1,3,11,-2,17.25,9,29,20,0.0,4,0.5,86.0,88.3,-2.2,0.0,0.071,0.667,87.09,0.333,0.667,0.182,0.545,0.273,0.182,1.0,0.0,0.45,0.267,0.26,0.278,3,8,0,2,4,2,2,12,2,4,NBA TV
2015-11-09,Matt Barnes,MEM,LAC,,26:17,0.183,0.205,0.5,0.143,0.25,0.1,0.125,0.667,1.0,0.182,0.2,8,0.25,1,3,0.333,3,1.0,6,1,2,2,1,4,8,-18,24.75,10,36,25,0.04,4,0.25,78.1,108.1,-30.1,0.1,0.122,0.313,95.78,0.625,0.375,0.25,0.375,0.0,0.25,1.0,0.0,0.431,0.861,0.112,0.095,0,0,0,2,11,6,5,14,6,1,
2015-11-11,Matt Barnes,MEM,GSW,,25:32,0.164,0.222,0.5,0.0,0.143,0.0,0.083,0.286,0.0,0.25,0.077,8,0.125,1,4,0.25,0,0.0,3,0,2,0,1,4,3,-17,10.75,7,41,30,0.0,3,0.0,74.9,104.5,-29.5,0.0,0.077,0.188,99.32,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.605,0.395,0.205,0.1,0,0,0,0,21,0,9,14,0,0,
