DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Matthew Dellavedova,MIL,CHI,,24:21,0.157,0.15,0.286,0.083,0.077,0.4,0.333,0.167,0.0,0.167,0.177,6,0.5,3,4,0.75,2,1.0,2,6,1,0,2,2,11,17,23.5,0,0,0,,0,0.0,125.1,88.5,36.6,0.375,0.042,0.75,98.96,0.333,0.667,0.0,0.818,0.0,0.0,1.0,0.0,0.464,0.262,0.197,0.24,0,0,0,0,6,5,4,22,5,1,NBA TV
2016-10-08,Matthew Dellavedova,MIL,DAL,G,19:50,0.084,0.077,0.286,0.0,0.158,0.556,0.25,0.167,0.0,0.111,0.067,3,0.333,1,2,0.5,0,0.0,3,5,1,0,1,1,3,8,15.0,0,0,0,,0,0.0,111.4,92.3,19.1,0.313,0.075,0.5,97.39,0.333,0.667,0.0,1.0,1.0,0.0,0.0,1.0,0.471,0.2,0.225,0.368,3,0,0,0,7,3,2,26,3,0,
2016-10-15,Matthew Dellavedova,MIL,CHI,G,26:33,0.198,0.163,0.222,0.188,0.111,0.5,0.429,0.0,0.0,0.176,0.145,7,0.429,0,2,0.0,3,1.0,2,8,0,0,3,3,9,2,20.0,0,0,0,,0,0.0,110.6,113.6,-3.0,0.381,0.051,0.429,98.39,0.714,0.286,0.667,0.0,0.0,0.444,0.667,0.333,0.488,0.476,0.133,0.227,0,0,0,4,9,8,0,26,8,2,
2016-10-17,Matthew Dellavedova,MIL,DET,G,26:47,0.135,0.152,0.125,0.0,0.083,0.5,0.111,0.143,0.0,0.182,0.043,7,0.143,0,1,0.0,0,0.0,2,4,1,0,1,2,2,-11,11.0,0,0,0,,0,0.0,88.0,113.4,-25.4,0.235,0.04,0.143,93.69,0.857,0.143,1.0,0.0,0.0,1.0,0.0,1.0,0.56,0.333,0.156,0.217,0,0,0,2,12,4,13,16,4,0,
2016-10-19,Matthew Dellavedova,MIL,IND,G,25:18,0.099,0.093,0.083,0.05,0.111,0.412,0.154,0.5,0.0,0.214,0.132,4,1.0,1,1,1.0,1,0.0,3,7,1,0,2,3,9,8,23.0,0,0,0,,0,0.0,111.8,108.5,3.3,0.333,0.075,1.125,110.12,0.75,0.25,0.667,0.333,0.0,0.444,0.25,0.75,0.5,0.25,0.072,0.08,0,0,2,4,18,2,15,22,2,1,
2015-10-27,Matthew Dellavedova,CLE,CHI,,20:12,0.195,0.195,0.111,0.0,0.211,0.333,0.333,0.0,0.0,0.1,0.158,8,0.375,0,2,0.0,0,0.0,4,4,0,0,1,1,6,1,15.5,8,49,39,0.1026,4,0.5,88.0,85.5,2.5,0.364,0.091,0.375,102.75,0.75,0.25,1.0,0.0,0.667,0.333,1.0,0.0,0.403,0.333,0.162,0.238,4,0,2,2,4,7,5,4,7,1,TNT
2015-10-28,Matthew Dellavedova,CLE,MEM,,17:59,0.193,0.273,0.444,0.0,0.04,0.273,0.0,0.5,0.0,0.182,0.25,9,0.556,2,4,0.5,0,0.0,1,3,2,0,0,2,12,29,22.0,4,55,44,0.0682,5,0.6,117.9,50.6,67.2,0.231,0.026,0.667,104.42,0.556,0.444,0.5,0.5,0.583,0.5,0.2,0.8,0.21,0.258,0.24,0.24,7,4,0,6,3,2,1,6,2,2,
2015-10-30,Matthew Dellavedova,CLE,MIA,,26:58,0.103,0.106,0.286,0.167,0.179,0.588,0.0,0.333,0.0,0.0,0.081,5,0.2,1,4,0.25,2,1.0,5,10,1,0,0,0,5,23,26.25,5,65,56,0.1786,2,0.0,120.9,77.0,43.9,0.435,0.106,0.3,90.69,0.2,0.8,0.0,0.6,0.0,0.0,1.0,0.0,0.378,0.133,0.138,0.154,0,0,0,0,3,7,0,22,7,2,ESPN
2015-11-02,Matthew Dellavedova,CLE,PHI,,34:22,0.159,0.136,0.176,0.133,0.161,0.429,0.333,0.0,0.0,0.133,0.148,8,0.625,1,3,0.333,2,0.5,5,9,0,0,3,2,12,8,28.5,8,77,61,0.1475,6,0.667,114.7,102.8,12.0,0.346,0.086,0.688,98.91,0.625,0.375,0.667,0.25,0.167,0.333,0.6,0.4,0.508,0.258,0.127,0.206,2,0,2,4,14,4,9,38,4,5,
2015-11-04,Matthew Dellavedova,CLE,NYK,,27:25,0.152,0.146,0.059,0.0,0.103,0.538,0.333,0.0,0.0,0.333,0.089,7,0.286,1,1,1.0,0,0.0,3,7,0,0,3,2,5,13,16.5,7,47,37,0.1892,3,0.0,93.6,78.1,15.6,0.438,0.06,0.357,100.56,0.857,0.143,0.4,0.6,0.0,0.0,0.5,0.5,0.394,0.149,0.2,0.207,0,3,2,0,11,5,0,20,5,1,ESPN
